DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDAC12,1993-01-01T00:00:00-02:00,6.0
1993-02-01,1993,1,2,CONFAZ12_ITCDAC12,1993-02-01T00:00:00-02:00,1.0
1993-03-01,1993,1,3,CONFAZ12_ITCDAC12,1993-03-01T00:00:00-03:00,14.0
1993-04-01,1993,1,4,CONFAZ12_ITCDAC12,1993-04-01T00:00:00-03:00,18.0
1993-05-01,1993,1,5,CONFAZ12_ITCDAC12,1993-05-01T00:00:00-03:00,7.0
1993-06-01,1993,1,6,CONFAZ12_ITCDAC12,1993-06-01T00:00:00-03:00,10.0
1993-07-01,1993,1,7,CONFAZ12_ITCDAC12,1993-07-01T00:00:00-03:00,223.0
1993-08-01,1993,1,8,CONFAZ12_ITCDAC12,1993-08-01T00:00:00-03:00,47.0
1993-09-01,1993,1,9,CONFAZ12_ITCDAC12,1993-09-01T00:00:00-03:00,249.0
1993-10-01,1993,1,10,CONFAZ12_ITCDAC12,1993-10-01T00:00:00-03:00,63.0
1993-11-01,1993,1,11,CONFAZ12_ITCDAC12,1993-11-01T00:00:00-03:00,175.0
1993-12-01,1993,1,12,CONFAZ12_ITCDAC12,1993-12-01T00:00:00-02:00,155.0
1994-01-01,1994,1,1,CONFAZ12_ITCDAC12,1994-01-01T00:00:00-02:00,267.0
1994-02-01,1994,1,2,CONFAZ12_ITCDAC12,1994-02-01T00:00:00-02:00,28.0
1994-03-01,1994,1,3,CONFAZ12_ITCDAC12,1994-03-01T00:00:00-03:00,50.0
1994-04-01,1994,1,4,CONFAZ12_ITCDAC12,1994-04-01T00:00:00-03:00,985.0
1994-05-01,1994,1,5,CONFAZ12_ITCDAC12,1994-05-01T00:00:00-03:00,698.0
1994-06-01,1994,1,6,CONFAZ12_ITCDAC12,1994-06-01T00:00:00-03:00,779.0
1994-07-01,1994,1,7,CONFAZ12_ITCDAC12,1994-07-01T00:00:00-03:00,14483.0
1994-08-01,1994,1,8,CONFAZ12_ITCDAC12,1994-08-01T00:00:00-03:00,2311.0
1994-09-01,1994,1,9,CONFAZ12_ITCDAC12,1994-09-01T00:00:00-03:00,5161.0
1994-10-01,1994,1,10,CONFAZ12_ITCDAC12,1994-10-01T00:00:00-03:00,2430.0
1994-11-01,1994,1,11,CONFAZ12_ITCDAC12,1994-11-01T00:00:00-03:00,45620.0
1994-12-01,1994,1,12,CONFAZ12_ITCDAC12,1994-12-01T00:00:00-02:00,49.0
1995-01-01,1995,1,1,CONFAZ12_ITCDAC12,1995-01-01T00:00:00-02:00,1093.0
1995-02-01,1995,1,2,CONFAZ12_ITCDAC12,1995-02-01T00:00:00-02:00,1603.0
1995-03-01,1995,1,3,CONFAZ12_ITCDAC12,1995-03-01T00:00:00-03:00,1003.0
1995-04-01,1995,1,4,CONFAZ12_ITCDAC12,1995-04-01T00:00:00-03:00,3195.0
1995-05-01,1995,1,5,CONFAZ12_ITCDAC12,1995-05-01T00:00:00-03:00,4012.0
1995-06-01,1995,1,6,CONFAZ12_ITCDAC12,1995-06-01T00:00:00-03:00,1530.0
1995-07-01,1995,1,7,CONFAZ12_ITCDAC12,1995-07-01T00:00:00-03:00,2043.0
1995-08-01,1995,1,8,CONFAZ12_ITCDAC12,1995-08-01T00:00:00-03:00,795.0
1995-09-01,1995,1,9,CONFAZ12_ITCDAC12,1995-09-01T00:00:00-03:00,432.0
1995-10-01,1995,1,10,CONFAZ12_ITCDAC12,1995-10-01T00:00:00-03:00,207.0
1995-11-01,1995,1,11,CONFAZ12_ITCDAC12,1995-11-01T00:00:00-03:00,1329.0
1995-12-01,1995,1,12,CONFAZ12_ITCDAC12,1995-12-01T00:00:00-02:00,
1996-01-01,1996,1,1,CONFAZ12_ITCDAC12,1996-01-01T00:00:00-02:00,3.0
1996-02-01,1996,1,2,CONFAZ12_ITCDAC12,1996-02-01T00:00:00-02:00,2.0
1996-03-01,1996,1,3,CONFAZ12_ITCDAC12,1996-03-01T00:00:00-03:00,3.0
1996-04-01,1996,1,4,CONFAZ12_ITCDAC12,1996-04-01T00:00:00-03:00,2.0
1996-05-01,1996,1,5,CONFAZ12_ITCDAC12,1996-05-01T00:00:00-03:00,4.0
1996-06-01,1996,1,6,CONFAZ12_ITCDAC12,1996-06-01T00:00:00-03:00,1.0
1996-07-01,1996,1,7,CONFAZ12_ITCDAC12,1996-07-01T00:00:00-03:00,3.0
1996-08-01,1996,1,8,CONFAZ12_ITCDAC12,1996-08-01T00:00:00-03:00,4.0
1996-09-01,1996,1,9,CONFAZ12_ITCDAC12,1996-09-01T00:00:00-03:00,2.0
1996-10-01,1996,1,10,CONFAZ12_ITCDAC12,1996-10-01T00:00:00-03:00,2.0
1996-11-01,1996,1,11,CONFAZ12_ITCDAC12,1996-11-01T00:00:00-03:00,5.0
1996-12-01,1996,1,12,CONFAZ12_ITCDAC12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_ITCDAC12,1997-01-01T00:00:00-02:00,2.0
1997-02-01,1997,1,2,CONFAZ12_ITCDAC12,1997-02-01T00:00:00-02:00,4.0
1997-03-01,1997,1,3,CONFAZ12_ITCDAC12,1997-03-01T00:00:00-03:00,24.0
1997-04-01,1997,1,4,CONFAZ12_ITCDAC12,1997-04-01T00:00:00-03:00,580.0
1997-05-01,1997,1,5,CONFAZ12_ITCDAC12,1997-05-01T00:00:00-03:00,524.0
1997-06-01,1997,1,6,CONFAZ12_ITCDAC12,1997-06-01T00:00:00-03:00,154.0
1997-07-01,1997,1,7,CONFAZ12_ITCDAC12,1997-07-01T00:00:00-03:00,16.0
1997-08-01,1997,1,8,CONFAZ12_ITCDAC12,1997-08-01T00:00:00-03:00,413.0
1997-09-01,1997,1,9,CONFAZ12_ITCDAC12,1997-09-01T00:00:00-03:00,3849.0
1997-10-01,1997,1,10,CONFAZ12_ITCDAC12,1997-10-01T00:00:00-03:00,50.0
1997-11-01,1997,1,11,CONFAZ12_ITCDAC12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_ITCDAC12,1997-12-01T00:00:00-02:00,967.0
1998-01-01,1998,1,1,CONFAZ12_ITCDAC12,1998-01-01T00:00:00-02:00,1.0
1998-02-01,1998,1,2,CONFAZ12_ITCDAC12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_ITCDAC12,1998-03-01T00:00:00-03:00,1.0
1998-04-01,1998,1,4,CONFAZ12_ITCDAC12,1998-04-01T00:00:00-03:00,2.0
1998-05-01,1998,1,5,CONFAZ12_ITCDAC12,1998-05-01T00:00:00-03:00,4.0
1998-06-01,1998,1,6,CONFAZ12_ITCDAC12,1998-06-01T00:00:00-03:00,12.0
1998-07-01,1998,1,7,CONFAZ12_ITCDAC12,1998-07-01T00:00:00-03:00,7.0
1998-08-01,1998,1,8,CONFAZ12_ITCDAC12,1998-08-01T00:00:00-03:00,1.0
1998-09-01,1998,1,9,CONFAZ12_ITCDAC12,1998-09-01T00:00:00-03:00,1.0
1998-10-01,1998,1,10,CONFAZ12_ITCDAC12,1998-10-01T00:00:00-03:00,2.0
