DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDAL12,1993-01-01T00:00:00-02:00,41.0
1993-02-01,1993,1,2,CONFAZ12_ITCDAL12,1993-02-01T00:00:00-02:00,125.0
1993-03-01,1993,1,3,CONFAZ12_ITCDAL12,1993-03-01T00:00:00-03:00,158.0
1993-04-01,1993,1,4,CONFAZ12_ITCDAL12,1993-04-01T00:00:00-03:00,41.0
1993-05-01,1993,1,5,CONFAZ12_ITCDAL12,1993-05-01T00:00:00-03:00,189.0
1993-06-01,1993,1,6,CONFAZ12_ITCDAL12,1993-06-01T00:00:00-03:00,239.0
1993-07-01,1993,1,7,CONFAZ12_ITCDAL12,1993-07-01T00:00:00-03:00,383.0
1993-08-01,1993,1,8,CONFAZ12_ITCDAL12,1993-08-01T00:00:00-03:00,764.0
1993-09-01,1993,1,9,CONFAZ12_ITCDAL12,1993-09-01T00:00:00-03:00,568.0
1993-10-01,1993,1,10,CONFAZ12_ITCDAL12,1993-10-01T00:00:00-03:00,1719.0
1993-11-01,1993,1,11,CONFAZ12_ITCDAL12,1993-11-01T00:00:00-03:00,2351.0
1993-12-01,1993,1,12,CONFAZ12_ITCDAL12,1993-12-01T00:00:00-02:00,3856.0
1994-01-01,1994,1,1,CONFAZ12_ITCDAL12,1994-01-01T00:00:00-02:00,1116.0
1994-02-01,1994,1,2,CONFAZ12_ITCDAL12,1994-02-01T00:00:00-02:00,3810.0
1994-03-01,1994,1,3,CONFAZ12_ITCDAL12,1994-03-01T00:00:00-03:00,2465.0
1994-04-01,1994,1,4,CONFAZ12_ITCDAL12,1994-04-01T00:00:00-03:00,6746.0
1994-05-01,1994,1,5,CONFAZ12_ITCDAL12,1994-05-01T00:00:00-03:00,11611.0
1994-06-01,1994,1,6,CONFAZ12_ITCDAL12,1994-06-01T00:00:00-03:00,15196.0
1994-07-01,1994,1,7,CONFAZ12_ITCDAL12,1994-07-01T00:00:00-03:00,4167.0
1994-08-01,1994,1,8,CONFAZ12_ITCDAL12,1994-08-01T00:00:00-03:00,27609.0
1994-09-01,1994,1,9,CONFAZ12_ITCDAL12,1994-09-01T00:00:00-03:00,6474.0
1994-10-01,1994,1,10,CONFAZ12_ITCDAL12,1994-10-01T00:00:00-03:00,6987.0
1994-11-01,1994,1,11,CONFAZ12_ITCDAL12,1994-11-01T00:00:00-03:00,13809.0
1994-12-01,1994,1,12,CONFAZ12_ITCDAL12,1994-12-01T00:00:00-02:00,18998.0
1995-01-01,1995,1,1,CONFAZ12_ITCDAL12,1995-01-01T00:00:00-02:00,6453.0
1995-02-01,1995,1,2,CONFAZ12_ITCDAL12,1995-02-01T00:00:00-02:00,14581.0
1995-03-01,1995,1,3,CONFAZ12_ITCDAL12,1995-03-01T00:00:00-03:00,22708.0
1995-04-01,1995,1,4,CONFAZ12_ITCDAL12,1995-04-01T00:00:00-03:00,37274.0
1995-05-01,1995,1,5,CONFAZ12_ITCDAL12,1995-05-01T00:00:00-03:00,17288.0
1995-06-01,1995,1,6,CONFAZ12_ITCDAL12,1995-06-01T00:00:00-03:00,23371.0
1995-07-01,1995,1,7,CONFAZ12_ITCDAL12,1995-07-01T00:00:00-03:00,29768.0
1995-08-01,1995,1,8,CONFAZ12_ITCDAL12,1995-08-01T00:00:00-03:00,35426.0
1995-09-01,1995,1,9,CONFAZ12_ITCDAL12,1995-09-01T00:00:00-03:00,18210.0
1995-10-01,1995,1,10,CONFAZ12_ITCDAL12,1995-10-01T00:00:00-03:00,18849.0
1995-11-01,1995,1,11,CONFAZ12_ITCDAL12,1995-11-01T00:00:00-03:00,17452.0
1995-12-01,1995,1,12,CONFAZ12_ITCDAL12,1995-12-01T00:00:00-02:00,10911.0
1996-01-01,1996,1,1,CONFAZ12_ITCDAL12,1996-01-01T00:00:00-02:00,17.0
1996-02-01,1996,1,2,CONFAZ12_ITCDAL12,1996-02-01T00:00:00-02:00,26.0
1996-03-01,1996,1,3,CONFAZ12_ITCDAL12,1996-03-01T00:00:00-03:00,10.0
1996-04-01,1996,1,4,CONFAZ12_ITCDAL12,1996-04-01T00:00:00-03:00,5.0
1996-05-01,1996,1,5,CONFAZ12_ITCDAL12,1996-05-01T00:00:00-03:00,8.0
1996-06-01,1996,1,6,CONFAZ12_ITCDAL12,1996-06-01T00:00:00-03:00,4.0
1996-07-01,1996,1,7,CONFAZ12_ITCDAL12,1996-07-01T00:00:00-03:00,18.0
1996-08-01,1996,1,8,CONFAZ12_ITCDAL12,1996-08-01T00:00:00-03:00,50.0
1996-09-01,1996,1,9,CONFAZ12_ITCDAL12,1996-09-01T00:00:00-03:00,
1996-10-01,1996,1,10,CONFAZ12_ITCDAL12,1996-10-01T00:00:00-03:00,31.0
1996-11-01,1996,1,11,CONFAZ12_ITCDAL12,1996-11-01T00:00:00-03:00,53.0
1996-12-01,1996,1,12,CONFAZ12_ITCDAL12,1996-12-01T00:00:00-02:00,23.0
1997-01-01,1997,1,1,CONFAZ12_ITCDAL12,1997-01-01T00:00:00-02:00,
1997-02-01,1997,1,2,CONFAZ12_ITCDAL12,1997-02-01T00:00:00-02:00,
1997-03-01,1997,1,3,CONFAZ12_ITCDAL12,1997-03-01T00:00:00-03:00,28.0
1997-04-01,1997,1,4,CONFAZ12_ITCDAL12,1997-04-01T00:00:00-03:00,19.0
1997-05-01,1997,1,5,CONFAZ12_ITCDAL12,1997-05-01T00:00:00-03:00,37.0
1997-06-01,1997,1,6,CONFAZ12_ITCDAL12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_ITCDAL12,1997-07-01T00:00:00-03:00,15.0
1997-08-01,1997,1,8,CONFAZ12_ITCDAL12,1997-08-01T00:00:00-03:00,22.0
1997-09-01,1997,1,9,CONFAZ12_ITCDAL12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_ITCDAL12,1997-10-01T00:00:00-03:00,106.0
1997-11-01,1997,1,11,CONFAZ12_ITCDAL12,1997-11-01T00:00:00-03:00,48.0
1997-12-01,1997,1,12,CONFAZ12_ITCDAL12,1997-12-01T00:00:00-02:00,36.0
1998-01-01,1998,1,1,CONFAZ12_ITCDAL12,1998-01-01T00:00:00-02:00,46.0
1998-02-01,1998,1,2,CONFAZ12_ITCDAL12,1998-02-01T00:00:00-02:00,18.0
1998-03-01,1998,1,3,CONFAZ12_ITCDAL12,1998-03-01T00:00:00-03:00,45.0
1998-04-01,1998,1,4,CONFAZ12_ITCDAL12,1998-04-01T00:00:00-03:00,25.0
1998-05-01,1998,1,5,CONFAZ12_ITCDAL12,1998-05-01T00:00:00-03:00,12.0
1998-06-01,1998,1,6,CONFAZ12_ITCDAL12,1998-06-01T00:00:00-03:00,24.0
1998-07-01,1998,1,7,CONFAZ12_ITCDAL12,1998-07-01T00:00:00-03:00,17.0
1998-08-01,1998,1,8,CONFAZ12_ITCDAL12,1998-08-01T00:00:00-03:00,27.0
1998-09-01,1998,1,9,CONFAZ12_ITCDAL12,1998-09-01T00:00:00-03:00,34.0
1998-10-01,1998,1,10,CONFAZ12_ITCDAL12,1998-10-01T00:00:00-03:00,37.0
1998-11-01,1998,1,11,CONFAZ12_ITCDAL12,1998-11-01T00:00:00-03:00,17.0
1998-12-01,1998,1,12,CONFAZ12_ITCDAL12,1998-12-01T00:00:00-02:00,45.0
1999-01-01,1999,1,1,CONFAZ12_ITCDAL12,1999-01-01T00:00:00-02:00,16.0
1999-02-01,1999,1,2,CONFAZ12_ITCDAL12,1999-02-01T00:00:00-02:00,12.0
1999-03-01,1999,1,3,CONFAZ12_ITCDAL12,1999-03-01T00:00:00-03:00,24.0
1999-04-01,1999,1,4,CONFAZ12_ITCDAL12,1999-04-01T00:00:00-03:00,30.0
1999-05-01,1999,1,5,CONFAZ12_ITCDAL12,1999-05-01T00:00:00-03:00,27.0
1999-06-01,1999,1,6,CONFAZ12_ITCDAL12,1999-06-01T00:00:00-03:00,16.0
1999-07-01,1999,1,7,CONFAZ12_ITCDAL12,1999-07-01T00:00:00-03:00,13.0
1999-08-01,1999,1,8,CONFAZ12_ITCDAL12,1999-08-01T00:00:00-03:00,47.0
1999-09-01,1999,1,9,CONFAZ12_ITCDAL12,1999-09-01T00:00:00-03:00,159.0
1999-10-01,1999,1,10,CONFAZ12_ITCDAL12,1999-10-01T00:00:00-03:00,32.0
1999-11-01,1999,1,11,CONFAZ12_ITCDAL12,1999-11-01T00:00:00-03:00,41.0
1999-12-01,1999,1,12,CONFAZ12_ITCDAL12,1999-12-01T00:00:00-02:00,52.0
2000-01-01,2000,1,1,CONFAZ12_ITCDAL12,2000-01-01T00:00:00-02:00,62.0
2000-02-01,2000,1,2,CONFAZ12_ITCDAL12,2000-02-01T00:00:00-02:00,45.0
2000-03-01,2000,1,3,CONFAZ12_ITCDAL12,2000-03-01T00:00:00-03:00,25.0
2000-04-01,2000,1,4,CONFAZ12_ITCDAL12,2000-04-01T00:00:00-03:00,61.0
2000-05-01,2000,1,5,CONFAZ12_ITCDAL12,2000-05-01T00:00:00-03:00,37.0
2000-06-01,2000,1,6,CONFAZ12_ITCDAL12,2000-06-01T00:00:00-03:00,54.0
2000-07-01,2000,1,7,CONFAZ12_ITCDAL12,2000-07-01T00:00:00-03:00,38.0
2000-08-01,2000,1,8,CONFAZ12_ITCDAL12,2000-08-01T00:00:00-03:00,53.0
2000-09-01,2000,1,9,CONFAZ12_ITCDAL12,2000-09-01T00:00:00-03:00,57.0
2000-10-01,2000,1,10,CONFAZ12_ITCDAL12,2000-10-01T00:00:00-03:00,37.0
2000-11-01,2000,1,11,CONFAZ12_ITCDAL12,2000-11-01T00:00:00-03:00,77.0
2000-12-01,2000,1,12,CONFAZ12_ITCDAL12,2000-12-01T00:00:00-02:00,37.0
2001-01-01,2001,1,1,CONFAZ12_ITCDAL12,2001-01-01T00:00:00-02:00,54.0
2001-02-01,2001,1,2,CONFAZ12_ITCDAL12,2001-02-01T00:00:00-02:00,36.0
2001-03-01,2001,1,3,CONFAZ12_ITCDAL12,2001-03-01T00:00:00-03:00,59.0
2001-04-01,2001,1,4,CONFAZ12_ITCDAL12,2001-04-01T00:00:00-03:00,64.0
2001-05-01,2001,1,5,CONFAZ12_ITCDAL12,2001-05-01T00:00:00-03:00,89.0
2001-06-01,2001,1,6,CONFAZ12_ITCDAL12,2001-06-01T00:00:00-03:00,65.0
2001-07-01,2001,1,7,CONFAZ12_ITCDAL12,2001-07-01T00:00:00-03:00,70.0
2001-08-01,2001,1,8,CONFAZ12_ITCDAL12,2001-08-01T00:00:00-03:00,49.0
2001-09-01,2001,1,9,CONFAZ12_ITCDAL12,2001-09-01T00:00:00-03:00,54.0
2001-10-01,2001,1,10,CONFAZ12_ITCDAL12,2001-10-01T00:00:00-03:00,81.0
2001-11-01,2001,1,11,CONFAZ12_ITCDAL12,2001-11-01T00:00:00-03:00,31.0
2001-12-01,2001,1,12,CONFAZ12_ITCDAL12,2001-12-01T00:00:00-02:00,56.0
2002-01-01,2002,1,1,CONFAZ12_ITCDAL12,2002-01-01T00:00:00-02:00,52.0
2002-02-01,2002,1,2,CONFAZ12_ITCDAL12,2002-02-01T00:00:00-02:00,64.0
2002-03-01,2002,1,3,CONFAZ12_ITCDAL12,2002-03-01T00:00:00-03:00,38.0
2002-04-01,2002,1,4,CONFAZ12_ITCDAL12,2002-04-01T00:00:00-03:00,109.0
2002-05-01,2002,1,5,CONFAZ12_ITCDAL12,2002-05-01T00:00:00-03:00,77.0
2002-06-01,2002,1,6,CONFAZ12_ITCDAL12,2002-06-01T00:00:00-03:00,47.0
2002-07-01,2002,1,7,CONFAZ12_ITCDAL12,2002-07-01T00:00:00-03:00,38.0
2002-08-01,2002,1,8,CONFAZ12_ITCDAL12,2002-08-01T00:00:00-03:00,65.0
2002-09-01,2002,1,9,CONFAZ12_ITCDAL12,2002-09-01T00:00:00-03:00,48.0
2002-10-01,2002,1,10,CONFAZ12_ITCDAL12,2002-10-01T00:00:00-03:00,89.0
2002-11-01,2002,1,11,CONFAZ12_ITCDAL12,2002-11-01T00:00:00-03:00,69.0
2002-12-01,2002,1,12,CONFAZ12_ITCDAL12,2002-12-01T00:00:00-02:00,63.0
2003-01-01,2003,1,1,CONFAZ12_ITCDAL12,2003-01-01T00:00:00-02:00,51.0
2003-02-01,2003,1,2,CONFAZ12_ITCDAL12,2003-02-01T00:00:00-02:00,75.0
2003-03-01,2003,1,3,CONFAZ12_ITCDAL12,2003-03-01T00:00:00-03:00,37.0
2003-04-01,2003,1,4,CONFAZ12_ITCDAL12,2003-04-01T00:00:00-03:00,76.0
2003-05-01,2003,1,5,CONFAZ12_ITCDAL12,2003-05-01T00:00:00-03:00,118.0
2003-06-01,2003,1,6,CONFAZ12_ITCDAL12,2003-06-01T00:00:00-03:00,100.0
2003-07-01,2003,1,7,CONFAZ12_ITCDAL12,2003-07-01T00:00:00-03:00,77.0
2003-08-01,2003,1,8,CONFAZ12_ITCDAL12,2003-08-01T00:00:00-03:00,46.0
2003-09-01,2003,1,9,CONFAZ12_ITCDAL12,2003-09-01T00:00:00-03:00,123.0
2003-10-01,2003,1,10,CONFAZ12_ITCDAL12,2003-10-01T00:00:00-03:00,91.0
2003-11-01,2003,1,11,CONFAZ12_ITCDAL12,2003-11-01T00:00:00-03:00,89.0
2003-12-01,2003,1,12,CONFAZ12_ITCDAL12,2003-12-01T00:00:00-02:00,107.0
2004-01-01,2004,1,1,CONFAZ12_ITCDAL12,2004-01-01T00:00:00-02:00,57.0
2004-02-01,2004,1,2,CONFAZ12_ITCDAL12,2004-02-01T00:00:00-02:00,104.0
2004-03-01,2004,1,3,CONFAZ12_ITCDAL12,2004-03-01T00:00:00-03:00,107.0
2004-04-01,2004,1,4,CONFAZ12_ITCDAL12,2004-04-01T00:00:00-03:00,98.0
2004-05-01,2004,1,5,CONFAZ12_ITCDAL12,2004-05-01T00:00:00-03:00,90.0
2004-06-01,2004,1,6,CONFAZ12_ITCDAL12,2004-06-01T00:00:00-03:00,51.0
2004-07-01,2004,1,7,CONFAZ12_ITCDAL12,2004-07-01T00:00:00-03:00,38.0
2004-08-01,2004,1,8,CONFAZ12_ITCDAL12,2004-08-01T00:00:00-03:00,84.0
2004-09-01,2004,1,9,CONFAZ12_ITCDAL12,2004-09-01T00:00:00-03:00,90.0
2004-10-01,2004,1,10,CONFAZ12_ITCDAL12,2004-10-01T00:00:00-03:00,129.0
2004-11-01,2004,1,11,CONFAZ12_ITCDAL12,2004-11-01T00:00:00-03:00,69.0
2004-12-01,2004,1,12,CONFAZ12_ITCDAL12,2004-12-01T00:00:00-02:00,145.0
2005-01-01,2005,1,1,CONFAZ12_ITCDAL12,2005-01-01T00:00:00-02:00,408.0
2005-02-01,2005,1,2,CONFAZ12_ITCDAL12,2005-02-01T00:00:00-02:00,83.0
2005-03-01,2005,1,3,CONFAZ12_ITCDAL12,2005-03-01T00:00:00-03:00,109.0
2005-04-01,2005,1,4,CONFAZ12_ITCDAL12,2005-04-01T00:00:00-03:00,167.0
2005-05-01,2005,1,5,CONFAZ12_ITCDAL12,2005-05-01T00:00:00-03:00,118.0
2005-06-01,2005,1,6,CONFAZ12_ITCDAL12,2005-06-01T00:00:00-03:00,61.0
2005-07-01,2005,1,7,CONFAZ12_ITCDAL12,2005-07-01T00:00:00-03:00,193.0
2005-08-01,2005,1,8,CONFAZ12_ITCDAL12,2005-08-01T00:00:00-03:00,84.0
