DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDBA12,1993-01-01T00:00:00-02:00,624.0
1993-02-01,1993,1,2,CONFAZ12_ITCDBA12,1993-02-01T00:00:00-02:00,1092.0
1993-03-01,1993,1,3,CONFAZ12_ITCDBA12,1993-03-01T00:00:00-03:00,2730.0
1993-04-01,1993,1,4,CONFAZ12_ITCDBA12,1993-04-01T00:00:00-03:00,6587.0
1993-05-01,1993,1,5,CONFAZ12_ITCDBA12,1993-05-01T00:00:00-03:00,5507.0
1993-06-01,1993,1,6,CONFAZ12_ITCDBA12,1993-06-01T00:00:00-03:00,4712.0
1993-07-01,1993,1,7,CONFAZ12_ITCDBA12,1993-07-01T00:00:00-03:00,7884.0
1993-08-01,1993,1,8,CONFAZ12_ITCDBA12,1993-08-01T00:00:00-03:00,10401.0
1993-09-01,1993,1,9,CONFAZ12_ITCDBA12,1993-09-01T00:00:00-03:00,22380.0
1993-10-01,1993,1,10,CONFAZ12_ITCDBA12,1993-10-01T00:00:00-03:00,17042.0
1993-11-01,1993,1,11,CONFAZ12_ITCDBA12,1993-11-01T00:00:00-03:00,20799.0
1993-12-01,1993,1,12,CONFAZ12_ITCDBA12,1993-12-01T00:00:00-02:00,46159.0
1994-01-01,1994,1,1,CONFAZ12_ITCDBA12,1994-01-01T00:00:00-02:00,35673.0
1994-02-01,1994,1,2,CONFAZ12_ITCDBA12,1994-02-01T00:00:00-02:00,50550.0
1994-03-01,1994,1,3,CONFAZ12_ITCDBA12,1994-03-01T00:00:00-03:00,113821.0
1994-04-01,1994,1,4,CONFAZ12_ITCDBA12,1994-04-01T00:00:00-03:00,120687.0
1994-05-01,1994,1,5,CONFAZ12_ITCDBA12,1994-05-01T00:00:00-03:00,359923.0
1994-06-01,1994,1,6,CONFAZ12_ITCDBA12,1994-06-01T00:00:00-03:00,403813.0
1994-07-01,1994,1,7,CONFAZ12_ITCDBA12,1994-07-01T00:00:00-03:00,72000.0
1994-08-01,1994,1,8,CONFAZ12_ITCDBA12,1994-08-01T00:00:00-03:00,229500.0
1994-09-01,1994,1,9,CONFAZ12_ITCDBA12,1994-09-01T00:00:00-03:00,196400.0
1994-10-01,1994,1,10,CONFAZ12_ITCDBA12,1994-10-01T00:00:00-03:00,173000.0
1994-11-01,1994,1,11,CONFAZ12_ITCDBA12,1994-11-01T00:00:00-03:00,339000.0
1994-12-01,1994,1,12,CONFAZ12_ITCDBA12,1994-12-01T00:00:00-02:00,
1995-01-01,1995,1,1,CONFAZ12_ITCDBA12,1995-01-01T00:00:00-02:00,219400.0
1995-02-01,1995,1,2,CONFAZ12_ITCDBA12,1995-02-01T00:00:00-02:00,167500.0
1995-03-01,1995,1,3,CONFAZ12_ITCDBA12,1995-03-01T00:00:00-03:00,384900.0
1995-04-01,1995,1,4,CONFAZ12_ITCDBA12,1995-04-01T00:00:00-03:00,390200.0
1995-05-01,1995,1,5,CONFAZ12_ITCDBA12,1995-05-01T00:00:00-03:00,317900.0
1995-06-01,1995,1,6,CONFAZ12_ITCDBA12,1995-06-01T00:00:00-03:00,311800.0
1995-07-01,1995,1,7,CONFAZ12_ITCDBA12,1995-07-01T00:00:00-03:00,338100.0
1995-08-01,1995,1,8,CONFAZ12_ITCDBA12,1995-08-01T00:00:00-03:00,5942000.0
1995-09-01,1995,1,9,CONFAZ12_ITCDBA12,1995-09-01T00:00:00-03:00,
1995-10-01,1995,1,10,CONFAZ12_ITCDBA12,1995-10-01T00:00:00-03:00,335800.0
1995-11-01,1995,1,11,CONFAZ12_ITCDBA12,1995-11-01T00:00:00-03:00,331100.0
1995-12-01,1995,1,12,CONFAZ12_ITCDBA12,1995-12-01T00:00:00-02:00,
1996-01-01,1996,1,1,CONFAZ12_ITCDBA12,1996-01-01T00:00:00-02:00,
1996-02-01,1996,1,2,CONFAZ12_ITCDBA12,1996-02-01T00:00:00-02:00,180.0
1996-03-01,1996,1,3,CONFAZ12_ITCDBA12,1996-03-01T00:00:00-03:00,574.0
1996-04-01,1996,1,4,CONFAZ12_ITCDBA12,1996-04-01T00:00:00-03:00,285.0
1996-05-01,1996,1,5,CONFAZ12_ITCDBA12,1996-05-01T00:00:00-03:00,423.0
1996-06-01,1996,1,6,CONFAZ12_ITCDBA12,1996-06-01T00:00:00-03:00,346.0
1996-07-01,1996,1,7,CONFAZ12_ITCDBA12,1996-07-01T00:00:00-03:00,257.0
1996-08-01,1996,1,8,CONFAZ12_ITCDBA12,1996-08-01T00:00:00-03:00,448.0
1996-09-01,1996,1,9,CONFAZ12_ITCDBA12,1996-09-01T00:00:00-03:00,380.0
1996-10-01,1996,1,10,CONFAZ12_ITCDBA12,1996-10-01T00:00:00-03:00,323.0
1996-11-01,1996,1,11,CONFAZ12_ITCDBA12,1996-11-01T00:00:00-03:00,504.0
1996-12-01,1996,1,12,CONFAZ12_ITCDBA12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_ITCDBA12,1997-01-01T00:00:00-02:00,236.0
1997-02-01,1997,1,2,CONFAZ12_ITCDBA12,1997-02-01T00:00:00-02:00,321.0
1997-03-01,1997,1,3,CONFAZ12_ITCDBA12,1997-03-01T00:00:00-03:00,313.0
1997-04-01,1997,1,4,CONFAZ12_ITCDBA12,1997-04-01T00:00:00-03:00,403.0
1997-05-01,1997,1,5,CONFAZ12_ITCDBA12,1997-05-01T00:00:00-03:00,372.0
1997-06-01,1997,1,6,CONFAZ12_ITCDBA12,1997-06-01T00:00:00-03:00,470.0
1997-07-01,1997,1,7,CONFAZ12_ITCDBA12,1997-07-01T00:00:00-03:00,791.0
