DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-05-01,1993,1,5,CONFAZ12_ITCDES12,1993-05-01T00:00:00-03:00,2573.0
1993-06-01,1993,1,6,CONFAZ12_ITCDES12,1993-06-01T00:00:00-03:00,1936.0
1993-07-01,1993,1,7,CONFAZ12_ITCDES12,1993-07-01T00:00:00-03:00,2699.0
1993-08-01,1993,1,8,CONFAZ12_ITCDES12,1993-08-01T00:00:00-03:00,6229.0
1993-09-01,1993,1,9,CONFAZ12_ITCDES12,1993-09-01T00:00:00-03:00,11253.0
1993-10-01,1993,1,10,CONFAZ12_ITCDES12,1993-10-01T00:00:00-03:00,10055.0
1993-11-01,1993,1,11,CONFAZ12_ITCDES12,1993-11-01T00:00:00-03:00,8818.0
1993-12-01,1993,1,12,CONFAZ12_ITCDES12,1993-12-01T00:00:00-02:00,20959.0
1994-01-01,1994,1,1,CONFAZ12_ITCDES12,1994-01-01T00:00:00-02:00,16171.0
1994-02-01,1994,1,2,CONFAZ12_ITCDES12,1994-02-01T00:00:00-02:00,29717.0
1994-03-01,1994,1,3,CONFAZ12_ITCDES12,1994-03-01T00:00:00-03:00,39602.0
1994-04-01,1994,1,4,CONFAZ12_ITCDES12,1994-04-01T00:00:00-03:00,72185.0
1994-05-01,1994,1,5,CONFAZ12_ITCDES12,1994-05-01T00:00:00-03:00,68110.0
1994-06-01,1994,1,6,CONFAZ12_ITCDES12,1994-06-01T00:00:00-03:00,140463.0
1994-07-01,1994,1,7,CONFAZ12_ITCDES12,1994-07-01T00:00:00-03:00,36369.0
1994-08-01,1994,1,8,CONFAZ12_ITCDES12,1994-08-01T00:00:00-03:00,109000.0
1994-09-01,1994,1,9,CONFAZ12_ITCDES12,1994-09-01T00:00:00-03:00,102000.0
1994-10-01,1994,1,10,CONFAZ12_ITCDES12,1994-10-01T00:00:00-03:00,151000.0
1994-11-01,1994,1,11,CONFAZ12_ITCDES12,1994-11-01T00:00:00-03:00,132000.0
1994-12-01,1994,1,12,CONFAZ12_ITCDES12,1994-12-01T00:00:00-02:00,
1995-01-01,1995,1,1,CONFAZ12_ITCDES12,1995-01-01T00:00:00-02:00,105492.0
1995-02-01,1995,1,2,CONFAZ12_ITCDES12,1995-02-01T00:00:00-02:00,257174.0
1995-03-01,1995,1,3,CONFAZ12_ITCDES12,1995-03-01T00:00:00-03:00,186807.0
1995-04-01,1995,1,4,CONFAZ12_ITCDES12,1995-04-01T00:00:00-03:00,
1995-05-01,1995,1,5,CONFAZ12_ITCDES12,1995-05-01T00:00:00-03:00,
1995-06-01,1995,1,6,CONFAZ12_ITCDES12,1995-06-01T00:00:00-03:00,251367.0
1995-07-01,1995,1,7,CONFAZ12_ITCDES12,1995-07-01T00:00:00-03:00,139325.0
1995-08-01,1995,1,8,CONFAZ12_ITCDES12,1995-08-01T00:00:00-03:00,129557.0
1995-09-01,1995,1,9,CONFAZ12_ITCDES12,1995-09-01T00:00:00-03:00,124983.0
1995-10-01,1995,1,10,CONFAZ12_ITCDES12,1995-10-01T00:00:00-03:00,160208.0
1995-11-01,1995,1,11,CONFAZ12_ITCDES12,1995-11-01T00:00:00-03:00,204581.0
1995-12-01,1995,1,12,CONFAZ12_ITCDES12,1995-12-01T00:00:00-02:00,146794.0
1996-01-01,1996,1,1,CONFAZ12_ITCDES12,1996-01-01T00:00:00-02:00,126.0
1996-02-01,1996,1,2,CONFAZ12_ITCDES12,1996-02-01T00:00:00-02:00,90.0
1996-03-01,1996,1,3,CONFAZ12_ITCDES12,1996-03-01T00:00:00-03:00,134.0
1996-04-01,1996,1,4,CONFAZ12_ITCDES12,1996-04-01T00:00:00-03:00,299.0
1996-05-01,1996,1,5,CONFAZ12_ITCDES12,1996-05-01T00:00:00-03:00,233.0
1996-06-01,1996,1,6,CONFAZ12_ITCDES12,1996-06-01T00:00:00-03:00,201.0
1996-07-01,1996,1,7,CONFAZ12_ITCDES12,1996-07-01T00:00:00-03:00,140.0
1996-08-01,1996,1,8,CONFAZ12_ITCDES12,1996-08-01T00:00:00-03:00,177.0
1996-09-01,1996,1,9,CONFAZ12_ITCDES12,1996-09-01T00:00:00-03:00,298.0
1996-10-01,1996,1,10,CONFAZ12_ITCDES12,1996-10-01T00:00:00-03:00,187.0
1996-11-01,1996,1,11,CONFAZ12_ITCDES12,1996-11-01T00:00:00-03:00,162.0
1996-12-01,1996,1,12,CONFAZ12_ITCDES12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_ITCDES12,1997-01-01T00:00:00-02:00,152.0
1997-02-01,1997,1,2,CONFAZ12_ITCDES12,1997-02-01T00:00:00-02:00,21.0
1997-03-01,1997,1,3,CONFAZ12_ITCDES12,1997-03-01T00:00:00-03:00,136.0
1997-04-01,1997,1,4,CONFAZ12_ITCDES12,1997-04-01T00:00:00-03:00,160.0
1997-05-01,1997,1,5,CONFAZ12_ITCDES12,1997-05-01T00:00:00-03:00,160.0
1997-06-01,1997,1,6,CONFAZ12_ITCDES12,1997-06-01T00:00:00-03:00,225.0
1997-07-01,1997,1,7,CONFAZ12_ITCDES12,1997-07-01T00:00:00-03:00,166.0
1997-08-01,1997,1,8,CONFAZ12_ITCDES12,1997-08-01T00:00:00-03:00,143.0
1997-09-01,1997,1,9,CONFAZ12_ITCDES12,1997-09-01T00:00:00-03:00,232.0
1997-10-01,1997,1,10,CONFAZ12_ITCDES12,1997-10-01T00:00:00-03:00,269.0
1997-11-01,1997,1,11,CONFAZ12_ITCDES12,1997-11-01T00:00:00-03:00,231.0
1997-12-01,1997,1,12,CONFAZ12_ITCDES12,1997-12-01T00:00:00-02:00,250.0
1998-01-01,1998,1,1,CONFAZ12_ITCDES12,1998-01-01T00:00:00-02:00,224.0
1998-02-01,1998,1,2,CONFAZ12_ITCDES12,1998-02-01T00:00:00-02:00,119.0
1998-03-01,1998,1,3,CONFAZ12_ITCDES12,1998-03-01T00:00:00-03:00,245.0
1998-04-01,1998,1,4,CONFAZ12_ITCDES12,1998-04-01T00:00:00-03:00,196.0
1998-05-01,1998,1,5,CONFAZ12_ITCDES12,1998-05-01T00:00:00-03:00,193.0
1998-06-01,1998,1,6,CONFAZ12_ITCDES12,1998-06-01T00:00:00-03:00,219.0
1998-07-01,1998,1,7,CONFAZ12_ITCDES12,1998-07-01T00:00:00-03:00,174.0
1998-08-01,1998,1,8,CONFAZ12_ITCDES12,1998-08-01T00:00:00-03:00,199.0
1998-09-01,1998,1,9,CONFAZ12_ITCDES12,1998-09-01T00:00:00-03:00,214.0
1998-10-01,1998,1,10,CONFAZ12_ITCDES12,1998-10-01T00:00:00-03:00,228.0
1998-11-01,1998,1,11,CONFAZ12_ITCDES12,1998-11-01T00:00:00-03:00,223.0
1998-12-01,1998,1,12,CONFAZ12_ITCDES12,1998-12-01T00:00:00-02:00,409.0
1999-01-01,1999,1,1,CONFAZ12_ITCDES12,1999-01-01T00:00:00-02:00,169.0
1999-02-01,1999,1,2,CONFAZ12_ITCDES12,1999-02-01T00:00:00-02:00,128.0
1999-03-01,1999,1,3,CONFAZ12_ITCDES12,1999-03-01T00:00:00-03:00,222.0
1999-04-01,1999,1,4,CONFAZ12_ITCDES12,1999-04-01T00:00:00-03:00,158.0
1999-05-01,1999,1,5,CONFAZ12_ITCDES12,1999-05-01T00:00:00-03:00,233.0
1999-06-01,1999,1,6,CONFAZ12_ITCDES12,1999-06-01T00:00:00-03:00,212.0
1999-07-01,1999,1,7,CONFAZ12_ITCDES12,1999-07-01T00:00:00-03:00,228.0
1999-08-01,1999,1,8,CONFAZ12_ITCDES12,1999-08-01T00:00:00-03:00,317.0
1999-09-01,1999,1,9,CONFAZ12_ITCDES12,1999-09-01T00:00:00-03:00,205.0
1999-10-01,1999,1,10,CONFAZ12_ITCDES12,1999-10-01T00:00:00-03:00,459.0
1999-11-01,1999,1,11,CONFAZ12_ITCDES12,1999-11-01T00:00:00-03:00,229.0
1999-12-01,1999,1,12,CONFAZ12_ITCDES12,1999-12-01T00:00:00-02:00,370.0
2000-01-01,2000,1,1,CONFAZ12_ITCDES12,2000-01-01T00:00:00-02:00,149.0
2000-02-01,2000,1,2,CONFAZ12_ITCDES12,2000-02-01T00:00:00-02:00,200.0
2000-03-01,2000,1,3,CONFAZ12_ITCDES12,2000-03-01T00:00:00-03:00,216.0
2000-04-01,2000,1,4,CONFAZ12_ITCDES12,2000-04-01T00:00:00-03:00,215.0
2000-05-01,2000,1,5,CONFAZ12_ITCDES12,2000-05-01T00:00:00-03:00,262.0
2000-06-01,2000,1,6,CONFAZ12_ITCDES12,2000-06-01T00:00:00-03:00,244.0
2000-07-01,2000,1,7,CONFAZ12_ITCDES12,2000-07-01T00:00:00-03:00,248.0
2000-08-01,2000,1,8,CONFAZ12_ITCDES12,2000-08-01T00:00:00-03:00,310.0
2000-09-01,2000,1,9,CONFAZ12_ITCDES12,2000-09-01T00:00:00-03:00,231.0
2000-10-01,2000,1,10,CONFAZ12_ITCDES12,2000-10-01T00:00:00-03:00,274.0
2000-11-01,2000,1,11,CONFAZ12_ITCDES12,2000-11-01T00:00:00-03:00,352.0
2000-12-01,2000,1,12,CONFAZ12_ITCDES12,2000-12-01T00:00:00-02:00,438.0
2001-01-01,2001,1,1,CONFAZ12_ITCDES12,2001-01-01T00:00:00-02:00,206.0
2001-02-01,2001,1,2,CONFAZ12_ITCDES12,2001-02-01T00:00:00-02:00,293.0
2001-03-01,2001,1,3,CONFAZ12_ITCDES12,2001-03-01T00:00:00-03:00,436.0
2001-04-01,2001,1,4,CONFAZ12_ITCDES12,2001-04-01T00:00:00-03:00,279.0
2001-05-01,2001,1,5,CONFAZ12_ITCDES12,2001-05-01T00:00:00-03:00,317.0
2001-06-01,2001,1,6,CONFAZ12_ITCDES12,2001-06-01T00:00:00-03:00,231.0
2001-07-01,2001,1,7,CONFAZ12_ITCDES12,2001-07-01T00:00:00-03:00,317.0
2001-08-01,2001,1,8,CONFAZ12_ITCDES12,2001-08-01T00:00:00-03:00,404.0
2001-09-01,2001,1,9,CONFAZ12_ITCDES12,2001-09-01T00:00:00-03:00,340.0
2001-10-01,2001,1,10,CONFAZ12_ITCDES12,2001-10-01T00:00:00-03:00,407.0
2001-11-01,2001,1,11,CONFAZ12_ITCDES12,2001-11-01T00:00:00-03:00,324.0
2001-12-01,2001,1,12,CONFAZ12_ITCDES12,2001-12-01T00:00:00-02:00,446.0
2002-01-01,2002,1,1,CONFAZ12_ITCDES12,2002-01-01T00:00:00-02:00,7.0
2002-02-01,2002,1,2,CONFAZ12_ITCDES12,2002-02-01T00:00:00-02:00,1027.0
2002-03-01,2002,1,3,CONFAZ12_ITCDES12,2002-03-01T00:00:00-03:00,333.0
2002-04-01,2002,1,4,CONFAZ12_ITCDES12,2002-04-01T00:00:00-03:00,331.0
2002-05-01,2002,1,5,CONFAZ12_ITCDES12,2002-05-01T00:00:00-03:00,281.0
2002-06-01,2002,1,6,CONFAZ12_ITCDES12,2002-06-01T00:00:00-03:00,317.0
2002-07-01,2002,1,7,CONFAZ12_ITCDES12,2002-07-01T00:00:00-03:00,296.0
2002-08-01,2002,1,8,CONFAZ12_ITCDES12,2002-08-01T00:00:00-03:00,441.0
2002-09-01,2002,1,9,CONFAZ12_ITCDES12,2002-09-01T00:00:00-03:00,393.0
2002-10-01,2002,1,10,CONFAZ12_ITCDES12,2002-10-01T00:00:00-03:00,410.0
2002-11-01,2002,1,11,CONFAZ12_ITCDES12,2002-11-01T00:00:00-03:00,582.0
2002-12-01,2002,1,12,CONFAZ12_ITCDES12,2002-12-01T00:00:00-02:00,489.0
2003-01-01,2003,1,1,CONFAZ12_ITCDES12,2003-01-01T00:00:00-02:00,312.0
2003-02-01,2003,1,2,CONFAZ12_ITCDES12,2003-02-01T00:00:00-02:00,264.0
2003-03-01,2003,1,3,CONFAZ12_ITCDES12,2003-03-01T00:00:00-03:00,359.0
2003-04-01,2003,1,4,CONFAZ12_ITCDES12,2003-04-01T00:00:00-03:00,401.0
2003-05-01,2003,1,5,CONFAZ12_ITCDES12,2003-05-01T00:00:00-03:00,361.0
2003-06-01,2003,1,6,CONFAZ12_ITCDES12,2003-06-01T00:00:00-03:00,326.0
2003-07-01,2003,1,7,CONFAZ12_ITCDES12,2003-07-01T00:00:00-03:00,352.0
2003-08-01,2003,1,8,CONFAZ12_ITCDES12,2003-08-01T00:00:00-03:00,372.0
2003-09-01,2003,1,9,CONFAZ12_ITCDES12,2003-09-01T00:00:00-03:00,410.0
2003-10-01,2003,1,10,CONFAZ12_ITCDES12,2003-10-01T00:00:00-03:00,646.0
2003-11-01,2003,1,11,CONFAZ12_ITCDES12,2003-11-01T00:00:00-03:00,431.0
2003-12-01,2003,1,12,CONFAZ12_ITCDES12,2003-12-01T00:00:00-02:00,515.0
2004-01-01,2004,1,1,CONFAZ12_ITCDES12,2004-01-01T00:00:00-02:00,284.0
2004-02-01,2004,1,2,CONFAZ12_ITCDES12,2004-02-01T00:00:00-02:00,262.0
2004-03-01,2004,1,3,CONFAZ12_ITCDES12,2004-03-01T00:00:00-03:00,383.0
2004-04-01,2004,1,4,CONFAZ12_ITCDES12,2004-04-01T00:00:00-03:00,389.0
2004-05-01,2004,1,5,CONFAZ12_ITCDES12,2004-05-01T00:00:00-03:00,377.0
2004-06-01,2004,1,6,CONFAZ12_ITCDES12,2004-06-01T00:00:00-03:00,25.0
2004-07-01,2004,1,7,CONFAZ12_ITCDES12,2004-07-01T00:00:00-03:00,405.0
2004-08-01,2004,1,8,CONFAZ12_ITCDES12,2004-08-01T00:00:00-03:00,632.0
2004-09-01,2004,1,9,CONFAZ12_ITCDES12,2004-09-01T00:00:00-03:00,302.0
2004-10-01,2004,1,10,CONFAZ12_ITCDES12,2004-10-01T00:00:00-03:00,366.0
2004-11-01,2004,1,11,CONFAZ12_ITCDES12,2004-11-01T00:00:00-03:00,727.0
2004-12-01,2004,1,12,CONFAZ12_ITCDES12,2004-12-01T00:00:00-02:00,584.0
2005-01-01,2005,1,1,CONFAZ12_ITCDES12,2005-01-01T00:00:00-02:00,294.0
2005-02-01,2005,1,2,CONFAZ12_ITCDES12,2005-02-01T00:00:00-02:00,315.0
2005-03-01,2005,1,3,CONFAZ12_ITCDES12,2005-03-01T00:00:00-03:00,473.0
2005-04-01,2005,1,4,CONFAZ12_ITCDES12,2005-04-01T00:00:00-03:00,422.0
2005-05-01,2005,1,5,CONFAZ12_ITCDES12,2005-05-01T00:00:00-03:00,596.0
2005-06-01,2005,1,6,CONFAZ12_ITCDES12,2005-06-01T00:00:00-03:00,373.0
2005-07-01,2005,1,7,CONFAZ12_ITCDES12,2005-07-01T00:00:00-03:00,404.0
2005-08-01,2005,1,8,CONFAZ12_ITCDES12,2005-08-01T00:00:00-03:00,668.0
2005-09-01,2005,1,9,CONFAZ12_ITCDES12,2005-09-01T00:00:00-03:00,781.0
2005-10-01,2005,1,10,CONFAZ12_ITCDES12,2005-10-01T00:00:00-03:00,579.0
2005-11-01,2005,1,11,CONFAZ12_ITCDES12,2005-11-01T00:00:00-02:00,690.0
2005-12-01,2005,1,12,CONFAZ12_ITCDES12,2005-12-01T00:00:00-02:00,656.0
2006-01-01,2006,1,1,CONFAZ12_ITCDES12,2006-01-01T00:00:00-02:00,490.0
2006-02-01,2006,1,2,CONFAZ12_ITCDES12,2006-02-01T00:00:00-02:00,848.0
2006-03-01,2006,1,3,CONFAZ12_ITCDES12,2006-03-01T00:00:00-03:00,767.0
2006-04-01,2006,1,4,CONFAZ12_ITCDES12,2006-04-01T00:00:00-03:00,586.0
2006-05-01,2006,1,5,CONFAZ12_ITCDES12,2006-05-01T00:00:00-03:00,780.0
2006-06-01,2006,1,6,CONFAZ12_ITCDES12,2006-06-01T00:00:00-03:00,689.0
2006-07-01,2006,1,7,CONFAZ12_ITCDES12,2006-07-01T00:00:00-03:00,1214.0
2006-08-01,2006,1,8,CONFAZ12_ITCDES12,2006-08-01T00:00:00-03:00,1798.0
2006-09-01,2006,1,9,CONFAZ12_ITCDES12,2006-09-01T00:00:00-03:00,921.0
2006-10-01,2006,1,10,CONFAZ12_ITCDES12,2006-10-01T00:00:00-03:00,838.0
