DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDPI12,1993-01-01T00:00:00-02:00,30.0
1993-02-01,1993,1,2,CONFAZ12_ITCDPI12,1993-02-01T00:00:00-02:00,100.0
1993-03-01,1993,1,3,CONFAZ12_ITCDPI12,1993-03-01T00:00:00-03:00,79.0
1993-04-01,1993,1,4,CONFAZ12_ITCDPI12,1993-04-01T00:00:00-03:00,79.0
1993-05-01,1993,1,5,CONFAZ12_ITCDPI12,1993-05-01T00:00:00-03:00,411.0
1993-06-01,1993,1,6,CONFAZ12_ITCDPI12,1993-06-01T00:00:00-03:00,419.0
1993-07-01,1993,1,7,CONFAZ12_ITCDPI12,1993-07-01T00:00:00-03:00,298.0
1993-08-01,1993,1,8,CONFAZ12_ITCDPI12,1993-08-01T00:00:00-03:00,373.0
1993-09-01,1993,1,9,CONFAZ12_ITCDPI12,1993-09-01T00:00:00-03:00,652.0
1993-10-01,1993,1,10,CONFAZ12_ITCDPI12,1993-10-01T00:00:00-03:00,543.0
1993-11-01,1993,1,11,CONFAZ12_ITCDPI12,1993-11-01T00:00:00-03:00,1068.0
1993-12-01,1993,1,12,CONFAZ12_ITCDPI12,1993-12-01T00:00:00-02:00,487.0
1994-01-01,1994,1,1,CONFAZ12_ITCDPI12,1994-01-01T00:00:00-02:00,1064.0
1994-02-01,1994,1,2,CONFAZ12_ITCDPI12,1994-02-01T00:00:00-02:00,1226.0
1994-03-01,1994,1,3,CONFAZ12_ITCDPI12,1994-03-01T00:00:00-03:00,5770.0
1994-04-01,1994,1,4,CONFAZ12_ITCDPI12,1994-04-01T00:00:00-03:00,6053.0
1994-05-01,1994,1,5,CONFAZ12_ITCDPI12,1994-05-01T00:00:00-03:00,10425.0
1994-06-01,1994,1,6,CONFAZ12_ITCDPI12,1994-06-01T00:00:00-03:00,12564.0
1994-07-01,1994,1,7,CONFAZ12_ITCDPI12,1994-07-01T00:00:00-03:00,1693.0
1994-08-01,1994,1,8,CONFAZ12_ITCDPI12,1994-08-01T00:00:00-03:00,7132.0
1994-09-01,1994,1,9,CONFAZ12_ITCDPI12,1994-09-01T00:00:00-03:00,7494.0
1994-10-01,1994,1,10,CONFAZ12_ITCDPI12,1994-10-01T00:00:00-03:00,7631.0
1994-11-01,1994,1,11,CONFAZ12_ITCDPI12,1994-11-01T00:00:00-03:00,5468.0
1994-12-01,1994,1,12,CONFAZ12_ITCDPI12,1994-12-01T00:00:00-02:00,16986.0
