DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDRO12,1993-01-01T00:00:00-02:00,43.0
1993-02-01,1993,1,2,CONFAZ12_ITCDRO12,1993-02-01T00:00:00-02:00,37.0
1993-03-01,1993,1,3,CONFAZ12_ITCDRO12,1993-03-01T00:00:00-03:00,61.0
1993-04-01,1993,1,4,CONFAZ12_ITCDRO12,1993-04-01T00:00:00-03:00,33.0
1993-05-01,1993,1,5,CONFAZ12_ITCDRO12,1993-05-01T00:00:00-03:00,272.0
1993-06-01,1993,1,6,CONFAZ12_ITCDRO12,1993-06-01T00:00:00-03:00,130.0
1993-07-01,1993,1,7,CONFAZ12_ITCDRO12,1993-07-01T00:00:00-03:00,207.0
1993-08-01,1993,1,8,CONFAZ12_ITCDRO12,1993-08-01T00:00:00-03:00,287.0
1993-09-01,1993,1,9,CONFAZ12_ITCDRO12,1993-09-01T00:00:00-03:00,537.0
1993-10-01,1993,1,10,CONFAZ12_ITCDRO12,1993-10-01T00:00:00-03:00,273.0
1993-11-01,1993,1,11,CONFAZ12_ITCDRO12,1993-11-01T00:00:00-03:00,1277.0
1993-12-01,1993,1,12,CONFAZ12_ITCDRO12,1993-12-01T00:00:00-02:00,653.0
1994-01-01,1994,1,1,CONFAZ12_ITCDRO12,1994-01-01T00:00:00-02:00,
1994-02-01,1994,1,2,CONFAZ12_ITCDRO12,1994-02-01T00:00:00-02:00,
1994-03-01,1994,1,3,CONFAZ12_ITCDRO12,1994-03-01T00:00:00-03:00,325.0
1994-04-01,1994,1,4,CONFAZ12_ITCDRO12,1994-04-01T00:00:00-03:00,
1994-05-01,1994,1,5,CONFAZ12_ITCDRO12,1994-05-01T00:00:00-03:00,865.0
1994-06-01,1994,1,6,CONFAZ12_ITCDRO12,1994-06-01T00:00:00-03:00,2338.0
1994-07-01,1994,1,7,CONFAZ12_ITCDRO12,1994-07-01T00:00:00-03:00,
1994-08-01,1994,1,8,CONFAZ12_ITCDRO12,1994-08-01T00:00:00-03:00,
1994-09-01,1994,1,9,CONFAZ12_ITCDRO12,1994-09-01T00:00:00-03:00,
1994-10-01,1994,1,10,CONFAZ12_ITCDRO12,1994-10-01T00:00:00-03:00,
1994-11-01,1994,1,11,CONFAZ12_ITCDRO12,1994-11-01T00:00:00-03:00,16030.0
1994-12-01,1994,1,12,CONFAZ12_ITCDRO12,1994-12-01T00:00:00-02:00,
1995-01-01,1995,1,1,CONFAZ12_ITCDRO12,1995-01-01T00:00:00-02:00,33051.0
1995-02-01,1995,1,2,CONFAZ12_ITCDRO12,1995-02-01T00:00:00-02:00,8044.0
1995-03-01,1995,1,3,CONFAZ12_ITCDRO12,1995-03-01T00:00:00-03:00,21009.0
1995-04-01,1995,1,4,CONFAZ12_ITCDRO12,1995-04-01T00:00:00-03:00,10687.0
1995-05-01,1995,1,5,CONFAZ12_ITCDRO12,1995-05-01T00:00:00-03:00,14166.0
1995-06-01,1995,1,6,CONFAZ12_ITCDRO12,1995-06-01T00:00:00-03:00,32425.0
1995-07-01,1995,1,7,CONFAZ12_ITCDRO12,1995-07-01T00:00:00-03:00,6601.0
1995-08-01,1995,1,8,CONFAZ12_ITCDRO12,1995-08-01T00:00:00-03:00,24006.0
1995-09-01,1995,1,9,CONFAZ12_ITCDRO12,1995-09-01T00:00:00-03:00,8781.0
1995-10-01,1995,1,10,CONFAZ12_ITCDRO12,1995-10-01T00:00:00-03:00,14947.0
1995-11-01,1995,1,11,CONFAZ12_ITCDRO12,1995-11-01T00:00:00-03:00,39904.0
1995-12-01,1995,1,12,CONFAZ12_ITCDRO12,1995-12-01T00:00:00-02:00,8395.0
1996-01-01,1996,1,1,CONFAZ12_ITCDRO12,1996-01-01T00:00:00-02:00,9.0
1996-02-01,1996,1,2,CONFAZ12_ITCDRO12,1996-02-01T00:00:00-02:00,8.0
1996-03-01,1996,1,3,CONFAZ12_ITCDRO12,1996-03-01T00:00:00-03:00,11.0
1996-04-01,1996,1,4,CONFAZ12_ITCDRO12,1996-04-01T00:00:00-03:00,13.0
1996-05-01,1996,1,5,CONFAZ12_ITCDRO12,1996-05-01T00:00:00-03:00,46.0
1996-06-01,1996,1,6,CONFAZ12_ITCDRO12,1996-06-01T00:00:00-03:00,31.0
1996-07-01,1996,1,7,CONFAZ12_ITCDRO12,1996-07-01T00:00:00-03:00,9.0
1996-08-01,1996,1,8,CONFAZ12_ITCDRO12,1996-08-01T00:00:00-03:00,16.0
1996-09-01,1996,1,9,CONFAZ12_ITCDRO12,1996-09-01T00:00:00-03:00,21.0
1996-10-01,1996,1,10,CONFAZ12_ITCDRO12,1996-10-01T00:00:00-03:00,16.0
1996-11-01,1996,1,11,CONFAZ12_ITCDRO12,1996-11-01T00:00:00-03:00,14.0
1996-12-01,1996,1,12,CONFAZ12_ITCDRO12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_ITCDRO12,1997-01-01T00:00:00-02:00,101.0
1997-02-01,1997,1,2,CONFAZ12_ITCDRO12,1997-02-01T00:00:00-02:00,302.0
1997-03-01,1997,1,3,CONFAZ12_ITCDRO12,1997-03-01T00:00:00-03:00,324.0
1997-04-01,1997,1,4,CONFAZ12_ITCDRO12,1997-04-01T00:00:00-03:00,5.0
1997-05-01,1997,1,5,CONFAZ12_ITCDRO12,1997-05-01T00:00:00-03:00,26.0
1997-06-01,1997,1,6,CONFAZ12_ITCDRO12,1997-06-01T00:00:00-03:00,9.0
1997-07-01,1997,1,7,CONFAZ12_ITCDRO12,1997-07-01T00:00:00-03:00,14.0
1997-08-01,1997,1,8,CONFAZ12_ITCDRO12,1997-08-01T00:00:00-03:00,9.0
1997-09-01,1997,1,9,CONFAZ12_ITCDRO12,1997-09-01T00:00:00-03:00,26.0
1997-10-01,1997,1,10,CONFAZ12_ITCDRO12,1997-10-01T00:00:00-03:00,23.0
1997-11-01,1997,1,11,CONFAZ12_ITCDRO12,1997-11-01T00:00:00-03:00,21.0
1997-12-01,1997,1,12,CONFAZ12_ITCDRO12,1997-12-01T00:00:00-02:00,11.0
1998-01-01,1998,1,1,CONFAZ12_ITCDRO12,1998-01-01T00:00:00-02:00,3.0
1998-02-01,1998,1,2,CONFAZ12_ITCDRO12,1998-02-01T00:00:00-02:00,22.0
1998-03-01,1998,1,3,CONFAZ12_ITCDRO12,1998-03-01T00:00:00-03:00,38.0
1998-04-01,1998,1,4,CONFAZ12_ITCDRO12,1998-04-01T00:00:00-03:00,23.0
1998-05-01,1998,1,5,CONFAZ12_ITCDRO12,1998-05-01T00:00:00-03:00,38.0
1998-06-01,1998,1,6,CONFAZ12_ITCDRO12,1998-06-01T00:00:00-03:00,22.0
1998-07-01,1998,1,7,CONFAZ12_ITCDRO12,1998-07-01T00:00:00-03:00,23.0
1998-08-01,1998,1,8,CONFAZ12_ITCDRO12,1998-08-01T00:00:00-03:00,22.0
1998-09-01,1998,1,9,CONFAZ12_ITCDRO12,1998-09-01T00:00:00-03:00,12.0
1998-10-01,1998,1,10,CONFAZ12_ITCDRO12,1998-10-01T00:00:00-03:00,21.0
