DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDRS12,1993-01-01T00:00:00-02:00,14794.0
1993-02-01,1993,1,2,CONFAZ12_ITCDRS12,1993-02-01T00:00:00-02:00,8488.0
1993-03-01,1993,1,3,CONFAZ12_ITCDRS12,1993-03-01T00:00:00-03:00,17511.0
1993-04-01,1993,1,4,CONFAZ12_ITCDRS12,1993-04-01T00:00:00-03:00,25614.0
1993-05-01,1993,1,5,CONFAZ12_ITCDRS12,1993-05-01T00:00:00-03:00,39640.0
1993-06-01,1993,1,6,CONFAZ12_ITCDRS12,1993-06-01T00:00:00-03:00,68990.0
1993-07-01,1993,1,7,CONFAZ12_ITCDRS12,1993-07-01T00:00:00-03:00,74413.0
1993-08-01,1993,1,8,CONFAZ12_ITCDRS12,1993-08-01T00:00:00-03:00,119966.0
1993-09-01,1993,1,9,CONFAZ12_ITCDRS12,1993-09-01T00:00:00-03:00,121314.0
1993-10-01,1993,1,10,CONFAZ12_ITCDRS12,1993-10-01T00:00:00-03:00,177327.0
1993-11-01,1993,1,11,CONFAZ12_ITCDRS12,1993-11-01T00:00:00-03:00,176221.0
1993-12-01,1993,1,12,CONFAZ12_ITCDRS12,1993-12-01T00:00:00-02:00,448306.0
1994-01-01,1994,1,1,CONFAZ12_ITCDRS12,1994-01-01T00:00:00-02:00,173496.0
1994-02-01,1994,1,2,CONFAZ12_ITCDRS12,1994-02-01T00:00:00-02:00,336478.0
1994-03-01,1994,1,3,CONFAZ12_ITCDRS12,1994-03-01T00:00:00-03:00,550322.0
1994-04-01,1994,1,4,CONFAZ12_ITCDRS12,1994-04-01T00:00:00-03:00,1355379.0
1994-05-01,1994,1,5,CONFAZ12_ITCDRS12,1994-05-01T00:00:00-03:00,2571759.0
1994-06-01,1994,1,6,CONFAZ12_ITCDRS12,1994-06-01T00:00:00-03:00,3852145.0
1994-07-01,1994,1,7,CONFAZ12_ITCDRS12,1994-07-01T00:00:00-03:00,660111.0
