DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITCDSE12,1993-01-01T00:00:00-02:00,73.0
1993-02-01,1993,1,2,CONFAZ12_ITCDSE12,1993-02-01T00:00:00-02:00,92.0
1993-03-01,1993,1,3,CONFAZ12_ITCDSE12,1993-03-01T00:00:00-03:00,181.0
1993-04-01,1993,1,4,CONFAZ12_ITCDSE12,1993-04-01T00:00:00-03:00,438.0
1993-05-01,1993,1,5,CONFAZ12_ITCDSE12,1993-05-01T00:00:00-03:00,406.0
1993-06-01,1993,1,6,CONFAZ12_ITCDSE12,1993-06-01T00:00:00-03:00,513.0
1993-07-01,1993,1,7,CONFAZ12_ITCDSE12,1993-07-01T00:00:00-03:00,791.0
1993-08-01,1993,1,8,CONFAZ12_ITCDSE12,1993-08-01T00:00:00-03:00,988.0
1993-09-01,1993,1,9,CONFAZ12_ITCDSE12,1993-09-01T00:00:00-03:00,764.0
1993-10-01,1993,1,10,CONFAZ12_ITCDSE12,1993-10-01T00:00:00-03:00,1579.0
1993-11-01,1993,1,11,CONFAZ12_ITCDSE12,1993-11-01T00:00:00-03:00,1733.0
1993-12-01,1993,1,12,CONFAZ12_ITCDSE12,1993-12-01T00:00:00-02:00,3639.0
1994-01-01,1994,1,1,CONFAZ12_ITCDSE12,1994-01-01T00:00:00-02:00,4188.0
1994-02-01,1994,1,2,CONFAZ12_ITCDSE12,1994-02-01T00:00:00-02:00,4837.0
1994-03-01,1994,1,3,CONFAZ12_ITCDSE12,1994-03-01T00:00:00-03:00,11103.0
1994-04-01,1994,1,4,CONFAZ12_ITCDSE12,1994-04-01T00:00:00-03:00,16369.0
1994-05-01,1994,1,5,CONFAZ12_ITCDSE12,1994-05-01T00:00:00-03:00,13785.0
1994-06-01,1994,1,6,CONFAZ12_ITCDSE12,1994-06-01T00:00:00-03:00,36055.0
1994-07-01,1994,1,7,CONFAZ12_ITCDSE12,1994-07-01T00:00:00-03:00,5138.0
1994-08-01,1994,1,8,CONFAZ12_ITCDSE12,1994-08-01T00:00:00-03:00,10226.0
1994-09-01,1994,1,9,CONFAZ12_ITCDSE12,1994-09-01T00:00:00-03:00,11830.0
1994-10-01,1994,1,10,CONFAZ12_ITCDSE12,1994-10-01T00:00:00-03:00,11372.0
1994-11-01,1994,1,11,CONFAZ12_ITCDSE12,1994-11-01T00:00:00-03:00,30413.0
1994-12-01,1994,1,12,CONFAZ12_ITCDSE12,1994-12-01T00:00:00-02:00,39682.0
1995-01-01,1995,1,1,CONFAZ12_ITCDSE12,1995-01-01T00:00:00-02:00,13494.0
1995-02-01,1995,1,2,CONFAZ12_ITCDSE12,1995-02-01T00:00:00-02:00,15243.0
1995-03-01,1995,1,3,CONFAZ12_ITCDSE12,1995-03-01T00:00:00-03:00,16358.0
1995-04-01,1995,1,4,CONFAZ12_ITCDSE12,1995-04-01T00:00:00-03:00,43238.0
1995-05-01,1995,1,5,CONFAZ12_ITCDSE12,1995-05-01T00:00:00-03:00,27148.0
1995-06-01,1995,1,6,CONFAZ12_ITCDSE12,1995-06-01T00:00:00-03:00,179443.0
1995-07-01,1995,1,7,CONFAZ12_ITCDSE12,1995-07-01T00:00:00-03:00,30151.0
1995-08-01,1995,1,8,CONFAZ12_ITCDSE12,1995-08-01T00:00:00-03:00,61333.0
1995-09-01,1995,1,9,CONFAZ12_ITCDSE12,1995-09-01T00:00:00-03:00,68054.0
1995-10-01,1995,1,10,CONFAZ12_ITCDSE12,1995-10-01T00:00:00-03:00,43924.0
1995-11-01,1995,1,11,CONFAZ12_ITCDSE12,1995-11-01T00:00:00-03:00,106739.0
1995-12-01,1995,1,12,CONFAZ12_ITCDSE12,1995-12-01T00:00:00-02:00,48875.0
1996-01-01,1996,1,1,CONFAZ12_ITCDSE12,1996-01-01T00:00:00-02:00,86.0
1996-02-01,1996,1,2,CONFAZ12_ITCDSE12,1996-02-01T00:00:00-02:00,1.0
1996-03-01,1996,1,3,CONFAZ12_ITCDSE12,1996-03-01T00:00:00-03:00,
1996-04-01,1996,1,4,CONFAZ12_ITCDSE12,1996-04-01T00:00:00-03:00,518.0
1996-05-01,1996,1,5,CONFAZ12_ITCDSE12,1996-05-01T00:00:00-03:00,104.0
1996-06-01,1996,1,6,CONFAZ12_ITCDSE12,1996-06-01T00:00:00-03:00,21.0
1996-07-01,1996,1,7,CONFAZ12_ITCDSE12,1996-07-01T00:00:00-03:00,
1996-08-01,1996,1,8,CONFAZ12_ITCDSE12,1996-08-01T00:00:00-03:00,28.0
1996-09-01,1996,1,9,CONFAZ12_ITCDSE12,1996-09-01T00:00:00-03:00,71.0
1996-10-01,1996,1,10,CONFAZ12_ITCDSE12,1996-10-01T00:00:00-03:00,44.0
1996-11-01,1996,1,11,CONFAZ12_ITCDSE12,1996-11-01T00:00:00-03:00,92.0
1996-12-01,1996,1,12,CONFAZ12_ITCDSE12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_ITCDSE12,1997-01-01T00:00:00-02:00,21.0
1997-02-01,1997,1,2,CONFAZ12_ITCDSE12,1997-02-01T00:00:00-02:00,16.0
1997-03-01,1997,1,3,CONFAZ12_ITCDSE12,1997-03-01T00:00:00-03:00,32.0
1997-04-01,1997,1,4,CONFAZ12_ITCDSE12,1997-04-01T00:00:00-03:00,40.0
1997-05-01,1997,1,5,CONFAZ12_ITCDSE12,1997-05-01T00:00:00-03:00,26.0
1997-06-01,1997,1,6,CONFAZ12_ITCDSE12,1997-06-01T00:00:00-03:00,72.0
1997-07-01,1997,1,7,CONFAZ12_ITCDSE12,1997-07-01T00:00:00-03:00,53.0
1997-08-01,1997,1,8,CONFAZ12_ITCDSE12,1997-08-01T00:00:00-03:00,157.0
1997-09-01,1997,1,9,CONFAZ12_ITCDSE12,1997-09-01T00:00:00-03:00,84.0
1997-10-01,1997,1,10,CONFAZ12_ITCDSE12,1997-10-01T00:00:00-03:00,95.0
1997-11-01,1997,1,11,CONFAZ12_ITCDSE12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_ITCDSE12,1997-12-01T00:00:00-02:00,52.0
1998-01-01,1998,1,1,CONFAZ12_ITCDSE12,1998-01-01T00:00:00-02:00,38.0
1998-02-01,1998,1,2,CONFAZ12_ITCDSE12,1998-02-01T00:00:00-02:00,33.0
1998-03-01,1998,1,3,CONFAZ12_ITCDSE12,1998-03-01T00:00:00-03:00,65.0
1998-04-01,1998,1,4,CONFAZ12_ITCDSE12,1998-04-01T00:00:00-03:00,57.0
1998-05-01,1998,1,5,CONFAZ12_ITCDSE12,1998-05-01T00:00:00-03:00,45.0
