DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRAC12,1993-01-01T00:00:00-02:00,18854.0
1993-02-01,1993,1,2,CONFAZ12_ITRAC12,1993-02-01T00:00:00-02:00,540.0
1993-03-01,1993,1,3,CONFAZ12_ITRAC12,1993-03-01T00:00:00-03:00,928.0
1993-04-01,1993,1,4,CONFAZ12_ITRAC12,1993-04-01T00:00:00-03:00,2186.0
1993-05-01,1993,1,5,CONFAZ12_ITRAC12,1993-05-01T00:00:00-03:00,1313.0
1993-06-01,1993,1,6,CONFAZ12_ITRAC12,1993-06-01T00:00:00-03:00,389.0
1993-07-01,1993,1,7,CONFAZ12_ITRAC12,1993-07-01T00:00:00-03:00,1694.0
1993-08-01,1993,1,8,CONFAZ12_ITRAC12,1993-08-01T00:00:00-03:00,753.0
1993-09-01,1993,1,9,CONFAZ12_ITRAC12,1993-09-01T00:00:00-03:00,556.0
1993-10-01,1993,1,10,CONFAZ12_ITRAC12,1993-10-01T00:00:00-03:00,6124.0
1993-11-01,1993,1,11,CONFAZ12_ITRAC12,1993-11-01T00:00:00-03:00,280.0
1993-12-01,1993,1,12,CONFAZ12_ITRAC12,1993-12-01T00:00:00-02:00,1456.0
1994-01-01,1994,1,1,CONFAZ12_ITRAC12,1994-01-01T00:00:00-02:00,738.0
1994-02-01,1994,1,2,CONFAZ12_ITRAC12,1994-02-01T00:00:00-02:00,591.0
1994-03-01,1994,1,3,CONFAZ12_ITRAC12,1994-03-01T00:00:00-03:00,2068.0
1994-04-01,1994,1,4,CONFAZ12_ITRAC12,1994-04-01T00:00:00-03:00,405.0
1994-05-01,1994,1,5,CONFAZ12_ITRAC12,1994-05-01T00:00:00-03:00,2012.0
1994-06-01,1994,1,6,CONFAZ12_ITRAC12,1994-06-01T00:00:00-03:00,3826.0
1994-07-01,1994,1,7,CONFAZ12_ITRAC12,1994-07-01T00:00:00-03:00,2433.0
1994-08-01,1994,1,8,CONFAZ12_ITRAC12,1994-08-01T00:00:00-03:00,3518.0
1994-09-01,1994,1,9,CONFAZ12_ITRAC12,1994-09-01T00:00:00-03:00,5212.0
1994-10-01,1994,1,10,CONFAZ12_ITRAC12,1994-10-01T00:00:00-03:00,2227.0
1994-11-01,1994,1,11,CONFAZ12_ITRAC12,1994-11-01T00:00:00-03:00,1617.0
1994-12-01,1994,1,12,CONFAZ12_ITRAC12,1994-12-01T00:00:00-02:00,7589.0
1995-01-01,1995,1,1,CONFAZ12_ITRAC12,1995-01-01T00:00:00-02:00,1483.0
1995-02-01,1995,1,2,CONFAZ12_ITRAC12,1995-02-01T00:00:00-02:00,6739.0
1995-03-01,1995,1,3,CONFAZ12_ITRAC12,1995-03-01T00:00:00-03:00,1143.0
1995-04-01,1995,1,4,CONFAZ12_ITRAC12,1995-04-01T00:00:00-03:00,1057.0
1995-05-01,1995,1,5,CONFAZ12_ITRAC12,1995-05-01T00:00:00-03:00,37602.0
1995-06-01,1995,1,6,CONFAZ12_ITRAC12,1995-06-01T00:00:00-03:00,7881.0
1995-07-01,1995,1,7,CONFAZ12_ITRAC12,1995-07-01T00:00:00-03:00,9048.0
1995-08-01,1995,1,8,CONFAZ12_ITRAC12,1995-08-01T00:00:00-03:00,20254.0
1995-09-01,1995,1,9,CONFAZ12_ITRAC12,1995-09-01T00:00:00-03:00,11157.0
1995-10-01,1995,1,10,CONFAZ12_ITRAC12,1995-10-01T00:00:00-03:00,4420.0
1995-11-01,1995,1,11,CONFAZ12_ITRAC12,1995-11-01T00:00:00-03:00,7397.0
1995-12-01,1995,1,12,CONFAZ12_ITRAC12,1995-12-01T00:00:00-02:00,3208.0
