DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRDF12,1993-01-01T00:00:00-02:00,29491.0
1993-02-01,1993,1,2,CONFAZ12_ITRDF12,1993-02-01T00:00:00-02:00,775.0
1993-03-01,1993,1,3,CONFAZ12_ITRDF12,1993-03-01T00:00:00-03:00,10274.0
1993-04-01,1993,1,4,CONFAZ12_ITRDF12,1993-04-01T00:00:00-03:00,6231.0
1993-05-01,1993,1,5,CONFAZ12_ITRDF12,1993-05-01T00:00:00-03:00,10736.0
1993-06-01,1993,1,6,CONFAZ12_ITRDF12,1993-06-01T00:00:00-03:00,1023.0
1993-07-01,1993,1,7,CONFAZ12_ITRDF12,1993-07-01T00:00:00-03:00,18072.0
1993-08-01,1993,1,8,CONFAZ12_ITRDF12,1993-08-01T00:00:00-03:00,15979.0
1993-09-01,1993,1,9,CONFAZ12_ITRDF12,1993-09-01T00:00:00-03:00,17290.0
1993-10-01,1993,1,10,CONFAZ12_ITRDF12,1993-10-01T00:00:00-03:00,22735.0
1993-11-01,1993,1,11,CONFAZ12_ITRDF12,1993-11-01T00:00:00-03:00,22795.0
1993-12-01,1993,1,12,CONFAZ12_ITRDF12,1993-12-01T00:00:00-02:00,307563.0
1994-01-01,1994,1,1,CONFAZ12_ITRDF12,1994-01-01T00:00:00-02:00,249165.0
1994-02-01,1994,1,2,CONFAZ12_ITRDF12,1994-02-01T00:00:00-02:00,64309.0
1994-03-01,1994,1,3,CONFAZ12_ITRDF12,1994-03-01T00:00:00-03:00,36616.0
1994-04-01,1994,1,4,CONFAZ12_ITRDF12,1994-04-01T00:00:00-03:00,13587.0
1994-05-01,1994,1,5,CONFAZ12_ITRDF12,1994-05-01T00:00:00-03:00,37596.0
1994-06-01,1994,1,6,CONFAZ12_ITRDF12,1994-06-01T00:00:00-03:00,37262.0
1994-07-01,1994,1,7,CONFAZ12_ITRDF12,1994-07-01T00:00:00-03:00,59774.0
1994-08-01,1994,1,8,CONFAZ12_ITRDF12,1994-08-01T00:00:00-03:00,85485.0
1994-09-01,1994,1,9,CONFAZ12_ITRDF12,1994-09-01T00:00:00-03:00,49231.0
1994-10-01,1994,1,10,CONFAZ12_ITRDF12,1994-10-01T00:00:00-03:00,115663.0
1994-11-01,1994,1,11,CONFAZ12_ITRDF12,1994-11-01T00:00:00-03:00,236103.0
1994-12-01,1994,1,12,CONFAZ12_ITRDF12,1994-12-01T00:00:00-02:00,381470.0
1995-01-01,1995,1,1,CONFAZ12_ITRDF12,1995-01-01T00:00:00-02:00,329566.0
1995-02-01,1995,1,2,CONFAZ12_ITRDF12,1995-02-01T00:00:00-02:00,91356.0
