DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRMS12,1993-01-01T00:00:00-02:00,1072195.0
1993-02-01,1993,1,2,CONFAZ12_ITRMS12,1993-02-01T00:00:00-02:00,45190.0
1993-03-01,1993,1,3,CONFAZ12_ITRMS12,1993-03-01T00:00:00-03:00,369569.0
1993-04-01,1993,1,4,CONFAZ12_ITRMS12,1993-04-01T00:00:00-03:00,68783.0
1993-05-01,1993,1,5,CONFAZ12_ITRMS12,1993-05-01T00:00:00-03:00,41524.0
1993-06-01,1993,1,6,CONFAZ12_ITRMS12,1993-06-01T00:00:00-03:00,19282.0
1993-07-01,1993,1,7,CONFAZ12_ITRMS12,1993-07-01T00:00:00-03:00,34876.0
1993-08-01,1993,1,8,CONFAZ12_ITRMS12,1993-08-01T00:00:00-03:00,381379.0
1993-09-01,1993,1,9,CONFAZ12_ITRMS12,1993-09-01T00:00:00-03:00,74924.0
1993-10-01,1993,1,10,CONFAZ12_ITRMS12,1993-10-01T00:00:00-03:00,63968.0
1993-11-01,1993,1,11,CONFAZ12_ITRMS12,1993-11-01T00:00:00-03:00,60722.0
1993-12-01,1993,1,12,CONFAZ12_ITRMS12,1993-12-01T00:00:00-02:00,961668.0
1994-01-01,1994,1,1,CONFAZ12_ITRMS12,1994-01-01T00:00:00-02:00,179038.0
1994-02-01,1994,1,2,CONFAZ12_ITRMS12,1994-02-01T00:00:00-02:00,108514.0
1994-03-01,1994,1,3,CONFAZ12_ITRMS12,1994-03-01T00:00:00-03:00,67012.0
1994-04-01,1994,1,4,CONFAZ12_ITRMS12,1994-04-01T00:00:00-03:00,89406.0
1994-05-01,1994,1,5,CONFAZ12_ITRMS12,1994-05-01T00:00:00-03:00,69520.0
1994-06-01,1994,1,6,CONFAZ12_ITRMS12,1994-06-01T00:00:00-03:00,66808.0
1994-07-01,1994,1,7,CONFAZ12_ITRMS12,1994-07-01T00:00:00-03:00,54473.0
1994-08-01,1994,1,8,CONFAZ12_ITRMS12,1994-08-01T00:00:00-03:00,252299.0
1994-09-01,1994,1,9,CONFAZ12_ITRMS12,1994-09-01T00:00:00-03:00,82042.0
1994-10-01,1994,1,10,CONFAZ12_ITRMS12,1994-10-01T00:00:00-03:00,101108.0
1994-11-01,1994,1,11,CONFAZ12_ITRMS12,1994-11-01T00:00:00-03:00,132643.0
1994-12-01,1994,1,12,CONFAZ12_ITRMS12,1994-12-01T00:00:00-02:00,120651.0
1995-01-01,1995,1,1,CONFAZ12_ITRMS12,1995-01-01T00:00:00-02:00,56911.0
1995-02-01,1995,1,2,CONFAZ12_ITRMS12,1995-02-01T00:00:00-02:00,31202.0
1995-03-01,1995,1,3,CONFAZ12_ITRMS12,1995-03-01T00:00:00-03:00,28237.0
1995-04-01,1995,1,4,CONFAZ12_ITRMS12,1995-04-01T00:00:00-03:00,16316.0
1995-05-01,1995,1,5,CONFAZ12_ITRMS12,1995-05-01T00:00:00-03:00,3836893.0
1995-06-01,1995,1,6,CONFAZ12_ITRMS12,1995-06-01T00:00:00-03:00,594599.0
1995-07-01,1995,1,7,CONFAZ12_ITRMS12,1995-07-01T00:00:00-03:00,571728.0
1995-08-01,1995,1,8,CONFAZ12_ITRMS12,1995-08-01T00:00:00-03:00,661498.0
1995-09-01,1995,1,9,CONFAZ12_ITRMS12,1995-09-01T00:00:00-03:00,948169.0
1995-10-01,1995,1,10,CONFAZ12_ITRMS12,1995-10-01T00:00:00-03:00,571815.0
1995-11-01,1995,1,11,CONFAZ12_ITRMS12,1995-11-01T00:00:00-03:00,324494.0
1995-12-01,1995,1,12,CONFAZ12_ITRMS12,1995-12-01T00:00:00-02:00,53353.0
1996-01-01,1996,1,1,CONFAZ12_ITRMS12,1996-01-01T00:00:00-02:00,644699.0
1996-02-01,1996,1,2,CONFAZ12_ITRMS12,1996-02-01T00:00:00-02:00,237867.0
1996-03-01,1996,1,3,CONFAZ12_ITRMS12,1996-03-01T00:00:00-03:00,2810419.0
1996-04-01,1996,1,4,CONFAZ12_ITRMS12,1996-04-01T00:00:00-03:00,781167.0
1996-05-01,1996,1,5,CONFAZ12_ITRMS12,1996-05-01T00:00:00-03:00,300314.0
1996-06-01,1996,1,6,CONFAZ12_ITRMS12,1996-06-01T00:00:00-03:00,326185.0
1996-07-01,1996,1,7,CONFAZ12_ITRMS12,1996-07-01T00:00:00-03:00,776143.0
1996-08-01,1996,1,8,CONFAZ12_ITRMS12,1996-08-01T00:00:00-03:00,265036.0
1996-09-01,1996,1,9,CONFAZ12_ITRMS12,1996-09-01T00:00:00-03:00,518617.0
1996-10-01,1996,1,10,CONFAZ12_ITRMS12,1996-10-01T00:00:00-03:00,191528.0
1996-11-01,1996,1,11,CONFAZ12_ITRMS12,1996-11-01T00:00:00-03:00,6639158.0
1996-12-01,1996,1,12,CONFAZ12_ITRMS12,1996-12-01T00:00:00-02:00,6341952.0
1997-01-01,1997,1,1,CONFAZ12_ITRMS12,1997-01-01T00:00:00-02:00,5705435.0
1997-02-01,1997,1,2,CONFAZ12_ITRMS12,1997-02-01T00:00:00-02:00,2377195.0
1997-03-01,1997,1,3,CONFAZ12_ITRMS12,1997-03-01T00:00:00-03:00,1817521.0
1997-04-01,1997,1,4,CONFAZ12_ITRMS12,1997-04-01T00:00:00-03:00,306177.0
1997-05-01,1997,1,5,CONFAZ12_ITRMS12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_ITRMS12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_ITRMS12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_ITRMS12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_ITRMS12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_ITRMS12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_ITRMS12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_ITRMS12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_ITRMS12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_ITRMS12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_ITRMS12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_ITRMS12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_ITRMS12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_ITRMS12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_ITRMS12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_ITRMS12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_ITRMS12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_ITRMS12,1998-10-01T00:00:00-03:00,
