DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRPA12,1993-01-01T00:00:00-02:00,215240.0
1993-02-01,1993,1,2,CONFAZ12_ITRPA12,1993-02-01T00:00:00-02:00,11181.0
1993-03-01,1993,1,3,CONFAZ12_ITRPA12,1993-03-01T00:00:00-03:00,52680.0
1993-04-01,1993,1,4,CONFAZ12_ITRPA12,1993-04-01T00:00:00-03:00,29225.0
1993-05-01,1993,1,5,CONFAZ12_ITRPA12,1993-05-01T00:00:00-03:00,21460.0
1993-06-01,1993,1,6,CONFAZ12_ITRPA12,1993-06-01T00:00:00-03:00,8364.0
1993-07-01,1993,1,7,CONFAZ12_ITRPA12,1993-07-01T00:00:00-03:00,10767.0
1993-08-01,1993,1,8,CONFAZ12_ITRPA12,1993-08-01T00:00:00-03:00,13761.0
1993-09-01,1993,1,9,CONFAZ12_ITRPA12,1993-09-01T00:00:00-03:00,20514.0
1993-10-01,1993,1,10,CONFAZ12_ITRPA12,1993-10-01T00:00:00-03:00,16161.0
1993-11-01,1993,1,11,CONFAZ12_ITRPA12,1993-11-01T00:00:00-03:00,19319.0
1993-12-01,1993,1,12,CONFAZ12_ITRPA12,1993-12-01T00:00:00-02:00,91307.0
1994-01-01,1994,1,1,CONFAZ12_ITRPA12,1994-01-01T00:00:00-02:00,45693.0
1994-02-01,1994,1,2,CONFAZ12_ITRPA12,1994-02-01T00:00:00-02:00,84598.0
1994-03-01,1994,1,3,CONFAZ12_ITRPA12,1994-03-01T00:00:00-03:00,27986.0
1994-04-01,1994,1,4,CONFAZ12_ITRPA12,1994-04-01T00:00:00-03:00,13679.0
1994-05-01,1994,1,5,CONFAZ12_ITRPA12,1994-05-01T00:00:00-03:00,8873.0
1994-06-01,1994,1,6,CONFAZ12_ITRPA12,1994-06-01T00:00:00-03:00,16131.0
1994-07-01,1994,1,7,CONFAZ12_ITRPA12,1994-07-01T00:00:00-03:00,13309.0
1994-08-01,1994,1,8,CONFAZ12_ITRPA12,1994-08-01T00:00:00-03:00,18394.0
1994-09-01,1994,1,9,CONFAZ12_ITRPA12,1994-09-01T00:00:00-03:00,8564.0
1994-10-01,1994,1,10,CONFAZ12_ITRPA12,1994-10-01T00:00:00-03:00,17334.0
1994-11-01,1994,1,11,CONFAZ12_ITRPA12,1994-11-01T00:00:00-03:00,56572.0
1994-12-01,1994,1,12,CONFAZ12_ITRPA12,1994-12-01T00:00:00-02:00,68440.0
1995-01-01,1995,1,1,CONFAZ12_ITRPA12,1995-01-01T00:00:00-02:00,21203.0
1995-02-01,1995,1,2,CONFAZ12_ITRPA12,1995-02-01T00:00:00-02:00,10908.0
1995-03-01,1995,1,3,CONFAZ12_ITRPA12,1995-03-01T00:00:00-03:00,7000.0
1995-04-01,1995,1,4,CONFAZ12_ITRPA12,1995-04-01T00:00:00-03:00,8229.0
1995-05-01,1995,1,5,CONFAZ12_ITRPA12,1995-05-01T00:00:00-03:00,521566.0
1995-06-01,1995,1,6,CONFAZ12_ITRPA12,1995-06-01T00:00:00-03:00,131110.0
1995-07-01,1995,1,7,CONFAZ12_ITRPA12,1995-07-01T00:00:00-03:00,123188.0
1995-08-01,1995,1,8,CONFAZ12_ITRPA12,1995-08-01T00:00:00-03:00,338111.0
1995-09-01,1995,1,9,CONFAZ12_ITRPA12,1995-09-01T00:00:00-03:00,177838.0
1995-10-01,1995,1,10,CONFAZ12_ITRPA12,1995-10-01T00:00:00-03:00,105228.0
1995-11-01,1995,1,11,CONFAZ12_ITRPA12,1995-11-01T00:00:00-03:00,109157.0
1995-12-01,1995,1,12,CONFAZ12_ITRPA12,1995-12-01T00:00:00-02:00,14972.0
1996-01-01,1996,1,1,CONFAZ12_ITRPA12,1996-01-01T00:00:00-02:00,48610.0
1996-02-01,1996,1,2,CONFAZ12_ITRPA12,1996-02-01T00:00:00-02:00,32492.0
1996-03-01,1996,1,3,CONFAZ12_ITRPA12,1996-03-01T00:00:00-03:00,852094.0
1996-04-01,1996,1,4,CONFAZ12_ITRPA12,1996-04-01T00:00:00-03:00,166345.0
1996-05-01,1996,1,5,CONFAZ12_ITRPA12,1996-05-01T00:00:00-03:00,60239.0
1996-06-01,1996,1,6,CONFAZ12_ITRPA12,1996-06-01T00:00:00-03:00,71680.0
1996-07-01,1996,1,7,CONFAZ12_ITRPA12,1996-07-01T00:00:00-03:00,194708.0
1996-08-01,1996,1,8,CONFAZ12_ITRPA12,1996-08-01T00:00:00-03:00,61399.0
1996-09-01,1996,1,9,CONFAZ12_ITRPA12,1996-09-01T00:00:00-03:00,62657.0
1996-10-01,1996,1,10,CONFAZ12_ITRPA12,1996-10-01T00:00:00-03:00,42101.0
1996-11-01,1996,1,11,CONFAZ12_ITRPA12,1996-11-01T00:00:00-03:00,427600.0
1996-12-01,1996,1,12,CONFAZ12_ITRPA12,1996-12-01T00:00:00-02:00,858084.0
1997-01-01,1997,1,1,CONFAZ12_ITRPA12,1997-01-01T00:00:00-02:00,708031.0
1997-02-01,1997,1,2,CONFAZ12_ITRPA12,1997-02-01T00:00:00-02:00,242497.0
1997-03-01,1997,1,3,CONFAZ12_ITRPA12,1997-03-01T00:00:00-03:00,195432.0
1997-04-01,1997,1,4,CONFAZ12_ITRPA12,1997-04-01T00:00:00-03:00,78927.0
1997-05-01,1997,1,5,CONFAZ12_ITRPA12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_ITRPA12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_ITRPA12,1997-07-01T00:00:00-03:00,
