DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRRJ12,1993-01-01T00:00:00-02:00,246697.0
1993-02-01,1993,1,2,CONFAZ12_ITRRJ12,1993-02-01T00:00:00-02:00,13962.0
1993-03-01,1993,1,3,CONFAZ12_ITRRJ12,1993-03-01T00:00:00-03:00,46282.0
1993-04-01,1993,1,4,CONFAZ12_ITRRJ12,1993-04-01T00:00:00-03:00,20570.0
1993-05-01,1993,1,5,CONFAZ12_ITRRJ12,1993-05-01T00:00:00-03:00,16515.0
1993-06-01,1993,1,6,CONFAZ12_ITRRJ12,1993-06-01T00:00:00-03:00,10238.0
1993-07-01,1993,1,7,CONFAZ12_ITRRJ12,1993-07-01T00:00:00-03:00,66223.0
1993-08-01,1993,1,8,CONFAZ12_ITRRJ12,1993-08-01T00:00:00-03:00,12219.0
1993-09-01,1993,1,9,CONFAZ12_ITRRJ12,1993-09-01T00:00:00-03:00,30410.0
1993-10-01,1993,1,10,CONFAZ12_ITRRJ12,1993-10-01T00:00:00-03:00,7997.0
1993-11-01,1993,1,11,CONFAZ12_ITRRJ12,1993-11-01T00:00:00-03:00,22495.0
1993-12-01,1993,1,12,CONFAZ12_ITRRJ12,1993-12-01T00:00:00-02:00,92166.0
1994-01-01,1994,1,1,CONFAZ12_ITRRJ12,1994-01-01T00:00:00-02:00,29397.0
1994-02-01,1994,1,2,CONFAZ12_ITRRJ12,1994-02-01T00:00:00-02:00,47410.0
1994-03-01,1994,1,3,CONFAZ12_ITRRJ12,1994-03-01T00:00:00-03:00,10052.0
1994-04-01,1994,1,4,CONFAZ12_ITRRJ12,1994-04-01T00:00:00-03:00,14008.0
1994-05-01,1994,1,5,CONFAZ12_ITRRJ12,1994-05-01T00:00:00-03:00,15362.0
1994-06-01,1994,1,6,CONFAZ12_ITRRJ12,1994-06-01T00:00:00-03:00,11492.0
1994-07-01,1994,1,7,CONFAZ12_ITRRJ12,1994-07-01T00:00:00-03:00,2777.0
1994-08-01,1994,1,8,CONFAZ12_ITRRJ12,1994-08-01T00:00:00-03:00,13491.0
1994-09-01,1994,1,9,CONFAZ12_ITRRJ12,1994-09-01T00:00:00-03:00,13964.0
1994-10-01,1994,1,10,CONFAZ12_ITRRJ12,1994-10-01T00:00:00-03:00,9304.0
1994-11-01,1994,1,11,CONFAZ12_ITRRJ12,1994-11-01T00:00:00-03:00,24026.0
1994-12-01,1994,1,12,CONFAZ12_ITRRJ12,1994-12-01T00:00:00-02:00,55113.0
1995-01-01,1995,1,1,CONFAZ12_ITRRJ12,1995-01-01T00:00:00-02:00,16606.0
1995-02-01,1995,1,2,CONFAZ12_ITRRJ12,1995-02-01T00:00:00-02:00,6950.0
1995-03-01,1995,1,3,CONFAZ12_ITRRJ12,1995-03-01T00:00:00-03:00,3365.0
1995-04-01,1995,1,4,CONFAZ12_ITRRJ12,1995-04-01T00:00:00-03:00,8985.0
1995-05-01,1995,1,5,CONFAZ12_ITRRJ12,1995-05-01T00:00:00-03:00,910462.0
1995-06-01,1995,1,6,CONFAZ12_ITRRJ12,1995-06-01T00:00:00-03:00,102042.0
1995-07-01,1995,1,7,CONFAZ12_ITRRJ12,1995-07-01T00:00:00-03:00,71685.0
1995-08-01,1995,1,8,CONFAZ12_ITRRJ12,1995-08-01T00:00:00-03:00,142352.0
1995-09-01,1995,1,9,CONFAZ12_ITRRJ12,1995-09-01T00:00:00-03:00,87344.0
1995-10-01,1995,1,10,CONFAZ12_ITRRJ12,1995-10-01T00:00:00-03:00,61510.0
1995-11-01,1995,1,11,CONFAZ12_ITRRJ12,1995-11-01T00:00:00-03:00,32410.0
1995-12-01,1995,1,12,CONFAZ12_ITRRJ12,1995-12-01T00:00:00-02:00,12228.0
1996-01-01,1996,1,1,CONFAZ12_ITRRJ12,1996-01-01T00:00:00-02:00,51479.0
1996-02-01,1996,1,2,CONFAZ12_ITRRJ12,1996-02-01T00:00:00-02:00,18827.0
1996-03-01,1996,1,3,CONFAZ12_ITRRJ12,1996-03-01T00:00:00-03:00,1385360.0
1996-04-01,1996,1,4,CONFAZ12_ITRRJ12,1996-04-01T00:00:00-03:00,354865.0
1996-05-01,1996,1,5,CONFAZ12_ITRRJ12,1996-05-01T00:00:00-03:00,89107.0
1996-06-01,1996,1,6,CONFAZ12_ITRRJ12,1996-06-01T00:00:00-03:00,32109.0
1996-07-01,1996,1,7,CONFAZ12_ITRRJ12,1996-07-01T00:00:00-03:00,94986.0
1996-08-01,1996,1,8,CONFAZ12_ITRRJ12,1996-08-01T00:00:00-03:00,76366.0
1996-09-01,1996,1,9,CONFAZ12_ITRRJ12,1996-09-01T00:00:00-03:00,77118.0
1996-10-01,1996,1,10,CONFAZ12_ITRRJ12,1996-10-01T00:00:00-03:00,37123.0
1996-11-01,1996,1,11,CONFAZ12_ITRRJ12,1996-11-01T00:00:00-03:00,188965.0
1996-12-01,1996,1,12,CONFAZ12_ITRRJ12,1996-12-01T00:00:00-02:00,945698.0
1997-01-01,1997,1,1,CONFAZ12_ITRRJ12,1997-01-01T00:00:00-02:00,853125.0
1997-02-01,1997,1,2,CONFAZ12_ITRRJ12,1997-02-01T00:00:00-02:00,203985.0
1997-03-01,1997,1,3,CONFAZ12_ITRRJ12,1997-03-01T00:00:00-03:00,128135.0
1997-04-01,1997,1,4,CONFAZ12_ITRRJ12,1997-04-01T00:00:00-03:00,58362.0
1997-05-01,1997,1,5,CONFAZ12_ITRRJ12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_ITRRJ12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_ITRRJ12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_ITRRJ12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_ITRRJ12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_ITRRJ12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_ITRRJ12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_ITRRJ12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_ITRRJ12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_ITRRJ12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_ITRRJ12,1998-03-01T00:00:00-03:00,
