DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ITRSC12,1993-01-01T00:00:00-02:00,389077.0
1993-02-01,1993,1,2,CONFAZ12_ITRSC12,1993-02-01T00:00:00-02:00,17085.0
1993-03-01,1993,1,3,CONFAZ12_ITRSC12,1993-03-01T00:00:00-03:00,82893.0
1993-04-01,1993,1,4,CONFAZ12_ITRSC12,1993-04-01T00:00:00-03:00,25932.0
1993-05-01,1993,1,5,CONFAZ12_ITRSC12,1993-05-01T00:00:00-03:00,15630.0
1993-06-01,1993,1,6,CONFAZ12_ITRSC12,1993-06-01T00:00:00-03:00,10055.0
1993-07-01,1993,1,7,CONFAZ12_ITRSC12,1993-07-01T00:00:00-03:00,13084.0
1993-08-01,1993,1,8,CONFAZ12_ITRSC12,1993-08-01T00:00:00-03:00,13262.0
1993-09-01,1993,1,9,CONFAZ12_ITRSC12,1993-09-01T00:00:00-03:00,20631.0
1993-10-01,1993,1,10,CONFAZ12_ITRSC12,1993-10-01T00:00:00-03:00,12424.0
1993-11-01,1993,1,11,CONFAZ12_ITRSC12,1993-11-01T00:00:00-03:00,15080.0
1993-12-01,1993,1,12,CONFAZ12_ITRSC12,1993-12-01T00:00:00-02:00,137498.0
1994-01-01,1994,1,1,CONFAZ12_ITRSC12,1994-01-01T00:00:00-02:00,28992.0
1994-02-01,1994,1,2,CONFAZ12_ITRSC12,1994-02-01T00:00:00-02:00,9905.0
1994-03-01,1994,1,3,CONFAZ12_ITRSC12,1994-03-01T00:00:00-03:00,11682.0
1994-04-01,1994,1,4,CONFAZ12_ITRSC12,1994-04-01T00:00:00-03:00,11890.0
1994-05-01,1994,1,5,CONFAZ12_ITRSC12,1994-05-01T00:00:00-03:00,7444.0
1994-06-01,1994,1,6,CONFAZ12_ITRSC12,1994-06-01T00:00:00-03:00,5557.0
1994-07-01,1994,1,7,CONFAZ12_ITRSC12,1994-07-01T00:00:00-03:00,2296.0
1994-08-01,1994,1,8,CONFAZ12_ITRSC12,1994-08-01T00:00:00-03:00,15680.0
1994-09-01,1994,1,9,CONFAZ12_ITRSC12,1994-09-01T00:00:00-03:00,8958.0
1994-10-01,1994,1,10,CONFAZ12_ITRSC12,1994-10-01T00:00:00-03:00,23946.0
1994-11-01,1994,1,11,CONFAZ12_ITRSC12,1994-11-01T00:00:00-03:00,132201.0
1994-12-01,1994,1,12,CONFAZ12_ITRSC12,1994-12-01T00:00:00-02:00,20174.0
1995-01-01,1995,1,1,CONFAZ12_ITRSC12,1995-01-01T00:00:00-02:00,20436.0
1995-02-01,1995,1,2,CONFAZ12_ITRSC12,1995-02-01T00:00:00-02:00,11012.0
1995-03-01,1995,1,3,CONFAZ12_ITRSC12,1995-03-01T00:00:00-03:00,14376.0
1995-04-01,1995,1,4,CONFAZ12_ITRSC12,1995-04-01T00:00:00-03:00,3292.0
1995-05-01,1995,1,5,CONFAZ12_ITRSC12,1995-05-01T00:00:00-03:00,1081931.0
1995-06-01,1995,1,6,CONFAZ12_ITRSC12,1995-06-01T00:00:00-03:00,165128.0
