DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ORADPI12,1993-01-01T00:00:00-02:00,28428.0
1993-02-01,1993,1,2,CONFAZ12_ORADPI12,1993-02-01T00:00:00-02:00,10157.0
1993-03-01,1993,1,3,CONFAZ12_ORADPI12,1993-03-01T00:00:00-03:00,11675.0
1993-04-01,1993,1,4,CONFAZ12_ORADPI12,1993-04-01T00:00:00-03:00,15528.0
1993-05-01,1993,1,5,CONFAZ12_ORADPI12,1993-05-01T00:00:00-03:00,10154.0
1993-06-01,1993,1,6,CONFAZ12_ORADPI12,1993-06-01T00:00:00-03:00,16538.0
1993-07-01,1993,1,7,CONFAZ12_ORADPI12,1993-07-01T00:00:00-03:00,15340.0
1993-08-01,1993,1,8,CONFAZ12_ORADPI12,1993-08-01T00:00:00-03:00,14281.0
1993-09-01,1993,1,9,CONFAZ12_ORADPI12,1993-09-01T00:00:00-03:00,9745.0
1993-10-01,1993,1,10,CONFAZ12_ORADPI12,1993-10-01T00:00:00-03:00,7692.0
1993-11-01,1993,1,11,CONFAZ12_ORADPI12,1993-11-01T00:00:00-03:00,12750.0
1993-12-01,1993,1,12,CONFAZ12_ORADPI12,1993-12-01T00:00:00-02:00,12062.0
1994-01-01,1994,1,1,CONFAZ12_ORADPI12,1994-01-01T00:00:00-02:00,15578.0
1994-02-01,1994,1,2,CONFAZ12_ORADPI12,1994-02-01T00:00:00-02:00,6558.0
1994-03-01,1994,1,3,CONFAZ12_ORADPI12,1994-03-01T00:00:00-03:00,22285.0
1994-04-01,1994,1,4,CONFAZ12_ORADPI12,1994-04-01T00:00:00-03:00,5916.0
1994-05-01,1994,1,5,CONFAZ12_ORADPI12,1994-05-01T00:00:00-03:00,9994.0
1994-06-01,1994,1,6,CONFAZ12_ORADPI12,1994-06-01T00:00:00-03:00,12449.0
1994-07-01,1994,1,7,CONFAZ12_ORADPI12,1994-07-01T00:00:00-03:00,6519.0
1994-08-01,1994,1,8,CONFAZ12_ORADPI12,1994-08-01T00:00:00-03:00,15997.0
1994-09-01,1994,1,9,CONFAZ12_ORADPI12,1994-09-01T00:00:00-03:00,14823.0
1994-10-01,1994,1,10,CONFAZ12_ORADPI12,1994-10-01T00:00:00-03:00,17322.0
1994-11-01,1994,1,11,CONFAZ12_ORADPI12,1994-11-01T00:00:00-03:00,27158.0
1994-12-01,1994,1,12,CONFAZ12_ORADPI12,1994-12-01T00:00:00-02:00,24797.0
1995-01-01,1995,1,1,CONFAZ12_ORADPI12,1995-01-01T00:00:00-02:00,16868.0
1995-02-01,1995,1,2,CONFAZ12_ORADPI12,1995-02-01T00:00:00-02:00,14407.0
1995-03-01,1995,1,3,CONFAZ12_ORADPI12,1995-03-01T00:00:00-03:00,41017.0
1995-04-01,1995,1,4,CONFAZ12_ORADPI12,1995-04-01T00:00:00-03:00,31863.0
1995-05-01,1995,1,5,CONFAZ12_ORADPI12,1995-05-01T00:00:00-03:00,43679.0
1995-06-01,1995,1,6,CONFAZ12_ORADPI12,1995-06-01T00:00:00-03:00,60608.0
1995-07-01,1995,1,7,CONFAZ12_ORADPI12,1995-07-01T00:00:00-03:00,63372.0
1995-08-01,1995,1,8,CONFAZ12_ORADPI12,1995-08-01T00:00:00-03:00,89026.0
1995-09-01,1995,1,9,CONFAZ12_ORADPI12,1995-09-01T00:00:00-03:00,109002.0
1995-10-01,1995,1,10,CONFAZ12_ORADPI12,1995-10-01T00:00:00-03:00,150389.0
1995-11-01,1995,1,11,CONFAZ12_ORADPI12,1995-11-01T00:00:00-03:00,93821.0
1995-12-01,1995,1,12,CONFAZ12_ORADPI12,1995-12-01T00:00:00-02:00,153795.0
1996-01-01,1996,1,1,CONFAZ12_ORADPI12,1996-01-01T00:00:00-02:00,93295.0
1996-02-01,1996,1,2,CONFAZ12_ORADPI12,1996-02-01T00:00:00-02:00,72280.0
1996-03-01,1996,1,3,CONFAZ12_ORADPI12,1996-03-01T00:00:00-03:00,128794.0
1996-04-01,1996,1,4,CONFAZ12_ORADPI12,1996-04-01T00:00:00-03:00,102649.0
1996-05-01,1996,1,5,CONFAZ12_ORADPI12,1996-05-01T00:00:00-03:00,168804.0
1996-06-01,1996,1,6,CONFAZ12_ORADPI12,1996-06-01T00:00:00-03:00,146738.0
1996-07-01,1996,1,7,CONFAZ12_ORADPI12,1996-07-01T00:00:00-03:00,150656.0
1996-08-01,1996,1,8,CONFAZ12_ORADPI12,1996-08-01T00:00:00-03:00,135115.0
1996-09-01,1996,1,9,CONFAZ12_ORADPI12,1996-09-01T00:00:00-03:00,101088.0
1996-10-01,1996,1,10,CONFAZ12_ORADPI12,1996-10-01T00:00:00-03:00,77177.0
1996-11-01,1996,1,11,CONFAZ12_ORADPI12,1996-11-01T00:00:00-03:00,80495.0
1996-12-01,1996,1,12,CONFAZ12_ORADPI12,1996-12-01T00:00:00-02:00,112458.0
1997-01-01,1997,1,1,CONFAZ12_ORADPI12,1997-01-01T00:00:00-02:00,72323.0
1997-02-01,1997,1,2,CONFAZ12_ORADPI12,1997-02-01T00:00:00-02:00,75841.0
1997-03-01,1997,1,3,CONFAZ12_ORADPI12,1997-03-01T00:00:00-03:00,84810.0
1997-04-01,1997,1,4,CONFAZ12_ORADPI12,1997-04-01T00:00:00-03:00,101451.0
1997-05-01,1997,1,5,CONFAZ12_ORADPI12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_ORADPI12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_ORADPI12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_ORADPI12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_ORADPI12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_ORADPI12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_ORADPI12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_ORADPI12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_ORADPI12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_ORADPI12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_ORADPI12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_ORADPI12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_ORADPI12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_ORADPI12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_ORADPI12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_ORADPI12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_ORADPI12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_ORADPI12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_ORADPI12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_ORADPI12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_ORADPI12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_ORADPI12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_ORADPI12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_ORADPI12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_ORADPI12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_ORADPI12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_ORADPI12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_ORADPI12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_ORADPI12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_ORADPI12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_ORADPI12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_ORADPI12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_ORADPI12,2000-01-01T00:00:00-02:00,73288.0
2000-02-01,2000,1,2,CONFAZ12_ORADPI12,2000-02-01T00:00:00-02:00,73317.0
2000-03-01,2000,1,3,CONFAZ12_ORADPI12,2000-03-01T00:00:00-03:00,41587.0
2000-04-01,2000,1,4,CONFAZ12_ORADPI12,2000-04-01T00:00:00-03:00,81351.0
2000-05-01,2000,1,5,CONFAZ12_ORADPI12,2000-05-01T00:00:00-03:00,28937.0
2000-06-01,2000,1,6,CONFAZ12_ORADPI12,2000-06-01T00:00:00-03:00,79670.0
2000-07-01,2000,1,7,CONFAZ12_ORADPI12,2000-07-01T00:00:00-03:00,33255.0
2000-08-01,2000,1,8,CONFAZ12_ORADPI12,2000-08-01T00:00:00-03:00,52528.0
2000-09-01,2000,1,9,CONFAZ12_ORADPI12,2000-09-01T00:00:00-03:00,44449.0
2000-10-01,2000,1,10,CONFAZ12_ORADPI12,2000-10-01T00:00:00-03:00,67859.0
2000-11-01,2000,1,11,CONFAZ12_ORADPI12,2000-11-01T00:00:00-03:00,43708.0
2000-12-01,2000,1,12,CONFAZ12_ORADPI12,2000-12-01T00:00:00-02:00,55308.0
2001-01-01,2001,1,1,CONFAZ12_ORADPI12,2001-01-01T00:00:00-02:00,62261.0
2001-02-01,2001,1,2,CONFAZ12_ORADPI12,2001-02-01T00:00:00-02:00,39293.0
2001-03-01,2001,1,3,CONFAZ12_ORADPI12,2001-03-01T00:00:00-03:00,56523.0
2001-04-01,2001,1,4,CONFAZ12_ORADPI12,2001-04-01T00:00:00-03:00,48888.0
2001-05-01,2001,1,5,CONFAZ12_ORADPI12,2001-05-01T00:00:00-03:00,81157.0
2001-06-01,2001,1,6,CONFAZ12_ORADPI12,2001-06-01T00:00:00-03:00,75588.0
2001-07-01,2001,1,7,CONFAZ12_ORADPI12,2001-07-01T00:00:00-03:00,76152.0
2001-08-01,2001,1,8,CONFAZ12_ORADPI12,2001-08-01T00:00:00-03:00,77088.0
2001-09-01,2001,1,9,CONFAZ12_ORADPI12,2001-09-01T00:00:00-03:00,39649.0
2001-10-01,2001,1,10,CONFAZ12_ORADPI12,2001-10-01T00:00:00-03:00,61593.0
2001-11-01,2001,1,11,CONFAZ12_ORADPI12,2001-11-01T00:00:00-03:00,45366.0
2001-12-01,2001,1,12,CONFAZ12_ORADPI12,2001-12-01T00:00:00-02:00,58435.0
2002-01-01,2002,1,1,CONFAZ12_ORADPI12,2002-01-01T00:00:00-02:00,76372.0
2002-02-01,2002,1,2,CONFAZ12_ORADPI12,2002-02-01T00:00:00-02:00,51095.0
2002-03-01,2002,1,3,CONFAZ12_ORADPI12,2002-03-01T00:00:00-03:00,51821.0
2002-04-01,2002,1,4,CONFAZ12_ORADPI12,2002-04-01T00:00:00-03:00,82254.0
2002-05-01,2002,1,5,CONFAZ12_ORADPI12,2002-05-01T00:00:00-03:00,118737.0
2002-06-01,2002,1,6,CONFAZ12_ORADPI12,2002-06-01T00:00:00-03:00,98429.0
2002-07-01,2002,1,7,CONFAZ12_ORADPI12,2002-07-01T00:00:00-03:00,136005.0
2002-08-01,2002,1,8,CONFAZ12_ORADPI12,2002-08-01T00:00:00-03:00,152109.0
2002-09-01,2002,1,9,CONFAZ12_ORADPI12,2002-09-01T00:00:00-03:00,125128.0
2002-10-01,2002,1,10,CONFAZ12_ORADPI12,2002-10-01T00:00:00-03:00,120171.0
2002-11-01,2002,1,11,CONFAZ12_ORADPI12,2002-11-01T00:00:00-03:00,115423.0
2002-12-01,2002,1,12,CONFAZ12_ORADPI12,2002-12-01T00:00:00-02:00,118119.0
2003-01-01,2003,1,1,CONFAZ12_ORADPI12,2003-01-01T00:00:00-02:00,108115.0
2003-02-01,2003,1,2,CONFAZ12_ORADPI12,2003-02-01T00:00:00-02:00,91558.0
2003-03-01,2003,1,3,CONFAZ12_ORADPI12,2003-03-01T00:00:00-03:00,86582.0
2003-04-01,2003,1,4,CONFAZ12_ORADPI12,2003-04-01T00:00:00-03:00,78115.0
2003-05-01,2003,1,5,CONFAZ12_ORADPI12,2003-05-01T00:00:00-03:00,86812.0
2003-06-01,2003,1,6,CONFAZ12_ORADPI12,2003-06-01T00:00:00-03:00,76851.0
2003-07-01,2003,1,7,CONFAZ12_ORADPI12,2003-07-01T00:00:00-03:00,111133.0
2003-08-01,2003,1,8,CONFAZ12_ORADPI12,2003-08-01T00:00:00-03:00,173492.0
2003-09-01,2003,1,9,CONFAZ12_ORADPI12,2003-09-01T00:00:00-03:00,185985.0
2003-10-01,2003,1,10,CONFAZ12_ORADPI12,2003-10-01T00:00:00-03:00,164829.0
2003-11-01,2003,1,11,CONFAZ12_ORADPI12,2003-11-01T00:00:00-03:00,152819.0
