DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ORADTO12,1993-01-01T00:00:00-02:00,2250.0
1993-02-01,1993,1,2,CONFAZ12_ORADTO12,1993-02-01T00:00:00-02:00,542.0
1993-03-01,1993,1,3,CONFAZ12_ORADTO12,1993-03-01T00:00:00-03:00,2332.0
1993-04-01,1993,1,4,CONFAZ12_ORADTO12,1993-04-01T00:00:00-03:00,2242.0
1993-05-01,1993,1,5,CONFAZ12_ORADTO12,1993-05-01T00:00:00-03:00,3032.0
1993-06-01,1993,1,6,CONFAZ12_ORADTO12,1993-06-01T00:00:00-03:00,2200.0
1993-07-01,1993,1,7,CONFAZ12_ORADTO12,1993-07-01T00:00:00-03:00,3452.0
1993-08-01,1993,1,8,CONFAZ12_ORADTO12,1993-08-01T00:00:00-03:00,1858.0
1993-09-01,1993,1,9,CONFAZ12_ORADTO12,1993-09-01T00:00:00-03:00,1453.0
1993-10-01,1993,1,10,CONFAZ12_ORADTO12,1993-10-01T00:00:00-03:00,2933.0
1993-11-01,1993,1,11,CONFAZ12_ORADTO12,1993-11-01T00:00:00-03:00,1096.0
1993-12-01,1993,1,12,CONFAZ12_ORADTO12,1993-12-01T00:00:00-02:00,2896.0
1994-01-01,1994,1,1,CONFAZ12_ORADTO12,1994-01-01T00:00:00-02:00,1729.0
1994-02-01,1994,1,2,CONFAZ12_ORADTO12,1994-02-01T00:00:00-02:00,4836.0
1994-03-01,1994,1,3,CONFAZ12_ORADTO12,1994-03-01T00:00:00-03:00,1527.0
1994-04-01,1994,1,4,CONFAZ12_ORADTO12,1994-04-01T00:00:00-03:00,19518.0
1994-05-01,1994,1,5,CONFAZ12_ORADTO12,1994-05-01T00:00:00-03:00,7015.0
1994-06-01,1994,1,6,CONFAZ12_ORADTO12,1994-06-01T00:00:00-03:00,11025.0
1994-07-01,1994,1,7,CONFAZ12_ORADTO12,1994-07-01T00:00:00-03:00,68558.0
1994-08-01,1994,1,8,CONFAZ12_ORADTO12,1994-08-01T00:00:00-03:00,10701.0
1994-09-01,1994,1,9,CONFAZ12_ORADTO12,1994-09-01T00:00:00-03:00,4850.0
1994-10-01,1994,1,10,CONFAZ12_ORADTO12,1994-10-01T00:00:00-03:00,7451.0
1994-11-01,1994,1,11,CONFAZ12_ORADTO12,1994-11-01T00:00:00-03:00,12484.0
1994-12-01,1994,1,12,CONFAZ12_ORADTO12,1994-12-01T00:00:00-02:00,14984.0
1995-01-01,1995,1,1,CONFAZ12_ORADTO12,1995-01-01T00:00:00-02:00,14196.0
1995-02-01,1995,1,2,CONFAZ12_ORADTO12,1995-02-01T00:00:00-02:00,11171.0
1995-03-01,1995,1,3,CONFAZ12_ORADTO12,1995-03-01T00:00:00-03:00,11281.0
1995-04-01,1995,1,4,CONFAZ12_ORADTO12,1995-04-01T00:00:00-03:00,11880.0
1995-05-01,1995,1,5,CONFAZ12_ORADTO12,1995-05-01T00:00:00-03:00,33304.0
1995-06-01,1995,1,6,CONFAZ12_ORADTO12,1995-06-01T00:00:00-03:00,28709.0
1995-07-01,1995,1,7,CONFAZ12_ORADTO12,1995-07-01T00:00:00-03:00,23705.0
1995-08-01,1995,1,8,CONFAZ12_ORADTO12,1995-08-01T00:00:00-03:00,31160.0
1995-09-01,1995,1,9,CONFAZ12_ORADTO12,1995-09-01T00:00:00-03:00,30598.0
1995-10-01,1995,1,10,CONFAZ12_ORADTO12,1995-10-01T00:00:00-03:00,37835.0
1995-11-01,1995,1,11,CONFAZ12_ORADTO12,1995-11-01T00:00:00-03:00,41716.0
1995-12-01,1995,1,12,CONFAZ12_ORADTO12,1995-12-01T00:00:00-02:00,71924.0
1996-01-01,1996,1,1,CONFAZ12_ORADTO12,1996-01-01T00:00:00-02:00,49068.0
1996-02-01,1996,1,2,CONFAZ12_ORADTO12,1996-02-01T00:00:00-02:00,32097.0
1996-03-01,1996,1,3,CONFAZ12_ORADTO12,1996-03-01T00:00:00-03:00,81806.0
1996-04-01,1996,1,4,CONFAZ12_ORADTO12,1996-04-01T00:00:00-03:00,59300.0
1996-05-01,1996,1,5,CONFAZ12_ORADTO12,1996-05-01T00:00:00-03:00,117160.0
1996-06-01,1996,1,6,CONFAZ12_ORADTO12,1996-06-01T00:00:00-03:00,56998.0
1996-07-01,1996,1,7,CONFAZ12_ORADTO12,1996-07-01T00:00:00-03:00,69379.0
1996-08-01,1996,1,8,CONFAZ12_ORADTO12,1996-08-01T00:00:00-03:00,93319.0
1996-09-01,1996,1,9,CONFAZ12_ORADTO12,1996-09-01T00:00:00-03:00,68122.0
1996-10-01,1996,1,10,CONFAZ12_ORADTO12,1996-10-01T00:00:00-03:00,74534.0
