DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_PISAL12,1993-01-01T00:00:00-02:00,919754.0
1993-02-01,1993,1,2,CONFAZ12_PISAL12,1993-02-01T00:00:00-02:00,901393.0
1993-03-01,1993,1,3,CONFAZ12_PISAL12,1993-03-01T00:00:00-03:00,924344.0
1993-04-01,1993,1,4,CONFAZ12_PISAL12,1993-04-01T00:00:00-03:00,975826.0
1993-05-01,1993,1,5,CONFAZ12_PISAL12,1993-05-01T00:00:00-03:00,866008.0
1993-06-01,1993,1,6,CONFAZ12_PISAL12,1993-06-01T00:00:00-03:00,933128.0
1993-07-01,1993,1,7,CONFAZ12_PISAL12,1993-07-01T00:00:00-03:00,779513.0
1993-08-01,1993,1,8,CONFAZ12_PISAL12,1993-08-01T00:00:00-03:00,983155.0
1993-09-01,1993,1,9,CONFAZ12_PISAL12,1993-09-01T00:00:00-03:00,1055927.0
1993-10-01,1993,1,10,CONFAZ12_PISAL12,1993-10-01T00:00:00-03:00,1226237.0
1993-11-01,1993,1,11,CONFAZ12_PISAL12,1993-11-01T00:00:00-03:00,1056066.0
1993-12-01,1993,1,12,CONFAZ12_PISAL12,1993-12-01T00:00:00-02:00,1246129.0
1994-01-01,1994,1,1,CONFAZ12_PISAL12,1994-01-01T00:00:00-02:00,1138544.0
1994-02-01,1994,1,2,CONFAZ12_PISAL12,1994-02-01T00:00:00-02:00,1140031.0
1994-03-01,1994,1,3,CONFAZ12_PISAL12,1994-03-01T00:00:00-03:00,1277846.0
1994-04-01,1994,1,4,CONFAZ12_PISAL12,1994-04-01T00:00:00-03:00,1185460.0
1994-05-01,1994,1,5,CONFAZ12_PISAL12,1994-05-01T00:00:00-03:00,1303274.0
1994-06-01,1994,1,6,CONFAZ12_PISAL12,1994-06-01T00:00:00-03:00,1188226.0
1994-07-01,1994,1,7,CONFAZ12_PISAL12,1994-07-01T00:00:00-03:00,1111913.0
