DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_PISBA12,1993-01-01T00:00:00-02:00,7180703.0
1993-02-01,1993,1,2,CONFAZ12_PISBA12,1993-02-01T00:00:00-02:00,7450758.0
1993-03-01,1993,1,3,CONFAZ12_PISBA12,1993-03-01T00:00:00-03:00,7555226.0
1993-04-01,1993,1,4,CONFAZ12_PISBA12,1993-04-01T00:00:00-03:00,6845547.0
1993-05-01,1993,1,5,CONFAZ12_PISBA12,1993-05-01T00:00:00-03:00,7689287.0
1993-06-01,1993,1,6,CONFAZ12_PISBA12,1993-06-01T00:00:00-03:00,7124738.0
1993-07-01,1993,1,7,CONFAZ12_PISBA12,1993-07-01T00:00:00-03:00,7419313.0
1993-08-01,1993,1,8,CONFAZ12_PISBA12,1993-08-01T00:00:00-03:00,8461900.0
1993-09-01,1993,1,9,CONFAZ12_PISBA12,1993-09-01T00:00:00-03:00,8665649.0
1993-10-01,1993,1,10,CONFAZ12_PISBA12,1993-10-01T00:00:00-03:00,8097184.0
1993-11-01,1993,1,11,CONFAZ12_PISBA12,1993-11-01T00:00:00-03:00,13195629.0
1993-12-01,1993,1,12,CONFAZ12_PISBA12,1993-12-01T00:00:00-02:00,9196702.0
1994-01-01,1994,1,1,CONFAZ12_PISBA12,1994-01-01T00:00:00-02:00,8632019.0
1994-02-01,1994,1,2,CONFAZ12_PISBA12,1994-02-01T00:00:00-02:00,7403837.0
1994-03-01,1994,1,3,CONFAZ12_PISBA12,1994-03-01T00:00:00-03:00,7720440.0
1994-04-01,1994,1,4,CONFAZ12_PISBA12,1994-04-01T00:00:00-03:00,9447267.0
1994-05-01,1994,1,5,CONFAZ12_PISBA12,1994-05-01T00:00:00-03:00,9026219.0
1994-06-01,1994,1,6,CONFAZ12_PISBA12,1994-06-01T00:00:00-03:00,8046980.0
1994-07-01,1994,1,7,CONFAZ12_PISBA12,1994-07-01T00:00:00-03:00,9840038.0
1994-08-01,1994,1,8,CONFAZ12_PISBA12,1994-08-01T00:00:00-03:00,10309350.0
1994-09-01,1994,1,9,CONFAZ12_PISBA12,1994-09-01T00:00:00-03:00,12003422.0
1994-10-01,1994,1,10,CONFAZ12_PISBA12,1994-10-01T00:00:00-03:00,11714216.0
1994-11-01,1994,1,11,CONFAZ12_PISBA12,1994-11-01T00:00:00-03:00,11608956.0
1994-12-01,1994,1,12,CONFAZ12_PISBA12,1994-12-01T00:00:00-02:00,11813967.0
1995-01-01,1995,1,1,CONFAZ12_PISBA12,1995-01-01T00:00:00-02:00,15631012.0
1995-02-01,1995,1,2,CONFAZ12_PISBA12,1995-02-01T00:00:00-02:00,11371254.0
1995-03-01,1995,1,3,CONFAZ12_PISBA12,1995-03-01T00:00:00-03:00,15105760.0
1995-04-01,1995,1,4,CONFAZ12_PISBA12,1995-04-01T00:00:00-03:00,13068944.0
1995-05-01,1995,1,5,CONFAZ12_PISBA12,1995-05-01T00:00:00-03:00,12944943.0
1995-06-01,1995,1,6,CONFAZ12_PISBA12,1995-06-01T00:00:00-03:00,13078317.0
1995-07-01,1995,1,7,CONFAZ12_PISBA12,1995-07-01T00:00:00-03:00,13155330.0
1995-08-01,1995,1,8,CONFAZ12_PISBA12,1995-08-01T00:00:00-03:00,13574587.0
1995-09-01,1995,1,9,CONFAZ12_PISBA12,1995-09-01T00:00:00-03:00,13262201.0
1995-10-01,1995,1,10,CONFAZ12_PISBA12,1995-10-01T00:00:00-03:00,14539304.0
1995-11-01,1995,1,11,CONFAZ12_PISBA12,1995-11-01T00:00:00-03:00,22378418.0
1995-12-01,1995,1,12,CONFAZ12_PISBA12,1995-12-01T00:00:00-02:00,12671231.0
1996-01-01,1996,1,1,CONFAZ12_PISBA12,1996-01-01T00:00:00-02:00,15330946.0
1996-02-01,1996,1,2,CONFAZ12_PISBA12,1996-02-01T00:00:00-02:00,12050720.0
1996-03-01,1996,1,3,CONFAZ12_PISBA12,1996-03-01T00:00:00-03:00,14019885.0
1996-04-01,1996,1,4,CONFAZ12_PISBA12,1996-04-01T00:00:00-03:00,14234053.0
