DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_PISDF12,1993-01-01T00:00:00-02:00,60433173.0
1993-02-01,1993,1,2,CONFAZ12_PISDF12,1993-02-01T00:00:00-02:00,85622801.0
1993-03-01,1993,1,3,CONFAZ12_PISDF12,1993-03-01T00:00:00-03:00,108456568.0
1993-04-01,1993,1,4,CONFAZ12_PISDF12,1993-04-01T00:00:00-03:00,110423488.0
1993-05-01,1993,1,5,CONFAZ12_PISDF12,1993-05-01T00:00:00-03:00,91835043.0
1993-06-01,1993,1,6,CONFAZ12_PISDF12,1993-06-01T00:00:00-03:00,103512935.0
1993-07-01,1993,1,7,CONFAZ12_PISDF12,1993-07-01T00:00:00-03:00,118845884.0
1993-08-01,1993,1,8,CONFAZ12_PISDF12,1993-08-01T00:00:00-03:00,111489380.0
1993-09-01,1993,1,9,CONFAZ12_PISDF12,1993-09-01T00:00:00-03:00,103197055.0
1993-10-01,1993,1,10,CONFAZ12_PISDF12,1993-10-01T00:00:00-03:00,113152197.0
1993-11-01,1993,1,11,CONFAZ12_PISDF12,1993-11-01T00:00:00-03:00,178706338.0
1993-12-01,1993,1,12,CONFAZ12_PISDF12,1993-12-01T00:00:00-02:00,132842992.0
1994-01-01,1994,1,1,CONFAZ12_PISDF12,1994-01-01T00:00:00-02:00,41111007.0
1994-02-01,1994,1,2,CONFAZ12_PISDF12,1994-02-01T00:00:00-02:00,216185679.0
1994-03-01,1994,1,3,CONFAZ12_PISDF12,1994-03-01T00:00:00-03:00,156234963.0
1994-04-01,1994,1,4,CONFAZ12_PISDF12,1994-04-01T00:00:00-03:00,154793356.0
1994-05-01,1994,1,5,CONFAZ12_PISDF12,1994-05-01T00:00:00-03:00,164993960.0
1994-06-01,1994,1,6,CONFAZ12_PISDF12,1994-06-01T00:00:00-03:00,165761255.0
1994-07-01,1994,1,7,CONFAZ12_PISDF12,1994-07-01T00:00:00-03:00,32365673.0
1994-08-01,1994,1,8,CONFAZ12_PISDF12,1994-08-01T00:00:00-03:00,35854109.0
1994-09-01,1994,1,9,CONFAZ12_PISDF12,1994-09-01T00:00:00-03:00,54669186.0
1994-10-01,1994,1,10,CONFAZ12_PISDF12,1994-10-01T00:00:00-03:00,34267996.0
1994-11-01,1994,1,11,CONFAZ12_PISDF12,1994-11-01T00:00:00-03:00,33516165.0
1994-12-01,1994,1,12,CONFAZ12_PISDF12,1994-12-01T00:00:00-02:00,39130216.0
1995-01-01,1995,1,1,CONFAZ12_PISDF12,1995-01-01T00:00:00-02:00,42193526.0
1995-02-01,1995,1,2,CONFAZ12_PISDF12,1995-02-01T00:00:00-02:00,37076448.0
1995-03-01,1995,1,3,CONFAZ12_PISDF12,1995-03-01T00:00:00-03:00,41051202.0
1995-04-01,1995,1,4,CONFAZ12_PISDF12,1995-04-01T00:00:00-03:00,49210671.0
1995-05-01,1995,1,5,CONFAZ12_PISDF12,1995-05-01T00:00:00-03:00,34245357.0
1995-06-01,1995,1,6,CONFAZ12_PISDF12,1995-06-01T00:00:00-03:00,40754933.0
1995-07-01,1995,1,7,CONFAZ12_PISDF12,1995-07-01T00:00:00-03:00,71807965.0
1995-08-01,1995,1,8,CONFAZ12_PISDF12,1995-08-01T00:00:00-03:00,62680161.0
1995-09-01,1995,1,9,CONFAZ12_PISDF12,1995-09-01T00:00:00-03:00,63520791.0
1995-10-01,1995,1,10,CONFAZ12_PISDF12,1995-10-01T00:00:00-03:00,56026404.0
1995-11-01,1995,1,11,CONFAZ12_PISDF12,1995-11-01T00:00:00-03:00,64684641.0
1995-12-01,1995,1,12,CONFAZ12_PISDF12,1995-12-01T00:00:00-02:00,65611588.0
1996-01-01,1996,1,1,CONFAZ12_PISDF12,1996-01-01T00:00:00-02:00,109298966.0
1996-02-01,1996,1,2,CONFAZ12_PISDF12,1996-02-01T00:00:00-02:00,82416094.0
1996-03-01,1996,1,3,CONFAZ12_PISDF12,1996-03-01T00:00:00-03:00,70401387.0
1996-04-01,1996,1,4,CONFAZ12_PISDF12,1996-04-01T00:00:00-03:00,80306091.0
1996-05-01,1996,1,5,CONFAZ12_PISDF12,1996-05-01T00:00:00-03:00,82167790.0
1996-06-01,1996,1,6,CONFAZ12_PISDF12,1996-06-01T00:00:00-03:00,70966643.0
1996-07-01,1996,1,7,CONFAZ12_PISDF12,1996-07-01T00:00:00-03:00,81732133.0
1996-08-01,1996,1,8,CONFAZ12_PISDF12,1996-08-01T00:00:00-03:00,87862044.0
1996-09-01,1996,1,9,CONFAZ12_PISDF12,1996-09-01T00:00:00-03:00,82084931.0
1996-10-01,1996,1,10,CONFAZ12_PISDF12,1996-10-01T00:00:00-03:00,84276787.0
1996-11-01,1996,1,11,CONFAZ12_PISDF12,1996-11-01T00:00:00-03:00,57498444.0
1996-12-01,1996,1,12,CONFAZ12_PISDF12,1996-12-01T00:00:00-02:00,39517631.0
1997-01-01,1997,1,1,CONFAZ12_PISDF12,1997-01-01T00:00:00-02:00,51127529.0
1997-02-01,1997,1,2,CONFAZ12_PISDF12,1997-02-01T00:00:00-02:00,49946590.0
1997-03-01,1997,1,3,CONFAZ12_PISDF12,1997-03-01T00:00:00-03:00,45053045.0
1997-04-01,1997,1,4,CONFAZ12_PISDF12,1997-04-01T00:00:00-03:00,40496572.0
1997-05-01,1997,1,5,CONFAZ12_PISDF12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_PISDF12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_PISDF12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_PISDF12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_PISDF12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_PISDF12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_PISDF12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_PISDF12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_PISDF12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_PISDF12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_PISDF12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_PISDF12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_PISDF12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_PISDF12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_PISDF12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_PISDF12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_PISDF12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_PISDF12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_PISDF12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_PISDF12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_PISDF12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_PISDF12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_PISDF12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_PISDF12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_PISDF12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_PISDF12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_PISDF12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_PISDF12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_PISDF12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_PISDF12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_PISDF12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_PISDF12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_PISDF12,2000-01-01T00:00:00-02:00,61028823.0
2000-02-01,2000,1,2,CONFAZ12_PISDF12,2000-02-01T00:00:00-02:00,50672665.0
2000-03-01,2000,1,3,CONFAZ12_PISDF12,2000-03-01T00:00:00-03:00,48167991.0
2000-04-01,2000,1,4,CONFAZ12_PISDF12,2000-04-01T00:00:00-03:00,49508485.0
2000-05-01,2000,1,5,CONFAZ12_PISDF12,2000-05-01T00:00:00-03:00,47781661.0
2000-06-01,2000,1,6,CONFAZ12_PISDF12,2000-06-01T00:00:00-03:00,48777371.0
2000-07-01,2000,1,7,CONFAZ12_PISDF12,2000-07-01T00:00:00-03:00,49603420.0
2000-08-01,2000,1,8,CONFAZ12_PISDF12,2000-08-01T00:00:00-03:00,46631681.0
2000-09-01,2000,1,9,CONFAZ12_PISDF12,2000-09-01T00:00:00-03:00,48048683.0
2000-10-01,2000,1,10,CONFAZ12_PISDF12,2000-10-01T00:00:00-03:00,50165125.0
2000-11-01,2000,1,11,CONFAZ12_PISDF12,2000-11-01T00:00:00-03:00,56233569.0
2000-12-01,2000,1,12,CONFAZ12_PISDF12,2000-12-01T00:00:00-02:00,59556237.0
2001-01-01,2001,1,1,CONFAZ12_PISDF12,2001-01-01T00:00:00-02:00,71099385.0
2001-02-01,2001,1,2,CONFAZ12_PISDF12,2001-02-01T00:00:00-02:00,60946183.0
2001-03-01,2001,1,3,CONFAZ12_PISDF12,2001-03-01T00:00:00-03:00,58212851.0
2001-04-01,2001,1,4,CONFAZ12_PISDF12,2001-04-01T00:00:00-03:00,49141815.0
2001-05-01,2001,1,5,CONFAZ12_PISDF12,2001-05-01T00:00:00-03:00,54879506.0
2001-06-01,2001,1,6,CONFAZ12_PISDF12,2001-06-01T00:00:00-03:00,55928142.0
2001-07-01,2001,1,7,CONFAZ12_PISDF12,2001-07-01T00:00:00-03:00,62982660.0
2001-08-01,2001,1,8,CONFAZ12_PISDF12,2001-08-01T00:00:00-03:00,56627695.0
2001-09-01,2001,1,9,CONFAZ12_PISDF12,2001-09-01T00:00:00-03:00,59630533.0
2001-10-01,2001,1,10,CONFAZ12_PISDF12,2001-10-01T00:00:00-03:00,67162418.0
2001-11-01,2001,1,11,CONFAZ12_PISDF12,2001-11-01T00:00:00-03:00,59890591.0
2001-12-01,2001,1,12,CONFAZ12_PISDF12,2001-12-01T00:00:00-02:00,93251792.0
2002-01-01,2002,1,1,CONFAZ12_PISDF12,2002-01-01T00:00:00-02:00,76239164.0
