DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_PISSP12,1993-01-01T00:00:00-02:00,109113937.0
1993-02-01,1993,1,2,CONFAZ12_PISSP12,1993-02-01T00:00:00-02:00,102928461.0
1993-03-01,1993,1,3,CONFAZ12_PISSP12,1993-03-01T00:00:00-03:00,100012392.0
1993-04-01,1993,1,4,CONFAZ12_PISSP12,1993-04-01T00:00:00-03:00,117160748.0
1993-05-01,1993,1,5,CONFAZ12_PISSP12,1993-05-01T00:00:00-03:00,114137756.0
1993-06-01,1993,1,6,CONFAZ12_PISSP12,1993-06-01T00:00:00-03:00,111067922.0
1993-07-01,1993,1,7,CONFAZ12_PISSP12,1993-07-01T00:00:00-03:00,109266219.0
1993-08-01,1993,1,8,CONFAZ12_PISSP12,1993-08-01T00:00:00-03:00,115614293.0
1993-09-01,1993,1,9,CONFAZ12_PISSP12,1993-09-01T00:00:00-03:00,116534330.0
1993-10-01,1993,1,10,CONFAZ12_PISSP12,1993-10-01T00:00:00-03:00,110832839.0
1993-11-01,1993,1,11,CONFAZ12_PISSP12,1993-11-01T00:00:00-03:00,117000946.0
1993-12-01,1993,1,12,CONFAZ12_PISSP12,1993-12-01T00:00:00-02:00,117994381.0
1994-01-01,1994,1,1,CONFAZ12_PISSP12,1994-01-01T00:00:00-02:00,114676041.0
1994-02-01,1994,1,2,CONFAZ12_PISSP12,1994-02-01T00:00:00-02:00,105179319.0
1994-03-01,1994,1,3,CONFAZ12_PISSP12,1994-03-01T00:00:00-03:00,116538694.0
1994-04-01,1994,1,4,CONFAZ12_PISSP12,1994-04-01T00:00:00-03:00,113055903.0
1994-05-01,1994,1,5,CONFAZ12_PISSP12,1994-05-01T00:00:00-03:00,108997855.0
1994-06-01,1994,1,6,CONFAZ12_PISSP12,1994-06-01T00:00:00-03:00,115339458.0
1994-07-01,1994,1,7,CONFAZ12_PISSP12,1994-07-01T00:00:00-03:00,163482523.0
1994-08-01,1994,1,8,CONFAZ12_PISSP12,1994-08-01T00:00:00-03:00,163066394.0
1994-09-01,1994,1,9,CONFAZ12_PISSP12,1994-09-01T00:00:00-03:00,166131579.0
1994-10-01,1994,1,10,CONFAZ12_PISSP12,1994-10-01T00:00:00-03:00,166444105.0
1994-11-01,1994,1,11,CONFAZ12_PISSP12,1994-11-01T00:00:00-03:00,179850496.0
1994-12-01,1994,1,12,CONFAZ12_PISSP12,1994-12-01T00:00:00-02:00,188720122.0
1995-01-01,1995,1,1,CONFAZ12_PISSP12,1995-01-01T00:00:00-02:00,187739396.0
1995-02-01,1995,1,2,CONFAZ12_PISSP12,1995-02-01T00:00:00-02:00,178233870.0
1995-03-01,1995,1,3,CONFAZ12_PISSP12,1995-03-01T00:00:00-03:00,185203198.0
1995-04-01,1995,1,4,CONFAZ12_PISSP12,1995-04-01T00:00:00-03:00,207218355.0
1995-05-01,1995,1,5,CONFAZ12_PISSP12,1995-05-01T00:00:00-03:00,193683840.0
1995-06-01,1995,1,6,CONFAZ12_PISSP12,1995-06-01T00:00:00-03:00,214413857.0
1995-07-01,1995,1,7,CONFAZ12_PISSP12,1995-07-01T00:00:00-03:00,201462086.0
1995-08-01,1995,1,8,CONFAZ12_PISSP12,1995-08-01T00:00:00-03:00,200556530.0
