DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_SRFAL12,1993-01-01T00:00:00-02:00,9387294.0
1993-02-01,1993,1,2,CONFAZ12_SRFAL12,1993-02-01T00:00:00-02:00,9770387.0
1993-03-01,1993,1,3,CONFAZ12_SRFAL12,1993-03-01T00:00:00-03:00,8376374.0
1993-04-01,1993,1,4,CONFAZ12_SRFAL12,1993-04-01T00:00:00-03:00,10879353.0
1993-05-01,1993,1,5,CONFAZ12_SRFAL12,1993-05-01T00:00:00-03:00,11790092.0
1993-06-01,1993,1,6,CONFAZ12_SRFAL12,1993-06-01T00:00:00-03:00,11348201.0
1993-07-01,1993,1,7,CONFAZ12_SRFAL12,1993-07-01T00:00:00-03:00,10646966.0
1993-08-01,1993,1,8,CONFAZ12_SRFAL12,1993-08-01T00:00:00-03:00,8834200.0
1993-09-01,1993,1,9,CONFAZ12_SRFAL12,1993-09-01T00:00:00-03:00,10923853.0
1993-10-01,1993,1,10,CONFAZ12_SRFAL12,1993-10-01T00:00:00-03:00,9144842.0
1993-11-01,1993,1,11,CONFAZ12_SRFAL12,1993-11-01T00:00:00-03:00,9928546.0
1993-12-01,1993,1,12,CONFAZ12_SRFAL12,1993-12-01T00:00:00-02:00,12693474.0
1994-01-01,1994,1,1,CONFAZ12_SRFAL12,1994-01-01T00:00:00-02:00,14482120.0
1994-02-01,1994,1,2,CONFAZ12_SRFAL12,1994-02-01T00:00:00-02:00,12527596.0
1994-03-01,1994,1,3,CONFAZ12_SRFAL12,1994-03-01T00:00:00-03:00,12065423.0
1994-04-01,1994,1,4,CONFAZ12_SRFAL12,1994-04-01T00:00:00-03:00,14832223.0
1994-05-01,1994,1,5,CONFAZ12_SRFAL12,1994-05-01T00:00:00-03:00,14416068.0
1994-06-01,1994,1,6,CONFAZ12_SRFAL12,1994-06-01T00:00:00-03:00,17520962.0
1994-07-01,1994,1,7,CONFAZ12_SRFAL12,1994-07-01T00:00:00-03:00,12359762.0
1994-08-01,1994,1,8,CONFAZ12_SRFAL12,1994-08-01T00:00:00-03:00,16561047.0
1994-09-01,1994,1,9,CONFAZ12_SRFAL12,1994-09-01T00:00:00-03:00,16360863.0
1994-10-01,1994,1,10,CONFAZ12_SRFAL12,1994-10-01T00:00:00-03:00,15621567.0
1994-11-01,1994,1,11,CONFAZ12_SRFAL12,1994-11-01T00:00:00-03:00,17109213.0
1994-12-01,1994,1,12,CONFAZ12_SRFAL12,1994-12-01T00:00:00-02:00,24714541.0
1995-01-01,1995,1,1,CONFAZ12_SRFAL12,1995-01-01T00:00:00-02:00,18220929.0
1995-02-01,1995,1,2,CONFAZ12_SRFAL12,1995-02-01T00:00:00-02:00,21549739.0
1995-03-01,1995,1,3,CONFAZ12_SRFAL12,1995-03-01T00:00:00-03:00,23470030.0
1995-04-01,1995,1,4,CONFAZ12_SRFAL12,1995-04-01T00:00:00-03:00,20238231.0
1995-05-01,1995,1,5,CONFAZ12_SRFAL12,1995-05-01T00:00:00-03:00,24188738.0
1995-06-01,1995,1,6,CONFAZ12_SRFAL12,1995-06-01T00:00:00-03:00,22172060.0
1995-07-01,1995,1,7,CONFAZ12_SRFAL12,1995-07-01T00:00:00-03:00,19183016.0
1995-08-01,1995,1,8,CONFAZ12_SRFAL12,1995-08-01T00:00:00-03:00,20888821.0
1995-09-01,1995,1,9,CONFAZ12_SRFAL12,1995-09-01T00:00:00-03:00,20166245.0
1995-10-01,1995,1,10,CONFAZ12_SRFAL12,1995-10-01T00:00:00-03:00,23430533.0
1995-11-01,1995,1,11,CONFAZ12_SRFAL12,1995-11-01T00:00:00-03:00,21113766.0
1995-12-01,1995,1,12,CONFAZ12_SRFAL12,1995-12-01T00:00:00-02:00,23722544.0
1996-01-01,1996,1,1,CONFAZ12_SRFAL12,1996-01-01T00:00:00-02:00,23925627.0
1996-02-01,1996,1,2,CONFAZ12_SRFAL12,1996-02-01T00:00:00-02:00,22494290.0
1996-03-01,1996,1,3,CONFAZ12_SRFAL12,1996-03-01T00:00:00-03:00,22427040.0
1996-04-01,1996,1,4,CONFAZ12_SRFAL12,1996-04-01T00:00:00-03:00,28144418.0
1996-05-01,1996,1,5,CONFAZ12_SRFAL12,1996-05-01T00:00:00-03:00,23256259.0
1996-06-01,1996,1,6,CONFAZ12_SRFAL12,1996-06-01T00:00:00-03:00,21327953.0
1996-07-01,1996,1,7,CONFAZ12_SRFAL12,1996-07-01T00:00:00-03:00,23460847.0
1996-08-01,1996,1,8,CONFAZ12_SRFAL12,1996-08-01T00:00:00-03:00,25498125.0
1996-09-01,1996,1,9,CONFAZ12_SRFAL12,1996-09-01T00:00:00-03:00,22745333.0
1996-10-01,1996,1,10,CONFAZ12_SRFAL12,1996-10-01T00:00:00-03:00,23630389.0
1996-11-01,1996,1,11,CONFAZ12_SRFAL12,1996-11-01T00:00:00-03:00,26678193.0
1996-12-01,1996,1,12,CONFAZ12_SRFAL12,1996-12-01T00:00:00-02:00,35435310.0
1997-01-01,1997,1,1,CONFAZ12_SRFAL12,1997-01-01T00:00:00-02:00,26081737.0
1997-02-01,1997,1,2,CONFAZ12_SRFAL12,1997-02-01T00:00:00-02:00,23352851.0
1997-03-01,1997,1,3,CONFAZ12_SRFAL12,1997-03-01T00:00:00-03:00,26166576.0
1997-04-01,1997,1,4,CONFAZ12_SRFAL12,1997-04-01T00:00:00-03:00,31682346.0
1997-05-01,1997,1,5,CONFAZ12_SRFAL12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_SRFAL12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_SRFAL12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_SRFAL12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_SRFAL12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_SRFAL12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_SRFAL12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_SRFAL12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_SRFAL12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_SRFAL12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_SRFAL12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_SRFAL12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_SRFAL12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_SRFAL12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_SRFAL12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_SRFAL12,1998-08-01T00:00:00-03:00,
