DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_SRFMT12,1993-01-01T00:00:00-02:00,13068649.0
1993-02-01,1993,1,2,CONFAZ12_SRFMT12,1993-02-01T00:00:00-02:00,11315815.0
1993-03-01,1993,1,3,CONFAZ12_SRFMT12,1993-03-01T00:00:00-03:00,10517324.0
1993-04-01,1993,1,4,CONFAZ12_SRFMT12,1993-04-01T00:00:00-03:00,13243272.0
1993-05-01,1993,1,5,CONFAZ12_SRFMT12,1993-05-01T00:00:00-03:00,18019904.0
1993-06-01,1993,1,6,CONFAZ12_SRFMT12,1993-06-01T00:00:00-03:00,14473891.0
1993-07-01,1993,1,7,CONFAZ12_SRFMT12,1993-07-01T00:00:00-03:00,13951623.0
1993-08-01,1993,1,8,CONFAZ12_SRFMT12,1993-08-01T00:00:00-03:00,14243809.0
1993-09-01,1993,1,9,CONFAZ12_SRFMT12,1993-09-01T00:00:00-03:00,15673116.0
1993-10-01,1993,1,10,CONFAZ12_SRFMT12,1993-10-01T00:00:00-03:00,14639808.0
1993-11-01,1993,1,11,CONFAZ12_SRFMT12,1993-11-01T00:00:00-03:00,15095589.0
1993-12-01,1993,1,12,CONFAZ12_SRFMT12,1993-12-01T00:00:00-02:00,15736679.0
1994-01-01,1994,1,1,CONFAZ12_SRFMT12,1994-01-01T00:00:00-02:00,18136480.0
1994-02-01,1994,1,2,CONFAZ12_SRFMT12,1994-02-01T00:00:00-02:00,14872758.0
1994-03-01,1994,1,3,CONFAZ12_SRFMT12,1994-03-01T00:00:00-03:00,18339955.0
1994-04-01,1994,1,4,CONFAZ12_SRFMT12,1994-04-01T00:00:00-03:00,21274919.0
1994-05-01,1994,1,5,CONFAZ12_SRFMT12,1994-05-01T00:00:00-03:00,19117280.0
1994-06-01,1994,1,6,CONFAZ12_SRFMT12,1994-06-01T00:00:00-03:00,20900619.0
1994-07-01,1994,1,7,CONFAZ12_SRFMT12,1994-07-01T00:00:00-03:00,17776379.0
1994-08-01,1994,1,8,CONFAZ12_SRFMT12,1994-08-01T00:00:00-03:00,22182568.0
1994-09-01,1994,1,9,CONFAZ12_SRFMT12,1994-09-01T00:00:00-03:00,24855185.0
1994-10-01,1994,1,10,CONFAZ12_SRFMT12,1994-10-01T00:00:00-03:00,23938086.0
1994-11-01,1994,1,11,CONFAZ12_SRFMT12,1994-11-01T00:00:00-03:00,28162063.0
1994-12-01,1994,1,12,CONFAZ12_SRFMT12,1994-12-01T00:00:00-02:00,26128525.0
1995-01-01,1995,1,1,CONFAZ12_SRFMT12,1995-01-01T00:00:00-02:00,23903808.0
1995-02-01,1995,1,2,CONFAZ12_SRFMT12,1995-02-01T00:00:00-02:00,22358513.0
1995-03-01,1995,1,3,CONFAZ12_SRFMT12,1995-03-01T00:00:00-03:00,25342484.0
1995-04-01,1995,1,4,CONFAZ12_SRFMT12,1995-04-01T00:00:00-03:00,21750380.0
1995-05-01,1995,1,5,CONFAZ12_SRFMT12,1995-05-01T00:00:00-03:00,34253004.0
