DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_SRFPI12,1993-01-01T00:00:00-02:00,8847675.0
1993-02-01,1993,1,2,CONFAZ12_SRFPI12,1993-02-01T00:00:00-02:00,7485358.0
1993-03-01,1993,1,3,CONFAZ12_SRFPI12,1993-03-01T00:00:00-03:00,7057942.0
1993-04-01,1993,1,4,CONFAZ12_SRFPI12,1993-04-01T00:00:00-03:00,7990848.0
1993-05-01,1993,1,5,CONFAZ12_SRFPI12,1993-05-01T00:00:00-03:00,10437998.0
1993-06-01,1993,1,6,CONFAZ12_SRFPI12,1993-06-01T00:00:00-03:00,8931788.0
1993-07-01,1993,1,7,CONFAZ12_SRFPI12,1993-07-01T00:00:00-03:00,8394413.0
1993-08-01,1993,1,8,CONFAZ12_SRFPI12,1993-08-01T00:00:00-03:00,7953004.0
1993-09-01,1993,1,9,CONFAZ12_SRFPI12,1993-09-01T00:00:00-03:00,8083725.0
1993-10-01,1993,1,10,CONFAZ12_SRFPI12,1993-10-01T00:00:00-03:00,7839746.0
1993-11-01,1993,1,11,CONFAZ12_SRFPI12,1993-11-01T00:00:00-03:00,8218114.0
1993-12-01,1993,1,12,CONFAZ12_SRFPI12,1993-12-01T00:00:00-02:00,10896720.0
1994-01-01,1994,1,1,CONFAZ12_SRFPI12,1994-01-01T00:00:00-02:00,11339123.0
1994-02-01,1994,1,2,CONFAZ12_SRFPI12,1994-02-01T00:00:00-02:00,10583594.0
1994-03-01,1994,1,3,CONFAZ12_SRFPI12,1994-03-01T00:00:00-03:00,9629324.0
1994-04-01,1994,1,4,CONFAZ12_SRFPI12,1994-04-01T00:00:00-03:00,11080729.0
1994-05-01,1994,1,5,CONFAZ12_SRFPI12,1994-05-01T00:00:00-03:00,9729516.0
1994-06-01,1994,1,6,CONFAZ12_SRFPI12,1994-06-01T00:00:00-03:00,10935193.0
1994-07-01,1994,1,7,CONFAZ12_SRFPI12,1994-07-01T00:00:00-03:00,10233062.0
1994-08-01,1994,1,8,CONFAZ12_SRFPI12,1994-08-01T00:00:00-03:00,13399131.0
1994-09-01,1994,1,9,CONFAZ12_SRFPI12,1994-09-01T00:00:00-03:00,13581677.0
1994-10-01,1994,1,10,CONFAZ12_SRFPI12,1994-10-01T00:00:00-03:00,13954214.0
1994-11-01,1994,1,11,CONFAZ12_SRFPI12,1994-11-01T00:00:00-03:00,12934160.0
1994-12-01,1994,1,12,CONFAZ12_SRFPI12,1994-12-01T00:00:00-02:00,17145209.0
1995-01-01,1995,1,1,CONFAZ12_SRFPI12,1995-01-01T00:00:00-02:00,15940323.0
1995-02-01,1995,1,2,CONFAZ12_SRFPI12,1995-02-01T00:00:00-02:00,18388814.0
1995-03-01,1995,1,3,CONFAZ12_SRFPI12,1995-03-01T00:00:00-03:00,19047027.0
1995-04-01,1995,1,4,CONFAZ12_SRFPI12,1995-04-01T00:00:00-03:00,12909222.0
1995-05-01,1995,1,5,CONFAZ12_SRFPI12,1995-05-01T00:00:00-03:00,24148066.0
1995-06-01,1995,1,6,CONFAZ12_SRFPI12,1995-06-01T00:00:00-03:00,16676392.0
1995-07-01,1995,1,7,CONFAZ12_SRFPI12,1995-07-01T00:00:00-03:00,16991418.0
1995-08-01,1995,1,8,CONFAZ12_SRFPI12,1995-08-01T00:00:00-03:00,18111649.0
1995-09-01,1995,1,9,CONFAZ12_SRFPI12,1995-09-01T00:00:00-03:00,20474126.0
1995-10-01,1995,1,10,CONFAZ12_SRFPI12,1995-10-01T00:00:00-03:00,23010498.0
1995-11-01,1995,1,11,CONFAZ12_SRFPI12,1995-11-01T00:00:00-03:00,23458792.0
1995-12-01,1995,1,12,CONFAZ12_SRFPI12,1995-12-01T00:00:00-02:00,22110791.0
1996-01-01,1996,1,1,CONFAZ12_SRFPI12,1996-01-01T00:00:00-02:00,24296204.0
1996-02-01,1996,1,2,CONFAZ12_SRFPI12,1996-02-01T00:00:00-02:00,19795400.0
1996-03-01,1996,1,3,CONFAZ12_SRFPI12,1996-03-01T00:00:00-03:00,24541015.0
1996-04-01,1996,1,4,CONFAZ12_SRFPI12,1996-04-01T00:00:00-03:00,24758487.0
1996-05-01,1996,1,5,CONFAZ12_SRFPI12,1996-05-01T00:00:00-03:00,23709640.0
1996-06-01,1996,1,6,CONFAZ12_SRFPI12,1996-06-01T00:00:00-03:00,20423857.0
1996-07-01,1996,1,7,CONFAZ12_SRFPI12,1996-07-01T00:00:00-03:00,24297069.0
1996-08-01,1996,1,8,CONFAZ12_SRFPI12,1996-08-01T00:00:00-03:00,25212314.0
1996-09-01,1996,1,9,CONFAZ12_SRFPI12,1996-09-01T00:00:00-03:00,20906556.0
1996-10-01,1996,1,10,CONFAZ12_SRFPI12,1996-10-01T00:00:00-03:00,24773805.0
1996-11-01,1996,1,11,CONFAZ12_SRFPI12,1996-11-01T00:00:00-03:00,21613375.0
1996-12-01,1996,1,12,CONFAZ12_SRFPI12,1996-12-01T00:00:00-02:00,29720545.0
1997-01-01,1997,1,1,CONFAZ12_SRFPI12,1997-01-01T00:00:00-02:00,26538354.0
1997-02-01,1997,1,2,CONFAZ12_SRFPI12,1997-02-01T00:00:00-02:00,25027584.0
1997-03-01,1997,1,3,CONFAZ12_SRFPI12,1997-03-01T00:00:00-03:00,29694191.0
1997-04-01,1997,1,4,CONFAZ12_SRFPI12,1997-04-01T00:00:00-03:00,27389728.0
1997-05-01,1997,1,5,CONFAZ12_SRFPI12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_SRFPI12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_SRFPI12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_SRFPI12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_SRFPI12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_SRFPI12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_SRFPI12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_SRFPI12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_SRFPI12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_SRFPI12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_SRFPI12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_SRFPI12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_SRFPI12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_SRFPI12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_SRFPI12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_SRFPI12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_SRFPI12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_SRFPI12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_SRFPI12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_SRFPI12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_SRFPI12,1999-01-01T00:00:00-02:00,
