DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_SRFRS12,1993-01-01T00:00:00-02:00,197616074.0
1993-02-01,1993,1,2,CONFAZ12_SRFRS12,1993-02-01T00:00:00-02:00,185931696.0
1993-03-01,1993,1,3,CONFAZ12_SRFRS12,1993-03-01T00:00:00-03:00,177619672.0
1993-04-01,1993,1,4,CONFAZ12_SRFRS12,1993-04-01T00:00:00-03:00,206285986.0
1993-05-01,1993,1,5,CONFAZ12_SRFRS12,1993-05-01T00:00:00-03:00,257895953.0
1993-06-01,1993,1,6,CONFAZ12_SRFRS12,1993-06-01T00:00:00-03:00,195055215.0
1993-07-01,1993,1,7,CONFAZ12_SRFRS12,1993-07-01T00:00:00-03:00,191079365.0
1993-08-01,1993,1,8,CONFAZ12_SRFRS12,1993-08-01T00:00:00-03:00,183245038.0
1993-09-01,1993,1,9,CONFAZ12_SRFRS12,1993-09-01T00:00:00-03:00,213632268.0
1993-10-01,1993,1,10,CONFAZ12_SRFRS12,1993-10-01T00:00:00-03:00,196290913.0
1993-11-01,1993,1,11,CONFAZ12_SRFRS12,1993-11-01T00:00:00-03:00,227810670.0
1993-12-01,1993,1,12,CONFAZ12_SRFRS12,1993-12-01T00:00:00-02:00,261319670.0
1994-01-01,1994,1,1,CONFAZ12_SRFRS12,1994-01-01T00:00:00-02:00,277010702.0
1994-02-01,1994,1,2,CONFAZ12_SRFRS12,1994-02-01T00:00:00-02:00,221872934.0
1994-03-01,1994,1,3,CONFAZ12_SRFRS12,1994-03-01T00:00:00-03:00,228059565.0
1994-04-01,1994,1,4,CONFAZ12_SRFRS12,1994-04-01T00:00:00-03:00,321364554.0
1994-05-01,1994,1,5,CONFAZ12_SRFRS12,1994-05-01T00:00:00-03:00,269909496.0
1994-06-01,1994,1,6,CONFAZ12_SRFRS12,1994-06-01T00:00:00-03:00,286353476.0
1994-07-01,1994,1,7,CONFAZ12_SRFRS12,1994-07-01T00:00:00-03:00,241420353.0
1994-08-01,1994,1,8,CONFAZ12_SRFRS12,1994-08-01T00:00:00-03:00,282949404.0
1994-09-01,1994,1,9,CONFAZ12_SRFRS12,1994-09-01T00:00:00-03:00,320466828.0
1994-10-01,1994,1,10,CONFAZ12_SRFRS12,1994-10-01T00:00:00-03:00,319354743.0
1994-11-01,1994,1,11,CONFAZ12_SRFRS12,1994-11-01T00:00:00-03:00,340223053.0
1994-12-01,1994,1,12,CONFAZ12_SRFRS12,1994-12-01T00:00:00-02:00,395499648.0
1995-01-01,1995,1,1,CONFAZ12_SRFRS12,1995-01-01T00:00:00-02:00,411567923.0
1995-02-01,1995,1,2,CONFAZ12_SRFRS12,1995-02-01T00:00:00-02:00,337386426.0
1995-03-01,1995,1,3,CONFAZ12_SRFRS12,1995-03-01T00:00:00-03:00,406920725.0
1995-04-01,1995,1,4,CONFAZ12_SRFRS12,1995-04-01T00:00:00-03:00,382631659.0
1995-05-01,1995,1,5,CONFAZ12_SRFRS12,1995-05-01T00:00:00-03:00,488851786.0
1995-06-01,1995,1,6,CONFAZ12_SRFRS12,1995-06-01T00:00:00-03:00,395675185.0
1995-07-01,1995,1,7,CONFAZ12_SRFRS12,1995-07-01T00:00:00-03:00,376017583.0
1995-08-01,1995,1,8,CONFAZ12_SRFRS12,1995-08-01T00:00:00-03:00,383140097.0
1995-09-01,1995,1,9,CONFAZ12_SRFRS12,1995-09-01T00:00:00-03:00,417826282.0
1995-10-01,1995,1,10,CONFAZ12_SRFRS12,1995-10-01T00:00:00-03:00,417216049.0
1995-11-01,1995,1,11,CONFAZ12_SRFRS12,1995-11-01T00:00:00-03:00,402539550.0
1995-12-01,1995,1,12,CONFAZ12_SRFRS12,1995-12-01T00:00:00-02:00,435217961.0
1996-01-01,1996,1,1,CONFAZ12_SRFRS12,1996-01-01T00:00:00-02:00,390025589.0
1996-02-01,1996,1,2,CONFAZ12_SRFRS12,1996-02-01T00:00:00-02:00,251212708.0
1996-03-01,1996,1,3,CONFAZ12_SRFRS12,1996-03-01T00:00:00-03:00,570785965.0
