DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_SRFSC12,1993-01-01T00:00:00-02:00,62164300.0
1993-02-01,1993,1,2,CONFAZ12_SRFSC12,1993-02-01T00:00:00-02:00,67193912.0
1993-03-01,1993,1,3,CONFAZ12_SRFSC12,1993-03-01T00:00:00-03:00,62989475.0
1993-04-01,1993,1,4,CONFAZ12_SRFSC12,1993-04-01T00:00:00-03:00,84593016.0
1993-05-01,1993,1,5,CONFAZ12_SRFSC12,1993-05-01T00:00:00-03:00,96615317.0
1993-06-01,1993,1,6,CONFAZ12_SRFSC12,1993-06-01T00:00:00-03:00,76453733.0
1993-07-01,1993,1,7,CONFAZ12_SRFSC12,1993-07-01T00:00:00-03:00,65835167.0
1993-08-01,1993,1,8,CONFAZ12_SRFSC12,1993-08-01T00:00:00-03:00,68928455.0
1993-09-01,1993,1,9,CONFAZ12_SRFSC12,1993-09-01T00:00:00-03:00,76838982.0
1993-10-01,1993,1,10,CONFAZ12_SRFSC12,1993-10-01T00:00:00-03:00,71688564.0
1993-11-01,1993,1,11,CONFAZ12_SRFSC12,1993-11-01T00:00:00-03:00,82231151.0
1993-12-01,1993,1,12,CONFAZ12_SRFSC12,1993-12-01T00:00:00-02:00,88435031.0
1994-01-01,1994,1,1,CONFAZ12_SRFSC12,1994-01-01T00:00:00-02:00,98821585.0
1994-02-01,1994,1,2,CONFAZ12_SRFSC12,1994-02-01T00:00:00-02:00,85688564.0
1994-03-01,1994,1,3,CONFAZ12_SRFSC12,1994-03-01T00:00:00-03:00,89888011.0
1994-04-01,1994,1,4,CONFAZ12_SRFSC12,1994-04-01T00:00:00-03:00,108257164.0
1994-05-01,1994,1,5,CONFAZ12_SRFSC12,1994-05-01T00:00:00-03:00,103956969.0
1994-06-01,1994,1,6,CONFAZ12_SRFSC12,1994-06-01T00:00:00-03:00,105438178.0
1994-07-01,1994,1,7,CONFAZ12_SRFSC12,1994-07-01T00:00:00-03:00,110417051.0
1994-08-01,1994,1,8,CONFAZ12_SRFSC12,1994-08-01T00:00:00-03:00,125414313.0
1994-09-01,1994,1,9,CONFAZ12_SRFSC12,1994-09-01T00:00:00-03:00,141365245.0
1994-10-01,1994,1,10,CONFAZ12_SRFSC12,1994-10-01T00:00:00-03:00,171447345.0
1994-11-01,1994,1,11,CONFAZ12_SRFSC12,1994-11-01T00:00:00-03:00,149634217.0
