DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_ATARPO12,1990-01-01T00:00:00-02:00,0.000128178
1990-02-01,1990,1,2,DERAL12_ATARPO12,1990-02-01T00:00:00-02:00,0.000210709
1990-03-01,1990,1,3,DERAL12_ATARPO12,1990-03-01T00:00:00-03:00,0.000243985
1990-04-01,1990,1,4,DERAL12_ATARPO12,1990-04-01T00:00:00-03:00,0.0002492
1990-05-01,1990,1,5,DERAL12_ATARPO12,1990-05-01T00:00:00-03:00,0.000289305
1990-06-01,1990,1,6,DERAL12_ATARPO12,1990-06-01T00:00:00-03:00,0.000318945
1990-07-01,1990,1,7,DERAL12_ATARPO12,1990-07-01T00:00:00-03:00,0.000348553
1990-08-01,1990,1,8,DERAL12_ATARPO12,1990-08-01T00:00:00-03:00,0.000380807
1990-09-01,1990,1,9,DERAL12_ATARPO12,1990-09-01T00:00:00-03:00,0.000469738
1990-10-01,1990,1,10,DERAL12_ATARPO12,1990-10-01T00:00:00-03:00,0.000683858
1990-11-01,1990,1,11,DERAL12_ATARPO12,1990-11-01T00:00:00-03:00,0.001090687
1990-12-01,1990,1,12,DERAL12_ATARPO12,1990-12-01T00:00:00-02:00,0.001158302
1991-01-01,1991,1,1,DERAL12_ATARPO12,1991-01-01T00:00:00-02:00,0.001579167
1991-02-01,1991,1,2,DERAL12_ATARPO12,1991-02-01T00:00:00-02:00,0.002004218
1991-03-01,1991,1,3,DERAL12_ATARPO12,1991-03-01T00:00:00-03:00,0.002012109
1991-04-01,1991,1,4,DERAL12_ATARPO12,1991-04-01T00:00:00-03:00,0.001972691
1991-05-01,1991,1,5,DERAL12_ATARPO12,1991-05-01T00:00:00-03:00,0.002180618
1991-06-01,1991,1,6,DERAL12_ATARPO12,1991-06-01T00:00:00-03:00,0.002375127
1991-07-01,1991,1,7,DERAL12_ATARPO12,1991-07-01T00:00:00-03:00,0.002317855
1991-08-01,1991,1,8,DERAL12_ATARPO12,1991-08-01T00:00:00-03:00,0.002677527
1991-09-01,1991,1,9,DERAL12_ATARPO12,1991-09-01T00:00:00-03:00,0.003136255
1991-10-01,1991,1,10,DERAL12_ATARPO12,1991-10-01T00:00:00-03:00,0.004546691
1991-11-01,1991,1,11,DERAL12_ATARPO12,1991-11-01T00:00:00-03:00,0.005185855
1991-12-01,1991,1,12,DERAL12_ATARPO12,1991-12-01T00:00:00-02:00,0.005434364
1992-01-01,1992,1,1,DERAL12_ATARPO12,1992-01-01T00:00:00-02:00,0.007248655
1992-02-01,1992,1,2,DERAL12_ATARPO12,1992-02-01T00:00:00-02:00,0.0078948
1992-03-01,1992,1,3,DERAL12_ATARPO12,1992-03-01T00:00:00-03:00,0.008177673
