DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_ATFRR12,1990-01-01T00:00:00-02:00,7.185e-06
1990-02-01,1990,1,2,DERAL12_ATFRR12,1990-02-01T00:00:00-02:00,1.1876e-05
1990-03-01,1990,1,3,DERAL12_ATFRR12,1990-03-01T00:00:00-03:00,2.4284e-05
1990-04-01,1990,1,4,DERAL12_ATFRR12,1990-04-01T00:00:00-03:00,2.2822e-05
1990-05-01,1990,1,5,DERAL12_ATFRR12,1990-05-01T00:00:00-03:00,2.3302e-05
1990-06-01,1990,1,6,DERAL12_ATFRR12,1990-06-01T00:00:00-03:00,2.8385e-05
1990-07-01,1990,1,7,DERAL12_ATFRR12,1990-07-01T00:00:00-03:00,3.6651e-05
1990-08-01,1990,1,8,DERAL12_ATFRR12,1990-08-01T00:00:00-03:00,4.3175e-05
1990-09-01,1990,1,9,DERAL12_ATFRR12,1990-09-01T00:00:00-03:00,5.644e-05
1990-10-01,1990,1,10,DERAL12_ATFRR12,1990-10-01T00:00:00-03:00,5.8229e-05
1990-11-01,1990,1,11,DERAL12_ATFRR12,1990-11-01T00:00:00-03:00,5.1709e-05
1990-12-01,1990,1,12,DERAL12_ATFRR12,1990-12-01T00:00:00-02:00,5.3131e-05
1991-01-01,1991,1,1,DERAL12_ATFRR12,1991-01-01T00:00:00-02:00,7.24e-05
1991-02-01,1991,1,2,DERAL12_ATFRR12,1991-02-01T00:00:00-02:00,9.0811e-05
1991-03-01,1991,1,3,DERAL12_ATFRR12,1991-03-01T00:00:00-03:00,9.2276e-05
1991-04-01,1991,1,4,DERAL12_ATFRR12,1991-04-01T00:00:00-03:00,9.2836e-05
1991-05-01,1991,1,5,DERAL12_ATFRR12,1991-05-01T00:00:00-03:00,0.000100225
1991-06-01,1991,1,6,DERAL12_ATFRR12,1991-06-01T00:00:00-03:00,0.000104669
1991-07-01,1991,1,7,DERAL12_ATFRR12,1991-07-01T00:00:00-03:00,0.000114869
1991-08-01,1991,1,8,DERAL12_ATFRR12,1991-08-01T00:00:00-03:00,0.00012608
1991-09-01,1991,1,9,DERAL12_ATFRR12,1991-09-01T00:00:00-03:00,0.000147356
1991-10-01,1991,1,10,DERAL12_ATFRR12,1991-10-01T00:00:00-03:00,0.000214535
1991-11-01,1991,1,11,DERAL12_ATFRR12,1991-11-01T00:00:00-03:00,0.000282473
1991-12-01,1991,1,12,DERAL12_ATFRR12,1991-12-01T00:00:00-02:00,0.000296745
1992-01-01,1992,1,1,DERAL12_ATFRR12,1992-01-01T00:00:00-02:00,0.000402884
1992-02-01,1992,1,2,DERAL12_ATFRR12,1992-02-01T00:00:00-02:00,0.000505269
1992-03-01,1992,1,3,DERAL12_ATFRR12,1992-03-01T00:00:00-03:00,0.000536615
1992-04-01,1992,1,4,DERAL12_ATFRR12,1992-04-01T00:00:00-03:00,0.000587731
1992-05-01,1992,1,5,DERAL12_ATFRR12,1992-05-01T00:00:00-03:00,0.000823105
1992-06-01,1992,1,6,DERAL12_ATFRR12,1992-06-01T00:00:00-03:00,0.000989011
1992-07-01,1992,1,7,DERAL12_ATFRR12,1992-07-01T00:00:00-03:00,0.001101047
1992-08-01,1992,1,8,DERAL12_ATFRR12,1992-08-01T00:00:00-03:00,0.001492876
1992-09-01,1992,1,9,DERAL12_ATFRR12,1992-09-01T00:00:00-03:00,0.001983887
1992-10-01,1992,1,10,DERAL12_ATFRR12,1992-10-01T00:00:00-03:00,0.00276544
1992-11-01,1992,1,11,DERAL12_ATFRR12,1992-11-01T00:00:00-03:00,0.003097698
