DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_ATSUPA12,1990-01-01T00:00:00-02:00,1.3807e-05
1990-02-01,1990,1,2,DERAL12_ATSUPA12,1990-02-01T00:00:00-02:00,2.1804e-05
1990-03-01,1990,1,3,DERAL12_ATSUPA12,1990-03-01T00:00:00-03:00,4.004e-05
1990-04-01,1990,1,4,DERAL12_ATSUPA12,1990-04-01T00:00:00-03:00,4.4927e-05
1990-05-01,1990,1,5,DERAL12_ATSUPA12,1990-05-01T00:00:00-03:00,5.4913e-05
1990-06-01,1990,1,6,DERAL12_ATSUPA12,1990-06-01T00:00:00-03:00,6.5516e-05
1990-07-01,1990,1,7,DERAL12_ATSUPA12,1990-07-01T00:00:00-03:00,7.1215e-05
1990-08-01,1990,1,8,DERAL12_ATSUPA12,1990-08-01T00:00:00-03:00,7.6338e-05
1990-09-01,1990,1,9,DERAL12_ATSUPA12,1990-09-01T00:00:00-03:00,8.8462e-05
1990-10-01,1990,1,10,DERAL12_ATSUPA12,1990-10-01T00:00:00-03:00,9.3938e-05
1990-11-01,1990,1,11,DERAL12_ATSUPA12,1990-11-01T00:00:00-03:00,8.3636e-05
1990-12-01,1990,1,12,DERAL12_ATSUPA12,1990-12-01T00:00:00-02:00,7.6364e-05
1991-01-01,1991,1,1,DERAL12_ATSUPA12,1991-01-01T00:00:00-02:00,0.000101698
1991-02-01,1991,1,2,DERAL12_ATSUPA12,1991-02-01T00:00:00-02:00,0.000140909
1991-03-01,1991,1,3,DERAL12_ATSUPA12,1991-03-01T00:00:00-03:00,0.000148273
1991-04-01,1991,1,4,DERAL12_ATSUPA12,1991-04-01T00:00:00-03:00,0.000167349
1991-05-01,1991,1,5,DERAL12_ATSUPA12,1991-05-01T00:00:00-03:00,0.000189836
1991-06-01,1991,1,6,DERAL12_ATSUPA12,1991-06-01T00:00:00-03:00,0.000255476
1991-07-01,1991,1,7,DERAL12_ATSUPA12,1991-07-01T00:00:00-03:00,0.000229011
1991-08-01,1991,1,8,DERAL12_ATSUPA12,1991-08-01T00:00:00-03:00,0.00026344
1991-09-01,1991,1,9,DERAL12_ATSUPA12,1991-09-01T00:00:00-03:00,0.000290909
1991-10-01,1991,1,10,DERAL12_ATSUPA12,1991-10-01T00:00:00-03:00,0.000347273
1991-11-01,1991,1,11,DERAL12_ATSUPA12,1991-11-01T00:00:00-03:00,0.000497909
1991-12-01,1991,1,12,DERAL12_ATSUPA12,1991-12-01T00:00:00-02:00,0.000490909
