DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRARSE12,1990-01-01T00:00:00-02:00,6.1244e-05
1990-02-01,1990,1,2,DERAL12_PRARSE12,1990-02-01T00:00:00-02:00,0.000128596
1990-03-01,1990,1,3,DERAL12_PRARSE12,1990-03-01T00:00:00-03:00,0.000173851
1990-04-01,1990,1,4,DERAL12_PRARSE12,1990-04-01T00:00:00-03:00,0.000173713
1990-05-01,1990,1,5,DERAL12_PRARSE12,1990-05-01T00:00:00-03:00,0.000202593
1990-06-01,1990,1,6,DERAL12_PRARSE12,1990-06-01T00:00:00-03:00,0.00022344
1990-07-01,1990,1,7,DERAL12_PRARSE12,1990-07-01T00:00:00-03:00,0.000226873
1990-08-01,1990,1,8,DERAL12_PRARSE12,1990-08-01T00:00:00-03:00,0.000271993
1990-09-01,1990,1,9,DERAL12_PRARSE12,1990-09-01T00:00:00-03:00,0.000311742
1990-10-01,1990,1,10,DERAL12_PRARSE12,1990-10-01T00:00:00-03:00,0.000384091
1990-11-01,1990,1,11,DERAL12_PRARSE12,1990-11-01T00:00:00-03:00,0.000570982
1990-12-01,1990,1,12,DERAL12_PRARSE12,1990-12-01T00:00:00-02:00,0.000599418
1991-01-01,1991,1,1,DERAL12_PRARSE12,1991-01-01T00:00:00-02:00,0.000818305
1991-02-01,1991,1,2,DERAL12_PRARSE12,1991-02-01T00:00:00-02:00,0.001225891
1991-03-01,1991,1,3,DERAL12_PRARSE12,1991-03-01T00:00:00-03:00,0.001233324
1991-04-01,1991,1,4,DERAL12_PRARSE12,1991-04-01T00:00:00-03:00,0.001402909
1991-05-01,1991,1,5,DERAL12_PRARSE12,1991-05-01T00:00:00-03:00,0.001440655
1991-06-01,1991,1,6,DERAL12_PRARSE12,1991-06-01T00:00:00-03:00,0.001558255
1991-07-01,1991,1,7,DERAL12_PRARSE12,1991-07-01T00:00:00-03:00,0.001642036
1991-08-01,1991,1,8,DERAL12_PRARSE12,1991-08-01T00:00:00-03:00,0.001733455
1991-09-01,1991,1,9,DERAL12_PRARSE12,1991-09-01T00:00:00-03:00,0.001986182
1991-10-01,1991,1,10,DERAL12_PRARSE12,1991-10-01T00:00:00-03:00,0.002664218
1991-11-01,1991,1,11,DERAL12_PRARSE12,1991-11-01T00:00:00-03:00,0.0030504
1991-12-01,1991,1,12,DERAL12_PRARSE12,1991-12-01T00:00:00-02:00,0.003456
1992-01-01,1992,1,1,DERAL12_PRARSE12,1992-01-01T00:00:00-02:00,0.004349891
