DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRBMA12,1990-01-01T00:00:00-02:00,0.001708727
1990-02-01,1990,1,2,DERAL12_PRBMA12,1990-02-01T00:00:00-02:00,0.002581091
1990-03-01,1990,1,3,DERAL12_PRBMA12,1990-03-01T00:00:00-03:00,0.004690909
1990-04-01,1990,1,4,DERAL12_PRBMA12,1990-04-01T00:00:00-03:00,0.004727273
1990-05-01,1990,1,5,DERAL12_PRBMA12,1990-05-01T00:00:00-03:00,0.005818182
1990-06-01,1990,1,6,DERAL12_PRBMA12,1990-06-01T00:00:00-03:00,0.006892505
1990-07-01,1990,1,7,DERAL12_PRBMA12,1990-07-01T00:00:00-03:00,0.007731964
1990-08-01,1990,1,8,DERAL12_PRBMA12,1990-08-01T00:00:00-03:00,0.008114913
1990-09-01,1990,1,9,DERAL12_PRBMA12,1990-09-01T00:00:00-03:00,0.010422116
1990-10-01,1990,1,10,DERAL12_PRBMA12,1990-10-01T00:00:00-03:00,0.011236658
1990-11-01,1990,1,11,DERAL12_PRBMA12,1990-11-01T00:00:00-03:00,0.010662236
1990-12-01,1990,1,12,DERAL12_PRBMA12,1990-12-01T00:00:00-02:00,0.009734869
1991-01-01,1991,1,1,DERAL12_PRBMA12,1991-01-01T00:00:00-02:00,0.012030938
1991-02-01,1991,1,2,DERAL12_PRBMA12,1991-02-01T00:00:00-02:00,0.015491251
1991-03-01,1991,1,3,DERAL12_PRBMA12,1991-03-01T00:00:00-03:00,0.016546498
1991-04-01,1991,1,4,DERAL12_PRBMA12,1991-04-01T00:00:00-03:00,0.019547622
1991-05-01,1991,1,5,DERAL12_PRBMA12,1991-05-01T00:00:00-03:00,0.021082807
1991-06-01,1991,1,6,DERAL12_PRBMA12,1991-06-01T00:00:00-03:00,0.023110095
1991-07-01,1991,1,7,DERAL12_PRBMA12,1991-07-01T00:00:00-03:00,0.028294585
1991-08-01,1991,1,8,DERAL12_PRBMA12,1991-08-01T00:00:00-03:00,0.037068364
1991-09-01,1991,1,9,DERAL12_PRBMA12,1991-09-01T00:00:00-03:00,0.042237429
1991-10-01,1991,1,10,DERAL12_PRBMA12,1991-10-01T00:00:00-03:00,0.053349615
1991-11-01,1991,1,11,DERAL12_PRBMA12,1991-11-01T00:00:00-03:00,0.063561975
1991-12-01,1991,1,12,DERAL12_PRBMA12,1991-12-01T00:00:00-02:00,0.065572473
1992-01-01,1992,1,1,DERAL12_PRBMA12,1992-01-01T00:00:00-02:00,0.085174189
1992-02-01,1992,1,2,DERAL12_PRBMA12,1992-02-01T00:00:00-02:00,0.099292371
1992-03-01,1992,1,3,DERAL12_PRBMA12,1992-03-01T00:00:00-03:00,0.113996615
1992-04-01,1992,1,4,DERAL12_PRBMA12,1992-04-01T00:00:00-03:00,0.155587873
1992-05-01,1992,1,5,DERAL12_PRBMA12,1992-05-01T00:00:00-03:00,0.205024156
1992-06-01,1992,1,6,DERAL12_PRBMA12,1992-06-01T00:00:00-03:00,0.235489738
1992-07-01,1992,1,7,DERAL12_PRBMA12,1992-07-01T00:00:00-03:00,0.270944807
1992-08-01,1992,1,8,DERAL12_PRBMA12,1992-08-01T00:00:00-03:00,0.382026804
1992-09-01,1992,1,9,DERAL12_PRBMA12,1992-09-01T00:00:00-03:00,0.534041182
1992-10-01,1992,1,10,DERAL12_PRBMA12,1992-10-01T00:00:00-03:00,0.660485989
1992-11-01,1992,1,11,DERAL12_PRBMA12,1992-11-01T00:00:00-03:00,0.721993876
1992-12-01,1992,1,12,DERAL12_PRBMA12,1992-12-01T00:00:00-02:00,0.917452258
1993-01-01,1993,1,1,DERAL12_PRBMA12,1993-01-01T00:00:00-02:00,1.253311378
1993-02-01,1993,1,2,DERAL12_PRBMA12,1993-02-01T00:00:00-02:00,1.521979935
1993-03-01,1993,1,3,DERAL12_PRBMA12,1993-03-01T00:00:00-03:00,2.021296364
1993-04-01,1993,1,4,DERAL12_PRBMA12,1993-04-01T00:00:00-03:00,2.735610182
1993-05-01,1993,1,5,DERAL12_PRBMA12,1993-05-01T00:00:00-03:00,3.193186182
1993-06-01,1993,1,6,DERAL12_PRBMA12,1993-06-01T00:00:00-03:00,3.851062909
1993-07-01,1993,1,7,DERAL12_PRBMA12,1993-07-01T00:00:00-03:00,5.331317455
1993-08-01,1993,1,8,DERAL12_PRBMA12,1993-08-01T00:00:00-03:00,7.995007273
1993-09-01,1993,1,9,DERAL12_PRBMA12,1993-09-01T00:00:00-03:00,11.335367273
1993-10-01,1993,1,10,DERAL12_PRBMA12,1993-10-01T00:00:00-03:00,14.727996364
1993-11-01,1993,1,11,DERAL12_PRBMA12,1993-11-01T00:00:00-03:00,18.43544
1993-12-01,1993,1,12,DERAL12_PRBMA12,1993-12-01T00:00:00-02:00,25.768490909
1994-01-01,1994,1,1,DERAL12_PRBMA12,1994-01-01T00:00:00-02:00,35.442825455
1994-02-01,1994,1,2,DERAL12_PRBMA12,1994-02-01T00:00:00-02:00,47.401934545
1994-03-01,1994,1,3,DERAL12_PRBMA12,1994-03-01T00:00:00-03:00,75.759374545
1994-04-01,1994,1,4,DERAL12_PRBMA12,1994-04-01T00:00:00-03:00,105.723323636
1994-05-01,1994,1,5,DERAL12_PRBMA12,1994-05-01T00:00:00-03:00,132.827814545
1994-06-01,1994,1,6,DERAL12_PRBMA12,1994-06-01T00:00:00-03:00,228.050530909
1994-07-01,1994,1,7,DERAL12_PRBMA12,1994-07-01T00:00:00-03:00,237.07
1994-08-01,1994,1,8,DERAL12_PRBMA12,1994-08-01T00:00:00-03:00,264.84
1994-09-01,1994,1,9,DERAL12_PRBMA12,1994-09-01T00:00:00-03:00,277.77
1994-10-01,1994,1,10,DERAL12_PRBMA12,1994-10-01T00:00:00-03:00,320.3
1994-11-01,1994,1,11,DERAL12_PRBMA12,1994-11-01T00:00:00-03:00,334.73
1994-12-01,1994,1,12,DERAL12_PRBMA12,1994-12-01T00:00:00-02:00,303.55
1995-01-01,1995,1,1,DERAL12_PRBMA12,1995-01-01T00:00:00-02:00,281.68
1995-02-01,1995,1,2,DERAL12_PRBMA12,1995-02-01T00:00:00-02:00,275.69
1995-03-01,1995,1,3,DERAL12_PRBMA12,1995-03-01T00:00:00-03:00,270.24
1995-04-01,1995,1,4,DERAL12_PRBMA12,1995-04-01T00:00:00-03:00,261.15
1995-05-01,1995,1,5,DERAL12_PRBMA12,1995-05-01T00:00:00-03:00,236.16
1995-06-01,1995,1,6,DERAL12_PRBMA12,1995-06-01T00:00:00-03:00,233.52
1995-07-01,1995,1,7,DERAL12_PRBMA12,1995-07-01T00:00:00-03:00,246.61
1995-08-01,1995,1,8,DERAL12_PRBMA12,1995-08-01T00:00:00-03:00,257.96
1995-09-01,1995,1,9,DERAL12_PRBMA12,1995-09-01T00:00:00-03:00,250.49
1995-10-01,1995,1,10,DERAL12_PRBMA12,1995-10-01T00:00:00-03:00,246.32
1995-11-01,1995,1,11,DERAL12_PRBMA12,1995-11-01T00:00:00-03:00,252.02
1995-12-01,1995,1,12,DERAL12_PRBMA12,1995-12-01T00:00:00-02:00,229.37
1996-01-01,1996,1,1,DERAL12_PRBMA12,1996-01-01T00:00:00-02:00,223.24
1996-02-01,1996,1,2,DERAL12_PRBMA12,1996-02-01T00:00:00-02:00,226.63
1996-03-01,1996,1,3,DERAL12_PRBMA12,1996-03-01T00:00:00-03:00,225.77
1996-04-01,1996,1,4,DERAL12_PRBMA12,1996-04-01T00:00:00-03:00,233.25
1996-05-01,1996,1,5,DERAL12_PRBMA12,1996-05-01T00:00:00-03:00,229.54
1996-06-01,1996,1,6,DERAL12_PRBMA12,1996-06-01T00:00:00-03:00,230.84
1996-07-01,1996,1,7,DERAL12_PRBMA12,1996-07-01T00:00:00-03:00,244.59
1996-08-01,1996,1,8,DERAL12_PRBMA12,1996-08-01T00:00:00-03:00,249.76
1996-09-01,1996,1,9,DERAL12_PRBMA12,1996-09-01T00:00:00-03:00,252.94
1996-10-01,1996,1,10,DERAL12_PRBMA12,1996-10-01T00:00:00-03:00,260.74
1996-11-01,1996,1,11,DERAL12_PRBMA12,1996-11-01T00:00:00-03:00,251.81
1996-12-01,1996,1,12,DERAL12_PRBMA12,1996-12-01T00:00:00-02:00,239.4
1997-01-01,1997,1,1,DERAL12_PRBMA12,1997-01-01T00:00:00-02:00,243.24
1997-02-01,1997,1,2,DERAL12_PRBMA12,1997-02-01T00:00:00-02:00,243.11
1997-03-01,1997,1,3,DERAL12_PRBMA12,1997-03-01T00:00:00-03:00,247.93
1997-04-01,1997,1,4,DERAL12_PRBMA12,1997-04-01T00:00:00-03:00,260.34
1997-05-01,1997,1,5,DERAL12_PRBMA12,1997-05-01T00:00:00-03:00,255.92
1997-06-01,1997,1,6,DERAL12_PRBMA12,1997-06-01T00:00:00-03:00,254.27
1997-07-01,1997,1,7,DERAL12_PRBMA12,1997-07-01T00:00:00-03:00,262.12
