DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRCAN12,1990-01-01T00:00:00-02:00,5.5407e-05
1990-02-01,1990,1,2,DERAL12_PRCAN12,1990-02-01T00:00:00-02:00,9.2044e-05
1990-03-01,1990,1,3,DERAL12_PRCAN12,1990-03-01T00:00:00-03:00,0.000173418
1990-04-01,1990,1,4,DERAL12_PRCAN12,1990-04-01T00:00:00-03:00,0.000210102
1990-05-01,1990,1,5,DERAL12_PRCAN12,1990-05-01T00:00:00-03:00,0.000207596
1990-06-01,1990,1,6,DERAL12_PRCAN12,1990-06-01T00:00:00-03:00,0.000202884
1990-07-01,1990,1,7,DERAL12_PRCAN12,1990-07-01T00:00:00-03:00,0.000209469
1990-08-01,1990,1,8,DERAL12_PRCAN12,1990-08-01T00:00:00-03:00,0.000248916
1990-09-01,1990,1,9,DERAL12_PRCAN12,1990-09-01T00:00:00-03:00,0.000295004
1990-10-01,1990,1,10,DERAL12_PRCAN12,1990-10-01T00:00:00-03:00,0.000347495
1990-11-01,1990,1,11,DERAL12_PRCAN12,1990-11-01T00:00:00-03:00,0.000420327
1990-12-01,1990,1,12,DERAL12_PRCAN12,1990-12-01T00:00:00-02:00,0.000503775
1991-01-01,1991,1,1,DERAL12_PRCAN12,1991-01-01T00:00:00-02:00,0.000599062
1991-02-01,1991,1,2,DERAL12_PRCAN12,1991-02-01T00:00:00-02:00,0.000885564
1991-03-01,1991,1,3,DERAL12_PRCAN12,1991-03-01T00:00:00-03:00,0.00093076
1991-04-01,1991,1,4,DERAL12_PRCAN12,1991-04-01T00:00:00-03:00,0.000931029
1991-05-01,1991,1,5,DERAL12_PRCAN12,1991-05-01T00:00:00-03:00,0.000933633
1991-06-01,1991,1,6,DERAL12_PRCAN12,1991-06-01T00:00:00-03:00,0.000994316
1991-07-01,1991,1,7,DERAL12_PRCAN12,1991-07-01T00:00:00-03:00,0.001088931
1991-08-01,1991,1,8,DERAL12_PRCAN12,1991-08-01T00:00:00-03:00,0.001248895
1991-09-01,1991,1,9,DERAL12_PRCAN12,1991-09-01T00:00:00-03:00,0.001427618
1991-10-01,1991,1,10,DERAL12_PRCAN12,1991-10-01T00:00:00-03:00,0.001878665
1991-11-01,1991,1,11,DERAL12_PRCAN12,1991-11-01T00:00:00-03:00,0.002362625
1991-12-01,1991,1,12,DERAL12_PRCAN12,1991-12-01T00:00:00-02:00,0.003281542
1992-01-01,1992,1,1,DERAL12_PRCAN12,1992-01-01T00:00:00-02:00,0.00428788
1992-02-01,1992,1,2,DERAL12_PRCAN12,1992-02-01T00:00:00-02:00,0.005307724
1992-03-01,1992,1,3,DERAL12_PRCAN12,1992-03-01T00:00:00-03:00,0.00617084
1992-04-01,1992,1,4,DERAL12_PRCAN12,1992-04-01T00:00:00-03:00,0.007645902
1992-05-01,1992,1,5,DERAL12_PRCAN12,1992-05-01T00:00:00-03:00,0.009439251
1992-06-01,1992,1,6,DERAL12_PRCAN12,1992-06-01T00:00:00-03:00,0.011044782
1992-07-01,1992,1,7,DERAL12_PRCAN12,1992-07-01T00:00:00-03:00,0.013839153
1992-08-01,1992,1,8,DERAL12_PRCAN12,1992-08-01T00:00:00-03:00,0.01788368
1992-09-01,1992,1,9,DERAL12_PRCAN12,1992-09-01T00:00:00-03:00,0.021397673
