DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRFEC12,1990-01-01T00:00:00-02:00,0.000146964
1990-02-01,1990,1,2,DERAL12_PRFEC12,1990-02-01T00:00:00-02:00,0.000195982
1990-03-01,1990,1,3,DERAL12_PRFEC12,1990-03-01T00:00:00-03:00,0.000407731
1990-04-01,1990,1,4,DERAL12_PRFEC12,1990-04-01T00:00:00-03:00,0.000436829
1990-05-01,1990,1,5,DERAL12_PRFEC12,1990-05-01T00:00:00-03:00,0.000580509
1990-06-01,1990,1,6,DERAL12_PRFEC12,1990-06-01T00:00:00-03:00,0.000712804
1990-07-01,1990,1,7,DERAL12_PRFEC12,1990-07-01T00:00:00-03:00,0.000808175
1990-08-01,1990,1,8,DERAL12_PRFEC12,1990-08-01T00:00:00-03:00,0.000840767
1990-09-01,1990,1,9,DERAL12_PRFEC12,1990-09-01T00:00:00-03:00,0.000844636
1990-10-01,1990,1,10,DERAL12_PRFEC12,1990-10-01T00:00:00-03:00,0.0010086
1990-11-01,1990,1,11,DERAL12_PRFEC12,1990-11-01T00:00:00-03:00,0.001188211
1990-12-01,1990,1,12,DERAL12_PRFEC12,1990-12-01T00:00:00-02:00,0.001202545
1991-01-01,1991,1,1,DERAL12_PRFEC12,1991-01-01T00:00:00-02:00,0.001561204
1991-02-01,1991,1,2,DERAL12_PRFEC12,1991-02-01T00:00:00-02:00,0.001924524
1991-03-01,1991,1,3,DERAL12_PRFEC12,1991-03-01T00:00:00-03:00,0.002170098
1991-04-01,1991,1,4,DERAL12_PRFEC12,1991-04-01T00:00:00-03:00,0.003039636
1991-05-01,1991,1,5,DERAL12_PRFEC12,1991-05-01T00:00:00-03:00,0.003790036
1991-06-01,1991,1,6,DERAL12_PRFEC12,1991-06-01T00:00:00-03:00,0.004092655
1991-07-01,1991,1,7,DERAL12_PRFEC12,1991-07-01T00:00:00-03:00,0.004248
1991-08-01,1991,1,8,DERAL12_PRFEC12,1991-08-01T00:00:00-03:00,0.003584509
1991-09-01,1991,1,9,DERAL12_PRFEC12,1991-09-01T00:00:00-03:00,0.003680945
1991-10-01,1991,1,10,DERAL12_PRFEC12,1991-10-01T00:00:00-03:00,0.005075345
1991-11-01,1991,1,11,DERAL12_PRFEC12,1991-11-01T00:00:00-03:00,0.005406982
1991-12-01,1991,1,12,DERAL12_PRFEC12,1991-12-01T00:00:00-02:00,0.005934109
1992-01-01,1992,1,1,DERAL12_PRFEC12,1992-01-01T00:00:00-02:00,0.008310327
1992-02-01,1992,1,2,DERAL12_PRFEC12,1992-02-01T00:00:00-02:00,0.010242327
1992-03-01,1992,1,3,DERAL12_PRFEC12,1992-03-01T00:00:00-03:00,0.012806836
1992-04-01,1992,1,4,DERAL12_PRFEC12,1992-04-01T00:00:00-03:00,0.015198764
1992-05-01,1992,1,5,DERAL12_PRFEC12,1992-05-01T00:00:00-03:00,0.018036655
1992-06-01,1992,1,6,DERAL12_PRFEC12,1992-06-01T00:00:00-03:00,0.019872
1992-07-01,1992,1,7,DERAL12_PRFEC12,1992-07-01T00:00:00-03:00,0.025219418
1992-08-01,1992,1,8,DERAL12_PRFEC12,1992-08-01T00:00:00-03:00,0.0361632
1992-09-01,1992,1,9,DERAL12_PRFEC12,1992-09-01T00:00:00-03:00,0.055041382
1992-10-01,1992,1,10,DERAL12_PRFEC12,1992-10-01T00:00:00-03:00,0.071957891
1992-11-01,1992,1,11,DERAL12_PRFEC12,1992-11-01T00:00:00-03:00,0.094402909
1992-12-01,1992,1,12,DERAL12_PRFEC12,1992-12-01T00:00:00-02:00,0.098249891
1993-01-01,1993,1,1,DERAL12_PRFEC12,1993-01-01T00:00:00-02:00,0.106208727
1993-02-01,1993,1,2,DERAL12_PRFEC12,1993-02-01T00:00:00-02:00,0.111470182
1993-03-01,1993,1,3,DERAL12_PRFEC12,1993-03-01T00:00:00-03:00,0.191207345
1993-04-01,1993,1,4,DERAL12_PRFEC12,1993-04-01T00:00:00-03:00,0.312378764
1993-05-01,1993,1,5,DERAL12_PRFEC12,1993-05-01T00:00:00-03:00,0.410186909
1993-06-01,1993,1,6,DERAL12_PRFEC12,1993-06-01T00:00:00-03:00,0.490281455
1993-07-01,1993,1,7,DERAL12_PRFEC12,1993-07-01T00:00:00-03:00,0.511285818
1993-08-01,1993,1,8,DERAL12_PRFEC12,1993-08-01T00:00:00-03:00,0.677890909
1993-09-01,1993,1,9,DERAL12_PRFEC12,1993-09-01T00:00:00-03:00,1.006909091
1993-10-01,1993,1,10,DERAL12_PRFEC12,1993-10-01T00:00:00-03:00,1.4232
1993-11-01,1993,1,11,DERAL12_PRFEC12,1993-11-01T00:00:00-03:00,2.076654545
1993-12-01,1993,1,12,DERAL12_PRFEC12,1993-12-01T00:00:00-02:00,3.040581818
1994-01-01,1994,1,1,DERAL12_PRFEC12,1994-01-01T00:00:00-02:00,4.395709091
1994-02-01,1994,1,2,DERAL12_PRFEC12,1994-02-01T00:00:00-02:00,9.831927273
1994-03-01,1994,1,3,DERAL12_PRFEC12,1994-03-01T00:00:00-03:00,17.452145455
