DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRFEP12,1990-01-01T00:00:00-02:00,0.000152269
1990-02-01,1990,1,2,DERAL12_PRFEP12,1990-02-01T00:00:00-02:00,0.000197695
1990-03-01,1990,1,3,DERAL12_PRFEP12,1990-03-01T00:00:00-03:00,0.000387429
1990-04-01,1990,1,4,DERAL12_PRFEP12,1990-04-01T00:00:00-03:00,0.00042472
1990-05-01,1990,1,5,DERAL12_PRFEP12,1990-05-01T00:00:00-03:00,0.000558047
1990-06-01,1990,1,6,DERAL12_PRFEP12,1990-06-01T00:00:00-03:00,0.000808571
1990-07-01,1990,1,7,DERAL12_PRFEP12,1990-07-01T00:00:00-03:00,0.000935909
1990-08-01,1990,1,8,DERAL12_PRFEP12,1990-08-01T00:00:00-03:00,0.000939404
1990-09-01,1990,1,9,DERAL12_PRFEP12,1990-09-01T00:00:00-03:00,0.000944709
1990-10-01,1990,1,10,DERAL12_PRFEP12,1990-10-01T00:00:00-03:00,0.001001447
1990-11-01,1990,1,11,DERAL12_PRFEP12,1990-11-01T00:00:00-03:00,0.001115004
1990-12-01,1990,1,12,DERAL12_PRFEP12,1990-12-01T00:00:00-02:00,0.001121269
1991-01-01,1991,1,1,DERAL12_PRFEP12,1991-01-01T00:00:00-02:00,0.001395436
1991-02-01,1991,1,2,DERAL12_PRFEP12,1991-02-01T00:00:00-02:00,0.001724785
1991-03-01,1991,1,3,DERAL12_PRFEP12,1991-03-01T00:00:00-03:00,0.001841055
1991-04-01,1991,1,4,DERAL12_PRFEP12,1991-04-01T00:00:00-03:00,0.002453891
1991-05-01,1991,1,5,DERAL12_PRFEP12,1991-05-01T00:00:00-03:00,0.002952218
1991-06-01,1991,1,6,DERAL12_PRFEP12,1991-06-01T00:00:00-03:00,0.003146836
1991-07-01,1991,1,7,DERAL12_PRFEP12,1991-07-01T00:00:00-03:00,0.003030764
1991-08-01,1991,1,8,DERAL12_PRFEP12,1991-08-01T00:00:00-03:00,0.002901818
1991-09-01,1991,1,9,DERAL12_PRFEP12,1991-09-01T00:00:00-03:00,0.003088364
1991-10-01,1991,1,10,DERAL12_PRFEP12,1991-10-01T00:00:00-03:00,0.004155273
1991-11-01,1991,1,11,DERAL12_PRFEP12,1991-11-01T00:00:00-03:00,0.004674109
