DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1990-01-01,1990,1,1,DERAL12_PRTRG12,1990-01-01T00:00:00-02:00,4.2742e-05
1990-02-01,1990,1,2,DERAL12_PRTRG12,1990-02-01T00:00:00-02:00,6.6742e-05
1990-03-01,1990,1,3,DERAL12_PRTRG12,1990-03-01T00:00:00-03:00,0.000115309
1990-04-01,1990,1,4,DERAL12_PRTRG12,1990-04-01T00:00:00-03:00,0.000162891
1990-05-01,1990,1,5,DERAL12_PRTRG12,1990-05-01T00:00:00-03:00,0.000162891
1990-06-01,1990,1,6,DERAL12_PRTRG12,1990-06-01T00:00:00-03:00,0.000171651
1990-07-01,1990,1,7,DERAL12_PRTRG12,1990-07-01T00:00:00-03:00,0.000188149
1990-08-01,1990,1,8,DERAL12_PRTRG12,1990-08-01T00:00:00-03:00,0.000208447
1990-09-01,1990,1,9,DERAL12_PRTRG12,1990-09-01T00:00:00-03:00,0.000230502
1990-10-01,1990,1,10,DERAL12_PRTRG12,1990-10-01T00:00:00-03:00,0.000291342
1990-11-01,1990,1,11,DERAL12_PRTRG12,1990-11-01T00:00:00-03:00,0.000337745
1990-12-01,1990,1,12,DERAL12_PRTRG12,1990-12-01T00:00:00-02:00,0.000401891
1991-01-01,1991,1,1,DERAL12_PRTRG12,1991-01-01T00:00:00-02:00,0.000494382
1991-02-01,1991,1,2,DERAL12_PRTRG12,1991-02-01T00:00:00-02:00,0.00060848
1991-03-01,1991,1,3,DERAL12_PRTRG12,1991-03-01T00:00:00-03:00,0.000616582
1991-04-01,1991,1,4,DERAL12_PRTRG12,1991-04-01T00:00:00-03:00,0.000632727
1991-05-01,1991,1,5,DERAL12_PRTRG12,1991-05-01T00:00:00-03:00,0.000666545
1991-06-01,1991,1,6,DERAL12_PRTRG12,1991-06-01T00:00:00-03:00,0.000721309
1991-07-01,1991,1,7,DERAL12_PRTRG12,1991-07-01T00:00:00-03:00,0.000783273
1991-08-01,1991,1,8,DERAL12_PRTRG12,1991-08-01T00:00:00-03:00,0.000921455
1991-09-01,1991,1,9,DERAL12_PRTRG12,1991-09-01T00:00:00-03:00,0.001030909
1991-10-01,1991,1,10,DERAL12_PRTRG12,1991-10-01T00:00:00-03:00,0.001258473
1991-11-01,1991,1,11,DERAL12_PRTRG12,1991-11-01T00:00:00-03:00,0.001619782
1991-12-01,1991,1,12,DERAL12_PRTRG12,1991-12-01T00:00:00-02:00,0.002034545
1992-01-01,1992,1,1,DERAL12_PRTRG12,1992-01-01T00:00:00-02:00,0.0027096
1992-02-01,1992,1,2,DERAL12_PRTRG12,1992-02-01T00:00:00-02:00,0.003732655
1992-03-01,1992,1,3,DERAL12_PRTRG12,1992-03-01T00:00:00-03:00,0.004954036
1992-04-01,1992,1,4,DERAL12_PRTRG12,1992-04-01T00:00:00-03:00,0.006682473
1992-05-01,1992,1,5,DERAL12_PRTRG12,1992-05-01T00:00:00-03:00,0.008183127
1992-06-01,1992,1,6,DERAL12_PRTRG12,1992-06-01T00:00:00-03:00,0.010110545
1992-07-01,1992,1,7,DERAL12_PRTRG12,1992-07-01T00:00:00-03:00,0.012667418
1992-08-01,1992,1,8,DERAL12_PRTRG12,1992-08-01T00:00:00-03:00,0.014237018
1992-09-01,1992,1,9,DERAL12_PRTRG12,1992-09-01T00:00:00-03:00,0.017934545
1992-10-01,1992,1,10,DERAL12_PRTRG12,1992-10-01T00:00:00-03:00,0.022280509
1992-11-01,1992,1,11,DERAL12_PRTRG12,1992-11-01T00:00:00-03:00,0.027590618
1992-12-01,1992,1,12,DERAL12_PRTRG12,1992-12-01T00:00:00-02:00,0.033707782
1993-01-01,1993,1,1,DERAL12_PRTRG12,1993-01-01T00:00:00-02:00,0.041626982
1993-02-01,1993,1,2,DERAL12_PRTRG12,1993-02-01T00:00:00-02:00,0.052940073
1993-03-01,1993,1,3,DERAL12_PRTRG12,1993-03-01T00:00:00-03:00,0.066683564
1993-04-01,1993,1,4,DERAL12_PRTRG12,1993-04-01T00:00:00-03:00,0.083218255
1993-05-01,1993,1,5,DERAL12_PRTRG12,1993-05-01T00:00:00-03:00,0.106901018
1993-06-01,1993,1,6,DERAL12_PRTRG12,1993-06-01T00:00:00-03:00,0.140475636
1993-07-01,1993,1,7,DERAL12_PRTRG12,1993-07-01T00:00:00-03:00,0.184023273
1993-08-01,1993,1,8,DERAL12_PRTRG12,1993-08-01T00:00:00-03:00,0.228436364
1993-09-01,1993,1,9,DERAL12_PRTRG12,1993-09-01T00:00:00-03:00,0.284945455
1993-10-01,1993,1,10,DERAL12_PRTRG12,1993-10-01T00:00:00-03:00,0.385527273
1993-11-01,1993,1,11,DERAL12_PRTRG12,1993-11-01T00:00:00-03:00,0.510109091
1993-12-01,1993,1,12,DERAL12_PRTRG12,1993-12-01T00:00:00-02:00,0.696654545
1994-01-01,1994,1,1,DERAL12_PRTRG12,1994-01-01T00:00:00-02:00,1.011272727
1994-02-01,1994,1,2,DERAL12_PRTRG12,1994-02-01T00:00:00-02:00,1.402254545
1994-03-01,1994,1,3,DERAL12_PRTRG12,1994-03-01T00:00:00-03:00,1.868727273
1994-04-01,1994,1,4,DERAL12_PRTRG12,1994-04-01T00:00:00-03:00,2.656581818
1994-05-01,1994,1,5,DERAL12_PRTRG12,1994-05-01T00:00:00-03:00,3.800509091
1994-06-01,1994,1,6,DERAL12_PRTRG12,1994-06-01T00:00:00-03:00,5.523709091
1994-07-01,1994,1,7,DERAL12_PRTRG12,1994-07-01T00:00:00-03:00,6.73
1994-08-01,1994,1,8,DERAL12_PRTRG12,1994-08-01T00:00:00-03:00,6.7
1994-09-01,1994,1,9,DERAL12_PRTRG12,1994-09-01T00:00:00-03:00,6.76
