DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1959-01-01,1959,1,1,DIEESE12_CBSP12,1959-01-01T00:00:00-02:00,4.44512727272727e-13
1959-02-01,1959,1,2,DIEESE12_CBSP12,1959-02-01T00:00:00-02:00,5.14e-13
1959-03-01,1959,1,3,DIEESE12_CBSP12,1959-03-01T00:00:00-03:00,5.30781818181818e-13
1959-04-01,1959,1,4,DIEESE12_CBSP12,1959-04-01T00:00:00-03:00,5.43392727272727e-13
1959-05-01,1959,1,5,DIEESE12_CBSP12,1959-05-01T00:00:00-03:00,5.91338181818182e-13
1959-06-01,1959,1,6,DIEESE12_CBSP12,1959-06-01T00:00:00-03:00,6.03610909090909e-13
1959-07-01,1959,1,7,DIEESE12_CBSP12,1959-07-01T00:00:00-03:00,5.72436363636364e-13
1959-08-01,1959,1,8,DIEESE12_CBSP12,1959-08-01T00:00:00-03:00,6.18545454545455e-13
1959-09-01,1959,1,9,DIEESE12_CBSP12,1959-09-01T00:00:00-03:00,6.10654545454545e-13
1959-10-01,1959,1,10,DIEESE12_CBSP12,1959-10-01T00:00:00-03:00,6.56174545454545e-13
1959-11-01,1959,1,11,DIEESE12_CBSP12,1959-11-01T00:00:00-03:00,6.86945454545455e-13
1959-12-01,1959,1,12,DIEESE12_CBSP12,1959-12-01T00:00:00-02:00,7.09763636363636e-13
1960-01-01,1960,1,1,DIEESE12_CBSP12,1960-01-01T00:00:00-02:00,6.98745454545455e-13
1960-02-01,1960,1,2,DIEESE12_CBSP12,1960-02-01T00:00:00-02:00,7.06509090909091e-13
1960-03-01,1960,1,3,DIEESE12_CBSP12,1960-03-01T00:00:00-03:00,7.13236363636364e-13
1960-04-01,1960,1,4,DIEESE12_CBSP12,1960-04-01T00:00:00-03:00,7.48090909090909e-13
1960-05-01,1960,1,5,DIEESE12_CBSP12,1960-05-01T00:00:00-03:00,7.75163636363636e-13
1960-06-01,1960,1,6,DIEESE12_CBSP12,1960-06-01T00:00:00-03:00,7.68272727272727e-13
1960-07-01,1960,1,7,DIEESE12_CBSP12,1960-07-01T00:00:00-03:00,7.83854545454545e-13
1960-08-01,1960,1,8,DIEESE12_CBSP12,1960-08-01T00:00:00-03:00,7.83436363636364e-13
1960-09-01,1960,1,9,DIEESE12_CBSP12,1960-09-01T00:00:00-03:00,8.72018181818182e-13
1960-10-01,1960,1,10,DIEESE12_CBSP12,1960-10-01T00:00:00-03:00,9.54527272727273e-13
1960-11-01,1960,1,11,DIEESE12_CBSP12,1960-11-01T00:00:00-03:00,1.03323636363636e-12
1960-12-01,1960,1,12,DIEESE12_CBSP12,1960-12-01T00:00:00-02:00,1.02630909090909e-12
1961-01-01,1961,1,1,DIEESE12_CBSP12,1961-01-01T00:00:00-02:00,9.92436363636363e-13
1961-02-01,1961,1,2,DIEESE12_CBSP12,1961-02-01T00:00:00-02:00,9.508e-13
1961-03-01,1961,1,3,DIEESE12_CBSP12,1961-03-01T00:00:00-03:00,9.95309090909091e-13
1961-04-01,1961,1,4,DIEESE12_CBSP12,1961-04-01T00:00:00-03:00,1.0436e-12
1961-05-01,1961,1,5,DIEESE12_CBSP12,1961-05-01T00:00:00-03:00,1.04861818181818e-12
1961-06-01,1961,1,6,DIEESE12_CBSP12,1961-06-01T00:00:00-03:00,1.05118181818182e-12
1961-07-01,1961,1,7,DIEESE12_CBSP12,1961-07-01T00:00:00-03:00,1.04816363636364e-12
1961-08-01,1961,1,8,DIEESE12_CBSP12,1961-08-01T00:00:00-03:00,1.07392727272727e-12
1961-09-01,1961,1,9,DIEESE12_CBSP12,1961-09-01T00:00:00-03:00,1.19194545454545e-12
1961-10-01,1961,1,10,DIEESE12_CBSP12,1961-10-01T00:00:00-03:00,1.34784727272727e-12
1961-11-01,1961,1,11,DIEESE12_CBSP12,1961-11-01T00:00:00-03:00,1.37765454545455e-12
1961-12-01,1961,1,12,DIEESE12_CBSP12,1961-12-01T00:00:00-02:00,1.39358181818182e-12
1962-01-01,1962,1,1,DIEESE12_CBSP12,1962-01-01T00:00:00-02:00,1.46261818181818e-12
1962-02-01,1962,1,2,DIEESE12_CBSP12,1962-02-01T00:00:00-02:00,1.49981818181818e-12
1962-03-01,1962,1,3,DIEESE12_CBSP12,1962-03-01T00:00:00-03:00,1.59658181818182e-12
1962-04-01,1962,1,4,DIEESE12_CBSP12,1962-04-01T00:00:00-03:00,1.71585454545455e-12
1962-05-01,1962,1,5,DIEESE12_CBSP12,1962-05-01T00:00:00-03:00,1.90841818181818e-12
1962-06-01,1962,1,6,DIEESE12_CBSP12,1962-06-01T00:00:00-03:00,1.90463636363636e-12
1962-07-01,1962,1,7,DIEESE12_CBSP12,1962-07-01T00:00:00-03:00,1.98261818181818e-12
1962-08-01,1962,1,8,DIEESE12_CBSP12,1962-08-01T00:00:00-03:00,2.04750909090909e-12
1962-09-01,1962,1,9,DIEESE12_CBSP12,1962-09-01T00:00:00-03:00,2.11132727272727e-12
1962-10-01,1962,1,10,DIEESE12_CBSP12,1962-10-01T00:00:00-03:00,2.19932e-12
1962-11-01,1962,1,11,DIEESE12_CBSP12,1962-11-01T00:00:00-03:00,2.30593818181818e-12
1962-12-01,1962,1,12,DIEESE12_CBSP12,1962-12-01T00:00:00-02:00,2.22297454545455e-12
1963-01-01,1963,1,1,DIEESE12_CBSP12,1963-01-01T00:00:00-02:00,2.37164363636364e-12
1963-02-01,1963,1,2,DIEESE12_CBSP12,1963-02-01T00:00:00-02:00,2.54321090909091e-12
1963-03-01,1963,1,3,DIEESE12_CBSP12,1963-03-01T00:00:00-03:00,2.53503636363636e-12
1963-04-01,1963,1,4,DIEESE12_CBSP12,1963-04-01T00:00:00-03:00,2.59692e-12
1963-05-01,1963,1,5,DIEESE12_CBSP12,1963-05-01T00:00:00-03:00,2.72684727272727e-12
1963-06-01,1963,1,6,DIEESE12_CBSP12,1963-06-01T00:00:00-03:00,2.89978181818182e-12
1963-07-01,1963,1,7,DIEESE12_CBSP12,1963-07-01T00:00:00-03:00,2.91368363636364e-12
1963-08-01,1963,1,8,DIEESE12_CBSP12,1963-08-01T00:00:00-03:00,3.12161818181818e-12
1963-09-01,1963,1,9,DIEESE12_CBSP12,1963-09-01T00:00:00-03:00,3.40901818181818e-12
1963-10-01,1963,1,10,DIEESE12_CBSP12,1963-10-01T00:00:00-03:00,4.11592e-12
1963-11-01,1963,1,11,DIEESE12_CBSP12,1963-11-01T00:00:00-03:00,4.29585454545455e-12
1963-12-01,1963,1,12,DIEESE12_CBSP12,1963-12-01T00:00:00-02:00,4.42757454545455e-12
1964-01-01,1964,1,1,DIEESE12_CBSP12,1964-01-01T00:00:00-02:00,4.39574545454545e-12
1964-02-01,1964,1,2,DIEESE12_CBSP12,1964-02-01T00:00:00-02:00,4.98407272727273e-12
1964-03-01,1964,1,3,DIEESE12_CBSP12,1964-03-01T00:00:00-03:00,
1964-04-01,1964,1,4,DIEESE12_CBSP12,1964-04-01T00:00:00-03:00,
1964-05-01,1964,1,5,DIEESE12_CBSP12,1964-05-01T00:00:00-03:00,
1964-06-01,1964,1,6,DIEESE12_CBSP12,1964-06-01T00:00:00-03:00,
1964-07-01,1964,1,7,DIEESE12_CBSP12,1964-07-01T00:00:00-03:00,
1964-08-01,1964,1,8,DIEESE12_CBSP12,1964-08-01T00:00:00-03:00,
1964-09-01,1964,1,9,DIEESE12_CBSP12,1964-09-01T00:00:00-03:00,
1964-10-01,1964,1,10,DIEESE12_CBSP12,1964-10-01T00:00:00-03:00,
1964-11-01,1964,1,11,DIEESE12_CBSP12,1964-11-01T00:00:00-03:00,
1964-12-01,1964,1,12,DIEESE12_CBSP12,1964-12-01T00:00:00-02:00,
1965-01-01,1965,1,1,DIEESE12_CBSP12,1965-01-01T00:00:00-02:00,7.11512727272727e-12
1965-02-01,1965,1,2,DIEESE12_CBSP12,1965-02-01T00:00:00-02:00,7.42014545454545e-12
1965-03-01,1965,1,3,DIEESE12_CBSP12,1965-03-01T00:00:00-03:00,7.74389090909091e-12
1965-04-01,1965,1,4,DIEESE12_CBSP12,1965-04-01T00:00:00-03:00,7.9252e-12
1965-05-01,1965,1,5,DIEESE12_CBSP12,1965-05-01T00:00:00-03:00,8.59669090909091e-12
1965-06-01,1965,1,6,DIEESE12_CBSP12,1965-06-01T00:00:00-03:00,8.26136363636364e-12
1965-07-01,1965,1,7,DIEESE12_CBSP12,1965-07-01T00:00:00-03:00,8.19407272727273e-12
1965-08-01,1965,1,8,DIEESE12_CBSP12,1965-08-01T00:00:00-03:00,8.32707272727273e-12
1965-09-01,1965,1,9,DIEESE12_CBSP12,1965-09-01T00:00:00-03:00,8.99516363636364e-12
1965-10-01,1965,1,10,DIEESE12_CBSP12,1965-10-01T00:00:00-03:00,9.24181818181818e-12
1965-11-01,1965,1,11,DIEESE12_CBSP12,1965-11-01T00:00:00-03:00,8.83098181818182e-12
1965-12-01,1965,1,12,DIEESE12_CBSP12,1965-12-01T00:00:00-02:00,8.71192727272727e-12
