DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1976-01-01,1976,1,1,ELETRO12_CEEOUT12,1976-01-01T00:00:00-02:00,726.0
1976-02-01,1976,1,2,ELETRO12_CEEOUT12,1976-02-01T00:00:00-02:00,715.200000000001
1976-03-01,1976,1,3,ELETRO12_CEEOUT12,1976-03-01T00:00:00-03:00,713.2
1976-04-01,1976,1,4,ELETRO12_CEEOUT12,1976-04-01T00:00:00-03:00,748.4
1976-05-01,1976,1,5,ELETRO12_CEEOUT12,1976-05-01T00:00:00-03:00,760.1
1976-06-01,1976,1,6,ELETRO12_CEEOUT12,1976-06-01T00:00:00-03:00,766.8
1976-07-01,1976,1,7,ELETRO12_CEEOUT12,1976-07-01T00:00:00-03:00,768.400000000001
1976-08-01,1976,1,8,ELETRO12_CEEOUT12,1976-08-01T00:00:00-03:00,785.700000000001
1976-09-01,1976,1,9,ELETRO12_CEEOUT12,1976-09-01T00:00:00-03:00,775.2
1976-10-01,1976,1,10,ELETRO12_CEEOUT12,1976-10-01T00:00:00-03:00,795.400000000001
1976-11-01,1976,1,11,ELETRO12_CEEOUT12,1976-11-01T00:00:00-03:00,785.7
1976-12-01,1976,1,12,ELETRO12_CEEOUT12,1976-12-01T00:00:00-02:00,776.1
1977-01-01,1977,1,1,ELETRO12_CEEOUT12,1977-01-01T00:00:00-02:00,831.500000000001
1977-02-01,1977,1,2,ELETRO12_CEEOUT12,1977-02-01T00:00:00-02:00,778.3
1977-03-01,1977,1,3,ELETRO12_CEEOUT12,1977-03-01T00:00:00-03:00,772.7
1977-04-01,1977,1,4,ELETRO12_CEEOUT12,1977-04-01T00:00:00-03:00,834.299999999999
1977-05-01,1977,1,5,ELETRO12_CEEOUT12,1977-05-01T00:00:00-03:00,836.999999999999
1977-06-01,1977,1,6,ELETRO12_CEEOUT12,1977-06-01T00:00:00-03:00,818.2
1977-07-01,1977,1,7,ELETRO12_CEEOUT12,1977-07-01T00:00:00-03:00,828.400000000001
1977-08-01,1977,1,8,ELETRO12_CEEOUT12,1977-08-01T00:00:00-03:00,864.599999999999
1977-09-01,1977,1,9,ELETRO12_CEEOUT12,1977-09-01T00:00:00-03:00,887.099999999999
1977-10-01,1977,1,10,ELETRO12_CEEOUT12,1977-10-01T00:00:00-03:00,878.999999999999
1977-11-01,1977,1,11,ELETRO12_CEEOUT12,1977-11-01T00:00:00-03:00,872.0
1977-12-01,1977,1,12,ELETRO12_CEEOUT12,1977-12-01T00:00:00-02:00,854.2
1978-01-01,1978,1,1,ELETRO12_CEEOUT12,1978-01-01T00:00:00-02:00,892.7
1978-02-01,1978,1,2,ELETRO12_CEEOUT12,1978-02-01T00:00:00-02:00,895.6
1978-03-01,1978,1,3,ELETRO12_CEEOUT12,1978-03-01T00:00:00-03:00,863.2
1978-04-01,1978,1,4,ELETRO12_CEEOUT12,1978-04-01T00:00:00-03:00,927.1
1978-05-01,1978,1,5,ELETRO12_CEEOUT12,1978-05-01T00:00:00-03:00,895.400000000001
1978-06-01,1978,1,6,ELETRO12_CEEOUT12,1978-06-01T00:00:00-03:00,923.5
1978-07-01,1978,1,7,ELETRO12_CEEOUT12,1978-07-01T00:00:00-03:00,931.900000000001
1978-08-01,1978,1,8,ELETRO12_CEEOUT12,1978-08-01T00:00:00-03:00,935.899999999999
1978-09-01,1978,1,9,ELETRO12_CEEOUT12,1978-09-01T00:00:00-03:00,952.5
1978-10-01,1978,1,10,ELETRO12_CEEOUT12,1978-10-01T00:00:00-03:00,957.699999999999
1978-11-01,1978,1,11,ELETRO12_CEEOUT12,1978-11-01T00:00:00-03:00,958.200000000001
1978-12-01,1978,1,12,ELETRO12_CEEOUT12,1978-12-01T00:00:00-02:00,946.999999999999
1979-01-01,1979,1,1,ELETRO12_CEEOUT12,1979-01-01T00:00:00-02:00,982.0
1979-02-01,1979,1,2,ELETRO12_CEEOUT12,1979-02-01T00:00:00-02:00,961.0
1979-03-01,1979,1,3,ELETRO12_CEEOUT12,1979-03-01T00:00:00-03:00,986.0
1979-04-01,1979,1,4,ELETRO12_CEEOUT12,1979-04-01T00:00:00-03:00,1008.0
1979-05-01,1979,1,5,ELETRO12_CEEOUT12,1979-05-01T00:00:00-03:00,997.0
1979-06-01,1979,1,6,ELETRO12_CEEOUT12,1979-06-01T00:00:00-03:00,1016.0
1979-07-01,1979,1,7,ELETRO12_CEEOUT12,1979-07-01T00:00:00-03:00,1030.0
1979-08-01,1979,1,8,ELETRO12_CEEOUT12,1979-08-01T00:00:00-03:00,1035.0
1979-09-01,1979,1,9,ELETRO12_CEEOUT12,1979-09-01T00:00:00-03:00,1059.0
1979-10-01,1979,1,10,ELETRO12_CEEOUT12,1979-10-01T00:00:00-03:00,1050.0
1979-11-01,1979,1,11,ELETRO12_CEEOUT12,1979-11-01T00:00:00-03:00,1070.0
1979-12-01,1979,1,12,ELETRO12_CEEOUT12,1979-12-01T00:00:00-02:00,1057.0
1980-01-01,1980,1,1,ELETRO12_CEEOUT12,1980-01-01T00:00:00-02:00,1082.0
1980-02-01,1980,1,2,ELETRO12_CEEOUT12,1980-02-01T00:00:00-02:00,1074.0
1980-03-01,1980,1,3,ELETRO12_CEEOUT12,1980-03-01T00:00:00-03:00,1086.0
1980-04-01,1980,1,4,ELETRO12_CEEOUT12,1980-04-01T00:00:00-03:00,1076.0
1980-05-01,1980,1,5,ELETRO12_CEEOUT12,1980-05-01T00:00:00-03:00,1173.0
1980-06-01,1980,1,6,ELETRO12_CEEOUT12,1980-06-01T00:00:00-03:00,1128.0
1980-07-01,1980,1,7,ELETRO12_CEEOUT12,1980-07-01T00:00:00-03:00,1123.0
1980-08-01,1980,1,8,ELETRO12_CEEOUT12,1980-08-01T00:00:00-03:00,1166.0
1980-09-01,1980,1,9,ELETRO12_CEEOUT12,1980-09-01T00:00:00-03:00,1164.0
1980-10-01,1980,1,10,ELETRO12_CEEOUT12,1980-10-01T00:00:00-03:00,1163.0
1980-11-01,1980,1,11,ELETRO12_CEEOUT12,1980-11-01T00:00:00-03:00,1168.0
1980-12-01,1980,1,12,ELETRO12_CEEOUT12,1980-12-01T00:00:00-02:00,1232.0
1981-01-01,1981,1,1,ELETRO12_CEEOUT12,1981-01-01T00:00:00-02:00,1242.0
1981-02-01,1981,1,2,ELETRO12_CEEOUT12,1981-02-01T00:00:00-02:00,1167.0
1981-03-01,1981,1,3,ELETRO12_CEEOUT12,1981-03-01T00:00:00-03:00,1237.0
1981-04-01,1981,1,4,ELETRO12_CEEOUT12,1981-04-01T00:00:00-03:00,1185.0
1981-05-01,1981,1,5,ELETRO12_CEEOUT12,1981-05-01T00:00:00-03:00,1210.0
1981-06-01,1981,1,6,ELETRO12_CEEOUT12,1981-06-01T00:00:00-03:00,1220.0
1981-07-01,1981,1,7,ELETRO12_CEEOUT12,1981-07-01T00:00:00-03:00,1239.0
1981-08-01,1981,1,8,ELETRO12_CEEOUT12,1981-08-01T00:00:00-03:00,1273.0
1981-09-01,1981,1,9,ELETRO12_CEEOUT12,1981-09-01T00:00:00-03:00,1279.0
1981-10-01,1981,1,10,ELETRO12_CEEOUT12,1981-10-01T00:00:00-03:00,1287.0
1981-11-01,1981,1,11,ELETRO12_CEEOUT12,1981-11-01T00:00:00-03:00,1268.0
1981-12-01,1981,1,12,ELETRO12_CEEOUT12,1981-12-01T00:00:00-02:00,1261.0
1982-01-01,1982,1,1,ELETRO12_CEEOUT12,1982-01-01T00:00:00-02:00,1352.0
1982-02-01,1982,1,2,ELETRO12_CEEOUT12,1982-02-01T00:00:00-02:00,1281.0
