DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1987-01-01,1987,1,1,ELETRO12_CEETIND12,1987-01-01T00:00:00-02:00,1.5179e-07
1987-02-01,1987,1,2,ELETRO12_CEETIND12,1987-02-01T00:00:00-02:00,1.5335e-07
1987-03-01,1987,1,3,ELETRO12_CEETIND12,1987-03-01T00:00:00-03:00,1.8314e-07
1987-04-01,1987,1,4,ELETRO12_CEETIND12,1987-04-01T00:00:00-03:00,2.4099e-07
1987-05-01,1987,1,5,ELETRO12_CEETIND12,1987-05-01T00:00:00-03:00,3.7101e-07
1987-06-01,1987,1,6,ELETRO12_CEETIND12,1987-06-01T00:00:00-03:00,5.2452e-07
1987-07-01,1987,1,7,ELETRO12_CEETIND12,1987-07-01T00:00:00-03:00,6.1459e-07
1987-08-01,1987,1,8,ELETRO12_CEETIND12,1987-08-01T00:00:00-03:00,6.0699e-07
1987-09-01,1987,1,9,ELETRO12_CEETIND12,1987-09-01T00:00:00-03:00,6.287e-07
1987-10-01,1987,1,10,ELETRO12_CEETIND12,1987-10-01T00:00:00-03:00,6.8904e-07
1987-11-01,1987,1,11,ELETRO12_CEETIND12,1987-11-01T00:00:00-03:00,7.6572e-07
1987-12-01,1987,1,12,ELETRO12_CEETIND12,1987-12-01T00:00:00-02:00,8.7485e-07
1988-01-01,1988,1,1,ELETRO12_CEETIND12,1988-01-01T00:00:00-02:00,9.8182e-07
1988-02-01,1988,1,2,ELETRO12_CEETIND12,1988-02-01T00:00:00-02:00,1.12727e-06
1988-03-01,1988,1,3,ELETRO12_CEETIND12,1988-03-01T00:00:00-03:00,1.37455e-06
1988-04-01,1988,1,4,ELETRO12_CEETIND12,1988-04-01T00:00:00-03:00,1.54182e-06
1988-05-01,1988,1,5,ELETRO12_CEETIND12,1988-05-01T00:00:00-03:00,1.92e-06
1988-06-01,1988,1,6,ELETRO12_CEETIND12,1988-06-01T00:00:00-03:00,2.29818e-06
1988-07-01,1988,1,7,ELETRO12_CEETIND12,1988-07-01T00:00:00-03:00,2.80364e-06
1988-08-01,1988,1,8,ELETRO12_CEETIND12,1988-08-01T00:00:00-03:00,3.37455e-06
1988-09-01,1988,1,9,ELETRO12_CEETIND12,1988-09-01T00:00:00-03:00,4.52e-06
1988-10-01,1988,1,10,ELETRO12_CEETIND12,1988-10-01T00:00:00-03:00,5.65818e-06
1988-11-01,1988,1,11,ELETRO12_CEETIND12,1988-11-01T00:00:00-03:00,7.09455e-06
1988-12-01,1988,1,12,ELETRO12_CEETIND12,1988-12-01T00:00:00-02:00,8.77818e-06
1989-01-01,1989,1,1,ELETRO12_CEETIND12,1989-01-01T00:00:00-02:00,1.133455e-05
1989-02-01,1989,1,2,ELETRO12_CEETIND12,1989-02-01T00:00:00-02:00,1.432727e-05
1989-03-01,1989,1,3,ELETRO12_CEETIND12,1989-03-01T00:00:00-03:00,1.424364e-05
1989-04-01,1989,1,4,ELETRO12_CEETIND12,1989-04-01T00:00:00-03:00,1.416727e-05
1989-05-01,1989,1,5,ELETRO12_CEETIND12,1989-05-01T00:00:00-03:00,1.567636e-05
1989-06-01,1989,1,6,ELETRO12_CEETIND12,1989-06-01T00:00:00-03:00,1.813818e-05
1989-07-01,1989,1,7,ELETRO12_CEETIND12,1989-07-01T00:00:00-03:00,2.363273e-05
1989-08-01,1989,1,8,ELETRO12_CEETIND12,1989-08-01T00:00:00-03:00,2.637091e-05
1989-09-01,1989,1,9,ELETRO12_CEETIND12,1989-09-01T00:00:00-03:00,3.630182e-05
1989-10-01,1989,1,10,ELETRO12_CEETIND12,1989-10-01T00:00:00-03:00,5.754909e-05
1989-11-01,1989,1,11,ELETRO12_CEETIND12,1989-11-01T00:00:00-03:00,8.289818e-05
1989-12-01,1989,1,12,ELETRO12_CEETIND12,1989-12-01T00:00:00-02:00,0.000116
