DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1994-06-01,1994,1,6,FCESP12_IICF12,1994-06-01T00:00:00-03:00,102.431625599578
1994-07-01,1994,1,7,FCESP12_IICF12,1994-07-01T00:00:00-03:00,115.585478641357
1994-08-01,1994,1,8,FCESP12_IICF12,1994-08-01T00:00:00-03:00,132.595240592762
1994-09-01,1994,1,9,FCESP12_IICF12,1994-09-01T00:00:00-03:00,129.598631117819
1994-10-01,1994,1,10,FCESP12_IICF12,1994-10-01T00:00:00-03:00,129.462287671657
1994-11-01,1994,1,11,FCESP12_IICF12,1994-11-01T00:00:00-03:00,135.285365727407
1994-12-01,1994,1,12,FCESP12_IICF12,1994-12-01T00:00:00-02:00,136.193295546032
1995-01-01,1995,1,1,FCESP12_IICF12,1995-01-01T00:00:00-02:00,139.475278270414
1995-02-01,1995,1,2,FCESP12_IICF12,1995-02-01T00:00:00-02:00,139.272032575306
1995-03-01,1995,1,3,FCESP12_IICF12,1995-03-01T00:00:00-03:00,126.94713217525
1995-04-01,1995,1,4,FCESP12_IICF12,1995-04-01T00:00:00-03:00,117.803356562751
1995-05-01,1995,1,5,FCESP12_IICF12,1995-05-01T00:00:00-03:00,117.813780881552
1995-06-01,1995,1,6,FCESP12_IICF12,1995-06-01T00:00:00-03:00,115.174012823716
1995-07-01,1995,1,7,FCESP12_IICF12,1995-07-01T00:00:00-03:00,106.763600199955
1995-08-01,1995,1,8,FCESP12_IICF12,1995-08-01T00:00:00-03:00,107.292924805584
1995-09-01,1995,1,9,FCESP12_IICF12,1995-09-01T00:00:00-03:00,110.657388822207
1995-10-01,1995,1,10,FCESP12_IICF12,1995-10-01T00:00:00-03:00,109.387962283217
1995-11-01,1995,1,11,FCESP12_IICF12,1995-11-01T00:00:00-03:00,109.986664558926
1995-12-01,1995,1,12,FCESP12_IICF12,1995-12-01T00:00:00-02:00,109.830383833213
1996-01-01,1996,1,1,FCESP12_IICF12,1996-01-01T00:00:00-02:00,112.804221541332
1996-02-01,1996,1,2,FCESP12_IICF12,1996-02-01T00:00:00-02:00,114.475845133538
1996-03-01,1996,1,3,FCESP12_IICF12,1996-03-01T00:00:00-03:00,115.792275055903
1996-04-01,1996,1,4,FCESP12_IICF12,1996-04-01T00:00:00-03:00,112.308145892003
1996-05-01,1996,1,5,FCESP12_IICF12,1996-05-01T00:00:00-03:00,109.720586912592
1996-06-01,1996,1,6,FCESP12_IICF12,1996-06-01T00:00:00-03:00,111.195030892235
1996-07-01,1996,1,7,FCESP12_IICF12,1996-07-01T00:00:00-03:00,110.621555647435
1996-08-01,1996,1,8,FCESP12_IICF12,1996-08-01T00:00:00-03:00,113.778355261547
1996-09-01,1996,1,9,FCESP12_IICF12,1996-09-01T00:00:00-03:00,112.399707679007
1996-10-01,1996,1,10,FCESP12_IICF12,1996-10-01T00:00:00-03:00,114.033274472106
1996-11-01,1996,1,11,FCESP12_IICF12,1996-11-01T00:00:00-03:00,117.122162338341
1996-12-01,1996,1,12,FCESP12_IICF12,1996-12-01T00:00:00-02:00,117.577350129401
1997-01-01,1997,1,1,FCESP12_IICF12,1997-01-01T00:00:00-02:00,117.63528448116
1997-02-01,1997,1,2,FCESP12_IICF12,1997-02-01T00:00:00-02:00,117.193544921708
1997-03-01,1997,1,3,FCESP12_IICF12,1997-03-01T00:00:00-03:00,120.979594407302
1997-04-01,1997,1,4,FCESP12_IICF12,1997-04-01T00:00:00-03:00,119.413250887435
1997-05-01,1997,1,5,FCESP12_IICF12,1997-05-01T00:00:00-03:00,112.615118624953
1997-06-01,1997,1,6,FCESP12_IICF12,1997-06-01T00:00:00-03:00,108.441144191382
1997-07-01,1997,1,7,FCESP12_IICF12,1997-07-01T00:00:00-03:00,110.729168885695
1997-08-01,1997,1,8,FCESP12_IICF12,1997-08-01T00:00:00-03:00,109.774432709699
1997-09-01,1997,1,9,FCESP12_IICF12,1997-09-01T00:00:00-03:00,101.607510434873
1997-10-01,1997,1,10,FCESP12_IICF12,1997-10-01T00:00:00-03:00,99.0879130180246
1997-11-01,1997,1,11,FCESP12_IICF12,1997-11-01T00:00:00-03:00,103.011129823412
1997-12-01,1997,1,12,FCESP12_IICF12,1997-12-01T00:00:00-02:00,99.6420177318788
1998-01-01,1998,1,1,FCESP12_IICF12,1998-01-01T00:00:00-02:00,100.645599792278
1998-02-01,1998,1,2,FCESP12_IICF12,1998-02-01T00:00:00-02:00,109.844943876989
1998-03-01,1998,1,3,FCESP12_IICF12,1998-03-01T00:00:00-03:00,106.04186462684
1998-04-01,1998,1,4,FCESP12_IICF12,1998-04-01T00:00:00-03:00,96.7814527359781
1998-05-01,1998,1,5,FCESP12_IICF12,1998-05-01T00:00:00-03:00,94.1565163036393
1998-06-01,1998,1,6,FCESP12_IICF12,1998-06-01T00:00:00-03:00,100.437651251467
1998-07-01,1998,1,7,FCESP12_IICF12,1998-07-01T00:00:00-03:00,109.88860422339
1998-08-01,1998,1,8,FCESP12_IICF12,1998-08-01T00:00:00-03:00,117.311026386624
1998-09-01,1998,1,9,FCESP12_IICF12,1998-09-01T00:00:00-03:00,119.440557387349
1998-10-01,1998,1,10,FCESP12_IICF12,1998-10-01T00:00:00-03:00,120.673326505811
1998-11-01,1998,1,11,FCESP12_IICF12,1998-11-01T00:00:00-03:00,116.40234344985
1998-12-01,1998,1,12,FCESP12_IICF12,1998-12-01T00:00:00-02:00,102.755045557887
1999-01-01,1999,1,1,FCESP12_IICF12,1999-01-01T00:00:00-02:00,99.8088041883354
1999-02-01,1999,1,2,FCESP12_IICF12,1999-02-01T00:00:00-02:00,98.2778933071299
1999-03-01,1999,1,3,FCESP12_IICF12,1999-03-01T00:00:00-03:00,91.36
1999-04-01,1999,1,4,FCESP12_IICF12,1999-04-01T00:00:00-03:00,93.76
1999-05-01,1999,1,5,FCESP12_IICF12,1999-05-01T00:00:00-03:00,94.91
1999-06-01,1999,1,6,FCESP12_IICF12,1999-06-01T00:00:00-03:00,112.22
1999-07-01,1999,1,7,FCESP12_IICF12,1999-07-01T00:00:00-03:00,121.14
1999-08-01,1999,1,8,FCESP12_IICF12,1999-08-01T00:00:00-03:00,120.56
1999-09-01,1999,1,9,FCESP12_IICF12,1999-09-01T00:00:00-03:00,122.0
1999-10-01,1999,1,10,FCESP12_IICF12,1999-10-01T00:00:00-03:00,117.91
1999-11-01,1999,1,11,FCESP12_IICF12,1999-11-01T00:00:00-03:00,113.43
1999-12-01,1999,1,12,FCESP12_IICF12,1999-12-01T00:00:00-02:00,114.92
2000-01-01,2000,1,1,FCESP12_IICF12,2000-01-01T00:00:00-02:00,120.73
2000-02-01,2000,1,2,FCESP12_IICF12,2000-02-01T00:00:00-02:00,121.31
2000-03-01,2000,1,3,FCESP12_IICF12,2000-03-01T00:00:00-03:00,113.53
2000-04-01,2000,1,4,FCESP12_IICF12,2000-04-01T00:00:00-03:00,109.61
2000-05-01,2000,1,5,FCESP12_IICF12,2000-05-01T00:00:00-03:00,102.87
2000-06-01,2000,1,6,FCESP12_IICF12,2000-06-01T00:00:00-03:00,107.86
2000-07-01,2000,1,7,FCESP12_IICF12,2000-07-01T00:00:00-03:00,114.5
2000-08-01,2000,1,8,FCESP12_IICF12,2000-08-01T00:00:00-03:00,106.11
2000-09-01,2000,1,9,FCESP12_IICF12,2000-09-01T00:00:00-03:00,104.73
2000-10-01,2000,1,10,FCESP12_IICF12,2000-10-01T00:00:00-03:00,111.45
2000-11-01,2000,1,11,FCESP12_IICF12,2000-11-01T00:00:00-03:00,116.86
2000-12-01,2000,1,12,FCESP12_IICF12,2000-12-01T00:00:00-02:00,116.47
2001-01-01,2001,1,1,FCESP12_IICF12,2001-01-01T00:00:00-02:00,115.88
2001-02-01,2001,1,2,FCESP12_IICF12,2001-02-01T00:00:00-02:00,119.74
2001-03-01,2001,1,3,FCESP12_IICF12,2001-03-01T00:00:00-03:00,120.51
2001-04-01,2001,1,4,FCESP12_IICF12,2001-04-01T00:00:00-03:00,116.11
2001-05-01,2001,1,5,FCESP12_IICF12,2001-05-01T00:00:00-03:00,114.97
2001-06-01,2001,1,6,FCESP12_IICF12,2001-06-01T00:00:00-03:00,89.18
2001-07-01,2001,1,7,FCESP12_IICF12,2001-07-01T00:00:00-03:00,99.52
2001-08-01,2001,1,8,FCESP12_IICF12,2001-08-01T00:00:00-03:00,98.1
2001-09-01,2001,1,9,FCESP12_IICF12,2001-09-01T00:00:00-03:00,104.44
2001-10-01,2001,1,10,FCESP12_IICF12,2001-10-01T00:00:00-03:00,92.65
2001-11-01,2001,1,11,FCESP12_IICF12,2001-11-01T00:00:00-03:00,86.86
2001-12-01,2001,1,12,FCESP12_IICF12,2001-12-01T00:00:00-02:00,96.22
2002-01-01,2002,1,1,FCESP12_IICF12,2002-01-01T00:00:00-02:00,97.93
2002-02-01,2002,1,2,FCESP12_IICF12,2002-02-01T00:00:00-02:00,101.54
2002-03-01,2002,1,3,FCESP12_IICF12,2002-03-01T00:00:00-03:00,100.37
2002-04-01,2002,1,4,FCESP12_IICF12,2002-04-01T00:00:00-03:00,110.41
2002-05-01,2002,1,5,FCESP12_IICF12,2002-05-01T00:00:00-03:00,110.25
2002-06-01,2002,1,6,FCESP12_IICF12,2002-06-01T00:00:00-03:00,96.27
2002-07-01,2002,1,7,FCESP12_IICF12,2002-07-01T00:00:00-03:00,104.91
2002-08-01,2002,1,8,FCESP12_IICF12,2002-08-01T00:00:00-03:00,103.16
2002-09-01,2002,1,9,FCESP12_IICF12,2002-09-01T00:00:00-03:00,114.09
2002-10-01,2002,1,10,FCESP12_IICF12,2002-10-01T00:00:00-03:00,110.95
2002-11-01,2002,1,11,FCESP12_IICF12,2002-11-01T00:00:00-03:00,118.33
2002-12-01,2002,1,12,FCESP12_IICF12,2002-12-01T00:00:00-02:00,121.89
2003-01-01,2003,1,1,FCESP12_IICF12,2003-01-01T00:00:00-02:00,121.88
2003-02-01,2003,1,2,FCESP12_IICF12,2003-02-01T00:00:00-02:00,122.22
2003-03-01,2003,1,3,FCESP12_IICF12,2003-03-01T00:00:00-03:00,121.87
2003-04-01,2003,1,4,FCESP12_IICF12,2003-04-01T00:00:00-03:00,126.89
2003-05-01,2003,1,5,FCESP12_IICF12,2003-05-01T00:00:00-03:00,133.87
2003-06-01,2003,1,6,FCESP12_IICF12,2003-06-01T00:00:00-03:00,139.77
2003-07-01,2003,1,7,FCESP12_IICF12,2003-07-01T00:00:00-03:00,135.77
2003-08-01,2003,1,8,FCESP12_IICF12,2003-08-01T00:00:00-03:00,132.59
2003-09-01,2003,1,9,FCESP12_IICF12,2003-09-01T00:00:00-03:00,127.03
2003-10-01,2003,1,10,FCESP12_IICF12,2003-10-01T00:00:00-03:00,123.31
2003-11-01,2003,1,11,FCESP12_IICF12,2003-11-01T00:00:00-03:00,128.02
