DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1939-02-01,1939,1,2,FIPE12_FIPE0001,1939-02-01T00:00:00-02:00,-1.52
1939-03-01,1939,1,3,FIPE12_FIPE0001,1939-03-01T00:00:00-03:00,2.48
1939-04-01,1939,1,4,FIPE12_FIPE0001,1939-04-01T00:00:00-03:00,1.81
1939-05-01,1939,1,5,FIPE12_FIPE0001,1939-05-01T00:00:00-03:00,0.0
1939-06-01,1939,1,6,FIPE12_FIPE0001,1939-06-01T00:00:00-03:00,-0.3
1939-07-01,1939,1,7,FIPE12_FIPE0001,1939-07-01T00:00:00-03:00,-0.89
1939-08-01,1939,1,8,FIPE12_FIPE0001,1939-08-01T00:00:00-03:00,0.7
1939-09-01,1939,1,9,FIPE12_FIPE0001,1939-09-01T00:00:00-03:00,-0.99
1939-10-01,1939,1,10,FIPE12_FIPE0001,1939-10-01T00:00:00-03:00,1.31
1939-11-01,1939,1,11,FIPE12_FIPE0001,1939-11-01T00:00:00-03:00,0.3
1939-12-01,1939,1,12,FIPE12_FIPE0001,1939-12-01T00:00:00-02:00,-1.38
1940-01-01,1940,1,1,FIPE12_FIPE0001,1940-01-01T00:00:00-02:00,4.81
1940-02-01,1940,1,2,FIPE12_FIPE0001,1940-02-01T00:00:00-02:00,-0.67
1940-03-01,1940,1,3,FIPE12_FIPE0001,1940-03-01T00:00:00-03:00,1.73
1940-04-01,1940,1,4,FIPE12_FIPE0001,1940-04-01T00:00:00-03:00,-0.09
1940-05-01,1940,1,5,FIPE12_FIPE0001,1940-05-01T00:00:00-03:00,0.28
1940-06-01,1940,1,6,FIPE12_FIPE0001,1940-06-01T00:00:00-03:00,1.04
1940-07-01,1940,1,7,FIPE12_FIPE0001,1940-07-01T00:00:00-03:00,-0.56
1940-08-01,1940,1,8,FIPE12_FIPE0001,1940-08-01T00:00:00-03:00,0.28
1940-09-01,1940,1,9,FIPE12_FIPE0001,1940-09-01T00:00:00-03:00,0.09
1940-10-01,1940,1,10,FIPE12_FIPE0001,1940-10-01T00:00:00-03:00,1.59
1940-11-01,1940,1,11,FIPE12_FIPE0001,1940-11-01T00:00:00-03:00,2.3
1940-12-01,1940,1,12,FIPE12_FIPE0001,1940-12-01T00:00:00-02:00,-1.71
1941-01-01,1941,1,1,FIPE12_FIPE0001,1941-01-01T00:00:00-02:00,2.66
1941-02-01,1941,1,2,FIPE12_FIPE0001,1941-02-01T00:00:00-02:00,4.29
1941-03-01,1941,1,3,FIPE12_FIPE0001,1941-03-01T00:00:00-03:00,-3.34
1941-04-01,1941,1,4,FIPE12_FIPE0001,1941-04-01T00:00:00-03:00,1.24
1941-05-01,1941,1,5,FIPE12_FIPE0001,1941-05-01T00:00:00-03:00,3.76
1941-06-01,1941,1,6,FIPE12_FIPE0001,1941-06-01T00:00:00-03:00,2.53
1941-07-01,1941,1,7,FIPE12_FIPE0001,1941-07-01T00:00:00-03:00,-1.56
1941-08-01,1941,1,8,FIPE12_FIPE0001,1941-08-01T00:00:00-03:00,1.34
1941-09-01,1941,1,9,FIPE12_FIPE0001,1941-09-01T00:00:00-03:00,0.82
1941-10-01,1941,1,10,FIPE12_FIPE0001,1941-10-01T00:00:00-03:00,-1.39
1941-11-01,1941,1,11,FIPE12_FIPE0001,1941-11-01T00:00:00-03:00,1.99
1941-12-01,1941,1,12,FIPE12_FIPE0001,1941-12-01T00:00:00-02:00,-1.3
1942-01-01,1942,1,1,FIPE12_FIPE0001,1942-01-01T00:00:00-02:00,-0.91
1942-02-01,1942,1,2,FIPE12_FIPE0001,1942-02-01T00:00:00-02:00,0.5
1942-03-01,1942,1,3,FIPE12_FIPE0001,1942-03-01T00:00:00-03:00,-0.17
1942-04-01,1942,1,4,FIPE12_FIPE0001,1942-04-01T00:00:00-03:00,4.81
1942-05-01,1942,1,5,FIPE12_FIPE0001,1942-05-01T00:00:00-03:00,1.9
1942-06-01,1942,1,6,FIPE12_FIPE0001,1942-06-01T00:00:00-03:00,3.57
1942-07-01,1942,1,7,FIPE12_FIPE0001,1942-07-01T00:00:00-03:00,2.92
1942-08-01,1942,1,8,FIPE12_FIPE0001,1942-08-01T00:00:00-03:00,1.31
1942-09-01,1942,1,9,FIPE12_FIPE0001,1942-09-01T00:00:00-03:00,2.08
1942-10-01,1942,1,10,FIPE12_FIPE0001,1942-10-01T00:00:00-03:00,-1.2
