DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
2000-02-01,2000,1,2,FIPE12_FIPE0516Q2,2000-02-01T00:00:00-02:00,-0.6804
2000-03-01,2000,1,3,FIPE12_FIPE0516Q2,2000-03-01T00:00:00-03:00,-1.7104
2000-04-01,2000,1,4,FIPE12_FIPE0516Q2,2000-04-01T00:00:00-03:00,1.5747
2000-05-01,2000,1,5,FIPE12_FIPE0516Q2,2000-05-01T00:00:00-03:00,1.1067
2000-06-01,2000,1,6,FIPE12_FIPE0516Q2,2000-06-01T00:00:00-03:00,1.483
2000-07-01,2000,1,7,FIPE12_FIPE0516Q2,2000-07-01T00:00:00-03:00,0.5389
2000-08-01,2000,1,8,FIPE12_FIPE0516Q2,2000-08-01T00:00:00-03:00,0.2626
2000-09-01,2000,1,9,FIPE12_FIPE0516Q2,2000-09-01T00:00:00-03:00,0.6409
2000-10-01,2000,1,10,FIPE12_FIPE0516Q2,2000-10-01T00:00:00-03:00,0.4617
2000-11-01,2000,1,11,FIPE12_FIPE0516Q2,2000-11-01T00:00:00-03:00,0.285
2000-12-01,2000,1,12,FIPE12_FIPE0516Q2,2000-12-01T00:00:00-02:00,-0.0417
2001-01-01,2001,1,1,FIPE12_FIPE0516Q2,2001-01-01T00:00:00-02:00,0.02
2001-02-01,2001,1,2,FIPE12_FIPE0516Q2,2001-02-01T00:00:00-02:00,-0.7256
2001-03-01,2001,1,3,FIPE12_FIPE0516Q2,2001-03-01T00:00:00-03:00,-0.6911
2001-04-01,2001,1,4,FIPE12_FIPE0516Q2,2001-04-01T00:00:00-03:00,-0.2183
2001-05-01,2001,1,5,FIPE12_FIPE0516Q2,2001-05-01T00:00:00-03:00,0.8164
2001-06-01,2001,1,6,FIPE12_FIPE0516Q2,2001-06-01T00:00:00-03:00,0.4145
2001-07-01,2001,1,7,FIPE12_FIPE0516Q2,2001-07-01T00:00:00-03:00,0.2647
2001-08-01,2001,1,8,FIPE12_FIPE0516Q2,2001-08-01T00:00:00-03:00,0.9649
2001-09-01,2001,1,9,FIPE12_FIPE0516Q2,2001-09-01T00:00:00-03:00,-0.109
2001-10-01,2001,1,10,FIPE12_FIPE0516Q2,2001-10-01T00:00:00-03:00,0.6885
2001-11-01,2001,1,11,FIPE12_FIPE0516Q2,2001-11-01T00:00:00-03:00,1.6
2001-12-01,2001,1,12,FIPE12_FIPE0516Q2,2001-12-01T00:00:00-02:00,0.967
2002-01-01,2002,1,1,FIPE12_FIPE0516Q2,2002-01-01T00:00:00-02:00,1.1454
2002-02-01,2002,1,2,FIPE12_FIPE0516Q2,2002-02-01T00:00:00-02:00,-0.2406
2002-03-01,2002,1,3,FIPE12_FIPE0516Q2,2002-03-01T00:00:00-03:00,0.1503
2002-04-01,2002,1,4,FIPE12_FIPE0516Q2,2002-04-01T00:00:00-03:00,0.16
2002-05-01,2002,1,5,FIPE12_FIPE0516Q2,2002-05-01T00:00:00-03:00,0.2587
2002-06-01,2002,1,6,FIPE12_FIPE0516Q2,2002-06-01T00:00:00-03:00,0.2511
2002-07-01,2002,1,7,FIPE12_FIPE0516Q2,2002-07-01T00:00:00-03:00,0.1414
2002-08-01,2002,1,8,FIPE12_FIPE0516Q2,2002-08-01T00:00:00-03:00,-0.2718
2002-09-01,2002,1,9,FIPE12_FIPE0516Q2,2002-09-01T00:00:00-03:00,0.5816
2002-10-01,2002,1,10,FIPE12_FIPE0516Q2,2002-10-01T00:00:00-03:00,0.4513
2002-11-01,2002,1,11,FIPE12_FIPE0516Q2,2002-11-01T00:00:00-03:00,0.8996
