DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1994-01-01,1994,1,1,FIPE12_FIPEQ1G12,1994-01-01T00:00:00-02:00,35.36
1994-02-01,1994,1,2,FIPE12_FIPEQ1G12,1994-02-01T00:00:00-02:00,38.52
1994-03-01,1994,1,3,FIPE12_FIPEQ1G12,1994-03-01T00:00:00-03:00,38.87
1994-04-01,1994,1,4,FIPE12_FIPEQ1G12,1994-04-01T00:00:00-03:00,43.17
1994-05-01,1994,1,5,FIPE12_FIPEQ1G12,1994-05-01T00:00:00-03:00,46.5
1994-06-01,1994,1,6,FIPE12_FIPEQ1G12,1994-06-01T00:00:00-03:00,45.66
1994-07-01,1994,1,7,FIPE12_FIPEQ1G12,1994-07-01T00:00:00-03:00,5.2
1994-08-01,1994,1,8,FIPE12_FIPEQ1G12,1994-08-01T00:00:00-03:00,5.68
1994-09-01,1994,1,9,FIPE12_FIPEQ1G12,1994-09-01T00:00:00-03:00,1.38
1994-10-01,1994,1,10,FIPE12_FIPEQ1G12,1994-10-01T00:00:00-03:00,1.36
1994-11-01,1994,1,11,FIPE12_FIPEQ1G12,1994-11-01T00:00:00-03:00,3.42
1994-12-01,1994,1,12,FIPE12_FIPEQ1G12,1994-12-01T00:00:00-02:00,2.57
1995-01-01,1995,1,1,FIPE12_FIPEQ1G12,1995-01-01T00:00:00-02:00,1.28
1995-02-01,1995,1,2,FIPE12_FIPEQ1G12,1995-02-01T00:00:00-02:00,0.54
1995-03-01,1995,1,3,FIPE12_FIPEQ1G12,1995-03-01T00:00:00-03:00,1.61
1995-04-01,1995,1,4,FIPE12_FIPEQ1G12,1995-04-01T00:00:00-03:00,2.1
1995-05-01,1995,1,5,FIPE12_FIPEQ1G12,1995-05-01T00:00:00-03:00,2.3
1995-06-01,1995,1,6,FIPE12_FIPEQ1G12,1995-06-01T00:00:00-03:00,1.99
1995-07-01,1995,1,7,FIPE12_FIPEQ1G12,1995-07-01T00:00:00-03:00,3.12
1995-08-01,1995,1,8,FIPE12_FIPEQ1G12,1995-08-01T00:00:00-03:00,3.38
