DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1939-01-01,1939,1,1,FIPE12_IPCFIPE12,1939-01-01T00:00:00-02:00,9.93910633508613e-14
1939-02-01,1939,1,2,FIPE12_IPCFIPE12,1939-02-01T00:00:00-02:00,9.78803191879282e-14
1939-03-01,1939,1,3,FIPE12_IPCFIPE12,1939-03-01T00:00:00-03:00,1.00307751103789e-13
1939-04-01,1939,1,4,FIPE12_IPCFIPE12,1939-04-01T00:00:00-03:00,1.02123321398767e-13
1939-05-01,1939,1,5,FIPE12_IPCFIPE12,1939-05-01T00:00:00-03:00,1.02123321398767e-13
1939-06-01,1939,1,6,FIPE12_IPCFIPE12,1939-06-01T00:00:00-03:00,1.01816951434571e-13
1939-07-01,1939,1,7,FIPE12_IPCFIPE12,1939-07-01T00:00:00-03:00,1.00910780566803e-13
1939-08-01,1939,1,8,FIPE12_IPCFIPE12,1939-08-01T00:00:00-03:00,1.01617156030771e-13
1939-09-01,1939,1,9,FIPE12_IPCFIPE12,1939-09-01T00:00:00-03:00,1.00611146186066e-13
1939-10-01,1939,1,10,FIPE12_IPCFIPE12,1939-10-01T00:00:00-03:00,1.01929152201104e-13
1939-11-01,1939,1,11,FIPE12_IPCFIPE12,1939-11-01T00:00:00-03:00,1.02234939657707e-13
1939-12-01,1939,1,12,FIPE12_IPCFIPE12,1939-12-01T00:00:00-02:00,1.00824097490431e-13
1940-01-01,1940,1,1,FIPE12_IPCFIPE12,1940-01-01T00:00:00-02:00,1.05673736579721e-13
1940-02-01,1940,1,2,FIPE12_IPCFIPE12,1940-02-01T00:00:00-02:00,1.04965722544636e-13
1940-03-01,1940,1,3,FIPE12_IPCFIPE12,1940-03-01T00:00:00-03:00,1.06781629544659e-13
1940-04-01,1940,1,4,FIPE12_IPCFIPE12,1940-04-01T00:00:00-03:00,1.06685526078068e-13
1940-05-01,1940,1,5,FIPE12_IPCFIPE12,1940-05-01T00:00:00-03:00,1.06984245551087e-13
1940-06-01,1940,1,6,FIPE12_IPCFIPE12,1940-06-01T00:00:00-03:00,1.08096881704818e-13
1940-07-01,1940,1,7,FIPE12_IPCFIPE12,1940-07-01T00:00:00-03:00,1.07491539167271e-13
1940-08-01,1940,1,8,FIPE12_IPCFIPE12,1940-08-01T00:00:00-03:00,1.0779251547694e-13
1940-09-01,1940,1,9,FIPE12_IPCFIPE12,1940-09-01T00:00:00-03:00,1.07889528740869e-13
1940-10-01,1940,1,10,FIPE12_IPCFIPE12,1940-10-01T00:00:00-03:00,1.09604972247849e-13
1940-11-01,1940,1,11,FIPE12_IPCFIPE12,1940-11-01T00:00:00-03:00,1.12125886609549e-13
1940-12-01,1940,1,12,FIPE12_IPCFIPE12,1940-12-01T00:00:00-02:00,1.10208533948526e-13
1941-01-01,1941,1,1,FIPE12_IPCFIPE12,1941-01-01T00:00:00-02:00,1.13140080951557e-13
1941-02-01,1941,1,2,FIPE12_IPCFIPE12,1941-02-01T00:00:00-02:00,1.17993790424379e-13
1941-03-01,1941,1,3,FIPE12_IPCFIPE12,1941-03-01T00:00:00-03:00,1.14052797824204e-13
1941-04-01,1941,1,4,FIPE12_IPCFIPE12,1941-04-01T00:00:00-03:00,1.15467052517224e-13
1941-05-01,1941,1,5,FIPE12_IPCFIPE12,1941-05-01T00:00:00-03:00,1.19808613691872e-13
1941-06-01,1941,1,6,FIPE12_IPCFIPE12,1941-06-01T00:00:00-03:00,1.22839771618276e-13
1941-07-01,1941,1,7,FIPE12_IPCFIPE12,1941-07-01T00:00:00-03:00,1.20923471181031e-13
1941-08-01,1941,1,8,FIPE12_IPCFIPE12,1941-08-01T00:00:00-03:00,1.22543845694857e-13
1941-09-01,1941,1,9,FIPE12_IPCFIPE12,1941-09-01T00:00:00-03:00,1.23548705229555e-13
1941-10-01,1941,1,10,FIPE12_IPCFIPE12,1941-10-01T00:00:00-03:00,1.21831378226864e-13
1941-11-01,1941,1,11,FIPE12_IPCFIPE12,1941-11-01T00:00:00-03:00,1.24255822653579e-13
1941-12-01,1941,1,12,FIPE12_IPCFIPE12,1941-12-01T00:00:00-02:00,1.22640496959082e-13
1942-01-01,1942,1,1,FIPE12_IPCFIPE12,1942-01-01T00:00:00-02:00,1.21524468436755e-13
1942-02-01,1942,1,2,FIPE12_IPCFIPE12,1942-02-01T00:00:00-02:00,1.22132090778938e-13
1942-03-01,1942,1,3,FIPE12_IPCFIPE12,1942-03-01T00:00:00-03:00,1.21924466224614e-13
1942-04-01,1942,1,4,FIPE12_IPCFIPE12,1942-04-01T00:00:00-03:00,1.27789033050018e-13
1942-05-01,1942,1,5,FIPE12_IPCFIPE12,1942-05-01T00:00:00-03:00,1.30217024677968e-13
1942-06-01,1942,1,6,FIPE12_IPCFIPE12,1942-06-01T00:00:00-03:00,1.34865772458972e-13
1942-07-01,1942,1,7,FIPE12_IPCFIPE12,1942-07-01T00:00:00-03:00,1.38803853014774e-13
1942-08-01,1942,1,8,FIPE12_IPCFIPE12,1942-08-01T00:00:00-03:00,1.40622183489267e-13
1942-09-01,1942,1,9,FIPE12_IPCFIPE12,1942-09-01T00:00:00-03:00,1.43547124905844e-13
1942-10-01,1942,1,10,FIPE12_IPCFIPE12,1942-10-01T00:00:00-03:00,1.41824559406974e-13
1942-11-01,1942,1,11,FIPE12_IPCFIPE12,1942-11-01T00:00:00-03:00,1.42221668173314e-13
1942-12-01,1942,1,12,FIPE12_IPCFIPE12,1942-12-01T00:00:00-02:00,1.4192300267015e-13
1943-01-01,1943,1,1,FIPE12_IPCFIPE12,1943-01-01T00:00:00-02:00,1.44548578219547e-13
1943-02-01,1943,1,2,FIPE12_IPCFIPE12,1943-02-01T00:00:00-02:00,1.46572258314621e-13
1943-03-01,1943,1,3,FIPE12_IPCFIPE12,1943-03-01T00:00:00-03:00,1.46367057152981e-13
1943-04-01,1943,1,4,FIPE12_IPCFIPE12,1943-04-01T00:00:00-03:00,1.50919072630438e-13
1943-05-01,1943,1,5,FIPE12_IPCFIPE12,1943-05-01T00:00:00-03:00,1.5152274892096e-13
1943-06-01,1943,1,6,FIPE12_IPCFIPE12,1943-06-01T00:00:00-03:00,1.50810592001032e-13
1943-07-01,1943,1,7,FIPE12_IPCFIPE12,1943-07-01T00:00:00-03:00,1.55455558234663e-13
1943-08-01,1943,1,8,FIPE12_IPCFIPE12,1943-08-01T00:00:00-03:00,1.55750923795309e-13
1943-09-01,1943,1,9,FIPE12_IPCFIPE12,1943-09-01T00:00:00-03:00,1.58990543010252e-13
1943-10-01,1943,1,10,FIPE12_IPCFIPE12,1943-10-01T00:00:00-03:00,1.65652246762381e-13
1943-11-01,1943,1,11,FIPE12_IPCFIPE12,1943-11-01T00:00:00-03:00,1.65851029458496e-13
1943-12-01,1943,1,12,FIPE12_IPCFIPE12,1943-12-01T00:00:00-02:00,1.69184635150612e-13
1944-01-01,1944,1,1,FIPE12_IPCFIPE12,1944-01-01T00:00:00-02:00,1.86864429523851e-13
1944-02-01,1944,1,2,FIPE12_IPCFIPE12,1944-02-01T00:00:00-02:00,1.88079048315756e-13
1944-03-01,1944,1,3,FIPE12_IPCFIPE12,1944-03-01T00:00:00-03:00,1.90411228514871e-13
1944-04-01,1944,1,4,FIPE12_IPCFIPE12,1944-04-01T00:00:00-03:00,1.98389458989644e-13
1944-05-01,1944,1,5,FIPE12_IPCFIPE12,1944-05-01T00:00:00-03:00,2.05154539541191e-13
1944-06-01,1944,1,6,FIPE12_IPCFIPE12,1944-06-01T00:00:00-03:00,2.086831976213e-13
1944-07-01,1944,1,7,FIPE12_IPCFIPE12,1944-07-01T00:00:00-03:00,2.20703349804286e-13
1944-08-01,1944,1,8,FIPE12_IPCFIPE12,1944-08-01T00:00:00-03:00,2.24433236415979e-13
1944-09-01,1944,1,9,FIPE12_IPCFIPE12,1944-09-01T00:00:00-03:00,2.26251145630948e-13
1944-10-01,1944,1,10,FIPE12_IPCFIPE12,1944-10-01T00:00:00-03:00,2.26862023724152e-13
1944-11-01,1944,1,11,FIPE12_IPCFIPE12,1944-11-01T00:00:00-03:00,2.34847566959242e-13
1944-12-01,1944,1,12,FIPE12_IPCFIPE12,1944-12-01T00:00:00-02:00,2.32428637019562e-13
1945-01-01,1945,1,1,FIPE12_IPCFIPE12,1945-01-01T00:00:00-02:00,2.44445197553473e-13
1945-02-01,1945,1,2,FIPE12_IPCFIPE12,1945-02-01T00:00:00-02:00,2.50605216531821e-13
1945-03-01,1945,1,3,FIPE12_IPCFIPE12,1945-03-01T00:00:00-03:00,2.53838023825081e-13
1945-04-01,1945,1,4,FIPE12_IPCFIPE12,1945-04-01T00:00:00-03:00,2.568586963086e-13
1945-05-01,1945,1,5,FIPE12_IPCFIPE12,1945-05-01T00:00:00-03:00,2.58579649573867e-13
1945-06-01,1945,1,6,FIPE12_IPCFIPE12,1945-06-01T00:00:00-03:00,2.59096808873015e-13
1945-07-01,1945,1,7,FIPE12_IPCFIPE12,1945-07-01T00:00:00-03:00,2.66481067925896e-13
1945-08-01,1945,1,8,FIPE12_IPCFIPE12,1945-08-01T00:00:00-03:00,2.72343651420266e-13
