DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2010-06-01,2010,1,6,FIPE12_VENRE12,2010-06-01T00:00:00-03:00,99.0233385538808
2010-07-01,2010,1,7,FIPE12_VENRE12,2010-07-01T00:00:00-03:00,98.9328399544383
2010-08-01,2010,1,8,FIPE12_VENRE12,2010-08-01T00:00:00-03:00,100.0
2010-09-01,2010,1,9,FIPE12_VENRE12,2010-09-01T00:00:00-03:00,102.141075832867
2010-10-01,2010,1,10,FIPE12_VENRE12,2010-10-01T00:00:00-03:00,104.267828969049
2010-11-01,2010,1,11,FIPE12_VENRE12,2010-11-01T00:00:00-02:00,105.731930671325
2010-12-01,2010,1,12,FIPE12_VENRE12,2010-12-01T00:00:00-02:00,106.578711288549
2011-01-01,2011,1,1,FIPE12_VENRE12,2011-01-01T00:00:00-02:00,107.395506603075
2011-02-01,2011,1,2,FIPE12_VENRE12,2011-02-01T00:00:00-02:00,108.88716532918
2011-03-01,2011,1,3,FIPE12_VENRE12,2011-03-01T00:00:00-03:00,111.072314801621
2011-04-01,2011,1,4,FIPE12_VENRE12,2011-04-01T00:00:00-03:00,115.02769087971
2011-05-01,2011,1,5,FIPE12_VENRE12,2011-05-01T00:00:00-03:00,118.945781082122
2011-06-01,2011,1,6,FIPE12_VENRE12,2011-06-01T00:00:00-03:00,122.634049763439
2011-07-01,2011,1,7,FIPE12_VENRE12,2011-07-01T00:00:00-03:00,126.314287226218
2011-08-01,2011,1,8,FIPE12_VENRE12,2011-08-01T00:00:00-03:00,130.039691978488
2011-09-01,2011,1,9,FIPE12_VENRE12,2011-09-01T00:00:00-03:00,133.195099855279
2011-10-01,2011,1,10,FIPE12_VENRE12,2011-10-01T00:00:00-03:00,134.768621545482
2011-11-01,2011,1,11,FIPE12_VENRE12,2011-11-01T00:00:00-02:00,136.130217154214
2011-12-01,2011,1,12,FIPE12_VENRE12,2011-12-01T00:00:00-02:00,139.329409336056
2012-01-01,2012,1,1,FIPE12_VENRE12,2012-01-01T00:00:00-02:00,144.096614711275
2012-02-01,2012,1,2,FIPE12_VENRE12,2012-02-01T00:00:00-02:00,148.712791812921
2012-03-01,2012,1,3,FIPE12_VENRE12,2012-03-01T00:00:00-03:00,151.876372061965
2012-04-01,2012,1,4,FIPE12_VENRE12,2012-04-01T00:00:00-03:00,153.953355055946
2012-05-01,2012,1,5,FIPE12_VENRE12,2012-05-01T00:00:00-03:00,156.805933125589
2012-06-01,2012,1,6,FIPE12_VENRE12,2012-06-01T00:00:00-03:00,157.998052150535
2012-07-01,2012,1,7,FIPE12_VENRE12,2012-07-01T00:00:00-03:00,159.018472098511
2012-08-01,2012,1,8,FIPE12_VENRE12,2012-08-01T00:00:00-03:00,159.282777741688
2012-09-01,2012,1,9,FIPE12_VENRE12,2012-09-01T00:00:00-03:00,160.977770447431
2012-10-01,2012,1,10,FIPE12_VENRE12,2012-10-01T00:00:00-03:00,162.755996501087
2012-11-01,2012,1,11,FIPE12_VENRE12,2012-11-01T00:00:00-02:00,163.440072124626
2012-12-01,2012,1,12,FIPE12_VENRE12,2012-12-01T00:00:00-02:00,164.155216193959
2013-01-01,2013,1,1,FIPE12_VENRE12,2013-01-01T00:00:00-02:00,163.907491336698
