DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2010-08-01,2010,1,8,FIPE12_VENSA12,2010-08-01T00:00:00-03:00,100.0
2010-09-01,2010,1,9,FIPE12_VENSA12,2010-09-01T00:00:00-03:00,99.0906398431693
2010-10-01,2010,1,10,FIPE12_VENSA12,2010-10-01T00:00:00-03:00,100.019871228959
2010-11-01,2010,1,11,FIPE12_VENSA12,2010-11-01T00:00:00-02:00,100.921125578884
2010-12-01,2010,1,12,FIPE12_VENSA12,2010-12-01T00:00:00-02:00,102.55725798484
2011-01-01,2011,1,1,FIPE12_VENSA12,2011-01-01T00:00:00-02:00,102.84233158428
2011-02-01,2011,1,2,FIPE12_VENSA12,2011-02-01T00:00:00-02:00,103.44659799372
2011-03-01,2011,1,3,FIPE12_VENSA12,2011-03-01T00:00:00-03:00,104.515067639567
2011-04-01,2011,1,4,FIPE12_VENSA12,2011-04-01T00:00:00-03:00,105.415582718767
2011-05-01,2011,1,5,FIPE12_VENSA12,2011-05-01T00:00:00-03:00,106.008758002495
2011-06-01,2011,1,6,FIPE12_VENSA12,2011-06-01T00:00:00-03:00,105.40998434487
2011-07-01,2011,1,7,FIPE12_VENSA12,2011-07-01T00:00:00-03:00,105.553261397935
2011-08-01,2011,1,8,FIPE12_VENSA12,2011-08-01T00:00:00-03:00,105.902078813661
2011-09-01,2011,1,9,FIPE12_VENSA12,2011-09-01T00:00:00-03:00,106.835831611304
2011-10-01,2011,1,10,FIPE12_VENSA12,2011-10-01T00:00:00-03:00,107.904194368537
2011-11-01,2011,1,11,FIPE12_VENSA12,2011-11-01T00:00:00-02:00,108.743972426484
2011-12-01,2011,1,12,FIPE12_VENSA12,2011-12-01T00:00:00-02:00,109.523822810864
2012-01-01,2012,1,1,FIPE12_VENSA12,2012-01-01T00:00:00-02:00,110.58532883132
2012-02-01,2012,1,2,FIPE12_VENSA12,2012-02-01T00:00:00-02:00,112.911438699021
2012-03-01,2012,1,3,FIPE12_VENSA12,2012-03-01T00:00:00-03:00,112.960105138582
2012-04-01,2012,1,4,FIPE12_VENSA12,2012-04-01T00:00:00-03:00,112.252984509428
2012-05-01,2012,1,5,FIPE12_VENSA12,2012-05-01T00:00:00-03:00,110.824875570332
2012-06-01,2012,1,6,FIPE12_VENSA12,2012-06-01T00:00:00-03:00,113.159374021935
2012-07-01,2012,1,7,FIPE12_VENSA12,2012-07-01T00:00:00-03:00,115.186195909282
2012-08-01,2012,1,8,FIPE12_VENSA12,2012-08-01T00:00:00-03:00,116.406166004932
2012-09-01,2012,1,9,FIPE12_VENSA12,2012-09-01T00:00:00-03:00,116.211411799602
2012-10-01,2012,1,10,FIPE12_VENSA12,2012-10-01T00:00:00-03:00,116.632622851233
2012-11-01,2012,1,11,FIPE12_VENSA12,2012-11-01T00:00:00-02:00,118.079732896019
2012-12-01,2012,1,12,FIPE12_VENSA12,2012-12-01T00:00:00-02:00,120.521196357941
2013-01-01,2013,1,1,FIPE12_VENSA12,2013-01-01T00:00:00-02:00,122.250811957927
2013-02-01,2013,1,2,FIPE12_VENSA12,2013-02-01T00:00:00-02:00,123.855891547948
2013-03-01,2013,1,3,FIPE12_VENSA12,2013-03-01T00:00:00-03:00,123.860783072765
2013-04-01,2013,1,4,FIPE12_VENSA12,2013-04-01T00:00:00-03:00,124.327414874259
2013-05-01,2013,1,5,FIPE12_VENSA12,2013-05-01T00:00:00-03:00,124.771351174662
2013-06-01,2013,1,6,FIPE12_VENSA12,2013-06-01T00:00:00-03:00,126.813835190824
2013-07-01,2013,1,7,FIPE12_VENSA12,2013-07-01T00:00:00-03:00,129.095241029719
2013-08-01,2013,1,8,FIPE12_VENSA12,2013-08-01T00:00:00-03:00,131.154820986926
2013-09-01,2013,1,9,FIPE12_VENSA12,2013-09-01T00:00:00-03:00,132.229458327757
