DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MDQBCDGCE12,1997-01-01T00:00:00-02:00,57.67
1997-02-01,1997,1,2,FUNCEX12_MDQBCDGCE12,1997-02-01T00:00:00-02:00,82.44
1997-03-01,1997,1,3,FUNCEX12_MDQBCDGCE12,1997-03-01T00:00:00-03:00,98.39
1997-04-01,1997,1,4,FUNCEX12_MDQBCDGCE12,1997-04-01T00:00:00-03:00,116.21
1997-05-01,1997,1,5,FUNCEX12_MDQBCDGCE12,1997-05-01T00:00:00-03:00,114.55
1997-06-01,1997,1,6,FUNCEX12_MDQBCDGCE12,1997-06-01T00:00:00-03:00,124.49
1997-07-01,1997,1,7,FUNCEX12_MDQBCDGCE12,1997-07-01T00:00:00-03:00,140.93
1997-08-01,1997,1,8,FUNCEX12_MDQBCDGCE12,1997-08-01T00:00:00-03:00,132.93
1997-09-01,1997,1,9,FUNCEX12_MDQBCDGCE12,1997-09-01T00:00:00-03:00,104.31
1997-10-01,1997,1,10,FUNCEX12_MDQBCDGCE12,1997-10-01T00:00:00-03:00,100.83
1997-11-01,1997,1,11,FUNCEX12_MDQBCDGCE12,1997-11-01T00:00:00-03:00,94.83
1997-12-01,1997,1,12,FUNCEX12_MDQBCDGCE12,1997-12-01T00:00:00-02:00,105.5
1998-01-01,1998,1,1,FUNCEX12_MDQBCDGCE12,1998-01-01T00:00:00-02:00,85.89
1998-02-01,1998,1,2,FUNCEX12_MDQBCDGCE12,1998-02-01T00:00:00-02:00,75.03
1998-03-01,1998,1,3,FUNCEX12_MDQBCDGCE12,1998-03-01T00:00:00-03:00,115.2
1998-04-01,1998,1,4,FUNCEX12_MDQBCDGCE12,1998-04-01T00:00:00-03:00,107.9
1998-05-01,1998,1,5,FUNCEX12_MDQBCDGCE12,1998-05-01T00:00:00-03:00,105.94
1998-06-01,1998,1,6,FUNCEX12_MDQBCDGCE12,1998-06-01T00:00:00-03:00,97.5
1998-07-01,1998,1,7,FUNCEX12_MDQBCDGCE12,1998-07-01T00:00:00-03:00,101.92
1998-08-01,1998,1,8,FUNCEX12_MDQBCDGCE12,1998-08-01T00:00:00-03:00,118.66
1998-09-01,1998,1,9,FUNCEX12_MDQBCDGCE12,1998-09-01T00:00:00-03:00,152.18
1998-10-01,1998,1,10,FUNCEX12_MDQBCDGCE12,1998-10-01T00:00:00-03:00,105.55
1998-11-01,1998,1,11,FUNCEX12_MDQBCDGCE12,1998-11-01T00:00:00-03:00,105.28
1998-12-01,1998,1,12,FUNCEX12_MDQBCDGCE12,1998-12-01T00:00:00-02:00,103.59
1999-01-01,1999,1,1,FUNCEX12_MDQBCDGCE12,1999-01-01T00:00:00-02:00,58.72
1999-02-01,1999,1,2,FUNCEX12_MDQBCDGCE12,1999-02-01T00:00:00-02:00,30.05
1999-03-01,1999,1,3,FUNCEX12_MDQBCDGCE12,1999-03-01T00:00:00-03:00,60.15
1999-04-01,1999,1,4,FUNCEX12_MDQBCDGCE12,1999-04-01T00:00:00-03:00,75.98
1999-05-01,1999,1,5,FUNCEX12_MDQBCDGCE12,1999-05-01T00:00:00-03:00,59.22
1999-06-01,1999,1,6,FUNCEX12_MDQBCDGCE12,1999-06-01T00:00:00-03:00,49.65
1999-07-01,1999,1,7,FUNCEX12_MDQBCDGCE12,1999-07-01T00:00:00-03:00,46.22
1999-08-01,1999,1,8,FUNCEX12_MDQBCDGCE12,1999-08-01T00:00:00-03:00,58.62
1999-09-01,1999,1,9,FUNCEX12_MDQBCDGCE12,1999-09-01T00:00:00-03:00,46.98
1999-10-01,1999,1,10,FUNCEX12_MDQBCDGCE12,1999-10-01T00:00:00-03:00,36.87
