DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MDQBCNDGCE12,1997-01-01T00:00:00-02:00,57.67
1997-02-01,1997,1,2,FUNCEX12_MDQBCNDGCE12,1997-02-01T00:00:00-02:00,81.92
1997-03-01,1997,1,3,FUNCEX12_MDQBCNDGCE12,1997-03-01T00:00:00-03:00,94.81
1997-04-01,1997,1,4,FUNCEX12_MDQBCNDGCE12,1997-04-01T00:00:00-03:00,93.6
1997-05-01,1997,1,5,FUNCEX12_MDQBCNDGCE12,1997-05-01T00:00:00-03:00,94.43
1997-06-01,1997,1,6,FUNCEX12_MDQBCNDGCE12,1997-06-01T00:00:00-03:00,90.66
1997-07-01,1997,1,7,FUNCEX12_MDQBCNDGCE12,1997-07-01T00:00:00-03:00,96.38
1997-08-01,1997,1,8,FUNCEX12_MDQBCNDGCE12,1997-08-01T00:00:00-03:00,83.52
1997-09-01,1997,1,9,FUNCEX12_MDQBCNDGCE12,1997-09-01T00:00:00-03:00,88.39
1997-10-01,1997,1,10,FUNCEX12_MDQBCNDGCE12,1997-10-01T00:00:00-03:00,95.6
1997-11-01,1997,1,11,FUNCEX12_MDQBCNDGCE12,1997-11-01T00:00:00-03:00,89.94
1997-12-01,1997,1,12,FUNCEX12_MDQBCNDGCE12,1997-12-01T00:00:00-02:00,87.51
1998-01-01,1998,1,1,FUNCEX12_MDQBCNDGCE12,1998-01-01T00:00:00-02:00,70.01
1998-02-01,1998,1,2,FUNCEX12_MDQBCNDGCE12,1998-02-01T00:00:00-02:00,69.59
1998-03-01,1998,1,3,FUNCEX12_MDQBCNDGCE12,1998-03-01T00:00:00-03:00,97.56
1998-04-01,1998,1,4,FUNCEX12_MDQBCNDGCE12,1998-04-01T00:00:00-03:00,85.89
1998-05-01,1998,1,5,FUNCEX12_MDQBCNDGCE12,1998-05-01T00:00:00-03:00,85.95
1998-06-01,1998,1,6,FUNCEX12_MDQBCNDGCE12,1998-06-01T00:00:00-03:00,85.03
1998-07-01,1998,1,7,FUNCEX12_MDQBCNDGCE12,1998-07-01T00:00:00-03:00,95.08
1998-08-01,1998,1,8,FUNCEX12_MDQBCNDGCE12,1998-08-01T00:00:00-03:00,69.76
1998-09-01,1998,1,9,FUNCEX12_MDQBCNDGCE12,1998-09-01T00:00:00-03:00,103.35
1998-10-01,1998,1,10,FUNCEX12_MDQBCNDGCE12,1998-10-01T00:00:00-03:00,102.18
1998-11-01,1998,1,11,FUNCEX12_MDQBCNDGCE12,1998-11-01T00:00:00-03:00,94.41
1998-12-01,1998,1,12,FUNCEX12_MDQBCNDGCE12,1998-12-01T00:00:00-02:00,99.9
1999-01-01,1999,1,1,FUNCEX12_MDQBCNDGCE12,1999-01-01T00:00:00-02:00,70.82
1999-02-01,1999,1,2,FUNCEX12_MDQBCNDGCE12,1999-02-01T00:00:00-02:00,54.84
1999-03-01,1999,1,3,FUNCEX12_MDQBCNDGCE12,1999-03-01T00:00:00-03:00,77.01
1999-04-01,1999,1,4,FUNCEX12_MDQBCNDGCE12,1999-04-01T00:00:00-03:00,64.83
1999-05-01,1999,1,5,FUNCEX12_MDQBCNDGCE12,1999-05-01T00:00:00-03:00,63.39
1999-06-01,1999,1,6,FUNCEX12_MDQBCNDGCE12,1999-06-01T00:00:00-03:00,67.43
1999-07-01,1999,1,7,FUNCEX12_MDQBCNDGCE12,1999-07-01T00:00:00-03:00,63.25
1999-08-01,1999,1,8,FUNCEX12_MDQBCNDGCE12,1999-08-01T00:00:00-03:00,62.15
1999-09-01,1999,1,9,FUNCEX12_MDQBCNDGCE12,1999-09-01T00:00:00-03:00,64.88
1999-10-01,1999,1,10,FUNCEX12_MDQBCNDGCE12,1999-10-01T00:00:00-03:00,67.87
1999-11-01,1999,1,11,FUNCEX12_MDQBCNDGCE12,1999-11-01T00:00:00-03:00,75.88
1999-12-01,1999,1,12,FUNCEX12_MDQBCNDGCE12,1999-12-01T00:00:00-02:00,77.96
2000-01-01,2000,1,1,FUNCEX12_MDQBCNDGCE12,2000-01-01T00:00:00-02:00,56.36
2000-02-01,2000,1,2,FUNCEX12_MDQBCNDGCE12,2000-02-01T00:00:00-02:00,63.57
