DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MDQBIGCE12,1997-01-01T00:00:00-02:00,33.38
1997-02-01,1997,1,2,FUNCEX12_MDQBIGCE12,1997-02-01T00:00:00-02:00,54.61
1997-03-01,1997,1,3,FUNCEX12_MDQBIGCE12,1997-03-01T00:00:00-03:00,59.0
1997-04-01,1997,1,4,FUNCEX12_MDQBIGCE12,1997-04-01T00:00:00-03:00,68.34
1997-05-01,1997,1,5,FUNCEX12_MDQBIGCE12,1997-05-01T00:00:00-03:00,63.54
1997-06-01,1997,1,6,FUNCEX12_MDQBIGCE12,1997-06-01T00:00:00-03:00,63.74
1997-07-01,1997,1,7,FUNCEX12_MDQBIGCE12,1997-07-01T00:00:00-03:00,75.5
1997-08-01,1997,1,8,FUNCEX12_MDQBIGCE12,1997-08-01T00:00:00-03:00,70.78
1997-09-01,1997,1,9,FUNCEX12_MDQBIGCE12,1997-09-01T00:00:00-03:00,71.14
1997-10-01,1997,1,10,FUNCEX12_MDQBIGCE12,1997-10-01T00:00:00-03:00,72.35
1997-11-01,1997,1,11,FUNCEX12_MDQBIGCE12,1997-11-01T00:00:00-03:00,63.11
1997-12-01,1997,1,12,FUNCEX12_MDQBIGCE12,1997-12-01T00:00:00-02:00,57.6
1998-01-01,1998,1,1,FUNCEX12_MDQBIGCE12,1998-01-01T00:00:00-02:00,60.9
1998-02-01,1998,1,2,FUNCEX12_MDQBIGCE12,1998-02-01T00:00:00-02:00,53.18
1998-03-01,1998,1,3,FUNCEX12_MDQBIGCE12,1998-03-01T00:00:00-03:00,68.21
1998-04-01,1998,1,4,FUNCEX12_MDQBIGCE12,1998-04-01T00:00:00-03:00,61.92
1998-05-01,1998,1,5,FUNCEX12_MDQBIGCE12,1998-05-01T00:00:00-03:00,65.77
1998-06-01,1998,1,6,FUNCEX12_MDQBIGCE12,1998-06-01T00:00:00-03:00,66.67
1998-07-01,1998,1,7,FUNCEX12_MDQBIGCE12,1998-07-01T00:00:00-03:00,79.34
1998-08-01,1998,1,8,FUNCEX12_MDQBIGCE12,1998-08-01T00:00:00-03:00,60.13
1998-09-01,1998,1,9,FUNCEX12_MDQBIGCE12,1998-09-01T00:00:00-03:00,80.53
1998-10-01,1998,1,10,FUNCEX12_MDQBIGCE12,1998-10-01T00:00:00-03:00,76.71
1998-11-01,1998,1,11,FUNCEX12_MDQBIGCE12,1998-11-01T00:00:00-03:00,63.84
1998-12-01,1998,1,12,FUNCEX12_MDQBIGCE12,1998-12-01T00:00:00-02:00,58.67
1999-01-01,1999,1,1,FUNCEX12_MDQBIGCE12,1999-01-01T00:00:00-02:00,51.33
1999-02-01,1999,1,2,FUNCEX12_MDQBIGCE12,1999-02-01T00:00:00-02:00,44.3
1999-03-01,1999,1,3,FUNCEX12_MDQBIGCE12,1999-03-01T00:00:00-03:00,57.01
1999-04-01,1999,1,4,FUNCEX12_MDQBIGCE12,1999-04-01T00:00:00-03:00,52.62
1999-05-01,1999,1,5,FUNCEX12_MDQBIGCE12,1999-05-01T00:00:00-03:00,59.6
1999-06-01,1999,1,6,FUNCEX12_MDQBIGCE12,1999-06-01T00:00:00-03:00,62.32
1999-07-01,1999,1,7,FUNCEX12_MDQBIGCE12,1999-07-01T00:00:00-03:00,64.99
1999-08-01,1999,1,8,FUNCEX12_MDQBIGCE12,1999-08-01T00:00:00-03:00,71.12
1999-09-01,1999,1,9,FUNCEX12_MDQBIGCE12,1999-09-01T00:00:00-03:00,67.98
1999-10-01,1999,1,10,FUNCEX12_MDQBIGCE12,1999-10-01T00:00:00-03:00,69.44
1999-11-01,1999,1,11,FUNCEX12_MDQBIGCE12,1999-11-01T00:00:00-03:00,70.74
1999-12-01,1999,1,12,FUNCEX12_MDQBIGCE12,1999-12-01T00:00:00-02:00,63.1
2000-01-01,2000,1,1,FUNCEX12_MDQBIGCE12,2000-01-01T00:00:00-02:00,56.64
2000-02-01,2000,1,2,FUNCEX12_MDQBIGCE12,2000-02-01T00:00:00-02:00,65.94
2000-03-01,2000,1,3,FUNCEX12_MDQBIGCE12,2000-03-01T00:00:00-03:00,71.28
2000-04-01,2000,1,4,FUNCEX12_MDQBIGCE12,2000-04-01T00:00:00-03:00,66.11
2000-05-01,2000,1,5,FUNCEX12_MDQBIGCE12,2000-05-01T00:00:00-03:00,76.85
2000-06-01,2000,1,6,FUNCEX12_MDQBIGCE12,2000-06-01T00:00:00-03:00,76.11
2000-07-01,2000,1,7,FUNCEX12_MDQBIGCE12,2000-07-01T00:00:00-03:00,79.62
2000-08-01,2000,1,8,FUNCEX12_MDQBIGCE12,2000-08-01T00:00:00-03:00,88.62
2000-09-01,2000,1,9,FUNCEX12_MDQBIGCE12,2000-09-01T00:00:00-03:00,80.42
2000-10-01,2000,1,10,FUNCEX12_MDQBIGCE12,2000-10-01T00:00:00-03:00,81.79
2000-11-01,2000,1,11,FUNCEX12_MDQBIGCE12,2000-11-01T00:00:00-03:00,78.99
2000-12-01,2000,1,12,FUNCEX12_MDQBIGCE12,2000-12-01T00:00:00-02:00,72.32
2001-01-01,2001,1,1,FUNCEX12_MDQBIGCE12,2001-01-01T00:00:00-02:00,76.92
2001-02-01,2001,1,2,FUNCEX12_MDQBIGCE12,2001-02-01T00:00:00-02:00,65.04
2001-03-01,2001,1,3,FUNCEX12_MDQBIGCE12,2001-03-01T00:00:00-03:00,87.6
2001-04-01,2001,1,4,FUNCEX12_MDQBIGCE12,2001-04-01T00:00:00-03:00,79.26
2001-05-01,2001,1,5,FUNCEX12_MDQBIGCE12,2001-05-01T00:00:00-03:00,84.5
2001-06-01,2001,1,6,FUNCEX12_MDQBIGCE12,2001-06-01T00:00:00-03:00,74.79
2001-07-01,2001,1,7,FUNCEX12_MDQBIGCE12,2001-07-01T00:00:00-03:00,79.55
2001-08-01,2001,1,8,FUNCEX12_MDQBIGCE12,2001-08-01T00:00:00-03:00,85.74
2001-09-01,2001,1,9,FUNCEX12_MDQBIGCE12,2001-09-01T00:00:00-03:00,65.5
2001-10-01,2001,1,10,FUNCEX12_MDQBIGCE12,2001-10-01T00:00:00-03:00,74.78
2001-11-01,2001,1,11,FUNCEX12_MDQBIGCE12,2001-11-01T00:00:00-03:00,68.52
2001-12-01,2001,1,12,FUNCEX12_MDQBIGCE12,2001-12-01T00:00:00-02:00,56.31
2002-01-01,2002,1,1,FUNCEX12_MDQBIGCE12,2002-01-01T00:00:00-02:00,63.31
2002-02-01,2002,1,2,FUNCEX12_MDQBIGCE12,2002-02-01T00:00:00-02:00,59.04
2002-03-01,2002,1,3,FUNCEX12_MDQBIGCE12,2002-03-01T00:00:00-03:00,63.52
2002-04-01,2002,1,4,FUNCEX12_MDQBIGCE12,2002-04-01T00:00:00-03:00,69.07
2002-05-01,2002,1,5,FUNCEX12_MDQBIGCE12,2002-05-01T00:00:00-03:00,67.36
2002-06-01,2002,1,6,FUNCEX12_MDQBIGCE12,2002-06-01T00:00:00-03:00,61.2
2002-07-01,2002,1,7,FUNCEX12_MDQBIGCE12,2002-07-01T00:00:00-03:00,87.42
2002-08-01,2002,1,8,FUNCEX12_MDQBIGCE12,2002-08-01T00:00:00-03:00,73.05
2002-09-01,2002,1,9,FUNCEX12_MDQBIGCE12,2002-09-01T00:00:00-03:00,65.17
2002-10-01,2002,1,10,FUNCEX12_MDQBIGCE12,2002-10-01T00:00:00-03:00,69.39
2002-11-01,2002,1,11,FUNCEX12_MDQBIGCE12,2002-11-01T00:00:00-03:00,65.8
