DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MDQCOMBGCE12,1997-01-01T00:00:00-02:00,5.49
1997-02-01,1997,1,2,FUNCEX12_MDQCOMBGCE12,1997-02-01T00:00:00-02:00,85.05
1997-03-01,1997,1,3,FUNCEX12_MDQCOMBGCE12,1997-03-01T00:00:00-03:00,127.03
1997-04-01,1997,1,4,FUNCEX12_MDQCOMBGCE12,1997-04-01T00:00:00-03:00,147.99
1997-05-01,1997,1,5,FUNCEX12_MDQCOMBGCE12,1997-05-01T00:00:00-03:00,90.27
1997-06-01,1997,1,6,FUNCEX12_MDQCOMBGCE12,1997-06-01T00:00:00-03:00,131.26
1997-07-01,1997,1,7,FUNCEX12_MDQCOMBGCE12,1997-07-01T00:00:00-03:00,97.14
1997-08-01,1997,1,8,FUNCEX12_MDQCOMBGCE12,1997-08-01T00:00:00-03:00,120.52
1997-09-01,1997,1,9,FUNCEX12_MDQCOMBGCE12,1997-09-01T00:00:00-03:00,141.22
1997-10-01,1997,1,10,FUNCEX12_MDQCOMBGCE12,1997-10-01T00:00:00-03:00,129.46
1997-11-01,1997,1,11,FUNCEX12_MDQCOMBGCE12,1997-11-01T00:00:00-03:00,169.71
1997-12-01,1997,1,12,FUNCEX12_MDQCOMBGCE12,1997-12-01T00:00:00-02:00,123.88
1998-01-01,1998,1,1,FUNCEX12_MDQCOMBGCE12,1998-01-01T00:00:00-02:00,112.73
1998-02-01,1998,1,2,FUNCEX12_MDQCOMBGCE12,1998-02-01T00:00:00-02:00,97.24
1998-03-01,1998,1,3,FUNCEX12_MDQCOMBGCE12,1998-03-01T00:00:00-03:00,140.9
1998-04-01,1998,1,4,FUNCEX12_MDQCOMBGCE12,1998-04-01T00:00:00-03:00,133.69
1998-05-01,1998,1,5,FUNCEX12_MDQCOMBGCE12,1998-05-01T00:00:00-03:00,126.11
1998-06-01,1998,1,6,FUNCEX12_MDQCOMBGCE12,1998-06-01T00:00:00-03:00,113.05
1998-07-01,1998,1,7,FUNCEX12_MDQCOMBGCE12,1998-07-01T00:00:00-03:00,126.27
1998-08-01,1998,1,8,FUNCEX12_MDQCOMBGCE12,1998-08-01T00:00:00-03:00,88.76
1998-09-01,1998,1,9,FUNCEX12_MDQCOMBGCE12,1998-09-01T00:00:00-03:00,142.39
1998-10-01,1998,1,10,FUNCEX12_MDQCOMBGCE12,1998-10-01T00:00:00-03:00,121.8
1998-11-01,1998,1,11,FUNCEX12_MDQCOMBGCE12,1998-11-01T00:00:00-03:00,91.6
1998-12-01,1998,1,12,FUNCEX12_MDQCOMBGCE12,1998-12-01T00:00:00-02:00,71.35
1999-01-01,1999,1,1,FUNCEX12_MDQCOMBGCE12,1999-01-01T00:00:00-02:00,96.64
1999-02-01,1999,1,2,FUNCEX12_MDQCOMBGCE12,1999-02-01T00:00:00-02:00,63.88
1999-03-01,1999,1,3,FUNCEX12_MDQCOMBGCE12,1999-03-01T00:00:00-03:00,152.37
1999-04-01,1999,1,4,FUNCEX12_MDQCOMBGCE12,1999-04-01T00:00:00-03:00,107.32
1999-05-01,1999,1,5,FUNCEX12_MDQCOMBGCE12,1999-05-01T00:00:00-03:00,118.92
1999-06-01,1999,1,6,FUNCEX12_MDQCOMBGCE12,1999-06-01T00:00:00-03:00,139.48
1999-07-01,1999,1,7,FUNCEX12_MDQCOMBGCE12,1999-07-01T00:00:00-03:00,88.54
1999-08-01,1999,1,8,FUNCEX12_MDQCOMBGCE12,1999-08-01T00:00:00-03:00,94.8
1999-09-01,1999,1,9,FUNCEX12_MDQCOMBGCE12,1999-09-01T00:00:00-03:00,100.84
1999-10-01,1999,1,10,FUNCEX12_MDQCOMBGCE12,1999-10-01T00:00:00-03:00,114.27
1999-11-01,1999,1,11,FUNCEX12_MDQCOMBGCE12,1999-11-01T00:00:00-03:00,101.48
1999-12-01,1999,1,12,FUNCEX12_MDQCOMBGCE12,1999-12-01T00:00:00-02:00,100.32
2000-01-01,2000,1,1,FUNCEX12_MDQCOMBGCE12,2000-01-01T00:00:00-02:00,64.79
2000-02-01,2000,1,2,FUNCEX12_MDQCOMBGCE12,2000-02-01T00:00:00-02:00,76.97
2000-03-01,2000,1,3,FUNCEX12_MDQCOMBGCE12,2000-03-01T00:00:00-03:00,96.47
2000-04-01,2000,1,4,FUNCEX12_MDQCOMBGCE12,2000-04-01T00:00:00-03:00,69.01
2000-05-01,2000,1,5,FUNCEX12_MDQCOMBGCE12,2000-05-01T00:00:00-03:00,112.03
2000-06-01,2000,1,6,FUNCEX12_MDQCOMBGCE12,2000-06-01T00:00:00-03:00,109.04
2000-07-01,2000,1,7,FUNCEX12_MDQCOMBGCE12,2000-07-01T00:00:00-03:00,104.89
2000-08-01,2000,1,8,FUNCEX12_MDQCOMBGCE12,2000-08-01T00:00:00-03:00,133.03
2000-09-01,2000,1,9,FUNCEX12_MDQCOMBGCE12,2000-09-01T00:00:00-03:00,107.26
2000-10-01,2000,1,10,FUNCEX12_MDQCOMBGCE12,2000-10-01T00:00:00-03:00,111.86
2000-11-01,2000,1,11,FUNCEX12_MDQCOMBGCE12,2000-11-01T00:00:00-03:00,108.91
2000-12-01,2000,1,12,FUNCEX12_MDQCOMBGCE12,2000-12-01T00:00:00-02:00,88.19
2001-01-01,2001,1,1,FUNCEX12_MDQCOMBGCE12,2001-01-01T00:00:00-02:00,112.25
2001-02-01,2001,1,2,FUNCEX12_MDQCOMBGCE12,2001-02-01T00:00:00-02:00,68.75
2001-03-01,2001,1,3,FUNCEX12_MDQCOMBGCE12,2001-03-01T00:00:00-03:00,103.1
2001-04-01,2001,1,4,FUNCEX12_MDQCOMBGCE12,2001-04-01T00:00:00-03:00,72.02
2001-05-01,2001,1,5,FUNCEX12_MDQCOMBGCE12,2001-05-01T00:00:00-03:00,107.72
2001-06-01,2001,1,6,FUNCEX12_MDQCOMBGCE12,2001-06-01T00:00:00-03:00,132.51
2001-07-01,2001,1,7,FUNCEX12_MDQCOMBGCE12,2001-07-01T00:00:00-03:00,109.01
2001-08-01,2001,1,8,FUNCEX12_MDQCOMBGCE12,2001-08-01T00:00:00-03:00,120.11
2001-09-01,2001,1,9,FUNCEX12_MDQCOMBGCE12,2001-09-01T00:00:00-03:00,107.14
2001-10-01,2001,1,10,FUNCEX12_MDQCOMBGCE12,2001-10-01T00:00:00-03:00,129.48
2001-11-01,2001,1,11,FUNCEX12_MDQCOMBGCE12,2001-11-01T00:00:00-03:00,123.35
2001-12-01,2001,1,12,FUNCEX12_MDQCOMBGCE12,2001-12-01T00:00:00-02:00,95.07
2002-01-01,2002,1,1,FUNCEX12_MDQCOMBGCE12,2002-01-01T00:00:00-02:00,92.69
2002-02-01,2002,1,2,FUNCEX12_MDQCOMBGCE12,2002-02-01T00:00:00-02:00,90.76
2002-03-01,2002,1,3,FUNCEX12_MDQCOMBGCE12,2002-03-01T00:00:00-03:00,98.37
2002-04-01,2002,1,4,FUNCEX12_MDQCOMBGCE12,2002-04-01T00:00:00-03:00,128.71
2002-05-01,2002,1,5,FUNCEX12_MDQCOMBGCE12,2002-05-01T00:00:00-03:00,125.56
2002-06-01,2002,1,6,FUNCEX12_MDQCOMBGCE12,2002-06-01T00:00:00-03:00,75.66
2002-07-01,2002,1,7,FUNCEX12_MDQCOMBGCE12,2002-07-01T00:00:00-03:00,122.05
2002-08-01,2002,1,8,FUNCEX12_MDQCOMBGCE12,2002-08-01T00:00:00-03:00,95.41
2002-09-01,2002,1,9,FUNCEX12_MDQCOMBGCE12,2002-09-01T00:00:00-03:00,135.14
2002-10-01,2002,1,10,FUNCEX12_MDQCOMBGCE12,2002-10-01T00:00:00-03:00,133.23
2002-11-01,2002,1,11,FUNCEX12_MDQCOMBGCE12,2002-11-01T00:00:00-03:00,99.06
2002-12-01,2002,1,12,FUNCEX12_MDQCOMBGCE12,2002-12-01T00:00:00-02:00,110.65
2003-01-01,2003,1,1,FUNCEX12_MDQCOMBGCE12,2003-01-01T00:00:00-02:00,85.73
2003-02-01,2003,1,2,FUNCEX12_MDQCOMBGCE12,2003-02-01T00:00:00-02:00,96.2
2003-03-01,2003,1,3,FUNCEX12_MDQCOMBGCE12,2003-03-01T00:00:00-03:00,85.92
2003-04-01,2003,1,4,FUNCEX12_MDQCOMBGCE12,2003-04-01T00:00:00-03:00,115.64
2003-05-01,2003,1,5,FUNCEX12_MDQCOMBGCE12,2003-05-01T00:00:00-03:00,80.16
2003-06-01,2003,1,6,FUNCEX12_MDQCOMBGCE12,2003-06-01T00:00:00-03:00,91.01
2003-07-01,2003,1,7,FUNCEX12_MDQCOMBGCE12,2003-07-01T00:00:00-03:00,80.69
2003-08-01,2003,1,8,FUNCEX12_MDQCOMBGCE12,2003-08-01T00:00:00-03:00,94.94
2003-09-01,2003,1,9,FUNCEX12_MDQCOMBGCE12,2003-09-01T00:00:00-03:00,126.28
2003-10-01,2003,1,10,FUNCEX12_MDQCOMBGCE12,2003-10-01T00:00:00-03:00,141.72
2003-11-01,2003,1,11,FUNCEX12_MDQCOMBGCE12,2003-11-01T00:00:00-03:00,95.95
2003-12-01,2003,1,12,FUNCEX12_MDQCOMBGCE12,2003-12-01T00:00:00-02:00,63.43
2004-01-01,2004,1,1,FUNCEX12_MDQCOMBGCE12,2004-01-01T00:00:00-02:00,110.83
2004-02-01,2004,1,2,FUNCEX12_MDQCOMBGCE12,2004-02-01T00:00:00-02:00,72.76
2004-03-01,2004,1,3,FUNCEX12_MDQCOMBGCE12,2004-03-01T00:00:00-03:00,107.42
2004-04-01,2004,1,4,FUNCEX12_MDQCOMBGCE12,2004-04-01T00:00:00-03:00,116.76
2004-05-01,2004,1,5,FUNCEX12_MDQCOMBGCE12,2004-05-01T00:00:00-03:00,126.8
2004-06-01,2004,1,6,FUNCEX12_MDQCOMBGCE12,2004-06-01T00:00:00-03:00,128.1
2004-07-01,2004,1,7,FUNCEX12_MDQCOMBGCE12,2004-07-01T00:00:00-03:00,125.59
2004-08-01,2004,1,8,FUNCEX12_MDQCOMBGCE12,2004-08-01T00:00:00-03:00,112.37
