DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPAL2N12,1997-01-01T00:00:00-02:00,99.11
1997-02-01,1997,1,2,FUNCEX12_MPAL2N12,1997-02-01T00:00:00-02:00,102.2
1997-03-01,1997,1,3,FUNCEX12_MPAL2N12,1997-03-01T00:00:00-03:00,102.61
1997-04-01,1997,1,4,FUNCEX12_MPAL2N12,1997-04-01T00:00:00-03:00,100.75
1997-05-01,1997,1,5,FUNCEX12_MPAL2N12,1997-05-01T00:00:00-03:00,99.79
1997-06-01,1997,1,6,FUNCEX12_MPAL2N12,1997-06-01T00:00:00-03:00,99.77
1997-07-01,1997,1,7,FUNCEX12_MPAL2N12,1997-07-01T00:00:00-03:00,99.58
1997-08-01,1997,1,8,FUNCEX12_MPAL2N12,1997-08-01T00:00:00-03:00,98.43
1997-09-01,1997,1,9,FUNCEX12_MPAL2N12,1997-09-01T00:00:00-03:00,94.73
1997-10-01,1997,1,10,FUNCEX12_MPAL2N12,1997-10-01T00:00:00-03:00,98.23
1997-11-01,1997,1,11,FUNCEX12_MPAL2N12,1997-11-01T00:00:00-03:00,97.65
1997-12-01,1997,1,12,FUNCEX12_MPAL2N12,1997-12-01T00:00:00-02:00,98.6
1998-01-01,1998,1,1,FUNCEX12_MPAL2N12,1998-01-01T00:00:00-02:00,99.99
1998-02-01,1998,1,2,FUNCEX12_MPAL2N12,1998-02-01T00:00:00-02:00,98.88
1998-03-01,1998,1,3,FUNCEX12_MPAL2N12,1998-03-01T00:00:00-03:00,99.93
1998-04-01,1998,1,4,FUNCEX12_MPAL2N12,1998-04-01T00:00:00-03:00,98.93
1998-05-01,1998,1,5,FUNCEX12_MPAL2N12,1998-05-01T00:00:00-03:00,100.76
1998-06-01,1998,1,6,FUNCEX12_MPAL2N12,1998-06-01T00:00:00-03:00,99.46
1998-07-01,1998,1,7,FUNCEX12_MPAL2N12,1998-07-01T00:00:00-03:00,100.21
1998-08-01,1998,1,8,FUNCEX12_MPAL2N12,1998-08-01T00:00:00-03:00,97.19
1998-09-01,1998,1,9,FUNCEX12_MPAL2N12,1998-09-01T00:00:00-03:00,100.35
1998-10-01,1998,1,10,FUNCEX12_MPAL2N12,1998-10-01T00:00:00-03:00,101.38
1998-11-01,1998,1,11,FUNCEX12_MPAL2N12,1998-11-01T00:00:00-03:00,97.75
1998-12-01,1998,1,12,FUNCEX12_MPAL2N12,1998-12-01T00:00:00-02:00,97.05
1999-01-01,1999,1,1,FUNCEX12_MPAL2N12,1999-01-01T00:00:00-02:00,96.83
1999-02-01,1999,1,2,FUNCEX12_MPAL2N12,1999-02-01T00:00:00-02:00,95.75
1999-03-01,1999,1,3,FUNCEX12_MPAL2N12,1999-03-01T00:00:00-03:00,92.34
1999-04-01,1999,1,4,FUNCEX12_MPAL2N12,1999-04-01T00:00:00-03:00,88.66
1999-05-01,1999,1,5,FUNCEX12_MPAL2N12,1999-05-01T00:00:00-03:00,85.67
1999-06-01,1999,1,6,FUNCEX12_MPAL2N12,1999-06-01T00:00:00-03:00,84.51
1999-07-01,1999,1,7,FUNCEX12_MPAL2N12,1999-07-01T00:00:00-03:00,81.43
1999-08-01,1999,1,8,FUNCEX12_MPAL2N12,1999-08-01T00:00:00-03:00,83.7
1999-09-01,1999,1,9,FUNCEX12_MPAL2N12,1999-09-01T00:00:00-03:00,79.69
1999-10-01,1999,1,10,FUNCEX12_MPAL2N12,1999-10-01T00:00:00-03:00,79.95
1999-11-01,1999,1,11,FUNCEX12_MPAL2N12,1999-11-01T00:00:00-03:00,79.14
1999-12-01,1999,1,12,FUNCEX12_MPAL2N12,1999-12-01T00:00:00-02:00,78.42
2000-01-01,2000,1,1,FUNCEX12_MPAL2N12,2000-01-01T00:00:00-02:00,79.04
2000-02-01,2000,1,2,FUNCEX12_MPAL2N12,2000-02-01T00:00:00-02:00,78.49
2000-03-01,2000,1,3,FUNCEX12_MPAL2N12,2000-03-01T00:00:00-03:00,77.22
2000-04-01,2000,1,4,FUNCEX12_MPAL2N12,2000-04-01T00:00:00-03:00,80.48
2000-05-01,2000,1,5,FUNCEX12_MPAL2N12,2000-05-01T00:00:00-03:00,80.63
2000-06-01,2000,1,6,FUNCEX12_MPAL2N12,2000-06-01T00:00:00-03:00,81.74
2000-07-01,2000,1,7,FUNCEX12_MPAL2N12,2000-07-01T00:00:00-03:00,81.92
2000-08-01,2000,1,8,FUNCEX12_MPAL2N12,2000-08-01T00:00:00-03:00,82.09
2000-09-01,2000,1,9,FUNCEX12_MPAL2N12,2000-09-01T00:00:00-03:00,79.92
2000-10-01,2000,1,10,FUNCEX12_MPAL2N12,2000-10-01T00:00:00-03:00,80.34
2000-11-01,2000,1,11,FUNCEX12_MPAL2N12,2000-11-01T00:00:00-03:00,80.3
2000-12-01,2000,1,12,FUNCEX12_MPAL2N12,2000-12-01T00:00:00-02:00,78.66
2001-01-01,2001,1,1,FUNCEX12_MPAL2N12,2001-01-01T00:00:00-02:00,78.68
2001-02-01,2001,1,2,FUNCEX12_MPAL2N12,2001-02-01T00:00:00-02:00,78.39
2001-03-01,2001,1,3,FUNCEX12_MPAL2N12,2001-03-01T00:00:00-03:00,78.15
2001-04-01,2001,1,4,FUNCEX12_MPAL2N12,2001-04-01T00:00:00-03:00,76.88
2001-05-01,2001,1,5,FUNCEX12_MPAL2N12,2001-05-01T00:00:00-03:00,79.36
2001-06-01,2001,1,6,FUNCEX12_MPAL2N12,2001-06-01T00:00:00-03:00,76.84
2001-07-01,2001,1,7,FUNCEX12_MPAL2N12,2001-07-01T00:00:00-03:00,77.04
2001-08-01,2001,1,8,FUNCEX12_MPAL2N12,2001-08-01T00:00:00-03:00,77.44
2001-09-01,2001,1,9,FUNCEX12_MPAL2N12,2001-09-01T00:00:00-03:00,77.38
2001-10-01,2001,1,10,FUNCEX12_MPAL2N12,2001-10-01T00:00:00-03:00,76.82
2001-11-01,2001,1,11,FUNCEX12_MPAL2N12,2001-11-01T00:00:00-03:00,78.14
2001-12-01,2001,1,12,FUNCEX12_MPAL2N12,2001-12-01T00:00:00-02:00,73.38
2002-01-01,2002,1,1,FUNCEX12_MPAL2N12,2002-01-01T00:00:00-02:00,74.95
2002-02-01,2002,1,2,FUNCEX12_MPAL2N12,2002-02-01T00:00:00-02:00,75.22
2002-03-01,2002,1,3,FUNCEX12_MPAL2N12,2002-03-01T00:00:00-03:00,76.04
2002-04-01,2002,1,4,FUNCEX12_MPAL2N12,2002-04-01T00:00:00-03:00,72.36
2002-05-01,2002,1,5,FUNCEX12_MPAL2N12,2002-05-01T00:00:00-03:00,70.07
2002-06-01,2002,1,6,FUNCEX12_MPAL2N12,2002-06-01T00:00:00-03:00,70.86
2002-07-01,2002,1,7,FUNCEX12_MPAL2N12,2002-07-01T00:00:00-03:00,72.81
2002-08-01,2002,1,8,FUNCEX12_MPAL2N12,2002-08-01T00:00:00-03:00,70.74
2002-09-01,2002,1,9,FUNCEX12_MPAL2N12,2002-09-01T00:00:00-03:00,77.46
2002-10-01,2002,1,10,FUNCEX12_MPAL2N12,2002-10-01T00:00:00-03:00,74.64
2002-11-01,2002,1,11,FUNCEX12_MPAL2N12,2002-11-01T00:00:00-03:00,74.07
2002-12-01,2002,1,12,FUNCEX12_MPAL2N12,2002-12-01T00:00:00-02:00,74.83
2003-01-01,2003,1,1,FUNCEX12_MPAL2N12,2003-01-01T00:00:00-02:00,75.23
2003-02-01,2003,1,2,FUNCEX12_MPAL2N12,2003-02-01T00:00:00-02:00,78.27
2003-03-01,2003,1,3,FUNCEX12_MPAL2N12,2003-03-01T00:00:00-03:00,75.37
2003-04-01,2003,1,4,FUNCEX12_MPAL2N12,2003-04-01T00:00:00-03:00,75.83
2003-05-01,2003,1,5,FUNCEX12_MPAL2N12,2003-05-01T00:00:00-03:00,77.09
2003-06-01,2003,1,6,FUNCEX12_MPAL2N12,2003-06-01T00:00:00-03:00,76.23
2003-07-01,2003,1,7,FUNCEX12_MPAL2N12,2003-07-01T00:00:00-03:00,81.16
2003-08-01,2003,1,8,FUNCEX12_MPAL2N12,2003-08-01T00:00:00-03:00,81.52
2003-09-01,2003,1,9,FUNCEX12_MPAL2N12,2003-09-01T00:00:00-03:00,81.59
2003-10-01,2003,1,10,FUNCEX12_MPAL2N12,2003-10-01T00:00:00-03:00,81.57
2003-11-01,2003,1,11,FUNCEX12_MPAL2N12,2003-11-01T00:00:00-03:00,81.17
2003-12-01,2003,1,12,FUNCEX12_MPAL2N12,2003-12-01T00:00:00-02:00,83.7
2004-01-01,2004,1,1,FUNCEX12_MPAL2N12,2004-01-01T00:00:00-02:00,83.74
2004-02-01,2004,1,2,FUNCEX12_MPAL2N12,2004-02-01T00:00:00-02:00,82.1
2004-03-01,2004,1,3,FUNCEX12_MPAL2N12,2004-03-01T00:00:00-03:00,81.15
2004-04-01,2004,1,4,FUNCEX12_MPAL2N12,2004-04-01T00:00:00-03:00,85.8
2004-05-01,2004,1,5,FUNCEX12_MPAL2N12,2004-05-01T00:00:00-03:00,83.9
2004-06-01,2004,1,6,FUNCEX12_MPAL2N12,2004-06-01T00:00:00-03:00,79.75
2004-07-01,2004,1,7,FUNCEX12_MPAL2N12,2004-07-01T00:00:00-03:00,85.73
2004-08-01,2004,1,8,FUNCEX12_MPAL2N12,2004-08-01T00:00:00-03:00,85.73
2004-09-01,2004,1,9,FUNCEX12_MPAL2N12,2004-09-01T00:00:00-03:00,81.6
2004-10-01,2004,1,10,FUNCEX12_MPAL2N12,2004-10-01T00:00:00-03:00,93.73
2004-11-01,2004,1,11,FUNCEX12_MPAL2N12,2004-11-01T00:00:00-03:00,89.1
2004-12-01,2004,1,12,FUNCEX12_MPAL2N12,2004-12-01T00:00:00-02:00,87.78
2005-01-01,2005,1,1,FUNCEX12_MPAL2N12,2005-01-01T00:00:00-02:00,88.38
2005-02-01,2005,1,2,FUNCEX12_MPAL2N12,2005-02-01T00:00:00-02:00,88.48
2005-03-01,2005,1,3,FUNCEX12_MPAL2N12,2005-03-01T00:00:00-03:00,88.9
2005-04-01,2005,1,4,FUNCEX12_MPAL2N12,2005-04-01T00:00:00-03:00,87.91
2005-05-01,2005,1,5,FUNCEX12_MPAL2N12,2005-05-01T00:00:00-03:00,88.84
2005-06-01,2005,1,6,FUNCEX12_MPAL2N12,2005-06-01T00:00:00-03:00,89.84
2005-07-01,2005,1,7,FUNCEX12_MPAL2N12,2005-07-01T00:00:00-03:00,88.55
2005-08-01,2005,1,8,FUNCEX12_MPAL2N12,2005-08-01T00:00:00-03:00,88.78
2005-09-01,2005,1,9,FUNCEX12_MPAL2N12,2005-09-01T00:00:00-03:00,88.79
2005-10-01,2005,1,10,FUNCEX12_MPAL2N12,2005-10-01T00:00:00-03:00,91.25
