DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPBEB2N12,1997-01-01T00:00:00-02:00,114.38
1997-02-01,1997,1,2,FUNCEX12_MPBEB2N12,1997-02-01T00:00:00-02:00,146.63
1997-03-01,1997,1,3,FUNCEX12_MPBEB2N12,1997-03-01T00:00:00-03:00,115.51
1997-04-01,1997,1,4,FUNCEX12_MPBEB2N12,1997-04-01T00:00:00-03:00,118.56
1997-05-01,1997,1,5,FUNCEX12_MPBEB2N12,1997-05-01T00:00:00-03:00,107.85
1997-06-01,1997,1,6,FUNCEX12_MPBEB2N12,1997-06-01T00:00:00-03:00,117.41
1997-07-01,1997,1,7,FUNCEX12_MPBEB2N12,1997-07-01T00:00:00-03:00,109.33
1997-08-01,1997,1,8,FUNCEX12_MPBEB2N12,1997-08-01T00:00:00-03:00,113.44
1997-09-01,1997,1,9,FUNCEX12_MPBEB2N12,1997-09-01T00:00:00-03:00,110.25
1997-10-01,1997,1,10,FUNCEX12_MPBEB2N12,1997-10-01T00:00:00-03:00,111.32
1997-11-01,1997,1,11,FUNCEX12_MPBEB2N12,1997-11-01T00:00:00-03:00,101.27
1997-12-01,1997,1,12,FUNCEX12_MPBEB2N12,1997-12-01T00:00:00-02:00,106.32
1998-01-01,1998,1,1,FUNCEX12_MPBEB2N12,1998-01-01T00:00:00-02:00,115.23
1998-02-01,1998,1,2,FUNCEX12_MPBEB2N12,1998-02-01T00:00:00-02:00,110.75
1998-03-01,1998,1,3,FUNCEX12_MPBEB2N12,1998-03-01T00:00:00-03:00,112.5
1998-04-01,1998,1,4,FUNCEX12_MPBEB2N12,1998-04-01T00:00:00-03:00,113.54
1998-05-01,1998,1,5,FUNCEX12_MPBEB2N12,1998-05-01T00:00:00-03:00,105.15
1998-06-01,1998,1,6,FUNCEX12_MPBEB2N12,1998-06-01T00:00:00-03:00,111.97
1998-07-01,1998,1,7,FUNCEX12_MPBEB2N12,1998-07-01T00:00:00-03:00,108.26
1998-08-01,1998,1,8,FUNCEX12_MPBEB2N12,1998-08-01T00:00:00-03:00,113.28
1998-09-01,1998,1,9,FUNCEX12_MPBEB2N12,1998-09-01T00:00:00-03:00,106.73
1998-10-01,1998,1,10,FUNCEX12_MPBEB2N12,1998-10-01T00:00:00-03:00,99.83
1998-11-01,1998,1,11,FUNCEX12_MPBEB2N12,1998-11-01T00:00:00-03:00,105.39
1998-12-01,1998,1,12,FUNCEX12_MPBEB2N12,1998-12-01T00:00:00-02:00,104.74
