DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPCAL2N12,1997-01-01T00:00:00-02:00,92.22
1997-02-01,1997,1,2,FUNCEX12_MPCAL2N12,1997-02-01T00:00:00-02:00,99.08
1997-03-01,1997,1,3,FUNCEX12_MPCAL2N12,1997-03-01T00:00:00-03:00,99.26
1997-04-01,1997,1,4,FUNCEX12_MPCAL2N12,1997-04-01T00:00:00-03:00,106.5
1997-05-01,1997,1,5,FUNCEX12_MPCAL2N12,1997-05-01T00:00:00-03:00,108.4
1997-06-01,1997,1,6,FUNCEX12_MPCAL2N12,1997-06-01T00:00:00-03:00,102.32
1997-07-01,1997,1,7,FUNCEX12_MPCAL2N12,1997-07-01T00:00:00-03:00,107.3
1997-08-01,1997,1,8,FUNCEX12_MPCAL2N12,1997-08-01T00:00:00-03:00,107.4
1997-09-01,1997,1,9,FUNCEX12_MPCAL2N12,1997-09-01T00:00:00-03:00,112.99
1997-10-01,1997,1,10,FUNCEX12_MPCAL2N12,1997-10-01T00:00:00-03:00,105.78
1997-11-01,1997,1,11,FUNCEX12_MPCAL2N12,1997-11-01T00:00:00-03:00,102.76
1997-12-01,1997,1,12,FUNCEX12_MPCAL2N12,1997-12-01T00:00:00-02:00,98.62
1998-01-01,1998,1,1,FUNCEX12_MPCAL2N12,1998-01-01T00:00:00-02:00,100.66
1998-02-01,1998,1,2,FUNCEX12_MPCAL2N12,1998-02-01T00:00:00-02:00,103.11
1998-03-01,1998,1,3,FUNCEX12_MPCAL2N12,1998-03-01T00:00:00-03:00,96.56
1998-04-01,1998,1,4,FUNCEX12_MPCAL2N12,1998-04-01T00:00:00-03:00,104.68
1998-05-01,1998,1,5,FUNCEX12_MPCAL2N12,1998-05-01T00:00:00-03:00,99.33
1998-06-01,1998,1,6,FUNCEX12_MPCAL2N12,1998-06-01T00:00:00-03:00,96.44
1998-07-01,1998,1,7,FUNCEX12_MPCAL2N12,1998-07-01T00:00:00-03:00,93.78
1998-08-01,1998,1,8,FUNCEX12_MPCAL2N12,1998-08-01T00:00:00-03:00,97.16
1998-09-01,1998,1,9,FUNCEX12_MPCAL2N12,1998-09-01T00:00:00-03:00,86.28
1998-10-01,1998,1,10,FUNCEX12_MPCAL2N12,1998-10-01T00:00:00-03:00,90.78
1998-11-01,1998,1,11,FUNCEX12_MPCAL2N12,1998-11-01T00:00:00-03:00,91.9
1998-12-01,1998,1,12,FUNCEX12_MPCAL2N12,1998-12-01T00:00:00-02:00,88.98
1999-01-01,1999,1,1,FUNCEX12_MPCAL2N12,1999-01-01T00:00:00-02:00,82.1
