DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPEMM2N12,1997-01-01T00:00:00-02:00,36.24
1997-02-01,1997,1,2,FUNCEX12_MPEMM2N12,1997-02-01T00:00:00-02:00,31.36
1997-03-01,1997,1,3,FUNCEX12_MPEMM2N12,1997-03-01T00:00:00-03:00,33.26
1997-04-01,1997,1,4,FUNCEX12_MPEMM2N12,1997-04-01T00:00:00-03:00,31.23
1997-05-01,1997,1,5,FUNCEX12_MPEMM2N12,1997-05-01T00:00:00-03:00,32.75
1997-06-01,1997,1,6,FUNCEX12_MPEMM2N12,1997-06-01T00:00:00-03:00,31.66
1997-07-01,1997,1,7,FUNCEX12_MPEMM2N12,1997-07-01T00:00:00-03:00,34.77
1997-08-01,1997,1,8,FUNCEX12_MPEMM2N12,1997-08-01T00:00:00-03:00,45.16
1997-09-01,1997,1,9,FUNCEX12_MPEMM2N12,1997-09-01T00:00:00-03:00,42.94
1997-10-01,1997,1,10,FUNCEX12_MPEMM2N12,1997-10-01T00:00:00-03:00,36.22
1997-11-01,1997,1,11,FUNCEX12_MPEMM2N12,1997-11-01T00:00:00-03:00,36.87
1997-12-01,1997,1,12,FUNCEX12_MPEMM2N12,1997-12-01T00:00:00-02:00,32.71
1998-01-01,1998,1,1,FUNCEX12_MPEMM2N12,1998-01-01T00:00:00-02:00,27.26
1998-02-01,1998,1,2,FUNCEX12_MPEMM2N12,1998-02-01T00:00:00-02:00,29.89
1998-03-01,1998,1,3,FUNCEX12_MPEMM2N12,1998-03-01T00:00:00-03:00,31.79
1998-04-01,1998,1,4,FUNCEX12_MPEMM2N12,1998-04-01T00:00:00-03:00,22.33
1998-05-01,1998,1,5,FUNCEX12_MPEMM2N12,1998-05-01T00:00:00-03:00,28.07
1998-06-01,1998,1,6,FUNCEX12_MPEMM2N12,1998-06-01T00:00:00-03:00,20.69
1998-07-01,1998,1,7,FUNCEX12_MPEMM2N12,1998-07-01T00:00:00-03:00,23.54
1998-08-01,1998,1,8,FUNCEX12_MPEMM2N12,1998-08-01T00:00:00-03:00,20.75
1998-09-01,1998,1,9,FUNCEX12_MPEMM2N12,1998-09-01T00:00:00-03:00,24.38
1998-10-01,1998,1,10,FUNCEX12_MPEMM2N12,1998-10-01T00:00:00-03:00,21.12
1998-11-01,1998,1,11,FUNCEX12_MPEMM2N12,1998-11-01T00:00:00-03:00,18.45
1998-12-01,1998,1,12,FUNCEX12_MPEMM2N12,1998-12-01T00:00:00-02:00,18.21
1999-01-01,1999,1,1,FUNCEX12_MPEMM2N12,1999-01-01T00:00:00-02:00,18.5
1999-02-01,1999,1,2,FUNCEX12_MPEMM2N12,1999-02-01T00:00:00-02:00,19.34
1999-03-01,1999,1,3,FUNCEX12_MPEMM2N12,1999-03-01T00:00:00-03:00,20.68
1999-04-01,1999,1,4,FUNCEX12_MPEMM2N12,1999-04-01T00:00:00-03:00,18.77
1999-05-01,1999,1,5,FUNCEX12_MPEMM2N12,1999-05-01T00:00:00-03:00,19.45
1999-06-01,1999,1,6,FUNCEX12_MPEMM2N12,1999-06-01T00:00:00-03:00,21.89
1999-07-01,1999,1,7,FUNCEX12_MPEMM2N12,1999-07-01T00:00:00-03:00,20.64
1999-08-01,1999,1,8,FUNCEX12_MPEMM2N12,1999-08-01T00:00:00-03:00,22.75
1999-09-01,1999,1,9,FUNCEX12_MPEMM2N12,1999-09-01T00:00:00-03:00,23.13
1999-10-01,1999,1,10,FUNCEX12_MPEMM2N12,1999-10-01T00:00:00-03:00,26.26
1999-11-01,1999,1,11,FUNCEX12_MPEMM2N12,1999-11-01T00:00:00-03:00,23.78
1999-12-01,1999,1,12,FUNCEX12_MPEMM2N12,1999-12-01T00:00:00-02:00,25.55
2000-01-01,2000,1,1,FUNCEX12_MPEMM2N12,2000-01-01T00:00:00-02:00,66.85
2000-02-01,2000,1,2,FUNCEX12_MPEMM2N12,2000-02-01T00:00:00-02:00,20.86
2000-03-01,2000,1,3,FUNCEX12_MPEMM2N12,2000-03-01T00:00:00-03:00,25.78
2000-04-01,2000,1,4,FUNCEX12_MPEMM2N12,2000-04-01T00:00:00-03:00,19.02
2000-05-01,2000,1,5,FUNCEX12_MPEMM2N12,2000-05-01T00:00:00-03:00,21.87
2000-06-01,2000,1,6,FUNCEX12_MPEMM2N12,2000-06-01T00:00:00-03:00,25.58
2000-07-01,2000,1,7,FUNCEX12_MPEMM2N12,2000-07-01T00:00:00-03:00,19.39
2000-08-01,2000,1,8,FUNCEX12_MPEMM2N12,2000-08-01T00:00:00-03:00,24.28
2000-09-01,2000,1,9,FUNCEX12_MPEMM2N12,2000-09-01T00:00:00-03:00,19.68
2000-10-01,2000,1,10,FUNCEX12_MPEMM2N12,2000-10-01T00:00:00-03:00,22.66
2000-11-01,2000,1,11,FUNCEX12_MPEMM2N12,2000-11-01T00:00:00-03:00,26.34
2000-12-01,2000,1,12,FUNCEX12_MPEMM2N12,2000-12-01T00:00:00-02:00,21.74
2001-01-01,2001,1,1,FUNCEX12_MPEMM2N12,2001-01-01T00:00:00-02:00,21.94
2001-02-01,2001,1,2,FUNCEX12_MPEMM2N12,2001-02-01T00:00:00-02:00,21.64
2001-03-01,2001,1,3,FUNCEX12_MPEMM2N12,2001-03-01T00:00:00-03:00,22.82
2001-04-01,2001,1,4,FUNCEX12_MPEMM2N12,2001-04-01T00:00:00-03:00,19.99
2001-05-01,2001,1,5,FUNCEX12_MPEMM2N12,2001-05-01T00:00:00-03:00,18.16
2001-06-01,2001,1,6,FUNCEX12_MPEMM2N12,2001-06-01T00:00:00-03:00,24.69
2001-07-01,2001,1,7,FUNCEX12_MPEMM2N12,2001-07-01T00:00:00-03:00,16.92
2001-08-01,2001,1,8,FUNCEX12_MPEMM2N12,2001-08-01T00:00:00-03:00,17.82
2001-09-01,2001,1,9,FUNCEX12_MPEMM2N12,2001-09-01T00:00:00-03:00,15.87
2001-10-01,2001,1,10,FUNCEX12_MPEMM2N12,2001-10-01T00:00:00-03:00,17.37
2001-11-01,2001,1,11,FUNCEX12_MPEMM2N12,2001-11-01T00:00:00-03:00,14.42
2001-12-01,2001,1,12,FUNCEX12_MPEMM2N12,2001-12-01T00:00:00-02:00,15.27
2002-01-01,2002,1,1,FUNCEX12_MPEMM2N12,2002-01-01T00:00:00-02:00,21.58
2002-02-01,2002,1,2,FUNCEX12_MPEMM2N12,2002-02-01T00:00:00-02:00,19.15
2002-03-01,2002,1,3,FUNCEX12_MPEMM2N12,2002-03-01T00:00:00-03:00,19.7
2002-04-01,2002,1,4,FUNCEX12_MPEMM2N12,2002-04-01T00:00:00-03:00,20.29
2002-05-01,2002,1,5,FUNCEX12_MPEMM2N12,2002-05-01T00:00:00-03:00,18.36
2002-06-01,2002,1,6,FUNCEX12_MPEMM2N12,2002-06-01T00:00:00-03:00,20.4
2002-07-01,2002,1,7,FUNCEX12_MPEMM2N12,2002-07-01T00:00:00-03:00,20.77
2002-08-01,2002,1,8,FUNCEX12_MPEMM2N12,2002-08-01T00:00:00-03:00,21.05
2002-09-01,2002,1,9,FUNCEX12_MPEMM2N12,2002-09-01T00:00:00-03:00,20.98
2002-10-01,2002,1,10,FUNCEX12_MPEMM2N12,2002-10-01T00:00:00-03:00,26.44
2002-11-01,2002,1,11,FUNCEX12_MPEMM2N12,2002-11-01T00:00:00-03:00,19.27
2002-12-01,2002,1,12,FUNCEX12_MPEMM2N12,2002-12-01T00:00:00-02:00,24.57
2003-01-01,2003,1,1,FUNCEX12_MPEMM2N12,2003-01-01T00:00:00-02:00,21.5
2003-02-01,2003,1,2,FUNCEX12_MPEMM2N12,2003-02-01T00:00:00-02:00,22.69
2003-03-01,2003,1,3,FUNCEX12_MPEMM2N12,2003-03-01T00:00:00-03:00,22.47
2003-04-01,2003,1,4,FUNCEX12_MPEMM2N12,2003-04-01T00:00:00-03:00,24.93
2003-05-01,2003,1,5,FUNCEX12_MPEMM2N12,2003-05-01T00:00:00-03:00,23.45
2003-06-01,2003,1,6,FUNCEX12_MPEMM2N12,2003-06-01T00:00:00-03:00,22.86
2003-07-01,2003,1,7,FUNCEX12_MPEMM2N12,2003-07-01T00:00:00-03:00,24.2
2003-08-01,2003,1,8,FUNCEX12_MPEMM2N12,2003-08-01T00:00:00-03:00,27.4
2003-09-01,2003,1,9,FUNCEX12_MPEMM2N12,2003-09-01T00:00:00-03:00,26.62
2003-10-01,2003,1,10,FUNCEX12_MPEMM2N12,2003-10-01T00:00:00-03:00,26.61
2003-11-01,2003,1,11,FUNCEX12_MPEMM2N12,2003-11-01T00:00:00-03:00,35.43
2003-12-01,2003,1,12,FUNCEX12_MPEMM2N12,2003-12-01T00:00:00-02:00,34.47
2004-01-01,2004,1,1,FUNCEX12_MPEMM2N12,2004-01-01T00:00:00-02:00,33.32
2004-02-01,2004,1,2,FUNCEX12_MPEMM2N12,2004-02-01T00:00:00-02:00,40.69
2004-03-01,2004,1,3,FUNCEX12_MPEMM2N12,2004-03-01T00:00:00-03:00,39.84
2004-04-01,2004,1,4,FUNCEX12_MPEMM2N12,2004-04-01T00:00:00-03:00,41.55
2004-05-01,2004,1,5,FUNCEX12_MPEMM2N12,2004-05-01T00:00:00-03:00,36.51
2004-06-01,2004,1,6,FUNCEX12_MPEMM2N12,2004-06-01T00:00:00-03:00,46.08
2004-07-01,2004,1,7,FUNCEX12_MPEMM2N12,2004-07-01T00:00:00-03:00,42.16
2004-08-01,2004,1,8,FUNCEX12_MPEMM2N12,2004-08-01T00:00:00-03:00,45.34
2004-09-01,2004,1,9,FUNCEX12_MPEMM2N12,2004-09-01T00:00:00-03:00,44.65
2004-10-01,2004,1,10,FUNCEX12_MPEMM2N12,2004-10-01T00:00:00-03:00,50.02
2004-11-01,2004,1,11,FUNCEX12_MPEMM2N12,2004-11-01T00:00:00-03:00,47.15
2004-12-01,2004,1,12,FUNCEX12_MPEMM2N12,2004-12-01T00:00:00-02:00,51.62
2005-01-01,2005,1,1,FUNCEX12_MPEMM2N12,2005-01-01T00:00:00-02:00,57.02
2005-02-01,2005,1,2,FUNCEX12_MPEMM2N12,2005-02-01T00:00:00-02:00,62.03
2005-03-01,2005,1,3,FUNCEX12_MPEMM2N12,2005-03-01T00:00:00-03:00,56.09
2005-04-01,2005,1,4,FUNCEX12_MPEMM2N12,2005-04-01T00:00:00-03:00,59.51
2005-05-01,2005,1,5,FUNCEX12_MPEMM2N12,2005-05-01T00:00:00-03:00,59.9
2005-06-01,2005,1,6,FUNCEX12_MPEMM2N12,2005-06-01T00:00:00-03:00,56.67
2005-07-01,2005,1,7,FUNCEX12_MPEMM2N12,2005-07-01T00:00:00-03:00,80.32
2005-08-01,2005,1,8,FUNCEX12_MPEMM2N12,2005-08-01T00:00:00-03:00,60.67
2005-09-01,2005,1,9,FUNCEX12_MPEMM2N12,2005-09-01T00:00:00-03:00,63.76
2005-10-01,2005,1,10,FUNCEX12_MPEMM2N12,2005-10-01T00:00:00-03:00,62.65
2005-11-01,2005,1,11,FUNCEX12_MPEMM2N12,2005-11-01T00:00:00-02:00,65.76
2005-12-01,2005,1,12,FUNCEX12_MPEMM2N12,2005-12-01T00:00:00-02:00,66.54
2006-01-01,2006,1,1,FUNCEX12_MPEMM2N12,2006-01-01T00:00:00-02:00,77.25
2006-02-01,2006,1,2,FUNCEX12_MPEMM2N12,2006-02-01T00:00:00-02:00,87.28
2006-03-01,2006,1,3,FUNCEX12_MPEMM2N12,2006-03-01T00:00:00-03:00,108.32
2006-04-01,2006,1,4,FUNCEX12_MPEMM2N12,2006-04-01T00:00:00-03:00,104.33
2006-05-01,2006,1,5,FUNCEX12_MPEMM2N12,2006-05-01T00:00:00-03:00,108.59
2006-06-01,2006,1,6,FUNCEX12_MPEMM2N12,2006-06-01T00:00:00-03:00,103.55
2006-07-01,2006,1,7,FUNCEX12_MPEMM2N12,2006-07-01T00:00:00-03:00,105.31
