DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPMAQEQU2N12,1997-01-01T00:00:00-02:00,110.29
1997-02-01,1997,1,2,FUNCEX12_MPMAQEQU2N12,1997-02-01T00:00:00-02:00,104.28
1997-03-01,1997,1,3,FUNCEX12_MPMAQEQU2N12,1997-03-01T00:00:00-03:00,102.32
1997-04-01,1997,1,4,FUNCEX12_MPMAQEQU2N12,1997-04-01T00:00:00-03:00,111.63
1997-05-01,1997,1,5,FUNCEX12_MPMAQEQU2N12,1997-05-01T00:00:00-03:00,103.46
1997-06-01,1997,1,6,FUNCEX12_MPMAQEQU2N12,1997-06-01T00:00:00-03:00,103.45
1997-07-01,1997,1,7,FUNCEX12_MPMAQEQU2N12,1997-07-01T00:00:00-03:00,101.89
1997-08-01,1997,1,8,FUNCEX12_MPMAQEQU2N12,1997-08-01T00:00:00-03:00,101.91
1997-09-01,1997,1,9,FUNCEX12_MPMAQEQU2N12,1997-09-01T00:00:00-03:00,97.17
1997-10-01,1997,1,10,FUNCEX12_MPMAQEQU2N12,1997-10-01T00:00:00-03:00,99.4
1997-11-01,1997,1,11,FUNCEX12_MPMAQEQU2N12,1997-11-01T00:00:00-03:00,99.89
1997-12-01,1997,1,12,FUNCEX12_MPMAQEQU2N12,1997-12-01T00:00:00-02:00,101.99
1998-01-01,1998,1,1,FUNCEX12_MPMAQEQU2N12,1998-01-01T00:00:00-02:00,102.34
1998-02-01,1998,1,2,FUNCEX12_MPMAQEQU2N12,1998-02-01T00:00:00-02:00,99.87
1998-03-01,1998,1,3,FUNCEX12_MPMAQEQU2N12,1998-03-01T00:00:00-03:00,100.39
1998-04-01,1998,1,4,FUNCEX12_MPMAQEQU2N12,1998-04-01T00:00:00-03:00,104.82
1998-05-01,1998,1,5,FUNCEX12_MPMAQEQU2N12,1998-05-01T00:00:00-03:00,102.83
1998-06-01,1998,1,6,FUNCEX12_MPMAQEQU2N12,1998-06-01T00:00:00-03:00,102.51
1998-07-01,1998,1,7,FUNCEX12_MPMAQEQU2N12,1998-07-01T00:00:00-03:00,100.29
1998-08-01,1998,1,8,FUNCEX12_MPMAQEQU2N12,1998-08-01T00:00:00-03:00,100.06
1998-09-01,1998,1,9,FUNCEX12_MPMAQEQU2N12,1998-09-01T00:00:00-03:00,95.46
1998-10-01,1998,1,10,FUNCEX12_MPMAQEQU2N12,1998-10-01T00:00:00-03:00,101.84
1998-11-01,1998,1,11,FUNCEX12_MPMAQEQU2N12,1998-11-01T00:00:00-03:00,105.75
1998-12-01,1998,1,12,FUNCEX12_MPMAQEQU2N12,1998-12-01T00:00:00-02:00,103.86
1999-01-01,1999,1,1,FUNCEX12_MPMAQEQU2N12,1999-01-01T00:00:00-02:00,105.88
1999-02-01,1999,1,2,FUNCEX12_MPMAQEQU2N12,1999-02-01T00:00:00-02:00,114.35
1999-03-01,1999,1,3,FUNCEX12_MPMAQEQU2N12,1999-03-01T00:00:00-03:00,108.77
1999-04-01,1999,1,4,FUNCEX12_MPMAQEQU2N12,1999-04-01T00:00:00-03:00,108.69
1999-05-01,1999,1,5,FUNCEX12_MPMAQEQU2N12,1999-05-01T00:00:00-03:00,112.9
