DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPMNM2N12,1997-01-01T00:00:00-02:00,134.25
1997-02-01,1997,1,2,FUNCEX12_MPMNM2N12,1997-02-01T00:00:00-02:00,126.44
1997-03-01,1997,1,3,FUNCEX12_MPMNM2N12,1997-03-01T00:00:00-03:00,123.09
1997-04-01,1997,1,4,FUNCEX12_MPMNM2N12,1997-04-01T00:00:00-03:00,125.35
1997-05-01,1997,1,5,FUNCEX12_MPMNM2N12,1997-05-01T00:00:00-03:00,125.36
1997-06-01,1997,1,6,FUNCEX12_MPMNM2N12,1997-06-01T00:00:00-03:00,119.48
1997-07-01,1997,1,7,FUNCEX12_MPMNM2N12,1997-07-01T00:00:00-03:00,114.46
1997-08-01,1997,1,8,FUNCEX12_MPMNM2N12,1997-08-01T00:00:00-03:00,107.62
1997-09-01,1997,1,9,FUNCEX12_MPMNM2N12,1997-09-01T00:00:00-03:00,112.78
1997-10-01,1997,1,10,FUNCEX12_MPMNM2N12,1997-10-01T00:00:00-03:00,111.18
1997-11-01,1997,1,11,FUNCEX12_MPMNM2N12,1997-11-01T00:00:00-03:00,114.94
1997-12-01,1997,1,12,FUNCEX12_MPMNM2N12,1997-12-01T00:00:00-02:00,112.15
1998-01-01,1998,1,1,FUNCEX12_MPMNM2N12,1998-01-01T00:00:00-02:00,114.12
1998-02-01,1998,1,2,FUNCEX12_MPMNM2N12,1998-02-01T00:00:00-02:00,119.78
1998-03-01,1998,1,3,FUNCEX12_MPMNM2N12,1998-03-01T00:00:00-03:00,109.21
1998-04-01,1998,1,4,FUNCEX12_MPMNM2N12,1998-04-01T00:00:00-03:00,117.99
1998-05-01,1998,1,5,FUNCEX12_MPMNM2N12,1998-05-01T00:00:00-03:00,113.64
1998-06-01,1998,1,6,FUNCEX12_MPMNM2N12,1998-06-01T00:00:00-03:00,109.14
1998-07-01,1998,1,7,FUNCEX12_MPMNM2N12,1998-07-01T00:00:00-03:00,111.62
1998-08-01,1998,1,8,FUNCEX12_MPMNM2N12,1998-08-01T00:00:00-03:00,108.95
1998-09-01,1998,1,9,FUNCEX12_MPMNM2N12,1998-09-01T00:00:00-03:00,112.36
1998-10-01,1998,1,10,FUNCEX12_MPMNM2N12,1998-10-01T00:00:00-03:00,112.04
1998-11-01,1998,1,11,FUNCEX12_MPMNM2N12,1998-11-01T00:00:00-03:00,114.83
1998-12-01,1998,1,12,FUNCEX12_MPMNM2N12,1998-12-01T00:00:00-02:00,115.35
1999-01-01,1999,1,1,FUNCEX12_MPMNM2N12,1999-01-01T00:00:00-02:00,116.85
1999-02-01,1999,1,2,FUNCEX12_MPMNM2N12,1999-02-01T00:00:00-02:00,115.93
1999-03-01,1999,1,3,FUNCEX12_MPMNM2N12,1999-03-01T00:00:00-03:00,116.33
1999-04-01,1999,1,4,FUNCEX12_MPMNM2N12,1999-04-01T00:00:00-03:00,115.81
1999-05-01,1999,1,5,FUNCEX12_MPMNM2N12,1999-05-01T00:00:00-03:00,125.76
1999-06-01,1999,1,6,FUNCEX12_MPMNM2N12,1999-06-01T00:00:00-03:00,108.16
1999-07-01,1999,1,7,FUNCEX12_MPMNM2N12,1999-07-01T00:00:00-03:00,113.91
1999-08-01,1999,1,8,FUNCEX12_MPMNM2N12,1999-08-01T00:00:00-03:00,113.08
1999-09-01,1999,1,9,FUNCEX12_MPMNM2N12,1999-09-01T00:00:00-03:00,116.47
1999-10-01,1999,1,10,FUNCEX12_MPMNM2N12,1999-10-01T00:00:00-03:00,111.99
1999-11-01,1999,1,11,FUNCEX12_MPMNM2N12,1999-11-01T00:00:00-03:00,113.65
1999-12-01,1999,1,12,FUNCEX12_MPMNM2N12,1999-12-01T00:00:00-02:00,106.68
2000-01-01,2000,1,1,FUNCEX12_MPMNM2N12,2000-01-01T00:00:00-02:00,102.72
2000-02-01,2000,1,2,FUNCEX12_MPMNM2N12,2000-02-01T00:00:00-02:00,113.45
2000-03-01,2000,1,3,FUNCEX12_MPMNM2N12,2000-03-01T00:00:00-03:00,102.65
2000-04-01,2000,1,4,FUNCEX12_MPMNM2N12,2000-04-01T00:00:00-03:00,118.47
2000-05-01,2000,1,5,FUNCEX12_MPMNM2N12,2000-05-01T00:00:00-03:00,115.07
2000-06-01,2000,1,6,FUNCEX12_MPMNM2N12,2000-06-01T00:00:00-03:00,114.89
2000-07-01,2000,1,7,FUNCEX12_MPMNM2N12,2000-07-01T00:00:00-03:00,103.23
2000-08-01,2000,1,8,FUNCEX12_MPMNM2N12,2000-08-01T00:00:00-03:00,103.41
2000-09-01,2000,1,9,FUNCEX12_MPMNM2N12,2000-09-01T00:00:00-03:00,93.0
2000-10-01,2000,1,10,FUNCEX12_MPMNM2N12,2000-10-01T00:00:00-03:00,101.83
2000-11-01,2000,1,11,FUNCEX12_MPMNM2N12,2000-11-01T00:00:00-03:00,101.16
2000-12-01,2000,1,12,FUNCEX12_MPMNM2N12,2000-12-01T00:00:00-02:00,109.25
2001-01-01,2001,1,1,FUNCEX12_MPMNM2N12,2001-01-01T00:00:00-02:00,101.45
2001-02-01,2001,1,2,FUNCEX12_MPMNM2N12,2001-02-01T00:00:00-02:00,103.53
2001-03-01,2001,1,3,FUNCEX12_MPMNM2N12,2001-03-01T00:00:00-03:00,100.79
2001-04-01,2001,1,4,FUNCEX12_MPMNM2N12,2001-04-01T00:00:00-03:00,101.62
2001-05-01,2001,1,5,FUNCEX12_MPMNM2N12,2001-05-01T00:00:00-03:00,100.83
2001-06-01,2001,1,6,FUNCEX12_MPMNM2N12,2001-06-01T00:00:00-03:00,99.52
2001-07-01,2001,1,7,FUNCEX12_MPMNM2N12,2001-07-01T00:00:00-03:00,102.91
2001-08-01,2001,1,8,FUNCEX12_MPMNM2N12,2001-08-01T00:00:00-03:00,102.8
2001-09-01,2001,1,9,FUNCEX12_MPMNM2N12,2001-09-01T00:00:00-03:00,105.83
2001-10-01,2001,1,10,FUNCEX12_MPMNM2N12,2001-10-01T00:00:00-03:00,101.12
2001-11-01,2001,1,11,FUNCEX12_MPMNM2N12,2001-11-01T00:00:00-03:00,105.59
2001-12-01,2001,1,12,FUNCEX12_MPMNM2N12,2001-12-01T00:00:00-02:00,106.44
2002-01-01,2002,1,1,FUNCEX12_MPMNM2N12,2002-01-01T00:00:00-02:00,96.44
2002-02-01,2002,1,2,FUNCEX12_MPMNM2N12,2002-02-01T00:00:00-02:00,100.96
2002-03-01,2002,1,3,FUNCEX12_MPMNM2N12,2002-03-01T00:00:00-03:00,100.33
2002-04-01,2002,1,4,FUNCEX12_MPMNM2N12,2002-04-01T00:00:00-03:00,97.44
2002-05-01,2002,1,5,FUNCEX12_MPMNM2N12,2002-05-01T00:00:00-03:00,99.29
2002-06-01,2002,1,6,FUNCEX12_MPMNM2N12,2002-06-01T00:00:00-03:00,100.98
2002-07-01,2002,1,7,FUNCEX12_MPMNM2N12,2002-07-01T00:00:00-03:00,96.25
2002-08-01,2002,1,8,FUNCEX12_MPMNM2N12,2002-08-01T00:00:00-03:00,100.91
2002-09-01,2002,1,9,FUNCEX12_MPMNM2N12,2002-09-01T00:00:00-03:00,107.05
2002-10-01,2002,1,10,FUNCEX12_MPMNM2N12,2002-10-01T00:00:00-03:00,93.43
2002-11-01,2002,1,11,FUNCEX12_MPMNM2N12,2002-11-01T00:00:00-03:00,103.63
2002-12-01,2002,1,12,FUNCEX12_MPMNM2N12,2002-12-01T00:00:00-02:00,104.83
2003-01-01,2003,1,1,FUNCEX12_MPMNM2N12,2003-01-01T00:00:00-02:00,101.99
2003-02-01,2003,1,2,FUNCEX12_MPMNM2N12,2003-02-01T00:00:00-02:00,99.96
2003-03-01,2003,1,3,FUNCEX12_MPMNM2N12,2003-03-01T00:00:00-03:00,110.73
2003-04-01,2003,1,4,FUNCEX12_MPMNM2N12,2003-04-01T00:00:00-03:00,104.12
2003-05-01,2003,1,5,FUNCEX12_MPMNM2N12,2003-05-01T00:00:00-03:00,103.87
2003-06-01,2003,1,6,FUNCEX12_MPMNM2N12,2003-06-01T00:00:00-03:00,102.49
2003-07-01,2003,1,7,FUNCEX12_MPMNM2N12,2003-07-01T00:00:00-03:00,102.9
2003-08-01,2003,1,8,FUNCEX12_MPMNM2N12,2003-08-01T00:00:00-03:00,108.74
2003-09-01,2003,1,9,FUNCEX12_MPMNM2N12,2003-09-01T00:00:00-03:00,101.87
2003-10-01,2003,1,10,FUNCEX12_MPMNM2N12,2003-10-01T00:00:00-03:00,101.41
2003-11-01,2003,1,11,FUNCEX12_MPMNM2N12,2003-11-01T00:00:00-03:00,101.01
2003-12-01,2003,1,12,FUNCEX12_MPMNM2N12,2003-12-01T00:00:00-02:00,101.16
2004-01-01,2004,1,1,FUNCEX12_MPMNM2N12,2004-01-01T00:00:00-02:00,103.26
2004-02-01,2004,1,2,FUNCEX12_MPMNM2N12,2004-02-01T00:00:00-02:00,101.88
2004-03-01,2004,1,3,FUNCEX12_MPMNM2N12,2004-03-01T00:00:00-03:00,104.11
2004-04-01,2004,1,4,FUNCEX12_MPMNM2N12,2004-04-01T00:00:00-03:00,106.05
2004-05-01,2004,1,5,FUNCEX12_MPMNM2N12,2004-05-01T00:00:00-03:00,110.32
2004-06-01,2004,1,6,FUNCEX12_MPMNM2N12,2004-06-01T00:00:00-03:00,104.47
2004-07-01,2004,1,7,FUNCEX12_MPMNM2N12,2004-07-01T00:00:00-03:00,105.82
2004-08-01,2004,1,8,FUNCEX12_MPMNM2N12,2004-08-01T00:00:00-03:00,102.87
2004-09-01,2004,1,9,FUNCEX12_MPMNM2N12,2004-09-01T00:00:00-03:00,102.89
2004-10-01,2004,1,10,FUNCEX12_MPMNM2N12,2004-10-01T00:00:00-03:00,107.59
2004-11-01,2004,1,11,FUNCEX12_MPMNM2N12,2004-11-01T00:00:00-03:00,107.99
2004-12-01,2004,1,12,FUNCEX12_MPMNM2N12,2004-12-01T00:00:00-02:00,106.97
2005-01-01,2005,1,1,FUNCEX12_MPMNM2N12,2005-01-01T00:00:00-02:00,101.61
2005-02-01,2005,1,2,FUNCEX12_MPMNM2N12,2005-02-01T00:00:00-02:00,107.01
2005-03-01,2005,1,3,FUNCEX12_MPMNM2N12,2005-03-01T00:00:00-03:00,105.13
2005-04-01,2005,1,4,FUNCEX12_MPMNM2N12,2005-04-01T00:00:00-03:00,112.18
2005-05-01,2005,1,5,FUNCEX12_MPMNM2N12,2005-05-01T00:00:00-03:00,104.19
2005-06-01,2005,1,6,FUNCEX12_MPMNM2N12,2005-06-01T00:00:00-03:00,112.2
2005-07-01,2005,1,7,FUNCEX12_MPMNM2N12,2005-07-01T00:00:00-03:00,104.69
2005-08-01,2005,1,8,FUNCEX12_MPMNM2N12,2005-08-01T00:00:00-03:00,107.67
2005-09-01,2005,1,9,FUNCEX12_MPMNM2N12,2005-09-01T00:00:00-03:00,101.68
2005-10-01,2005,1,10,FUNCEX12_MPMNM2N12,2005-10-01T00:00:00-03:00,104.32
2005-11-01,2005,1,11,FUNCEX12_MPMNM2N12,2005-11-01T00:00:00-02:00,97.86
2005-12-01,2005,1,12,FUNCEX12_MPMNM2N12,2005-12-01T00:00:00-02:00,100.78
2006-01-01,2006,1,1,FUNCEX12_MPMNM2N12,2006-01-01T00:00:00-02:00,102.3
2006-02-01,2006,1,2,FUNCEX12_MPMNM2N12,2006-02-01T00:00:00-02:00,103.94
2006-03-01,2006,1,3,FUNCEX12_MPMNM2N12,2006-03-01T00:00:00-03:00,97.92
2006-04-01,2006,1,4,FUNCEX12_MPMNM2N12,2006-04-01T00:00:00-03:00,97.3
2006-05-01,2006,1,5,FUNCEX12_MPMNM2N12,2006-05-01T00:00:00-03:00,103.7
2006-06-01,2006,1,6,FUNCEX12_MPMNM2N12,2006-06-01T00:00:00-03:00,98.66
2006-07-01,2006,1,7,FUNCEX12_MPMNM2N12,2006-07-01T00:00:00-03:00,96.73
2006-08-01,2006,1,8,FUNCEX12_MPMNM2N12,2006-08-01T00:00:00-03:00,99.32
2006-09-01,2006,1,9,FUNCEX12_MPMNM2N12,2006-09-01T00:00:00-03:00,100.93
2006-10-01,2006,1,10,FUNCEX12_MPMNM2N12,2006-10-01T00:00:00-03:00,99.62
2006-11-01,2006,1,11,FUNCEX12_MPMNM2N12,2006-11-01T00:00:00-03:00,97.59
2006-12-01,2006,1,12,FUNCEX12_MPMNM2N12,2006-12-01T00:00:00-02:00,101.97
2007-01-01,2007,1,1,FUNCEX12_MPMNM2N12,2007-01-01T00:00:00-02:00,98.52
2007-02-01,2007,1,2,FUNCEX12_MPMNM2N12,2007-02-01T00:00:00-02:00,99.44
2007-03-01,2007,1,3,FUNCEX12_MPMNM2N12,2007-03-01T00:00:00-03:00,112.1
2007-04-01,2007,1,4,FUNCEX12_MPMNM2N12,2007-04-01T00:00:00-03:00,104.17
2007-05-01,2007,1,5,FUNCEX12_MPMNM2N12,2007-05-01T00:00:00-03:00,120.69
2007-06-01,2007,1,6,FUNCEX12_MPMNM2N12,2007-06-01T00:00:00-03:00,105.98
2007-07-01,2007,1,7,FUNCEX12_MPMNM2N12,2007-07-01T00:00:00-03:00,106.28
2007-08-01,2007,1,8,FUNCEX12_MPMNM2N12,2007-08-01T00:00:00-03:00,112.9
2007-09-01,2007,1,9,FUNCEX12_MPMNM2N12,2007-09-01T00:00:00-03:00,107.58
2007-10-01,2007,1,10,FUNCEX12_MPMNM2N12,2007-10-01T00:00:00-03:00,105.04
2007-11-01,2007,1,11,FUNCEX12_MPMNM2N12,2007-11-01T00:00:00-02:00,110.22
2007-12-01,2007,1,12,FUNCEX12_MPMNM2N12,2007-12-01T00:00:00-02:00,111.18
2008-01-01,2008,1,1,FUNCEX12_MPMNM2N12,2008-01-01T00:00:00-02:00,115.33
2008-02-01,2008,1,2,FUNCEX12_MPMNM2N12,2008-02-01T00:00:00-02:00,126.49
2008-03-01,2008,1,3,FUNCEX12_MPMNM2N12,2008-03-01T00:00:00-03:00,125.79
2008-04-01,2008,1,4,FUNCEX12_MPMNM2N12,2008-04-01T00:00:00-03:00,128.2
2008-05-01,2008,1,5,FUNCEX12_MPMNM2N12,2008-05-01T00:00:00-03:00,117.16
2008-06-01,2008,1,6,FUNCEX12_MPMNM2N12,2008-06-01T00:00:00-03:00,121.89
2008-07-01,2008,1,7,FUNCEX12_MPMNM2N12,2008-07-01T00:00:00-03:00,120.03
2008-08-01,2008,1,8,FUNCEX12_MPMNM2N12,2008-08-01T00:00:00-03:00,126.95
2008-09-01,2008,1,9,FUNCEX12_MPMNM2N12,2008-09-01T00:00:00-03:00,118.69
2008-10-01,2008,1,10,FUNCEX12_MPMNM2N12,2008-10-01T00:00:00-03:00,120.5
2008-11-01,2008,1,11,FUNCEX12_MPMNM2N12,2008-11-01T00:00:00-02:00,120.75
2008-12-01,2008,1,12,FUNCEX12_MPMNM2N12,2008-12-01T00:00:00-02:00,123.39
2009-01-01,2009,1,1,FUNCEX12_MPMNM2N12,2009-01-01T00:00:00-02:00,120.41
2009-02-01,2009,1,2,FUNCEX12_MPMNM2N12,2009-02-01T00:00:00-02:00,126.26
2009-03-01,2009,1,3,FUNCEX12_MPMNM2N12,2009-03-01T00:00:00-03:00,129.75
2009-04-01,2009,1,4,FUNCEX12_MPMNM2N12,2009-04-01T00:00:00-03:00,129.74
2009-05-01,2009,1,5,FUNCEX12_MPMNM2N12,2009-05-01T00:00:00-03:00,126.05
2009-06-01,2009,1,6,FUNCEX12_MPMNM2N12,2009-06-01T00:00:00-03:00,127.06
2009-07-01,2009,1,7,FUNCEX12_MPMNM2N12,2009-07-01T00:00:00-03:00,120.36
2009-08-01,2009,1,8,FUNCEX12_MPMNM2N12,2009-08-01T00:00:00-03:00,126.07
2009-09-01,2009,1,9,FUNCEX12_MPMNM2N12,2009-09-01T00:00:00-03:00,122.89
2009-10-01,2009,1,10,FUNCEX12_MPMNM2N12,2009-10-01T00:00:00-03:00,120.31
2009-11-01,2009,1,11,FUNCEX12_MPMNM2N12,2009-11-01T00:00:00-02:00,120.58
2009-12-01,2009,1,12,FUNCEX12_MPMNM2N12,2009-12-01T00:00:00-02:00,111.86
2010-01-01,2010,1,1,FUNCEX12_MPMNM2N12,2010-01-01T00:00:00-02:00,115.41
2010-02-01,2010,1,2,FUNCEX12_MPMNM2N12,2010-02-01T00:00:00-02:00,113.29
2010-03-01,2010,1,3,FUNCEX12_MPMNM2N12,2010-03-01T00:00:00-03:00,111.5
2010-04-01,2010,1,4,FUNCEX12_MPMNM2N12,2010-04-01T00:00:00-03:00,119.59
2010-05-01,2010,1,5,FUNCEX12_MPMNM2N12,2010-05-01T00:00:00-03:00,113.79
2010-06-01,2010,1,6,FUNCEX12_MPMNM2N12,2010-06-01T00:00:00-03:00,109.92
2010-07-01,2010,1,7,FUNCEX12_MPMNM2N12,2010-07-01T00:00:00-03:00,109.56
2010-08-01,2010,1,8,FUNCEX12_MPMNM2N12,2010-08-01T00:00:00-03:00,113.67
2010-09-01,2010,1,9,FUNCEX12_MPMNM2N12,2010-09-01T00:00:00-03:00,112.54
2010-10-01,2010,1,10,FUNCEX12_MPMNM2N12,2010-10-01T00:00:00-03:00,113.83
2010-11-01,2010,1,11,FUNCEX12_MPMNM2N12,2010-11-01T00:00:00-02:00,114.19
2010-12-01,2010,1,12,FUNCEX12_MPMNM2N12,2010-12-01T00:00:00-02:00,114.15
2011-01-01,2011,1,1,FUNCEX12_MPMNM2N12,2011-01-01T00:00:00-02:00,114.61
2011-02-01,2011,1,2,FUNCEX12_MPMNM2N12,2011-02-01T00:00:00-02:00,120.14
2011-03-01,2011,1,3,FUNCEX12_MPMNM2N12,2011-03-01T00:00:00-03:00,120.34
2011-04-01,2011,1,4,FUNCEX12_MPMNM2N12,2011-04-01T00:00:00-03:00,117.56
2011-05-01,2011,1,5,FUNCEX12_MPMNM2N12,2011-05-01T00:00:00-03:00,120.61
2011-06-01,2011,1,6,FUNCEX12_MPMNM2N12,2011-06-01T00:00:00-03:00,123.05
2011-07-01,2011,1,7,FUNCEX12_MPMNM2N12,2011-07-01T00:00:00-03:00,120.15
2011-08-01,2011,1,8,FUNCEX12_MPMNM2N12,2011-08-01T00:00:00-03:00,125.1
2011-09-01,2011,1,9,FUNCEX12_MPMNM2N12,2011-09-01T00:00:00-03:00,117.77
2011-10-01,2011,1,10,FUNCEX12_MPMNM2N12,2011-10-01T00:00:00-03:00,113.29
2011-11-01,2011,1,11,FUNCEX12_MPMNM2N12,2011-11-01T00:00:00-02:00,119.68
2011-12-01,2011,1,12,FUNCEX12_MPMNM2N12,2011-12-01T00:00:00-02:00,115.21
2012-01-01,2012,1,1,FUNCEX12_MPMNM2N12,2012-01-01T00:00:00-02:00,117.61
2012-02-01,2012,1,2,FUNCEX12_MPMNM2N12,2012-02-01T00:00:00-02:00,117.38
2012-03-01,2012,1,3,FUNCEX12_MPMNM2N12,2012-03-01T00:00:00-03:00,115.63
2012-04-01,2012,1,4,FUNCEX12_MPMNM2N12,2012-04-01T00:00:00-03:00,114.47
2012-05-01,2012,1,5,FUNCEX12_MPMNM2N12,2012-05-01T00:00:00-03:00,115.32
