DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MPMOV2N12,1997-01-01T00:00:00-02:00,98.45
1997-02-01,1997,1,2,FUNCEX12_MPMOV2N12,1997-02-01T00:00:00-02:00,104.85
1997-03-01,1997,1,3,FUNCEX12_MPMOV2N12,1997-03-01T00:00:00-03:00,104.74
1997-04-01,1997,1,4,FUNCEX12_MPMOV2N12,1997-04-01T00:00:00-03:00,100.59
1997-05-01,1997,1,5,FUNCEX12_MPMOV2N12,1997-05-01T00:00:00-03:00,102.16
1997-06-01,1997,1,6,FUNCEX12_MPMOV2N12,1997-06-01T00:00:00-03:00,93.18
1997-07-01,1997,1,7,FUNCEX12_MPMOV2N12,1997-07-01T00:00:00-03:00,100.64
1997-08-01,1997,1,8,FUNCEX12_MPMOV2N12,1997-08-01T00:00:00-03:00,107.84
1997-09-01,1997,1,9,FUNCEX12_MPMOV2N12,1997-09-01T00:00:00-03:00,103.31
1997-10-01,1997,1,10,FUNCEX12_MPMOV2N12,1997-10-01T00:00:00-03:00,110.37
1997-11-01,1997,1,11,FUNCEX12_MPMOV2N12,1997-11-01T00:00:00-03:00,103.5
1997-12-01,1997,1,12,FUNCEX12_MPMOV2N12,1997-12-01T00:00:00-02:00,95.09
1998-01-01,1998,1,1,FUNCEX12_MPMOV2N12,1998-01-01T00:00:00-02:00,98.34
1998-02-01,1998,1,2,FUNCEX12_MPMOV2N12,1998-02-01T00:00:00-02:00,93.08
1998-03-01,1998,1,3,FUNCEX12_MPMOV2N12,1998-03-01T00:00:00-03:00,97.09
1998-04-01,1998,1,4,FUNCEX12_MPMOV2N12,1998-04-01T00:00:00-03:00,104.2
1998-05-01,1998,1,5,FUNCEX12_MPMOV2N12,1998-05-01T00:00:00-03:00,101.18
1998-06-01,1998,1,6,FUNCEX12_MPMOV2N12,1998-06-01T00:00:00-03:00,98.46
1998-07-01,1998,1,7,FUNCEX12_MPMOV2N12,1998-07-01T00:00:00-03:00,85.86
1998-08-01,1998,1,8,FUNCEX12_MPMOV2N12,1998-08-01T00:00:00-03:00,91.11
1998-09-01,1998,1,9,FUNCEX12_MPMOV2N12,1998-09-01T00:00:00-03:00,88.4
1998-10-01,1998,1,10,FUNCEX12_MPMOV2N12,1998-10-01T00:00:00-03:00,92.33
1998-11-01,1998,1,11,FUNCEX12_MPMOV2N12,1998-11-01T00:00:00-03:00,100.98
1998-12-01,1998,1,12,FUNCEX12_MPMOV2N12,1998-12-01T00:00:00-02:00,98.74
1999-01-01,1999,1,1,FUNCEX12_MPMOV2N12,1999-01-01T00:00:00-02:00,105.23
1999-02-01,1999,1,2,FUNCEX12_MPMOV2N12,1999-02-01T00:00:00-02:00,112.89
1999-03-01,1999,1,3,FUNCEX12_MPMOV2N12,1999-03-01T00:00:00-03:00,104.86
1999-04-01,1999,1,4,FUNCEX12_MPMOV2N12,1999-04-01T00:00:00-03:00,93.61
1999-05-01,1999,1,5,FUNCEX12_MPMOV2N12,1999-05-01T00:00:00-03:00,100.16
1999-06-01,1999,1,6,FUNCEX12_MPMOV2N12,1999-06-01T00:00:00-03:00,103.19
1999-07-01,1999,1,7,FUNCEX12_MPMOV2N12,1999-07-01T00:00:00-03:00,96.28
1999-08-01,1999,1,8,FUNCEX12_MPMOV2N12,1999-08-01T00:00:00-03:00,91.92
1999-09-01,1999,1,9,FUNCEX12_MPMOV2N12,1999-09-01T00:00:00-03:00,94.5
1999-10-01,1999,1,10,FUNCEX12_MPMOV2N12,1999-10-01T00:00:00-03:00,93.22
1999-11-01,1999,1,11,FUNCEX12_MPMOV2N12,1999-11-01T00:00:00-03:00,88.81
1999-12-01,1999,1,12,FUNCEX12_MPMOV2N12,1999-12-01T00:00:00-02:00,97.2
2000-01-01,2000,1,1,FUNCEX12_MPMOV2N12,2000-01-01T00:00:00-02:00,89.12
2000-02-01,2000,1,2,FUNCEX12_MPMOV2N12,2000-02-01T00:00:00-02:00,99.89
2000-03-01,2000,1,3,FUNCEX12_MPMOV2N12,2000-03-01T00:00:00-03:00,93.64
2000-04-01,2000,1,4,FUNCEX12_MPMOV2N12,2000-04-01T00:00:00-03:00,103.99
2000-05-01,2000,1,5,FUNCEX12_MPMOV2N12,2000-05-01T00:00:00-03:00,95.19
2000-06-01,2000,1,6,FUNCEX12_MPMOV2N12,2000-06-01T00:00:00-03:00,87.46
2000-07-01,2000,1,7,FUNCEX12_MPMOV2N12,2000-07-01T00:00:00-03:00,87.81
2000-08-01,2000,1,8,FUNCEX12_MPMOV2N12,2000-08-01T00:00:00-03:00,82.83
2000-09-01,2000,1,9,FUNCEX12_MPMOV2N12,2000-09-01T00:00:00-03:00,83.26
2000-10-01,2000,1,10,FUNCEX12_MPMOV2N12,2000-10-01T00:00:00-03:00,79.3
2000-11-01,2000,1,11,FUNCEX12_MPMOV2N12,2000-11-01T00:00:00-03:00,82.08
2000-12-01,2000,1,12,FUNCEX12_MPMOV2N12,2000-12-01T00:00:00-02:00,84.13
2001-01-01,2001,1,1,FUNCEX12_MPMOV2N12,2001-01-01T00:00:00-02:00,85.97
2001-02-01,2001,1,2,FUNCEX12_MPMOV2N12,2001-02-01T00:00:00-02:00,86.4
2001-03-01,2001,1,3,FUNCEX12_MPMOV2N12,2001-03-01T00:00:00-03:00,87.47
2001-04-01,2001,1,4,FUNCEX12_MPMOV2N12,2001-04-01T00:00:00-03:00,80.74
2001-05-01,2001,1,5,FUNCEX12_MPMOV2N12,2001-05-01T00:00:00-03:00,79.87
2001-06-01,2001,1,6,FUNCEX12_MPMOV2N12,2001-06-01T00:00:00-03:00,75.58
2001-07-01,2001,1,7,FUNCEX12_MPMOV2N12,2001-07-01T00:00:00-03:00,76.04
2001-08-01,2001,1,8,FUNCEX12_MPMOV2N12,2001-08-01T00:00:00-03:00,75.08
2001-09-01,2001,1,9,FUNCEX12_MPMOV2N12,2001-09-01T00:00:00-03:00,75.84
2001-10-01,2001,1,10,FUNCEX12_MPMOV2N12,2001-10-01T00:00:00-03:00,80.66
2001-11-01,2001,1,11,FUNCEX12_MPMOV2N12,2001-11-01T00:00:00-03:00,77.42
2001-12-01,2001,1,12,FUNCEX12_MPMOV2N12,2001-12-01T00:00:00-02:00,75.83
2002-01-01,2002,1,1,FUNCEX12_MPMOV2N12,2002-01-01T00:00:00-02:00,81.32
2002-02-01,2002,1,2,FUNCEX12_MPMOV2N12,2002-02-01T00:00:00-02:00,81.67
2002-03-01,2002,1,3,FUNCEX12_MPMOV2N12,2002-03-01T00:00:00-03:00,79.18
2002-04-01,2002,1,4,FUNCEX12_MPMOV2N12,2002-04-01T00:00:00-03:00,83.09
2002-05-01,2002,1,5,FUNCEX12_MPMOV2N12,2002-05-01T00:00:00-03:00,86.91
2002-06-01,2002,1,6,FUNCEX12_MPMOV2N12,2002-06-01T00:00:00-03:00,84.1
2002-07-01,2002,1,7,FUNCEX12_MPMOV2N12,2002-07-01T00:00:00-03:00,87.6
2002-08-01,2002,1,8,FUNCEX12_MPMOV2N12,2002-08-01T00:00:00-03:00,83.26
2002-09-01,2002,1,9,FUNCEX12_MPMOV2N12,2002-09-01T00:00:00-03:00,92.25
2002-10-01,2002,1,10,FUNCEX12_MPMOV2N12,2002-10-01T00:00:00-03:00,84.53
2002-11-01,2002,1,11,FUNCEX12_MPMOV2N12,2002-11-01T00:00:00-03:00,87.26
2002-12-01,2002,1,12,FUNCEX12_MPMOV2N12,2002-12-01T00:00:00-02:00,84.24
2003-01-01,2003,1,1,FUNCEX12_MPMOV2N12,2003-01-01T00:00:00-02:00,82.76
2003-02-01,2003,1,2,FUNCEX12_MPMOV2N12,2003-02-01T00:00:00-02:00,85.63
2003-03-01,2003,1,3,FUNCEX12_MPMOV2N12,2003-03-01T00:00:00-03:00,92.25
2003-04-01,2003,1,4,FUNCEX12_MPMOV2N12,2003-04-01T00:00:00-03:00,83.87
2003-05-01,2003,1,5,FUNCEX12_MPMOV2N12,2003-05-01T00:00:00-03:00,90.06
2003-06-01,2003,1,6,FUNCEX12_MPMOV2N12,2003-06-01T00:00:00-03:00,84.52
2003-07-01,2003,1,7,FUNCEX12_MPMOV2N12,2003-07-01T00:00:00-03:00,95.75
2003-08-01,2003,1,8,FUNCEX12_MPMOV2N12,2003-08-01T00:00:00-03:00,85.18
2003-09-01,2003,1,9,FUNCEX12_MPMOV2N12,2003-09-01T00:00:00-03:00,94.72
2003-10-01,2003,1,10,FUNCEX12_MPMOV2N12,2003-10-01T00:00:00-03:00,92.72
2003-11-01,2003,1,11,FUNCEX12_MPMOV2N12,2003-11-01T00:00:00-03:00,81.09
2003-12-01,2003,1,12,FUNCEX12_MPMOV2N12,2003-12-01T00:00:00-02:00,89.4
2004-01-01,2004,1,1,FUNCEX12_MPMOV2N12,2004-01-01T00:00:00-02:00,88.17
2004-02-01,2004,1,2,FUNCEX12_MPMOV2N12,2004-02-01T00:00:00-02:00,87.86
2004-03-01,2004,1,3,FUNCEX12_MPMOV2N12,2004-03-01T00:00:00-03:00,95.37
2004-04-01,2004,1,4,FUNCEX12_MPMOV2N12,2004-04-01T00:00:00-03:00,87.36
2004-05-01,2004,1,5,FUNCEX12_MPMOV2N12,2004-05-01T00:00:00-03:00,88.4
2004-06-01,2004,1,6,FUNCEX12_MPMOV2N12,2004-06-01T00:00:00-03:00,91.43
2004-07-01,2004,1,7,FUNCEX12_MPMOV2N12,2004-07-01T00:00:00-03:00,88.31
2004-08-01,2004,1,8,FUNCEX12_MPMOV2N12,2004-08-01T00:00:00-03:00,85.37
2004-09-01,2004,1,9,FUNCEX12_MPMOV2N12,2004-09-01T00:00:00-03:00,86.95
2004-10-01,2004,1,10,FUNCEX12_MPMOV2N12,2004-10-01T00:00:00-03:00,91.87
2004-11-01,2004,1,11,FUNCEX12_MPMOV2N12,2004-11-01T00:00:00-03:00,83.6
2004-12-01,2004,1,12,FUNCEX12_MPMOV2N12,2004-12-01T00:00:00-02:00,91.52
2005-01-01,2005,1,1,FUNCEX12_MPMOV2N12,2005-01-01T00:00:00-02:00,91.07
2005-02-01,2005,1,2,FUNCEX12_MPMOV2N12,2005-02-01T00:00:00-02:00,91.66
2005-03-01,2005,1,3,FUNCEX12_MPMOV2N12,2005-03-01T00:00:00-03:00,94.62
2005-04-01,2005,1,4,FUNCEX12_MPMOV2N12,2005-04-01T00:00:00-03:00,97.08
2005-05-01,2005,1,5,FUNCEX12_MPMOV2N12,2005-05-01T00:00:00-03:00,97.91
2005-06-01,2005,1,6,FUNCEX12_MPMOV2N12,2005-06-01T00:00:00-03:00,86.51
2005-07-01,2005,1,7,FUNCEX12_MPMOV2N12,2005-07-01T00:00:00-03:00,84.02
2005-08-01,2005,1,8,FUNCEX12_MPMOV2N12,2005-08-01T00:00:00-03:00,91.0
2005-09-01,2005,1,9,FUNCEX12_MPMOV2N12,2005-09-01T00:00:00-03:00,98.96
2005-10-01,2005,1,10,FUNCEX12_MPMOV2N12,2005-10-01T00:00:00-03:00,96.96
2005-11-01,2005,1,11,FUNCEX12_MPMOV2N12,2005-11-01T00:00:00-02:00,89.2
2005-12-01,2005,1,12,FUNCEX12_MPMOV2N12,2005-12-01T00:00:00-02:00,104.84
2006-01-01,2006,1,1,FUNCEX12_MPMOV2N12,2006-01-01T00:00:00-02:00,96.21
2006-02-01,2006,1,2,FUNCEX12_MPMOV2N12,2006-02-01T00:00:00-02:00,93.95
2006-03-01,2006,1,3,FUNCEX12_MPMOV2N12,2006-03-01T00:00:00-03:00,100.39
2006-04-01,2006,1,4,FUNCEX12_MPMOV2N12,2006-04-01T00:00:00-03:00,105.15
2006-05-01,2006,1,5,FUNCEX12_MPMOV2N12,2006-05-01T00:00:00-03:00,93.92
2006-06-01,2006,1,6,FUNCEX12_MPMOV2N12,2006-06-01T00:00:00-03:00,96.98
2006-07-01,2006,1,7,FUNCEX12_MPMOV2N12,2006-07-01T00:00:00-03:00,98.65
