DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQAGP2N12,1997-01-01T00:00:00-02:00,51.99
1997-02-01,1997,1,2,FUNCEX12_MQAGP2N12,1997-02-01T00:00:00-02:00,95.47
1997-03-01,1997,1,3,FUNCEX12_MQAGP2N12,1997-03-01T00:00:00-03:00,94.58
1997-04-01,1997,1,4,FUNCEX12_MQAGP2N12,1997-04-01T00:00:00-03:00,128.39
1997-05-01,1997,1,5,FUNCEX12_MQAGP2N12,1997-05-01T00:00:00-03:00,110.04
1997-06-01,1997,1,6,FUNCEX12_MQAGP2N12,1997-06-01T00:00:00-03:00,109.29
1997-07-01,1997,1,7,FUNCEX12_MQAGP2N12,1997-07-01T00:00:00-03:00,168.63
1997-08-01,1997,1,8,FUNCEX12_MQAGP2N12,1997-08-01T00:00:00-03:00,110.15
1997-09-01,1997,1,9,FUNCEX12_MQAGP2N12,1997-09-01T00:00:00-03:00,102.26
1997-10-01,1997,1,10,FUNCEX12_MQAGP2N12,1997-10-01T00:00:00-03:00,90.68
1997-11-01,1997,1,11,FUNCEX12_MQAGP2N12,1997-11-01T00:00:00-03:00,84.84
1997-12-01,1997,1,12,FUNCEX12_MQAGP2N12,1997-12-01T00:00:00-02:00,114.53
1998-01-01,1998,1,1,FUNCEX12_MQAGP2N12,1998-01-01T00:00:00-02:00,156.52
1998-02-01,1998,1,2,FUNCEX12_MQAGP2N12,1998-02-01T00:00:00-02:00,119.64
1998-03-01,1998,1,3,FUNCEX12_MQAGP2N12,1998-03-01T00:00:00-03:00,129.12
1998-04-01,1998,1,4,FUNCEX12_MQAGP2N12,1998-04-01T00:00:00-03:00,124.15
1998-05-01,1998,1,5,FUNCEX12_MQAGP2N12,1998-05-01T00:00:00-03:00,124.85
1998-06-01,1998,1,6,FUNCEX12_MQAGP2N12,1998-06-01T00:00:00-03:00,136.64
1998-07-01,1998,1,7,FUNCEX12_MQAGP2N12,1998-07-01T00:00:00-03:00,165.21
1998-08-01,1998,1,8,FUNCEX12_MQAGP2N12,1998-08-01T00:00:00-03:00,118.7
1998-09-01,1998,1,9,FUNCEX12_MQAGP2N12,1998-09-01T00:00:00-03:00,155.18
1998-10-01,1998,1,10,FUNCEX12_MQAGP2N12,1998-10-01T00:00:00-03:00,130.15
1998-11-01,1998,1,11,FUNCEX12_MQAGP2N12,1998-11-01T00:00:00-03:00,122.87
1998-12-01,1998,1,12,FUNCEX12_MQAGP2N12,1998-12-01T00:00:00-02:00,158.74
1999-01-01,1999,1,1,FUNCEX12_MQAGP2N12,1999-01-01T00:00:00-02:00,128.33
1999-02-01,1999,1,2,FUNCEX12_MQAGP2N12,1999-02-01T00:00:00-02:00,100.56
1999-03-01,1999,1,3,FUNCEX12_MQAGP2N12,1999-03-01T00:00:00-03:00,99.4
1999-04-01,1999,1,4,FUNCEX12_MQAGP2N12,1999-04-01T00:00:00-03:00,111.66
1999-05-01,1999,1,5,FUNCEX12_MQAGP2N12,1999-05-01T00:00:00-03:00,127.65
1999-06-01,1999,1,6,FUNCEX12_MQAGP2N12,1999-06-01T00:00:00-03:00,122.22
1999-07-01,1999,1,7,FUNCEX12_MQAGP2N12,1999-07-01T00:00:00-03:00,127.75
1999-08-01,1999,1,8,FUNCEX12_MQAGP2N12,1999-08-01T00:00:00-03:00,126.4
1999-09-01,1999,1,9,FUNCEX12_MQAGP2N12,1999-09-01T00:00:00-03:00,133.99
1999-10-01,1999,1,10,FUNCEX12_MQAGP2N12,1999-10-01T00:00:00-03:00,106.74
1999-11-01,1999,1,11,FUNCEX12_MQAGP2N12,1999-11-01T00:00:00-03:00,99.53
1999-12-01,1999,1,12,FUNCEX12_MQAGP2N12,1999-12-01T00:00:00-02:00,103.05
2000-01-01,2000,1,1,FUNCEX12_MQAGP2N12,2000-01-01T00:00:00-02:00,106.21
2000-02-01,2000,1,2,FUNCEX12_MQAGP2N12,2000-02-01T00:00:00-02:00,134.49
