DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQCAL2N12,1997-01-01T00:00:00-02:00,59.9
1997-02-01,1997,1,2,FUNCEX12_MQCAL2N12,1997-02-01T00:00:00-02:00,109.79
1997-03-01,1997,1,3,FUNCEX12_MQCAL2N12,1997-03-01T00:00:00-03:00,90.8
1997-04-01,1997,1,4,FUNCEX12_MQCAL2N12,1997-04-01T00:00:00-03:00,107.96
1997-05-01,1997,1,5,FUNCEX12_MQCAL2N12,1997-05-01T00:00:00-03:00,101.38
1997-06-01,1997,1,6,FUNCEX12_MQCAL2N12,1997-06-01T00:00:00-03:00,107.94
1997-07-01,1997,1,7,FUNCEX12_MQCAL2N12,1997-07-01T00:00:00-03:00,113.31
1997-08-01,1997,1,8,FUNCEX12_MQCAL2N12,1997-08-01T00:00:00-03:00,98.48
1997-09-01,1997,1,9,FUNCEX12_MQCAL2N12,1997-09-01T00:00:00-03:00,104.3
1997-10-01,1997,1,10,FUNCEX12_MQCAL2N12,1997-10-01T00:00:00-03:00,124.87
1997-11-01,1997,1,11,FUNCEX12_MQCAL2N12,1997-11-01T00:00:00-03:00,100.1
1997-12-01,1997,1,12,FUNCEX12_MQCAL2N12,1997-12-01T00:00:00-02:00,71.88
1998-01-01,1998,1,1,FUNCEX12_MQCAL2N12,1998-01-01T00:00:00-02:00,55.77
1998-02-01,1998,1,2,FUNCEX12_MQCAL2N12,1998-02-01T00:00:00-02:00,47.58
1998-03-01,1998,1,3,FUNCEX12_MQCAL2N12,1998-03-01T00:00:00-03:00,81.9
1998-04-01,1998,1,4,FUNCEX12_MQCAL2N12,1998-04-01T00:00:00-03:00,71.15
1998-05-01,1998,1,5,FUNCEX12_MQCAL2N12,1998-05-01T00:00:00-03:00,80.29
1998-06-01,1998,1,6,FUNCEX12_MQCAL2N12,1998-06-01T00:00:00-03:00,78.44
1998-07-01,1998,1,7,FUNCEX12_MQCAL2N12,1998-07-01T00:00:00-03:00,91.57
1998-08-01,1998,1,8,FUNCEX12_MQCAL2N12,1998-08-01T00:00:00-03:00,69.16
1998-09-01,1998,1,9,FUNCEX12_MQCAL2N12,1998-09-01T00:00:00-03:00,113.32
1998-10-01,1998,1,10,FUNCEX12_MQCAL2N12,1998-10-01T00:00:00-03:00,98.42
1998-11-01,1998,1,11,FUNCEX12_MQCAL2N12,1998-11-01T00:00:00-03:00,101.46
1998-12-01,1998,1,12,FUNCEX12_MQCAL2N12,1998-12-01T00:00:00-02:00,78.13
1999-01-01,1999,1,1,FUNCEX12_MQCAL2N12,1999-01-01T00:00:00-02:00,60.94
1999-02-01,1999,1,2,FUNCEX12_MQCAL2N12,1999-02-01T00:00:00-02:00,51.01
1999-03-01,1999,1,3,FUNCEX12_MQCAL2N12,1999-03-01T00:00:00-03:00,59.39
1999-04-01,1999,1,4,FUNCEX12_MQCAL2N12,1999-04-01T00:00:00-03:00,64.27
1999-05-01,1999,1,5,FUNCEX12_MQCAL2N12,1999-05-01T00:00:00-03:00,60.92
1999-06-01,1999,1,6,FUNCEX12_MQCAL2N12,1999-06-01T00:00:00-03:00,53.13
1999-07-01,1999,1,7,FUNCEX12_MQCAL2N12,1999-07-01T00:00:00-03:00,59.56
1999-08-01,1999,1,8,FUNCEX12_MQCAL2N12,1999-08-01T00:00:00-03:00,62.14
1999-09-01,1999,1,9,FUNCEX12_MQCAL2N12,1999-09-01T00:00:00-03:00,73.54
1999-10-01,1999,1,10,FUNCEX12_MQCAL2N12,1999-10-01T00:00:00-03:00,67.65
1999-11-01,1999,1,11,FUNCEX12_MQCAL2N12,1999-11-01T00:00:00-03:00,69.07
1999-12-01,1999,1,12,FUNCEX12_MQCAL2N12,1999-12-01T00:00:00-02:00,62.74
2000-01-01,2000,1,1,FUNCEX12_MQCAL2N12,2000-01-01T00:00:00-02:00,54.91
2000-02-01,2000,1,2,FUNCEX12_MQCAL2N12,2000-02-01T00:00:00-02:00,54.78
2000-03-01,2000,1,3,FUNCEX12_MQCAL2N12,2000-03-01T00:00:00-03:00,71.21
2000-04-01,2000,1,4,FUNCEX12_MQCAL2N12,2000-04-01T00:00:00-03:00,55.19
2000-05-01,2000,1,5,FUNCEX12_MQCAL2N12,2000-05-01T00:00:00-03:00,75.93
2000-06-01,2000,1,6,FUNCEX12_MQCAL2N12,2000-06-01T00:00:00-03:00,84.02
2000-07-01,2000,1,7,FUNCEX12_MQCAL2N12,2000-07-01T00:00:00-03:00,87.2
2000-08-01,2000,1,8,FUNCEX12_MQCAL2N12,2000-08-01T00:00:00-03:00,83.18
2000-09-01,2000,1,9,FUNCEX12_MQCAL2N12,2000-09-01T00:00:00-03:00,77.58
2000-10-01,2000,1,10,FUNCEX12_MQCAL2N12,2000-10-01T00:00:00-03:00,86.09
2000-11-01,2000,1,11,FUNCEX12_MQCAL2N12,2000-11-01T00:00:00-03:00,94.12
2000-12-01,2000,1,12,FUNCEX12_MQCAL2N12,2000-12-01T00:00:00-02:00,76.18
2001-01-01,2001,1,1,FUNCEX12_MQCAL2N12,2001-01-01T00:00:00-02:00,74.9
2001-02-01,2001,1,2,FUNCEX12_MQCAL2N12,2001-02-01T00:00:00-02:00,68.53
2001-03-01,2001,1,3,FUNCEX12_MQCAL2N12,2001-03-01T00:00:00-03:00,82.98
2001-04-01,2001,1,4,FUNCEX12_MQCAL2N12,2001-04-01T00:00:00-03:00,62.64
2001-05-01,2001,1,5,FUNCEX12_MQCAL2N12,2001-05-01T00:00:00-03:00,81.18
2001-06-01,2001,1,6,FUNCEX12_MQCAL2N12,2001-06-01T00:00:00-03:00,77.17
2001-07-01,2001,1,7,FUNCEX12_MQCAL2N12,2001-07-01T00:00:00-03:00,76.65
2001-08-01,2001,1,8,FUNCEX12_MQCAL2N12,2001-08-01T00:00:00-03:00,78.46
2001-09-01,2001,1,9,FUNCEX12_MQCAL2N12,2001-09-01T00:00:00-03:00,72.9
2001-10-01,2001,1,10,FUNCEX12_MQCAL2N12,2001-10-01T00:00:00-03:00,87.81
2001-11-01,2001,1,11,FUNCEX12_MQCAL2N12,2001-11-01T00:00:00-03:00,73.41
2001-12-01,2001,1,12,FUNCEX12_MQCAL2N12,2001-12-01T00:00:00-02:00,46.89
2002-01-01,2002,1,1,FUNCEX12_MQCAL2N12,2002-01-01T00:00:00-02:00,47.21
2002-02-01,2002,1,2,FUNCEX12_MQCAL2N12,2002-02-01T00:00:00-02:00,35.58
2002-03-01,2002,1,3,FUNCEX12_MQCAL2N12,2002-03-01T00:00:00-03:00,45.24
2002-04-01,2002,1,4,FUNCEX12_MQCAL2N12,2002-04-01T00:00:00-03:00,49.19
2002-05-01,2002,1,5,FUNCEX12_MQCAL2N12,2002-05-01T00:00:00-03:00,55.79
2002-06-01,2002,1,6,FUNCEX12_MQCAL2N12,2002-06-01T00:00:00-03:00,49.77
2002-07-01,2002,1,7,FUNCEX12_MQCAL2N12,2002-07-01T00:00:00-03:00,70.28
2002-08-01,2002,1,8,FUNCEX12_MQCAL2N12,2002-08-01T00:00:00-03:00,61.45
2002-09-01,2002,1,9,FUNCEX12_MQCAL2N12,2002-09-01T00:00:00-03:00,65.62
2002-10-01,2002,1,10,FUNCEX12_MQCAL2N12,2002-10-01T00:00:00-03:00,65.53
2002-11-01,2002,1,11,FUNCEX12_MQCAL2N12,2002-11-01T00:00:00-03:00,55.12
