DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQEMM2N12,1997-01-01T00:00:00-02:00,10.78
1997-02-01,1997,1,2,FUNCEX12_MQEMM2N12,1997-02-01T00:00:00-02:00,77.44
1997-03-01,1997,1,3,FUNCEX12_MQEMM2N12,1997-03-01T00:00:00-03:00,86.89
1997-04-01,1997,1,4,FUNCEX12_MQEMM2N12,1997-04-01T00:00:00-03:00,55.08
1997-05-01,1997,1,5,FUNCEX12_MQEMM2N12,1997-05-01T00:00:00-03:00,75.14
1997-06-01,1997,1,6,FUNCEX12_MQEMM2N12,1997-06-01T00:00:00-03:00,40.61
1997-07-01,1997,1,7,FUNCEX12_MQEMM2N12,1997-07-01T00:00:00-03:00,138.15
1997-08-01,1997,1,8,FUNCEX12_MQEMM2N12,1997-08-01T00:00:00-03:00,45.01
1997-09-01,1997,1,9,FUNCEX12_MQEMM2N12,1997-09-01T00:00:00-03:00,112.22
1997-10-01,1997,1,10,FUNCEX12_MQEMM2N12,1997-10-01T00:00:00-03:00,95.8
1997-11-01,1997,1,11,FUNCEX12_MQEMM2N12,1997-11-01T00:00:00-03:00,90.17
1997-12-01,1997,1,12,FUNCEX12_MQEMM2N12,1997-12-01T00:00:00-02:00,35.01
1998-01-01,1998,1,1,FUNCEX12_MQEMM2N12,1998-01-01T00:00:00-02:00,79.11
1998-02-01,1998,1,2,FUNCEX12_MQEMM2N12,1998-02-01T00:00:00-02:00,110.75
1998-03-01,1998,1,3,FUNCEX12_MQEMM2N12,1998-03-01T00:00:00-03:00,79.37
1998-04-01,1998,1,4,FUNCEX12_MQEMM2N12,1998-04-01T00:00:00-03:00,48.25
1998-05-01,1998,1,5,FUNCEX12_MQEMM2N12,1998-05-01T00:00:00-03:00,56.71
1998-06-01,1998,1,6,FUNCEX12_MQEMM2N12,1998-06-01T00:00:00-03:00,52.38
1998-07-01,1998,1,7,FUNCEX12_MQEMM2N12,1998-07-01T00:00:00-03:00,84.7
1998-08-01,1998,1,8,FUNCEX12_MQEMM2N12,1998-08-01T00:00:00-03:00,109.03
1998-09-01,1998,1,9,FUNCEX12_MQEMM2N12,1998-09-01T00:00:00-03:00,55.32
1998-10-01,1998,1,10,FUNCEX12_MQEMM2N12,1998-10-01T00:00:00-03:00,112.81
1998-11-01,1998,1,11,FUNCEX12_MQEMM2N12,1998-11-01T00:00:00-03:00,116.06
1998-12-01,1998,1,12,FUNCEX12_MQEMM2N12,1998-12-01T00:00:00-02:00,49.48
1999-01-01,1999,1,1,FUNCEX12_MQEMM2N12,1999-01-01T00:00:00-02:00,73.92
1999-02-01,1999,1,2,FUNCEX12_MQEMM2N12,1999-02-01T00:00:00-02:00,129.79
1999-03-01,1999,1,3,FUNCEX12_MQEMM2N12,1999-03-01T00:00:00-03:00,66.58
1999-04-01,1999,1,4,FUNCEX12_MQEMM2N12,1999-04-01T00:00:00-03:00,95.53
1999-05-01,1999,1,5,FUNCEX12_MQEMM2N12,1999-05-01T00:00:00-03:00,94.29
1999-06-01,1999,1,6,FUNCEX12_MQEMM2N12,1999-06-01T00:00:00-03:00,92.58
1999-07-01,1999,1,7,FUNCEX12_MQEMM2N12,1999-07-01T00:00:00-03:00,105.18
1999-08-01,1999,1,8,FUNCEX12_MQEMM2N12,1999-08-01T00:00:00-03:00,124.11
1999-09-01,1999,1,9,FUNCEX12_MQEMM2N12,1999-09-01T00:00:00-03:00,82.62
1999-10-01,1999,1,10,FUNCEX12_MQEMM2N12,1999-10-01T00:00:00-03:00,85.47
1999-11-01,1999,1,11,FUNCEX12_MQEMM2N12,1999-11-01T00:00:00-03:00,145.24
1999-12-01,1999,1,12,FUNCEX12_MQEMM2N12,1999-12-01T00:00:00-02:00,90.79
2000-01-01,2000,1,1,FUNCEX12_MQEMM2N12,2000-01-01T00:00:00-02:00,24.35
2000-02-01,2000,1,2,FUNCEX12_MQEMM2N12,2000-02-01T00:00:00-02:00,111.83
2000-03-01,2000,1,3,FUNCEX12_MQEMM2N12,2000-03-01T00:00:00-03:00,97.67
2000-04-01,2000,1,4,FUNCEX12_MQEMM2N12,2000-04-01T00:00:00-03:00,81.78
2000-05-01,2000,1,5,FUNCEX12_MQEMM2N12,2000-05-01T00:00:00-03:00,114.76
2000-06-01,2000,1,6,FUNCEX12_MQEMM2N12,2000-06-01T00:00:00-03:00,83.59
2000-07-01,2000,1,7,FUNCEX12_MQEMM2N12,2000-07-01T00:00:00-03:00,38.26
2000-08-01,2000,1,8,FUNCEX12_MQEMM2N12,2000-08-01T00:00:00-03:00,90.55
2000-09-01,2000,1,9,FUNCEX12_MQEMM2N12,2000-09-01T00:00:00-03:00,123.31
2000-10-01,2000,1,10,FUNCEX12_MQEMM2N12,2000-10-01T00:00:00-03:00,107.15
2000-11-01,2000,1,11,FUNCEX12_MQEMM2N12,2000-11-01T00:00:00-03:00,85.01
2000-12-01,2000,1,12,FUNCEX12_MQEMM2N12,2000-12-01T00:00:00-02:00,123.1
2001-01-01,2001,1,1,FUNCEX12_MQEMM2N12,2001-01-01T00:00:00-02:00,130.71
2001-02-01,2001,1,2,FUNCEX12_MQEMM2N12,2001-02-01T00:00:00-02:00,104.86
2001-03-01,2001,1,3,FUNCEX12_MQEMM2N12,2001-03-01T00:00:00-03:00,102.97
2001-04-01,2001,1,4,FUNCEX12_MQEMM2N12,2001-04-01T00:00:00-03:00,78.99
2001-05-01,2001,1,5,FUNCEX12_MQEMM2N12,2001-05-01T00:00:00-03:00,131.42
2001-06-01,2001,1,6,FUNCEX12_MQEMM2N12,2001-06-01T00:00:00-03:00,110.4
2001-07-01,2001,1,7,FUNCEX12_MQEMM2N12,2001-07-01T00:00:00-03:00,62.75
2001-08-01,2001,1,8,FUNCEX12_MQEMM2N12,2001-08-01T00:00:00-03:00,132.2
2001-09-01,2001,1,9,FUNCEX12_MQEMM2N12,2001-09-01T00:00:00-03:00,88.14
2001-10-01,2001,1,10,FUNCEX12_MQEMM2N12,2001-10-01T00:00:00-03:00,117.6
2001-11-01,2001,1,11,FUNCEX12_MQEMM2N12,2001-11-01T00:00:00-03:00,115.79
2001-12-01,2001,1,12,FUNCEX12_MQEMM2N12,2001-12-01T00:00:00-02:00,105.51
2002-01-01,2002,1,1,FUNCEX12_MQEMM2N12,2002-01-01T00:00:00-02:00,99.98
2002-02-01,2002,1,2,FUNCEX12_MQEMM2N12,2002-02-01T00:00:00-02:00,112.57
2002-03-01,2002,1,3,FUNCEX12_MQEMM2N12,2002-03-01T00:00:00-03:00,64.03
2002-04-01,2002,1,4,FUNCEX12_MQEMM2N12,2002-04-01T00:00:00-03:00,82.32
2002-05-01,2002,1,5,FUNCEX12_MQEMM2N12,2002-05-01T00:00:00-03:00,137.71
2002-06-01,2002,1,6,FUNCEX12_MQEMM2N12,2002-06-01T00:00:00-03:00,55.8
2002-07-01,2002,1,7,FUNCEX12_MQEMM2N12,2002-07-01T00:00:00-03:00,110.82
2002-08-01,2002,1,8,FUNCEX12_MQEMM2N12,2002-08-01T00:00:00-03:00,30.84
2002-09-01,2002,1,9,FUNCEX12_MQEMM2N12,2002-09-01T00:00:00-03:00,109.47
2002-10-01,2002,1,10,FUNCEX12_MQEMM2N12,2002-10-01T00:00:00-03:00,59.93
2002-11-01,2002,1,11,FUNCEX12_MQEMM2N12,2002-11-01T00:00:00-03:00,119.69
2002-12-01,2002,1,12,FUNCEX12_MQEMM2N12,2002-12-01T00:00:00-02:00,83.08
2003-01-01,2003,1,1,FUNCEX12_MQEMM2N12,2003-01-01T00:00:00-02:00,93.0
2003-02-01,2003,1,2,FUNCEX12_MQEMM2N12,2003-02-01T00:00:00-02:00,51.08
2003-03-01,2003,1,3,FUNCEX12_MQEMM2N12,2003-03-01T00:00:00-03:00,30.38
2003-04-01,2003,1,4,FUNCEX12_MQEMM2N12,2003-04-01T00:00:00-03:00,27.84
2003-05-01,2003,1,5,FUNCEX12_MQEMM2N12,2003-05-01T00:00:00-03:00,98.02
2003-06-01,2003,1,6,FUNCEX12_MQEMM2N12,2003-06-01T00:00:00-03:00,106.94
2003-07-01,2003,1,7,FUNCEX12_MQEMM2N12,2003-07-01T00:00:00-03:00,79.17
2003-08-01,2003,1,8,FUNCEX12_MQEMM2N12,2003-08-01T00:00:00-03:00,111.82
2003-09-01,2003,1,9,FUNCEX12_MQEMM2N12,2003-09-01T00:00:00-03:00,118.97
2003-10-01,2003,1,10,FUNCEX12_MQEMM2N12,2003-10-01T00:00:00-03:00,108.25
2003-11-01,2003,1,11,FUNCEX12_MQEMM2N12,2003-11-01T00:00:00-03:00,145.16
2003-12-01,2003,1,12,FUNCEX12_MQEMM2N12,2003-12-01T00:00:00-02:00,65.24
2004-01-01,2004,1,1,FUNCEX12_MQEMM2N12,2004-01-01T00:00:00-02:00,94.33
2004-02-01,2004,1,2,FUNCEX12_MQEMM2N12,2004-02-01T00:00:00-02:00,126.92
2004-03-01,2004,1,3,FUNCEX12_MQEMM2N12,2004-03-01T00:00:00-03:00,84.14
2004-04-01,2004,1,4,FUNCEX12_MQEMM2N12,2004-04-01T00:00:00-03:00,130.61
2004-05-01,2004,1,5,FUNCEX12_MQEMM2N12,2004-05-01T00:00:00-03:00,86.59
2004-06-01,2004,1,6,FUNCEX12_MQEMM2N12,2004-06-01T00:00:00-03:00,101.09
2004-07-01,2004,1,7,FUNCEX12_MQEMM2N12,2004-07-01T00:00:00-03:00,131.35
2004-08-01,2004,1,8,FUNCEX12_MQEMM2N12,2004-08-01T00:00:00-03:00,99.67
2004-09-01,2004,1,9,FUNCEX12_MQEMM2N12,2004-09-01T00:00:00-03:00,108.69
2004-10-01,2004,1,10,FUNCEX12_MQEMM2N12,2004-10-01T00:00:00-03:00,59.83
2004-11-01,2004,1,11,FUNCEX12_MQEMM2N12,2004-11-01T00:00:00-03:00,160.1
2004-12-01,2004,1,12,FUNCEX12_MQEMM2N12,2004-12-01T00:00:00-02:00,88.57
2005-01-01,2005,1,1,FUNCEX12_MQEMM2N12,2005-01-01T00:00:00-02:00,90.51
2005-02-01,2005,1,2,FUNCEX12_MQEMM2N12,2005-02-01T00:00:00-02:00,21.17
2005-03-01,2005,1,3,FUNCEX12_MQEMM2N12,2005-03-01T00:00:00-03:00,109.62
2005-04-01,2005,1,4,FUNCEX12_MQEMM2N12,2005-04-01T00:00:00-03:00,36.29
2005-05-01,2005,1,5,FUNCEX12_MQEMM2N12,2005-05-01T00:00:00-03:00,121.68
2005-06-01,2005,1,6,FUNCEX12_MQEMM2N12,2005-06-01T00:00:00-03:00,100.11
2005-07-01,2005,1,7,FUNCEX12_MQEMM2N12,2005-07-01T00:00:00-03:00,38.73
2005-08-01,2005,1,8,FUNCEX12_MQEMM2N12,2005-08-01T00:00:00-03:00,116.09
2005-09-01,2005,1,9,FUNCEX12_MQEMM2N12,2005-09-01T00:00:00-03:00,66.36
2005-10-01,2005,1,10,FUNCEX12_MQEMM2N12,2005-10-01T00:00:00-03:00,85.22
2005-11-01,2005,1,11,FUNCEX12_MQEMM2N12,2005-11-01T00:00:00-02:00,146.49
2005-12-01,2005,1,12,FUNCEX12_MQEMM2N12,2005-12-01T00:00:00-02:00,89.66
2006-01-01,2006,1,1,FUNCEX12_MQEMM2N12,2006-01-01T00:00:00-02:00,126.04
2006-02-01,2006,1,2,FUNCEX12_MQEMM2N12,2006-02-01T00:00:00-02:00,100.26
2006-03-01,2006,1,3,FUNCEX12_MQEMM2N12,2006-03-01T00:00:00-03:00,91.51
2006-04-01,2006,1,4,FUNCEX12_MQEMM2N12,2006-04-01T00:00:00-03:00,90.89
2006-05-01,2006,1,5,FUNCEX12_MQEMM2N12,2006-05-01T00:00:00-03:00,68.98
2006-06-01,2006,1,6,FUNCEX12_MQEMM2N12,2006-06-01T00:00:00-03:00,96.72
2006-07-01,2006,1,7,FUNCEX12_MQEMM2N12,2006-07-01T00:00:00-03:00,140.91
2006-08-01,2006,1,8,FUNCEX12_MQEMM2N12,2006-08-01T00:00:00-03:00,79.63
2006-09-01,2006,1,9,FUNCEX12_MQEMM2N12,2006-09-01T00:00:00-03:00,114.37
2006-10-01,2006,1,10,FUNCEX12_MQEMM2N12,2006-10-01T00:00:00-03:00,85.21
2006-11-01,2006,1,11,FUNCEX12_MQEMM2N12,2006-11-01T00:00:00-03:00,149.52
2006-12-01,2006,1,12,FUNCEX12_MQEMM2N12,2006-12-01T00:00:00-02:00,55.96
2007-01-01,2007,1,1,FUNCEX12_MQEMM2N12,2007-01-01T00:00:00-02:00,139.83
2007-02-01,2007,1,2,FUNCEX12_MQEMM2N12,2007-02-01T00:00:00-02:00,52.33
2007-03-01,2007,1,3,FUNCEX12_MQEMM2N12,2007-03-01T00:00:00-03:00,169.26
2007-04-01,2007,1,4,FUNCEX12_MQEMM2N12,2007-04-01T00:00:00-03:00,78.9
2007-05-01,2007,1,5,FUNCEX12_MQEMM2N12,2007-05-01T00:00:00-03:00,70.39
2007-06-01,2007,1,6,FUNCEX12_MQEMM2N12,2007-06-01T00:00:00-03:00,67.08
2007-07-01,2007,1,7,FUNCEX12_MQEMM2N12,2007-07-01T00:00:00-03:00,166.15
2007-08-01,2007,1,8,FUNCEX12_MQEMM2N12,2007-08-01T00:00:00-03:00,74.1
2007-09-01,2007,1,9,FUNCEX12_MQEMM2N12,2007-09-01T00:00:00-03:00,96.62
2007-10-01,2007,1,10,FUNCEX12_MQEMM2N12,2007-10-01T00:00:00-03:00,32.86
2007-11-01,2007,1,11,FUNCEX12_MQEMM2N12,2007-11-01T00:00:00-02:00,80.81
