DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQIMQG2N12,1997-01-01T00:00:00-02:00,175.98
1997-02-01,1997,1,2,FUNCEX12_MQIMQG2N12,1997-02-01T00:00:00-02:00,255.53
1997-03-01,1997,1,3,FUNCEX12_MQIMQG2N12,1997-03-01T00:00:00-03:00,253.56
1997-04-01,1997,1,4,FUNCEX12_MQIMQG2N12,1997-04-01T00:00:00-03:00,339.26
1997-05-01,1997,1,5,FUNCEX12_MQIMQG2N12,1997-05-01T00:00:00-03:00,416.56
1997-06-01,1997,1,6,FUNCEX12_MQIMQG2N12,1997-06-01T00:00:00-03:00,278.58
1997-07-01,1997,1,7,FUNCEX12_MQIMQG2N12,1997-07-01T00:00:00-03:00,443.38
1997-08-01,1997,1,8,FUNCEX12_MQIMQG2N12,1997-08-01T00:00:00-03:00,314.27
1997-09-01,1997,1,9,FUNCEX12_MQIMQG2N12,1997-09-01T00:00:00-03:00,314.08
1997-10-01,1997,1,10,FUNCEX12_MQIMQG2N12,1997-10-01T00:00:00-03:00,352.04
1997-11-01,1997,1,11,FUNCEX12_MQIMQG2N12,1997-11-01T00:00:00-03:00,398.57
1997-12-01,1997,1,12,FUNCEX12_MQIMQG2N12,1997-12-01T00:00:00-02:00,465.43
1998-01-01,1998,1,1,FUNCEX12_MQIMQG2N12,1998-01-01T00:00:00-02:00,316.4
1998-02-01,1998,1,2,FUNCEX12_MQIMQG2N12,1998-02-01T00:00:00-02:00,314.35
1998-03-01,1998,1,3,FUNCEX12_MQIMQG2N12,1998-03-01T00:00:00-03:00,363.86
1998-04-01,1998,1,4,FUNCEX12_MQIMQG2N12,1998-04-01T00:00:00-03:00,408.27
1998-05-01,1998,1,5,FUNCEX12_MQIMQG2N12,1998-05-01T00:00:00-03:00,324.73
1998-06-01,1998,1,6,FUNCEX12_MQIMQG2N12,1998-06-01T00:00:00-03:00,337.0
1998-07-01,1998,1,7,FUNCEX12_MQIMQG2N12,1998-07-01T00:00:00-03:00,313.27
1998-08-01,1998,1,8,FUNCEX12_MQIMQG2N12,1998-08-01T00:00:00-03:00,285.87
1998-09-01,1998,1,9,FUNCEX12_MQIMQG2N12,1998-09-01T00:00:00-03:00,322.36
1998-10-01,1998,1,10,FUNCEX12_MQIMQG2N12,1998-10-01T00:00:00-03:00,386.16
1998-11-01,1998,1,11,FUNCEX12_MQIMQG2N12,1998-11-01T00:00:00-03:00,527.09
1998-12-01,1998,1,12,FUNCEX12_MQIMQG2N12,1998-12-01T00:00:00-02:00,556.77
1999-01-01,1999,1,1,FUNCEX12_MQIMQG2N12,1999-01-01T00:00:00-02:00,268.61
1999-02-01,1999,1,2,FUNCEX12_MQIMQG2N12,1999-02-01T00:00:00-02:00,156.87
1999-03-01,1999,1,3,FUNCEX12_MQIMQG2N12,1999-03-01T00:00:00-03:00,225.76
1999-04-01,1999,1,4,FUNCEX12_MQIMQG2N12,1999-04-01T00:00:00-03:00,218.64
1999-05-01,1999,1,5,FUNCEX12_MQIMQG2N12,1999-05-01T00:00:00-03:00,216.06
1999-06-01,1999,1,6,FUNCEX12_MQIMQG2N12,1999-06-01T00:00:00-03:00,204.54
1999-07-01,1999,1,7,FUNCEX12_MQIMQG2N12,1999-07-01T00:00:00-03:00,159.03
1999-08-01,1999,1,8,FUNCEX12_MQIMQG2N12,1999-08-01T00:00:00-03:00,266.4
