DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQMAQINF2N12,1997-01-01T00:00:00-02:00,26.08
1997-02-01,1997,1,2,FUNCEX12_MQMAQINF2N12,1997-02-01T00:00:00-02:00,43.46
1997-03-01,1997,1,3,FUNCEX12_MQMAQINF2N12,1997-03-01T00:00:00-03:00,47.11
1997-04-01,1997,1,4,FUNCEX12_MQMAQINF2N12,1997-04-01T00:00:00-03:00,61.13
1997-05-01,1997,1,5,FUNCEX12_MQMAQINF2N12,1997-05-01T00:00:00-03:00,53.86
1997-06-01,1997,1,6,FUNCEX12_MQMAQINF2N12,1997-06-01T00:00:00-03:00,54.6
1997-07-01,1997,1,7,FUNCEX12_MQMAQINF2N12,1997-07-01T00:00:00-03:00,59.33
1997-08-01,1997,1,8,FUNCEX12_MQMAQINF2N12,1997-08-01T00:00:00-03:00,51.76
1997-09-01,1997,1,9,FUNCEX12_MQMAQINF2N12,1997-09-01T00:00:00-03:00,57.78
1997-10-01,1997,1,10,FUNCEX12_MQMAQINF2N12,1997-10-01T00:00:00-03:00,57.86
1997-11-01,1997,1,11,FUNCEX12_MQMAQINF2N12,1997-11-01T00:00:00-03:00,50.83
1997-12-01,1997,1,12,FUNCEX12_MQMAQINF2N12,1997-12-01T00:00:00-02:00,47.43
1998-01-01,1998,1,1,FUNCEX12_MQMAQINF2N12,1998-01-01T00:00:00-02:00,39.11
1998-02-01,1998,1,2,FUNCEX12_MQMAQINF2N12,1998-02-01T00:00:00-02:00,34.93
1998-03-01,1998,1,3,FUNCEX12_MQMAQINF2N12,1998-03-01T00:00:00-03:00,53.56
1998-04-01,1998,1,4,FUNCEX12_MQMAQINF2N12,1998-04-01T00:00:00-03:00,46.95
1998-05-01,1998,1,5,FUNCEX12_MQMAQINF2N12,1998-05-01T00:00:00-03:00,49.61
1998-06-01,1998,1,6,FUNCEX12_MQMAQINF2N12,1998-06-01T00:00:00-03:00,48.83
1998-07-01,1998,1,7,FUNCEX12_MQMAQINF2N12,1998-07-01T00:00:00-03:00,52.68
1998-08-01,1998,1,8,FUNCEX12_MQMAQINF2N12,1998-08-01T00:00:00-03:00,40.61
1998-09-01,1998,1,9,FUNCEX12_MQMAQINF2N12,1998-09-01T00:00:00-03:00,62.0
1998-10-01,1998,1,10,FUNCEX12_MQMAQINF2N12,1998-10-01T00:00:00-03:00,58.8
1998-11-01,1998,1,11,FUNCEX12_MQMAQINF2N12,1998-11-01T00:00:00-03:00,52.85
1998-12-01,1998,1,12,FUNCEX12_MQMAQINF2N12,1998-12-01T00:00:00-02:00,46.82
1999-01-01,1999,1,1,FUNCEX12_MQMAQINF2N12,1999-01-01T00:00:00-02:00,39.53
1999-02-01,1999,1,2,FUNCEX12_MQMAQINF2N12,1999-02-01T00:00:00-02:00,34.47
1999-03-01,1999,1,3,FUNCEX12_MQMAQINF2N12,1999-03-01T00:00:00-03:00,42.44
1999-04-01,1999,1,4,FUNCEX12_MQMAQINF2N12,1999-04-01T00:00:00-03:00,35.15
1999-05-01,1999,1,5,FUNCEX12_MQMAQINF2N12,1999-05-01T00:00:00-03:00,39.79
1999-06-01,1999,1,6,FUNCEX12_MQMAQINF2N12,1999-06-01T00:00:00-03:00,43.14
1999-07-01,1999,1,7,FUNCEX12_MQMAQINF2N12,1999-07-01T00:00:00-03:00,44.52
1999-08-01,1999,1,8,FUNCEX12_MQMAQINF2N12,1999-08-01T00:00:00-03:00,49.0
1999-09-01,1999,1,9,FUNCEX12_MQMAQINF2N12,1999-09-01T00:00:00-03:00,49.09
1999-10-01,1999,1,10,FUNCEX12_MQMAQINF2N12,1999-10-01T00:00:00-03:00,50.78
1999-11-01,1999,1,11,FUNCEX12_MQMAQINF2N12,1999-11-01T00:00:00-03:00,52.97
1999-12-01,1999,1,12,FUNCEX12_MQMAQINF2N12,1999-12-01T00:00:00-02:00,48.12
2000-01-01,2000,1,1,FUNCEX12_MQMAQINF2N12,2000-01-01T00:00:00-02:00,42.1
2000-02-01,2000,1,2,FUNCEX12_MQMAQINF2N12,2000-02-01T00:00:00-02:00,45.09
2000-03-01,2000,1,3,FUNCEX12_MQMAQINF2N12,2000-03-01T00:00:00-03:00,55.17
2000-04-01,2000,1,4,FUNCEX12_MQMAQINF2N12,2000-04-01T00:00:00-03:00,49.68
2000-05-01,2000,1,5,FUNCEX12_MQMAQINF2N12,2000-05-01T00:00:00-03:00,63.91
2000-06-01,2000,1,6,FUNCEX12_MQMAQINF2N12,2000-06-01T00:00:00-03:00,63.75
2000-07-01,2000,1,7,FUNCEX12_MQMAQINF2N12,2000-07-01T00:00:00-03:00,63.8
2000-08-01,2000,1,8,FUNCEX12_MQMAQINF2N12,2000-08-01T00:00:00-03:00,70.59
2000-09-01,2000,1,9,FUNCEX12_MQMAQINF2N12,2000-09-01T00:00:00-03:00,70.66
2000-10-01,2000,1,10,FUNCEX12_MQMAQINF2N12,2000-10-01T00:00:00-03:00,71.44
2000-11-01,2000,1,11,FUNCEX12_MQMAQINF2N12,2000-11-01T00:00:00-03:00,70.73
2000-12-01,2000,1,12,FUNCEX12_MQMAQINF2N12,2000-12-01T00:00:00-02:00,68.07
2001-01-01,2001,1,1,FUNCEX12_MQMAQINF2N12,2001-01-01T00:00:00-02:00,71.83
2001-02-01,2001,1,2,FUNCEX12_MQMAQINF2N12,2001-02-01T00:00:00-02:00,56.48
2001-03-01,2001,1,3,FUNCEX12_MQMAQINF2N12,2001-03-01T00:00:00-03:00,78.04
2001-04-01,2001,1,4,FUNCEX12_MQMAQINF2N12,2001-04-01T00:00:00-03:00,66.32
2001-05-01,2001,1,5,FUNCEX12_MQMAQINF2N12,2001-05-01T00:00:00-03:00,71.45
2001-06-01,2001,1,6,FUNCEX12_MQMAQINF2N12,2001-06-01T00:00:00-03:00,62.93
2001-07-01,2001,1,7,FUNCEX12_MQMAQINF2N12,2001-07-01T00:00:00-03:00,60.71
2001-08-01,2001,1,8,FUNCEX12_MQMAQINF2N12,2001-08-01T00:00:00-03:00,57.92
2001-09-01,2001,1,9,FUNCEX12_MQMAQINF2N12,2001-09-01T00:00:00-03:00,42.79
2001-10-01,2001,1,10,FUNCEX12_MQMAQINF2N12,2001-10-01T00:00:00-03:00,52.39
2001-11-01,2001,1,11,FUNCEX12_MQMAQINF2N12,2001-11-01T00:00:00-03:00,45.78
2001-12-01,2001,1,12,FUNCEX12_MQMAQINF2N12,2001-12-01T00:00:00-02:00,40.19
2002-01-01,2002,1,1,FUNCEX12_MQMAQINF2N12,2002-01-01T00:00:00-02:00,41.07
2002-02-01,2002,1,2,FUNCEX12_MQMAQINF2N12,2002-02-01T00:00:00-02:00,34.92
2002-03-01,2002,1,3,FUNCEX12_MQMAQINF2N12,2002-03-01T00:00:00-03:00,47.26
2002-04-01,2002,1,4,FUNCEX12_MQMAQINF2N12,2002-04-01T00:00:00-03:00,50.73
2002-05-01,2002,1,5,FUNCEX12_MQMAQINF2N12,2002-05-01T00:00:00-03:00,47.9
2002-06-01,2002,1,6,FUNCEX12_MQMAQINF2N12,2002-06-01T00:00:00-03:00,42.29
2002-07-01,2002,1,7,FUNCEX12_MQMAQINF2N12,2002-07-01T00:00:00-03:00,55.57
2002-08-01,2002,1,8,FUNCEX12_MQMAQINF2N12,2002-08-01T00:00:00-03:00,46.22
2002-09-01,2002,1,9,FUNCEX12_MQMAQINF2N12,2002-09-01T00:00:00-03:00,41.45
2002-10-01,2002,1,10,FUNCEX12_MQMAQINF2N12,2002-10-01T00:00:00-03:00,44.08
2002-11-01,2002,1,11,FUNCEX12_MQMAQINF2N12,2002-11-01T00:00:00-03:00,40.07
