DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1997-01-01,1997,1,1,FUNCEX12_MQTEXT2N12,1997-01-01T00:00:00-02:00,45.56
1997-02-01,1997,1,2,FUNCEX12_MQTEXT2N12,1997-02-01T00:00:00-02:00,93.85
1997-03-01,1997,1,3,FUNCEX12_MQTEXT2N12,1997-03-01T00:00:00-03:00,82.79
1997-04-01,1997,1,4,FUNCEX12_MQTEXT2N12,1997-04-01T00:00:00-03:00,97.6
1997-05-01,1997,1,5,FUNCEX12_MQTEXT2N12,1997-05-01T00:00:00-03:00,87.96
1997-06-01,1997,1,6,FUNCEX12_MQTEXT2N12,1997-06-01T00:00:00-03:00,98.63
1997-07-01,1997,1,7,FUNCEX12_MQTEXT2N12,1997-07-01T00:00:00-03:00,120.16
1997-08-01,1997,1,8,FUNCEX12_MQTEXT2N12,1997-08-01T00:00:00-03:00,125.89
1997-09-01,1997,1,9,FUNCEX12_MQTEXT2N12,1997-09-01T00:00:00-03:00,129.95
1997-10-01,1997,1,10,FUNCEX12_MQTEXT2N12,1997-10-01T00:00:00-03:00,113.92
1997-11-01,1997,1,11,FUNCEX12_MQTEXT2N12,1997-11-01T00:00:00-03:00,97.24
1997-12-01,1997,1,12,FUNCEX12_MQTEXT2N12,1997-12-01T00:00:00-02:00,73.89
1998-01-01,1998,1,1,FUNCEX12_MQTEXT2N12,1998-01-01T00:00:00-02:00,83.29
1998-02-01,1998,1,2,FUNCEX12_MQTEXT2N12,1998-02-01T00:00:00-02:00,64.71
1998-03-01,1998,1,3,FUNCEX12_MQTEXT2N12,1998-03-01T00:00:00-03:00,93.94
1998-04-01,1998,1,4,FUNCEX12_MQTEXT2N12,1998-04-01T00:00:00-03:00,89.05
1998-05-01,1998,1,5,FUNCEX12_MQTEXT2N12,1998-05-01T00:00:00-03:00,71.54
1998-06-01,1998,1,6,FUNCEX12_MQTEXT2N12,1998-06-01T00:00:00-03:00,73.4
1998-07-01,1998,1,7,FUNCEX12_MQTEXT2N12,1998-07-01T00:00:00-03:00,91.39
1998-08-01,1998,1,8,FUNCEX12_MQTEXT2N12,1998-08-01T00:00:00-03:00,63.2
1998-09-01,1998,1,9,FUNCEX12_MQTEXT2N12,1998-09-01T00:00:00-03:00,101.6
1998-10-01,1998,1,10,FUNCEX12_MQTEXT2N12,1998-10-01T00:00:00-03:00,82.42
1998-11-01,1998,1,11,FUNCEX12_MQTEXT2N12,1998-11-01T00:00:00-03:00,73.43
1998-12-01,1998,1,12,FUNCEX12_MQTEXT2N12,1998-12-01T00:00:00-02:00,54.56
1999-01-01,1999,1,1,FUNCEX12_MQTEXT2N12,1999-01-01T00:00:00-02:00,53.3
1999-02-01,1999,1,2,FUNCEX12_MQTEXT2N12,1999-02-01T00:00:00-02:00,56.53
1999-03-01,1999,1,3,FUNCEX12_MQTEXT2N12,1999-03-01T00:00:00-03:00,63.62
1999-04-01,1999,1,4,FUNCEX12_MQTEXT2N12,1999-04-01T00:00:00-03:00,59.26
