DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVAGP2N12,1996-01-01T00:00:00-02:00,222.3039
1996-02-01,1996,1,2,FUNCEX12_MVAGP2N12,1996-02-01T00:00:00-02:00,196.2247
1996-03-01,1996,1,3,FUNCEX12_MVAGP2N12,1996-03-01T00:00:00-03:00,241.3215
1996-04-01,1996,1,4,FUNCEX12_MVAGP2N12,1996-04-01T00:00:00-03:00,229.8108
1996-05-01,1996,1,5,FUNCEX12_MVAGP2N12,1996-05-01T00:00:00-03:00,249.4982
1996-06-01,1996,1,6,FUNCEX12_MVAGP2N12,1996-06-01T00:00:00-03:00,188.1261
1996-07-01,1996,1,7,FUNCEX12_MVAGP2N12,1996-07-01T00:00:00-03:00,198.4801
1996-08-01,1996,1,8,FUNCEX12_MVAGP2N12,1996-08-01T00:00:00-03:00,226.2609
1996-09-01,1996,1,9,FUNCEX12_MVAGP2N12,1996-09-01T00:00:00-03:00,202.9873
1996-10-01,1996,1,10,FUNCEX12_MVAGP2N12,1996-10-01T00:00:00-03:00,195.0143
1996-11-01,1996,1,11,FUNCEX12_MVAGP2N12,1996-11-01T00:00:00-03:00,148.0386
1996-12-01,1996,1,12,FUNCEX12_MVAGP2N12,1996-12-01T00:00:00-02:00,230.3313
1997-01-01,1997,1,1,FUNCEX12_MVAGP2N12,1997-01-01T00:00:00-02:00,82.4854
1997-02-01,1997,1,2,FUNCEX12_MVAGP2N12,1997-02-01T00:00:00-02:00,219.1427
1997-03-01,1997,1,3,FUNCEX12_MVAGP2N12,1997-03-01T00:00:00-03:00,152.1875
1997-04-01,1997,1,4,FUNCEX12_MVAGP2N12,1997-04-01T00:00:00-03:00,214.8079
1997-05-01,1997,1,5,FUNCEX12_MVAGP2N12,1997-05-01T00:00:00-03:00,178.1355
1997-06-01,1997,1,6,FUNCEX12_MVAGP2N12,1997-06-01T00:00:00-03:00,176.4983
1997-07-01,1997,1,7,FUNCEX12_MVAGP2N12,1997-07-01T00:00:00-03:00,260.4959
1997-08-01,1997,1,8,FUNCEX12_MVAGP2N12,1997-08-01T00:00:00-03:00,173.0497
1997-09-01,1997,1,9,FUNCEX12_MVAGP2N12,1997-09-01T00:00:00-03:00,161.1698
1997-10-01,1997,1,10,FUNCEX12_MVAGP2N12,1997-10-01T00:00:00-03:00,141.886
1997-11-01,1997,1,11,FUNCEX12_MVAGP2N12,1997-11-01T00:00:00-03:00,133.0618
1997-12-01,1997,1,12,FUNCEX12_MVAGP2N12,1997-12-01T00:00:00-02:00,183.4895
1998-01-01,1998,1,1,FUNCEX12_MVAGP2N12,1998-01-01T00:00:00-02:00,240.4033
1998-02-01,1998,1,2,FUNCEX12_MVAGP2N12,1998-02-01T00:00:00-02:00,173.5368
1998-03-01,1998,1,3,FUNCEX12_MVAGP2N12,1998-03-01T00:00:00-03:00,181.1102
1998-04-01,1998,1,4,FUNCEX12_MVAGP2N12,1998-04-01T00:00:00-03:00,167.3084
1998-05-01,1998,1,5,FUNCEX12_MVAGP2N12,1998-05-01T00:00:00-03:00,169.3291
1998-06-01,1998,1,6,FUNCEX12_MVAGP2N12,1998-06-01T00:00:00-03:00,187.9709
1998-07-01,1998,1,7,FUNCEX12_MVAGP2N12,1998-07-01T00:00:00-03:00,219.9174
1998-08-01,1998,1,8,FUNCEX12_MVAGP2N12,1998-08-01T00:00:00-03:00,155.2619
1998-09-01,1998,1,9,FUNCEX12_MVAGP2N12,1998-09-01T00:00:00-03:00,199.33
1998-10-01,1998,1,10,FUNCEX12_MVAGP2N12,1998-10-01T00:00:00-03:00,170.0565
1998-11-01,1998,1,11,FUNCEX12_MVAGP2N12,1998-11-01T00:00:00-03:00,158.6211
1998-12-01,1998,1,12,FUNCEX12_MVAGP2N12,1998-12-01T00:00:00-02:00,223.0776
1999-01-01,1999,1,1,FUNCEX12_MVAGP2N12,1999-01-01T00:00:00-02:00,169.8428
1999-02-01,1999,1,2,FUNCEX12_MVAGP2N12,1999-02-01T00:00:00-02:00,125.9231
1999-03-01,1999,1,3,FUNCEX12_MVAGP2N12,1999-03-01T00:00:00-03:00,117.2498
1999-04-01,1999,1,4,FUNCEX12_MVAGP2N12,1999-04-01T00:00:00-03:00,123.1778
1999-05-01,1999,1,5,FUNCEX12_MVAGP2N12,1999-05-01T00:00:00-03:00,139.732
1999-06-01,1999,1,6,FUNCEX12_MVAGP2N12,1999-06-01T00:00:00-03:00,140.9905
1999-07-01,1999,1,7,FUNCEX12_MVAGP2N12,1999-07-01T00:00:00-03:00,142.5246
1999-08-01,1999,1,8,FUNCEX12_MVAGP2N12,1999-08-01T00:00:00-03:00,143.6206
1999-09-01,1999,1,9,FUNCEX12_MVAGP2N12,1999-09-01T00:00:00-03:00,151.7681
1999-10-01,1999,1,10,FUNCEX12_MVAGP2N12,1999-10-01T00:00:00-03:00,121.2052
1999-11-01,1999,1,11,FUNCEX12_MVAGP2N12,1999-11-01T00:00:00-03:00,113.0797
1999-12-01,1999,1,12,FUNCEX12_MVAGP2N12,1999-12-01T00:00:00-02:00,111.376
2000-01-01,2000,1,1,FUNCEX12_MVAGP2N12,2000-01-01T00:00:00-02:00,109.402
2000-02-01,2000,1,2,FUNCEX12_MVAGP2N12,2000-02-01T00:00:00-02:00,140.4784
2000-03-01,2000,1,3,FUNCEX12_MVAGP2N12,2000-03-01T00:00:00-03:00,151.413
2000-04-01,2000,1,4,FUNCEX12_MVAGP2N12,2000-04-01T00:00:00-03:00,130.4907
2000-05-01,2000,1,5,FUNCEX12_MVAGP2N12,2000-05-01T00:00:00-03:00,149.7049
2000-06-01,2000,1,6,FUNCEX12_MVAGP2N12,2000-06-01T00:00:00-03:00,136.2202
2000-07-01,2000,1,7,FUNCEX12_MVAGP2N12,2000-07-01T00:00:00-03:00,155.5899
2000-08-01,2000,1,8,FUNCEX12_MVAGP2N12,2000-08-01T00:00:00-03:00,166.639
2000-09-01,2000,1,9,FUNCEX12_MVAGP2N12,2000-09-01T00:00:00-03:00,139.8626
2000-10-01,2000,1,10,FUNCEX12_MVAGP2N12,2000-10-01T00:00:00-03:00,165.7165
2000-11-01,2000,1,11,FUNCEX12_MVAGP2N12,2000-11-01T00:00:00-03:00,128.4631
2000-12-01,2000,1,12,FUNCEX12_MVAGP2N12,2000-12-01T00:00:00-02:00,133.3741
2001-01-01,2001,1,1,FUNCEX12_MVAGP2N12,2001-01-01T00:00:00-02:00,152.2376
2001-02-01,2001,1,2,FUNCEX12_MVAGP2N12,2001-02-01T00:00:00-02:00,111.589
2001-03-01,2001,1,3,FUNCEX12_MVAGP2N12,2001-03-01T00:00:00-03:00,158.2131
2001-04-01,2001,1,4,FUNCEX12_MVAGP2N12,2001-04-01T00:00:00-03:00,128.345
2001-05-01,2001,1,5,FUNCEX12_MVAGP2N12,2001-05-01T00:00:00-03:00,149.2254
2001-06-01,2001,1,6,FUNCEX12_MVAGP2N12,2001-06-01T00:00:00-03:00,118.162
2001-07-01,2001,1,7,FUNCEX12_MVAGP2N12,2001-07-01T00:00:00-03:00,141.0539
2001-08-01,2001,1,8,FUNCEX12_MVAGP2N12,2001-08-01T00:00:00-03:00,137.8463
2001-09-01,2001,1,9,FUNCEX12_MVAGP2N12,2001-09-01T00:00:00-03:00,128.8513
2001-10-01,2001,1,10,FUNCEX12_MVAGP2N12,2001-10-01T00:00:00-03:00,124.6057
2001-11-01,2001,1,11,FUNCEX12_MVAGP2N12,2001-11-01T00:00:00-03:00,109.3887
2001-12-01,2001,1,12,FUNCEX12_MVAGP2N12,2001-12-01T00:00:00-02:00,122.8907
2002-01-01,2002,1,1,FUNCEX12_MVAGP2N12,2002-01-01T00:00:00-02:00,107.4766
2002-02-01,2002,1,2,FUNCEX12_MVAGP2N12,2002-02-01T00:00:00-02:00,132.115
2002-03-01,2002,1,3,FUNCEX12_MVAGP2N12,2002-03-01T00:00:00-03:00,129.1508
2002-04-01,2002,1,4,FUNCEX12_MVAGP2N12,2002-04-01T00:00:00-03:00,145.0378
2002-05-01,2002,1,5,FUNCEX12_MVAGP2N12,2002-05-01T00:00:00-03:00,110.8667
