DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVECARV2N12,1996-01-01T00:00:00-02:00,38.5777
1996-02-01,1996,1,2,FUNCEX12_MVECARV2N12,1996-02-01T00:00:00-02:00,39.9264
1996-03-01,1996,1,3,FUNCEX12_MVECARV2N12,1996-03-01T00:00:00-03:00,52.453
1996-04-01,1996,1,4,FUNCEX12_MVECARV2N12,1996-04-01T00:00:00-03:00,60.1592
1996-05-01,1996,1,5,FUNCEX12_MVECARV2N12,1996-05-01T00:00:00-03:00,69.6505
1996-06-01,1996,1,6,FUNCEX12_MVECARV2N12,1996-06-01T00:00:00-03:00,40.9211
1996-07-01,1996,1,7,FUNCEX12_MVECARV2N12,1996-07-01T00:00:00-03:00,53.648
1996-08-01,1996,1,8,FUNCEX12_MVECARV2N12,1996-08-01T00:00:00-03:00,53.657
1996-09-01,1996,1,9,FUNCEX12_MVECARV2N12,1996-09-01T00:00:00-03:00,54.8084
1996-10-01,1996,1,10,FUNCEX12_MVECARV2N12,1996-10-01T00:00:00-03:00,44.9679
1996-11-01,1996,1,11,FUNCEX12_MVECARV2N12,1996-11-01T00:00:00-03:00,41.1026
1996-12-01,1996,1,12,FUNCEX12_MVECARV2N12,1996-12-01T00:00:00-02:00,78.8733
1997-01-01,1997,1,1,FUNCEX12_MVECARV2N12,1997-01-01T00:00:00-02:00,9.7923
1997-02-01,1997,1,2,FUNCEX12_MVECARV2N12,1997-02-01T00:00:00-02:00,25.6585
1997-03-01,1997,1,3,FUNCEX12_MVECARV2N12,1997-03-01T00:00:00-03:00,57.3425
1997-04-01,1997,1,4,FUNCEX12_MVECARV2N12,1997-04-01T00:00:00-03:00,76.4604
1997-05-01,1997,1,5,FUNCEX12_MVECARV2N12,1997-05-01T00:00:00-03:00,49.0792
1997-06-01,1997,1,6,FUNCEX12_MVECARV2N12,1997-06-01T00:00:00-03:00,44.2765
1997-07-01,1997,1,7,FUNCEX12_MVECARV2N12,1997-07-01T00:00:00-03:00,59.6896
1997-08-01,1997,1,8,FUNCEX12_MVECARV2N12,1997-08-01T00:00:00-03:00,40.2937
1997-09-01,1997,1,9,FUNCEX12_MVECARV2N12,1997-09-01T00:00:00-03:00,55.1051
1997-10-01,1997,1,10,FUNCEX12_MVECARV2N12,1997-10-01T00:00:00-03:00,63.1872
1997-11-01,1997,1,11,FUNCEX12_MVECARV2N12,1997-11-01T00:00:00-03:00,70.1683
1997-12-01,1997,1,12,FUNCEX12_MVECARV2N12,1997-12-01T00:00:00-02:00,57.7741
1998-01-01,1998,1,1,FUNCEX12_MVECARV2N12,1998-01-01T00:00:00-02:00,47.7078
1998-02-01,1998,1,2,FUNCEX12_MVECARV2N12,1998-02-01T00:00:00-02:00,41.9663
1998-03-01,1998,1,3,FUNCEX12_MVECARV2N12,1998-03-01T00:00:00-03:00,72.16
1998-04-01,1998,1,4,FUNCEX12_MVECARV2N12,1998-04-01T00:00:00-03:00,35.0516
1998-05-01,1998,1,5,FUNCEX12_MVECARV2N12,1998-05-01T00:00:00-03:00,58.0141
1998-06-01,1998,1,6,FUNCEX12_MVECARV2N12,1998-06-01T00:00:00-03:00,64.4344
1998-07-01,1998,1,7,FUNCEX12_MVECARV2N12,1998-07-01T00:00:00-03:00,63.8248
1998-08-01,1998,1,8,FUNCEX12_MVECARV2N12,1998-08-01T00:00:00-03:00,44.0115
1998-09-01,1998,1,9,FUNCEX12_MVECARV2N12,1998-09-01T00:00:00-03:00,55.4898
1998-10-01,1998,1,10,FUNCEX12_MVECARV2N12,1998-10-01T00:00:00-03:00,58.012
1998-11-01,1998,1,11,FUNCEX12_MVECARV2N12,1998-11-01T00:00:00-03:00,49.9619
1998-12-01,1998,1,12,FUNCEX12_MVECARV2N12,1998-12-01T00:00:00-02:00,43.0111
1999-01-01,1999,1,1,FUNCEX12_MVECARV2N12,1999-01-01T00:00:00-02:00,32.649
1999-02-01,1999,1,2,FUNCEX12_MVECARV2N12,1999-02-01T00:00:00-02:00,31.5985
1999-03-01,1999,1,3,FUNCEX12_MVECARV2N12,1999-03-01T00:00:00-03:00,57.4381
1999-04-01,1999,1,4,FUNCEX12_MVECARV2N12,1999-04-01T00:00:00-03:00,34.6203
1999-05-01,1999,1,5,FUNCEX12_MVECARV2N12,1999-05-01T00:00:00-03:00,61.3872
1999-06-01,1999,1,6,FUNCEX12_MVECARV2N12,1999-06-01T00:00:00-03:00,31.0873
1999-07-01,1999,1,7,FUNCEX12_MVECARV2N12,1999-07-01T00:00:00-03:00,50.9388
1999-08-01,1999,1,8,FUNCEX12_MVECARV2N12,1999-08-01T00:00:00-03:00,33.38
1999-09-01,1999,1,9,FUNCEX12_MVECARV2N12,1999-09-01T00:00:00-03:00,50.3308
1999-10-01,1999,1,10,FUNCEX12_MVECARV2N12,1999-10-01T00:00:00-03:00,62.8355
1999-11-01,1999,1,11,FUNCEX12_MVECARV2N12,1999-11-01T00:00:00-03:00,54.8973
1999-12-01,1999,1,12,FUNCEX12_MVECARV2N12,1999-12-01T00:00:00-02:00,27.9449
2000-01-01,2000,1,1,FUNCEX12_MVECARV2N12,2000-01-01T00:00:00-02:00,37.1964
2000-02-01,2000,1,2,FUNCEX12_MVECARV2N12,2000-02-01T00:00:00-02:00,36.3852
2000-03-01,2000,1,3,FUNCEX12_MVECARV2N12,2000-03-01T00:00:00-03:00,60.9199
2000-04-01,2000,1,4,FUNCEX12_MVECARV2N12,2000-04-01T00:00:00-03:00,21.8382
