DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1996-01-01,1996,1,1,FUNCEX12_MVEMNM2N12,1996-01-01T00:00:00-02:00,12.0325
1996-02-01,1996,1,2,FUNCEX12_MVEMNM2N12,1996-02-01T00:00:00-02:00,5.4948
1996-03-01,1996,1,3,FUNCEX12_MVEMNM2N12,1996-03-01T00:00:00-03:00,13.399
1996-04-01,1996,1,4,FUNCEX12_MVEMNM2N12,1996-04-01T00:00:00-03:00,12.664
1996-05-01,1996,1,5,FUNCEX12_MVEMNM2N12,1996-05-01T00:00:00-03:00,14.2793
1996-06-01,1996,1,6,FUNCEX12_MVEMNM2N12,1996-06-01T00:00:00-03:00,13.3137
1996-07-01,1996,1,7,FUNCEX12_MVEMNM2N12,1996-07-01T00:00:00-03:00,12.2066
1996-08-01,1996,1,8,FUNCEX12_MVEMNM2N12,1996-08-01T00:00:00-03:00,13.3385
1996-09-01,1996,1,9,FUNCEX12_MVEMNM2N12,1996-09-01T00:00:00-03:00,17.8666
1996-10-01,1996,1,10,FUNCEX12_MVEMNM2N12,1996-10-01T00:00:00-03:00,13.7377
1996-11-01,1996,1,11,FUNCEX12_MVEMNM2N12,1996-11-01T00:00:00-03:00,12.8298
1996-12-01,1996,1,12,FUNCEX12_MVEMNM2N12,1996-12-01T00:00:00-02:00,12.6952
1997-01-01,1997,1,1,FUNCEX12_MVEMNM2N12,1997-01-01T00:00:00-02:00,5.2799
1997-02-01,1997,1,2,FUNCEX12_MVEMNM2N12,1997-02-01T00:00:00-02:00,8.4771
1997-03-01,1997,1,3,FUNCEX12_MVEMNM2N12,1997-03-01T00:00:00-03:00,13.5752
1997-04-01,1997,1,4,FUNCEX12_MVEMNM2N12,1997-04-01T00:00:00-03:00,9.8719
1997-05-01,1997,1,5,FUNCEX12_MVEMNM2N12,1997-05-01T00:00:00-03:00,14.4197
1997-06-01,1997,1,6,FUNCEX12_MVEMNM2N12,1997-06-01T00:00:00-03:00,17.143
1997-07-01,1997,1,7,FUNCEX12_MVEMNM2N12,1997-07-01T00:00:00-03:00,23.2243
1997-08-01,1997,1,8,FUNCEX12_MVEMNM2N12,1997-08-01T00:00:00-03:00,14.4683
1997-09-01,1997,1,9,FUNCEX12_MVEMNM2N12,1997-09-01T00:00:00-03:00,15.339
1997-10-01,1997,1,10,FUNCEX12_MVEMNM2N12,1997-10-01T00:00:00-03:00,25.0488
1997-11-01,1997,1,11,FUNCEX12_MVEMNM2N12,1997-11-01T00:00:00-03:00,15.5099
1997-12-01,1997,1,12,FUNCEX12_MVEMNM2N12,1997-12-01T00:00:00-02:00,16.788
1998-01-01,1998,1,1,FUNCEX12_MVEMNM2N12,1998-01-01T00:00:00-02:00,11.727
1998-02-01,1998,1,2,FUNCEX12_MVEMNM2N12,1998-02-01T00:00:00-02:00,9.4464
1998-03-01,1998,1,3,FUNCEX12_MVEMNM2N12,1998-03-01T00:00:00-03:00,14.1243
1998-04-01,1998,1,4,FUNCEX12_MVEMNM2N12,1998-04-01T00:00:00-03:00,9.3054
1998-05-01,1998,1,5,FUNCEX12_MVEMNM2N12,1998-05-01T00:00:00-03:00,13.1465
1998-06-01,1998,1,6,FUNCEX12_MVEMNM2N12,1998-06-01T00:00:00-03:00,16.3459
1998-07-01,1998,1,7,FUNCEX12_MVEMNM2N12,1998-07-01T00:00:00-03:00,15.6241
1998-08-01,1998,1,8,FUNCEX12_MVEMNM2N12,1998-08-01T00:00:00-03:00,15.795
1998-09-01,1998,1,9,FUNCEX12_MVEMNM2N12,1998-09-01T00:00:00-03:00,19.6827
1998-10-01,1998,1,10,FUNCEX12_MVEMNM2N12,1998-10-01T00:00:00-03:00,15.6465
1998-11-01,1998,1,11,FUNCEX12_MVEMNM2N12,1998-11-01T00:00:00-03:00,18.3273
1998-12-01,1998,1,12,FUNCEX12_MVEMNM2N12,1998-12-01T00:00:00-02:00,10.9638
1999-01-01,1999,1,1,FUNCEX12_MVEMNM2N12,1999-01-01T00:00:00-02:00,11.5115
1999-02-01,1999,1,2,FUNCEX12_MVEMNM2N12,1999-02-01T00:00:00-02:00,6.8848
1999-03-01,1999,1,3,FUNCEX12_MVEMNM2N12,1999-03-01T00:00:00-03:00,9.7717
1999-04-01,1999,1,4,FUNCEX12_MVEMNM2N12,1999-04-01T00:00:00-03:00,8.2865
1999-05-01,1999,1,5,FUNCEX12_MVEMNM2N12,1999-05-01T00:00:00-03:00,10.4434
1999-06-01,1999,1,6,FUNCEX12_MVEMNM2N12,1999-06-01T00:00:00-03:00,12.4777
1999-07-01,1999,1,7,FUNCEX12_MVEMNM2N12,1999-07-01T00:00:00-03:00,11.3128
1999-08-01,1999,1,8,FUNCEX12_MVEMNM2N12,1999-08-01T00:00:00-03:00,11.3794
1999-09-01,1999,1,9,FUNCEX12_MVEMNM2N12,1999-09-01T00:00:00-03:00,18.3791
1999-10-01,1999,1,10,FUNCEX12_MVEMNM2N12,1999-10-01T00:00:00-03:00,15.983
1999-11-01,1999,1,11,FUNCEX12_MVEMNM2N12,1999-11-01T00:00:00-03:00,18.0374
1999-12-01,1999,1,12,FUNCEX12_MVEMNM2N12,1999-12-01T00:00:00-02:00,10.8961
2000-01-01,2000,1,1,FUNCEX12_MVEMNM2N12,2000-01-01T00:00:00-02:00,15.8717
2000-02-01,2000,1,2,FUNCEX12_MVEMNM2N12,2000-02-01T00:00:00-02:00,11.2661
2000-03-01,2000,1,3,FUNCEX12_MVEMNM2N12,2000-03-01T00:00:00-03:00,20.353
2000-04-01,2000,1,4,FUNCEX12_MVEMNM2N12,2000-04-01T00:00:00-03:00,7.4661
2000-05-01,2000,1,5,FUNCEX12_MVEMNM2N12,2000-05-01T00:00:00-03:00,14.0553
2000-06-01,2000,1,6,FUNCEX12_MVEMNM2N12,2000-06-01T00:00:00-03:00,19.2798
2000-07-01,2000,1,7,FUNCEX12_MVEMNM2N12,2000-07-01T00:00:00-03:00,15.7774
